userid	birthdate	profileLevel	gender	updatedTime
213	1962-05-03	1	1	2021-11-05 15:21:38.200
23452	1957-05-01	3	1	2021-11-05 15:52:43.305
9104	1978-07-31	2	2	2021-11-05 12:48:06.489
38208	1995-03-08	2	1	2021-11-05 04:15:29.305
19285	1995-06-11	2	1	2021-11-05 03:08:53.332
6201	2006-09-14	1	1	2021-11-05 12:49:48.256
26485	1961-02-12	1	2	2021-11-05 04:48:26.144
23103	1954-11-28	2	2	2021-11-05 06:29:21.407
38734	1970-11-05	3	2	2021-11-05 07:30:36.805
32971	1984-11-30	2	1	2021-11-05 18:19:43.624
25335	1951-07-30	3	1	2021-11-05 06:19:06.450
15966	1992-11-16	2	2	2021-11-05 19:08:45.762
21780	1998-06-01	3	1	2021-11-05 09:13:03.844
43884	1964-09-10	3	2	2021-11-05 23:43:42.610
44326	1987-08-13	3	1	2021-11-05 19:23:28.377
36597	1969-07-25	3	1	2021-11-05 21:18:07.757
30970	2002-05-12	3	1	2021-11-05 07:24:30.063
27252	1995-07-13	2	2	2021-11-05 09:41:15.691
41755	2002-02-23	3	1	2021-11-05 21:44:44.724
27489	1962-05-28	3	2	2021-11-05 14:00:13.745
234	1969-07-23	3	2	2021-11-05 12:45:45.083
18567	1971-11-30	3	2	2021-11-05 17:05:40.756
37987	1981-04-19	1	1	2021-11-05 14:05:53.342
38663	1970-01-13	3	2	2021-11-05 19:52:30.729
10450	2007-08-09	1	1	2021-11-05 14:52:15.021
5052	2008-09-30	3	1	2021-11-05 16:02:25.003
42072	1954-12-08	1	1	2021-11-05 10:05:54.392
14097	1968-06-16	2	2	2021-11-05 21:07:05.091
32419	1991-06-28	2	1	2021-11-05 03:14:50.090
14442	1987-09-23	2	1	2021-11-05 02:27:00.565
4478	1977-04-09	2	2	2021-11-05 05:28:43.265
28367	1958-11-02	3	2	2021-11-05 00:31:32.068
37319	1978-02-01	2	1	2021-11-05 19:45:21.445
17990	1972-07-02	1	2	2021-11-05 17:25:33.317
39919	2001-10-07	1	2	2021-11-05 01:05:21.631
