userid	birthdate	profileLevel	gender	updatedTime
2088	1993-09-23	1	1	2021-11-06 18:29:19.104
28338	1960-05-27	2	2	2021-11-06 18:38:17.838
22791	1997-10-17	1	1	2021-11-06 20:36:38.802
28486	1963-07-01	2	1	2021-11-06 03:31:26.390
5162	2006-07-07	3	2	2021-11-06 20:36:56.896
36736	2000-01-11	1	2	2021-11-06 01:22:40.047
21912	1960-06-30	3	1	2021-11-06 03:27:25.659
12441	1973-04-25	1	1	2021-11-06 10:13:08.180
13246	1983-07-01	1	1	2021-11-06 09:23:15.766
42496	1951-03-19	2	1	2021-11-06 03:43:56.450
39682	1953-09-22	3	2	2021-11-06 08:42:31.767
43416	2008-01-20	2	2	2021-11-06 10:48:47.661
42350	1995-01-09	3	1	2021-11-06 08:05:30.805
27335	1999-08-30	2	2	2021-11-06 15:49:48.153
19181	1971-02-07	1	1	2021-11-06 12:34:48.399
26388	2001-10-23	3	2	2021-11-06 09:41:23.696
35439	1957-09-08	2	2	2021-11-06 09:05:43.121
26410	1994-01-02	3	1	2021-11-06 05:18:09.095
17052	1963-01-26	3	2	2021-11-06 04:46:18.340
21699	1954-12-22	2	1	2021-11-06 10:39:45.917
36632	2000-07-03	2	2	2021-11-06 05:05:57.441
25281	1954-10-30	2	1	2021-11-06 16:38:38.500
23660	1976-11-08	2	2	2021-11-06 15:05:18.769
21876	1968-03-18	2	2	2021-11-06 20:55:19.779
22411	1969-05-04	2	2	2021-11-06 15:05:01.306
5914	1982-07-28	3	2	2021-11-06 18:08:53.207
3954	1990-10-31	1	2	2021-11-06 02:49:49.735
17991	2009-12-16	3	1	2021-11-06 16:05:43.372
16719	1979-04-07	1	2	2021-11-06 06:22:52.620
11738	2004-07-06	1	1	2021-11-06 01:28:20.903
31919	1978-04-14	2	1	2021-11-06 16:19:32.615
37343	2006-01-10	1	1	2021-11-06 07:39:49.765
41447	1983-02-14	3	2	2021-11-06 21:20:36.123
33282	1960-09-15	1	1	2021-11-06 20:08:37.257
18418	1983-06-05	3	1	2021-11-06 17:16:08.669
29988	1987-07-06	1	2	2021-11-06 02:21:17.982
3823	1984-10-31	2	1	2021-11-06 14:40:14.784
38059	1971-03-15	1	2	2021-11-06 23:11:36.694
21330	2003-06-12	2	2	2021-11-06 11:15:59.543
23066	1981-11-14	1	1	2021-11-06 23:07:43.160
6837	1991-12-11	2	2	2021-11-06 17:55:33.616
19388	1952-05-14	2	1	2021-11-06 01:49:40.652
16858	1990-06-05	3	2	2021-11-06 18:41:28.946
33871	2005-05-07	3	1	2021-11-06 14:17:05.344
17864	1965-11-16	2	2	2021-11-06 23:12:57.602
9002	1956-09-27	3	1	2021-11-06 15:57:59.960
35921	1956-04-20	2	2	2021-11-06 06:50:26.407
4895	1992-05-15	1	1	2021-11-06 12:29:07.423
10234	1978-09-25	1	1	2021-11-06 18:56:31.679
19710	2007-06-11	1	2	2021-11-06 19:31:39.466
39129	1978-01-07	1	1	2021-11-06 09:14:59.299
44267	1977-11-14	1	2	2021-11-06 19:07:00.110
35941	1971-03-03	1	2	2021-11-06 04:43:45.950
7569	1952-08-02	2	1	2021-11-06 16:55:24.712
3862	1957-12-14	2	2	2021-11-06 18:56:59.213
31669	1975-02-17	2	2	2021-11-06 19:50:38.324
13446	1984-11-12	2	1	2021-11-06 12:00:16.738
43939	1968-08-26	1	1	2021-11-06 14:36:24.476
9902	2000-01-31	2	2	2021-11-06 16:23:30.125
31292	1984-07-31	3	1	2021-11-06 22:56:50.142
1213	1983-08-24	2	1	2021-11-06 23:37:13.811
17645	1998-05-28	3	2	2021-11-06 18:32:54.129
6802	1988-06-27	2	2	2021-11-06 08:16:05.919
8205	1950-09-10	3	2	2021-11-06 07:56:55.779
29247	2008-04-11	3	1	2021-11-06 08:20:35.083
11504	1976-03-21	2	2	2021-11-06 15:35:08.828
12101	1972-09-23	1	2	2021-11-06 07:20:06.934
12820	1973-04-28	1	2	2021-11-06 04:38:57.397
34572	1992-06-11	3	1	2021-11-06 16:56:53.929
43680	1950-09-29	2	1	2021-11-06 19:20:25.931
38	2007-01-24	3	2	2021-11-06 10:44:05.286
18849	1993-11-23	2	1	2021-11-06 12:41:02.565
41271	2006-05-05	2	2	2021-11-06 07:32:31.577
24607	1991-07-28	2	2	2021-11-06 20:41:44.475
4893	1953-07-18	3	1	2021-11-06 15:23:39.041
28293	1975-01-14	2	2	2021-11-06 02:03:58.119
8526	1984-05-15	2	2	2021-11-06 19:22:37.738
40550	1961-06-19	1	1	2021-11-06 23:31:12.186
1651	1961-02-22	2	2	2021-11-06 20:05:20.417
23157	1952-07-03	1	1	2021-11-06 02:58:44.283
27955	1999-12-14	3	1	2021-11-06 14:22:33.055
43137	1986-01-01	2	1	2021-11-06 13:36:27.055
24674	1996-03-02	1	1	2021-11-06 16:56:01.918
8919	1950-10-01	3	1	2021-11-06 17:36:21.249
39920	1965-09-18	2	1	2021-11-06 00:19:44.930
34820	1976-09-05	1	1	2021-11-06 22:45:47.662
18548	1950-11-24	1	2	2021-11-06 23:58:56.322
28213	2001-04-28	2	1	2021-11-06 19:23:15.741
15543	1997-11-19	1	2	2021-11-06 23:52:47.119
184	1988-02-13	2	2	2021-11-06 20:04:37.499
10560	1961-08-12	3	2	2021-11-06 04:54:34.218
22962	1965-05-17	3	1	2021-11-06 00:08:04.415
17648	1993-03-21	2	2	2021-11-06 08:37:10.011
28387	2000-09-18	1	1	2021-11-06 13:49:36.018
6005	1961-06-09	3	1	2021-11-06 06:17:18.905
23757	1968-03-24	2	2	2021-11-06 00:13:18.729
36148	1982-01-31	3	1	2021-11-06 10:29:00.704
43344	1976-05-09	2	2	2021-11-06 15:50:05.557
495	2001-03-30	3	1	2021-11-06 05:02:30.880
43500	1972-02-18	2	2	2021-11-06 15:12:33.977
7562	1991-05-18	2	2	2021-11-06 22:59:08.623
41327	1976-05-09	2	1	2021-11-06 07:53:04.389
40672	1953-12-20	1	1	2021-11-06 17:21:33.579
31797	2009-03-09	1	2	2021-11-06 12:18:52.380
43682	2002-01-10	1	2	2021-11-06 02:19:41.501
26781	2007-02-12	2	1	2021-11-06 18:51:50.950
9768	1966-06-25	1	1	2021-11-06 03:45:24.674
25450	1956-10-28	2	1	2021-11-06 07:58:28.828
12905	1978-02-08	3	2	2021-11-06 05:10:44.433
16718	1962-05-13	3	1	2021-11-06 03:43:21.872
19666	1979-01-31	2	2	2021-11-06 02:20:12.152
11975	1995-03-16	2	1	2021-11-06 14:40:18.859
7028	1973-12-21	2	1	2021-11-06 22:06:59.692
33670	1952-06-27	1	2	2021-11-06 12:41:15.904
34380	1988-05-19	2	1	2021-11-06 06:07:05.047
11390	1967-05-23	2	1	2021-11-06 09:51:57.902
16813	1952-04-29	1	1	2021-11-06 03:51:02.935
12429	2002-05-09	1	2	2021-11-06 16:08:35.451
157	2008-05-10	1	2	2021-11-06 02:30:22.134
3051	1971-04-22	2	1	2021-11-06 03:53:29.726
27286	1976-06-25	3	2	2021-11-06 01:49:21.263
4033	1963-02-08	2	2	2021-11-06 17:30:58.444
20903	1972-01-18	1	1	2021-11-06 01:34:57.726
27344	1984-10-17	1	2	2021-11-06 18:10:13.878
42148	1982-06-16	1	1	2021-11-06 09:13:04.732
19267	1968-09-08	3	2	2021-11-06 12:52:44.642
38215	1963-10-11	3	1	2021-11-06 16:39:12.127
28910	1997-10-21	2	1	2021-11-06 05:10:46.603
1037	1959-09-15	3	2	2021-11-06 07:00:53.676
15534	1956-11-15	3	2	2021-11-06 22:47:03.031
13167	1982-06-27	1	1	2021-11-06 20:22:16.996
34761	1950-11-04	2	1	2021-11-06 13:23:30.483
1785	1954-02-04	3	1	2021-11-06 07:18:25.123
14378	1981-12-22	1	2	2021-11-06 11:22:48.428
21463	1973-03-03	2	1	2021-11-06 21:38:27.150
1895	1973-02-16	3	2	2021-11-06 14:58:46.603
16169	2001-10-24	1	2	2021-11-06 14:26:28.809
20595	1996-07-06	3	1	2021-11-06 11:00:07.238
29288	1958-06-01	2	2	2021-11-06 06:37:11.816
20521	1950-02-20	2	1	2021-11-06 10:48:58.198
26223	1956-05-23	3	2	2021-11-06 17:12:53.864
21932	1960-03-17	2	2	2021-11-06 20:02:43.958
41698	1957-11-25	2	2	2021-11-06 14:00:22.135
18948	1955-02-27	3	1	2021-11-06 09:16:09.348
19690	2009-07-11	3	2	2021-11-06 22:20:48.937
2630	2002-12-26	2	2	2021-11-06 23:16:20.046
3925	1956-07-11	2	1	2021-11-06 18:02:31.156
44220	1956-08-15	2	1	2021-11-06 00:40:09.516
10210	1992-01-26	1	1	2021-11-06 11:28:35.313
1583	1995-01-06	1	2	2021-11-06 18:11:59.562
17815	1994-05-12	3	2	2021-11-06 16:27:55.897
41624	1996-08-20	1	2	2021-11-06 02:15:14.812
9893	1960-05-28	2	2	2021-11-06 12:38:38.301
17715	1952-01-29	3	2	2021-11-06 19:00:50.403
27144	1951-02-01	2	2	2021-11-06 10:43:49.581
10983	1953-08-23	3	2	2021-11-06 04:11:16.773
7368	2008-05-11	3	2	2021-11-06 18:35:21.452
36450	1968-04-05	3	2	2021-11-06 00:08:40.236
24084	1990-09-08	2	1	2021-11-06 01:36:22.786
20936	1991-02-17	1	2	2021-11-06 04:00:02.922
29443	1954-12-26	2	1	2021-11-06 04:07:06.686
34983	1956-12-31	1	2	2021-11-06 04:36:39.723
36287	1960-02-28	3	2	2021-11-06 06:31:56.701
31617	1956-09-24	2	1	2021-11-06 02:33:14.557
40664	1983-09-04	1	1	2021-11-06 02:28:37.846
3210	1951-09-09	2	2	2021-11-06 03:30:43.440
10471	1982-05-01	1	1	2021-11-06 21:48:20.640
31835	1978-01-13	1	1	2021-11-06 00:15:42.629
5774	1962-02-21	2	1	2021-11-06 10:33:36.808
4841	1996-11-07	3	2	2021-11-06 05:15:20.161
31435	1959-10-09	2	1	2021-11-06 06:36:41.880
29764	2005-04-05	2	2	2021-11-06 20:50:10.625
6496	1977-04-01	2	1	2021-11-06 07:04:07.894
9231	2008-12-11	3	2	2021-11-06 16:26:25.914
8685	1997-05-22	3	1	2021-11-06 17:23:07.306
9144	1997-10-25	1	1	2021-11-06 17:27:13.268
28927	1966-07-05	3	1	2021-11-06 23:34:11.191
30590	1976-12-19	3	1	2021-11-06 07:13:37.949
1724	1996-06-20	3	2	2021-11-06 12:14:41.290
8904	1981-03-21	3	1	2021-11-06 08:18:04.283
2011	1966-03-21	3	1	2021-11-06 05:44:09.659
22663	1996-05-14	2	2	2021-11-06 22:55:25.375
1717	2004-10-16	1	2	2021-11-06 22:44:35.553
10989	2003-05-15	2	1	2021-11-06 09:03:55.792
41971	1969-05-31	2	1	2021-11-06 10:21:35.362
22090	1969-11-11	2	1	2021-11-06 18:17:31.017
25219	1986-03-06	1	1	2021-11-06 22:47:28.501
30793	1983-08-23	3	2	2021-11-06 17:53:58.269
33930	2006-01-02	2	2	2021-11-06 16:44:54.557
30431	1996-06-23	1	2	2021-11-06 14:26:06.153
41036	1961-10-13	1	1	2021-11-06 12:56:12.920
20590	1980-08-20	1	1	2021-11-06 00:38:41.953
5581	1987-12-12	3	2	2021-11-06 12:27:42.499
1053	1977-05-25	2	2	2021-11-06 12:15:31.704
18053	2004-07-31	1	2	2021-11-06 21:00:38.964
1735	1956-07-07	3	1	2021-11-06 10:01:48.750
35724	2004-06-15	2	1	2021-11-06 00:26:23.058
26340	1978-08-01	2	1	2021-11-06 15:09:08.337
3493	1983-05-03	3	1	2021-11-06 03:48:11.912
41588	1953-04-07	1	2	2021-11-06 22:28:52.622
