userid	birthdate	profileLevel	gender	updatedTime
39121	2005-08-17	3	2	2021-11-07 11:07:50.325
7353	1965-02-01	2	2	2021-11-07 23:47:02.888
18809	1999-10-15	2	2	2021-11-07 00:35:03.100
21250	1958-06-20	1	1	2021-11-07 12:36:02.835
25207	1963-08-25	1	1	2021-11-07 06:31:46.261
35737	2002-05-31	2	2	2021-11-07 18:28:41.211
38126	1973-11-23	1	1	2021-11-07 23:17:54.005
37802	2002-10-24	2	2	2021-11-07 13:09:27.006
11313	1970-05-04	1	1	2021-11-07 22:17:47.074
29575	1978-01-08	2	1	2021-11-07 06:44:25.667
7540	1969-05-30	3	2	2021-11-07 09:35:17.941
32463	1963-07-22	3	1	2021-11-07 03:36:25.712
15976	1968-12-21	1	1	2021-11-07 02:06:09.759
33105	1974-06-02	2	1	2021-11-07 14:32:18.823
22196	1991-11-22	2	1	2021-11-07 11:14:30.541
10957	2001-11-13	3	1	2021-11-07 11:23:20.766
27316	1962-07-10	1	2	2021-11-07 21:48:00.556
29926	1988-05-01	1	1	2021-11-07 13:10:55.645
25039	1978-07-18	3	2	2021-11-07 12:03:09.155
40959	1951-10-03	2	1	2021-11-07 21:06:05.379
29458	1995-12-05	2	1	2021-11-07 13:29:17.872
28798	1983-10-04	3	2	2021-11-07 16:17:30.152
8948	1951-11-14	1	1	2021-11-07 14:13:37.033
30448	1950-06-26	3	1	2021-11-07 13:30:47.123
10223	1986-09-21	2	1	2021-11-07 03:21:29.737
31559	1970-02-13	2	1	2021-11-07 08:15:55.911
24216	2001-04-10	2	2	2021-11-07 08:41:31.410
39519	2009-03-21	2	1	2021-11-07 16:42:21.893
26819	2004-08-10	2	2	2021-11-07 20:55:41.326
21221	1976-03-13	2	2	2021-11-07 07:39:33.972
14422	1999-10-04	1	2	2021-11-07 06:31:50.570
5387	1968-04-06	2	1	2021-11-07 17:53:28.728
31421	2000-11-13	2	1	2021-11-07 23:20:59.393
20935	1952-05-11	2	1	2021-11-07 11:30:16.782
41390	2000-07-20	3	2	2021-11-07 06:51:28.350
44208	1950-11-03	1	1	2021-11-07 20:16:59.417
25680	1972-06-21	1	1	2021-11-07 04:27:06.983
2032	1983-07-06	2	2	2021-11-07 07:29:51.664
43258	2000-12-08	1	2	2021-11-07 15:48:19.654
44854	1974-10-17	3	2	2021-11-07 10:46:46.441
8346	1976-05-08	3	1	2021-11-07 12:29:27.504
42800	1996-04-04	3	2	2021-11-07 18:25:12.757
31797	2002-04-15	1	1	2021-11-07 00:12:11.897
32552	1985-01-26	2	2	2021-11-07 10:36:33.768
287	1965-04-16	3	2	2021-11-07 06:31:11.477
31607	1978-07-25	3	2	2021-11-07 03:31:22.286
7035	1950-03-13	1	2	2021-11-07 11:48:19.798
31008	2001-03-12	3	2	2021-11-07 13:24:47.672
42841	1953-08-14	1	2	2021-11-07 21:39:41.507
7978	2001-10-12	2	1	2021-11-07 04:25:33.520
2743	2006-08-23	2	1	2021-11-07 22:58:13.929
44686	1997-11-12	3	2	2021-11-07 13:17:35.619
18815	1960-09-25	2	1	2021-11-07 20:59:15.009
34919	1970-08-26	1	1	2021-11-07 23:31:23.064
20931	1990-01-20	1	1	2021-11-07 17:04:41.419
24179	2005-12-30	2	2	2021-11-07 08:47:09.460
44636	1975-05-24	1	2	2021-11-07 19:57:53.954
17377	1982-05-29	3	1	2021-11-07 12:57:09.228
36458	1980-05-03	3	2	2021-11-07 18:51:27.327
14382	1980-05-06	2	1	2021-11-07 07:00:04.797
35952	2008-12-24	3	2	2021-11-07 13:06:14.502
12687	1994-04-19	1	2	2021-11-07 04:23:21.030
10123	2008-11-08	3	2	2021-11-07 19:49:16.989
2009	1997-01-28	2	2	2021-11-07 17:33:14.243
24220	1980-03-04	2	2	2021-11-07 08:57:42.963
22529	1992-03-29	3	1	2021-11-07 20:21:09.920
22706	1964-04-28	2	2	2021-11-07 21:01:53.735
37021	1990-09-13	2	1	2021-11-07 04:25:04.322
14173	1984-06-05	3	1	2021-11-07 17:28:01.648
1627	1994-12-17	1	1	2021-11-07 17:05:55.075
22939	1986-03-26	3	2	2021-11-07 22:08:24.166
20490	1985-08-06	3	2	2021-11-07 13:29:32.343
28815	1967-11-15	3	2	2021-11-07 02:19:58.930
6699	1969-06-20	3	1	2021-11-07 00:57:52.171
