userid	birthdate	profileLevel	gender	updatedTime
30858	1991-02-12	3	2	2021-11-08 09:43:47.942
17735	2000-08-13	2	2	2021-11-08 02:02:12.963
35521	1995-06-02	1	2	2021-11-08 10:48:21.777
43887	1974-02-27	2	1	2021-11-08 23:27:48.254
12210	2004-05-14	2	2	2021-11-08 18:46:09.035
490	1982-03-03	3	1	2021-11-08 14:11:12.541
7059	2005-01-31	3	2	2021-11-08 03:48:37.707
762	1974-11-17	1	2	2021-11-08 13:22:20.296
17541	1951-10-26	3	2	2021-11-08 15:43:38.925
33276	2009-10-14	1	1	2021-11-08 15:01:21.545
34368	1965-12-14	3	2	2021-11-08 19:09:11.596
10535	1998-09-13	3	2	2021-11-08 01:56:32.480
2506	2005-10-30	2	2	2021-11-08 17:54:47.907
5371	1972-06-07	1	1	2021-11-08 16:01:05.654
17394	2005-02-19	1	1	2021-11-08 00:45:16.726
38228	2002-06-04	2	2	2021-11-08 05:08:25.514
39866	1984-08-31	3	2	2021-11-08 03:56:20.552
334	2003-09-17	2	1	2021-11-08 07:42:24.660
4755	1964-07-12	2	1	2021-11-08 21:54:49.682
39040	1953-01-19	2	1	2021-11-08 12:57:38.839
15600	1972-10-03	1	1	2021-11-08 01:23:39.342
43633	1992-12-13	3	1	2021-11-08 08:51:32.525
21669	1991-12-24	2	1	2021-11-08 06:10:33.761
35725	1979-02-19	2	1	2021-11-08 13:19:45.775
43788	1989-05-26	1	2	2021-11-08 19:53:16.427
34872	1981-01-04	2	1	2021-11-08 14:40:16.483
44796	1989-06-19	2	1	2021-11-08 11:03:33.199
28574	1974-11-05	2	1	2021-11-08 00:38:22.251
34136	1956-04-07	3	1	2021-11-08 05:41:02.670
35842	1965-11-01	1	1	2021-11-08 14:29:37.036
1937	1998-05-04	1	1	2021-11-08 22:31:54.186
3851	1972-12-05	1	1	2021-11-08 03:05:26.001
23600	2007-04-10	1	1	2021-11-08 10:09:31.445
9248	1965-07-31	2	2	2021-11-08 22:14:16.236
38997	1959-08-09	3	2	2021-11-08 06:48:13.383
26869	1987-01-27	1	2	2021-11-08 20:59:13.081
38054	1986-09-13	3	1	2021-11-08 06:58:21.040
15970	1989-10-10	1	2	2021-11-08 03:53:52.664
23369	1963-12-02	1	1	2021-11-08 22:37:46.145
29611	1982-08-12	2	1	2021-11-08 20:01:12.390
31446	1986-06-06	1	1	2021-11-08 22:35:09.092
8895	1959-01-25	3	1	2021-11-08 07:36:42.077
44326	1986-07-05	1	2	2021-11-08 13:19:40.696
23547	2006-03-09	3	1	2021-11-08 14:14:20.877
12041	1950-12-25	2	1	2021-11-08 22:24:51.391
3751	1986-08-21	1	1	2021-11-08 23:06:54.651
30997	1991-03-22	1	1	2021-11-08 16:41:02.024
2882	1974-08-08	3	2	2021-11-08 12:08:01.656
26742	2009-02-09	2	2	2021-11-08 13:11:16.301
