userid	birthdate	profileLevel	gender	updatedTime
4744	1972-11-27	1	1	2021-11-09 19:30:29.325
4249	1971-08-31	3	2	2021-11-09 13:20:06.284
37529	2005-08-26	2	1	2021-11-09 17:28:44.820
21288	1956-02-01	1	1	2021-11-09 00:29:23.368
17531	1986-12-24	3	2	2021-11-09 07:50:20.194
43362	1982-03-10	3	2	2021-11-09 23:45:09.807
14994	1998-06-06	1	1	2021-11-09 05:52:03.036
39973	1980-05-06	3	2	2021-11-09 09:52:00.603
20825	1972-12-27	2	1	2021-11-09 18:28:13.596
20568	1974-11-02	3	2	2021-11-09 22:07:25.198
43607	1978-11-01	3	1	2021-11-09 20:05:15.018
20443	1963-10-15	2	2	2021-11-09 20:09:17.704
42705	1971-08-14	2	2	2021-11-09 15:14:31.638
36478	2006-03-25	2	2	2021-11-09 18:41:37.620
18209	2003-09-20	1	1	2021-11-09 11:26:48.579
31730	1993-07-16	3	1	2021-11-09 03:44:54.758
20066	1998-01-22	2	1	2021-11-09 09:12:12.350
42140	1959-09-04	1	2	2021-11-09 14:17:29.639
42986	2004-09-25	1	1	2021-11-09 15:12:38.473
24578	1973-02-25	2	1	2021-11-09 07:12:04.442
31417	2009-08-17	2	1	2021-11-09 11:16:59.984
11645	1961-08-19	1	1	2021-11-09 07:59:26.757
38622	1995-01-31	3	1	2021-11-09 10:54:19.164
11384	2000-06-07	3	2	2021-11-09 01:35:46.989
4247	1996-03-27	1	2	2021-11-09 16:02:09.925
8755	1975-07-02	3	1	2021-11-09 07:41:22.561
12561	2004-01-18	3	2	2021-11-09 04:12:27.071
37449	1967-10-06	3	1	2021-11-09 22:35:47.490
19930	1986-11-21	3	1	2021-11-09 08:35:36.375
32725	2002-06-04	3	2	2021-11-09 07:21:35.965
35032	1965-01-21	2	2	2021-11-09 06:23:15.980
31105	1996-01-18	3	1	2021-11-09 21:23:49.904
7050	1977-05-30	1	1	2021-11-09 12:13:38.800
35912	1989-04-29	2	2	2021-11-09 16:21:19.109
6004	1991-02-02	2	1	2021-11-09 22:41:08.138
16186	1957-07-23	3	1	2021-11-09 15:46:15.286
14392	1970-08-05	3	1	2021-11-09 12:59:58.847
35265	1972-05-05	3	1	2021-11-09 10:26:42.280
32819	1974-06-21	3	1	2021-11-09 12:10:25.901
19557	1989-06-24	3	1	2021-11-09 22:41:49.245
38689	1997-01-22	2	2	2021-11-09 19:07:21.641
37691	2007-12-07	2	2	2021-11-09 20:59:29.448
934	1971-01-02	3	1	2021-11-09 03:26:01.660
179	1954-07-07	2	2	2021-11-09 08:14:57.156
5886	2000-11-20	3	1	2021-11-09 02:19:56.875
15883	1987-10-08	3	2	2021-11-09 20:30:24.087
26205	1978-09-10	3	1	2021-11-09 09:39:07.012
36870	1958-01-09	3	2	2021-11-09 13:07:15.655
12188	1973-12-05	3	2	2021-11-09 10:05:29.059
31769	2001-08-15	3	1	2021-11-09 07:57:31.457
4427	2000-05-03	2	1	2021-11-09 23:58:14.330
39247	2003-12-30	2	1	2021-11-09 21:12:17.696
17700	1969-08-10	2	2	2021-11-09 23:19:24.143
9270	1994-01-07	3	1	2021-11-09 01:32:26.337
23267	2006-10-01	2	2	2021-11-09 21:55:44.540
29467	1969-11-02	3	1	2021-11-09 17:31:29.103
11938	2009-07-10	3	1	2021-11-09 04:26:23.621
1930	1986-09-10	1	2	2021-11-09 23:40:25.378
