userid	birthdate	profileLevel	gender	updatedTime
19230	2000-07-26	1	1	2021-11-10 23:59:51.902
36791	1953-08-09	2	1	2021-11-10 10:59:19.875
33641	1987-11-27	2	2	2021-11-10 05:30:51.577
13010	1968-07-05	3	1	2021-11-10 20:46:10.023
44781	2004-03-24	3	2	2021-11-10 07:43:52.900
21734	1957-01-14	2	1	2021-11-10 22:26:23.412
38756	1964-06-11	3	1	2021-11-10 23:28:42.386
24013	1952-05-15	3	2	2021-11-10 07:39:48.270
8875	1954-08-30	1	1	2021-11-10 02:03:44.284
3703	1963-07-07	3	2	2021-11-10 16:58:36.626
20007	1962-04-04	2	2	2021-11-10 07:43:07.844
38504	1990-02-23	2	2	2021-11-10 00:29:23.355
19495	1970-02-17	1	1	2021-11-10 10:15:29.638
23785	1966-11-01	2	1	2021-11-10 05:26:52.342
14029	2005-11-08	2	2	2021-11-10 22:56:23.305
18972	1966-03-15	3	1	2021-11-10 09:44:27.714
34096	1985-01-15	3	1	2021-11-10 11:19:42.546
8304	1981-01-14	2	1	2021-11-10 22:41:00.549
7585	1956-12-07	3	1	2021-11-10 13:41:40.102
3052	1971-03-11	3	1	2021-11-10 16:30:54.165
34489	1979-06-02	3	2	2021-11-10 14:02:09.513
31846	2007-01-06	3	1	2021-11-10 17:51:21.580
40515	1982-05-14	2	2	2021-11-10 19:21:06.512
3460	1968-06-29	3	1	2021-11-10 01:12:17.550
2158	1968-12-30	1	1	2021-11-10 16:37:36.716
24116	1962-08-13	1	1	2021-11-10 23:18:12.441
31738	1950-06-23	3	1	2021-11-10 11:15:29.645
2280	1990-03-16	3	2	2021-11-10 12:58:50.307
16590	1983-09-30	2	1	2021-11-10 04:34:02.259
8247	2007-09-02	3	1	2021-11-10 22:46:55.201
17631	1968-09-21	3	2	2021-11-10 07:15:13.689
7316	1959-03-10	2	2	2021-11-10 04:13:02.783
41980	1995-03-14	2	2	2021-11-10 08:24:45.573
44077	2003-12-01	2	2	2021-11-10 15:55:05.278
15140	1969-09-28	2	1	2021-11-10 21:55:50.894
20927	1959-08-31	3	2	2021-11-10 18:15:43.111
10498	1964-01-03	2	2	2021-11-10 23:44:56.134
8157	1991-04-11	1	1	2021-11-10 05:34:17.667
20893	1971-08-20	2	2	2021-11-10 04:37:07.077
8383	1976-09-30	2	1	2021-11-10 01:48:55.763
26751	1998-01-29	1	1	2021-11-10 17:54:43.967
31614	1977-06-04	2	1	2021-11-10 17:25:05.742
9100	1952-01-19	3	2	2021-11-10 23:06:45.830
27732	1968-05-31	3	1	2021-11-10 12:41:10.441
28284	1950-04-21	1	2	2021-11-10 01:13:06.664
14166	1988-11-12	1	2	2021-11-10 08:11:52.936
33375	1992-12-10	2	2	2021-11-10 03:12:25.670
39008	1973-01-15	2	1	2021-11-10 19:58:59.615
32907	1979-09-22	1	2	2021-11-10 00:54:00.754
9374	1979-09-12	2	2	2021-11-10 12:42:15.523
23815	1968-09-21	2	2	2021-11-10 03:19:51.721
25975	1999-08-15	3	2	2021-11-10 22:39:01.903
15512	1995-12-13	1	1	2021-11-10 13:24:10.493
41530	1956-08-06	2	2	2021-11-10 05:26:33.055
25265	1989-12-27	1	1	2021-11-10 02:31:50.819
23937	1999-12-19	1	1	2021-11-10 03:16:38.637
42068	1967-09-16	3	2	2021-11-10 10:32:48.215
2764	1992-05-03	2	2	2021-11-10 19:49:36.862
9851	1953-06-19	3	2	2021-11-10 09:21:11.813
22134	1966-05-21	1	1	2021-11-10 17:21:26.097
41974	1986-01-12	1	1	2021-11-10 13:56:19.797
24138	1985-02-20	1	1	2021-11-10 20:44:33.556
32499	1974-05-30	1	2	2021-11-10 21:36:52.608
28141	1965-02-01	2	2	2021-11-10 07:39:56.605
24377	1953-08-15	3	1	2021-11-10 21:02:11.951
16747	1997-10-10	1	1	2021-11-10 07:52:26.254
3776	1979-09-11	1	1	2021-11-10 17:56:25.518
24194	1954-01-01	3	2	2021-11-10 07:42:07.775
6497	1993-11-26	3	2	2021-11-10 20:06:29.340
13315	1979-11-27	3	1	2021-11-10 20:39:28.056
5044	1974-11-27	1	2	2021-11-10 21:01:08.026
14922	1978-07-01	1	1	2021-11-10 23:00:35.367
19473	1980-03-11	3	2	2021-11-10 20:11:10.692
14631	1951-05-20	1	1	2021-11-10 20:09:22.847
27267	1954-01-11	1	1	2021-11-10 19:24:06.006
7003	1986-09-13	1	2	2021-11-10 21:03:19.807
8969	1960-12-27	3	1	2021-11-10 14:14:49.535
6237	1959-07-22	3	2	2021-11-10 16:31:50.719
41842	1950-04-22	3	2	2021-11-10 16:28:02.235
34286	1972-02-05	2	2	2021-11-10 03:57:03.882
18069	1977-12-21	1	1	2021-11-10 10:47:32.887
33769	1997-03-02	3	1	2021-11-10 22:54:13.519
16312	1966-03-30	3	2	2021-11-10 12:09:39.076
41391	1965-08-31	1	2	2021-11-10 14:13:12.354
11318	1982-08-26	3	2	2021-11-10 12:29:34.285
32259	1962-07-12	3	1	2021-11-10 22:13:23.290
14952	1954-01-23	3	2	2021-11-10 04:32:28.217
36041	1951-02-27	1	2	2021-11-10 23:53:33.934
44391	1975-02-02	3	2	2021-11-10 08:31:35.712
26534	1975-12-26	2	2	2021-11-10 21:44:09.784
9732	2003-08-11	1	1	2021-11-10 05:14:55.170
27174	1957-05-26	1	2	2021-11-10 20:38:36.122
44246	1962-09-14	3	1	2021-11-10 03:01:26.977
24560	1950-01-01	2	1	2021-11-10 02:14:04.529
14586	1955-06-14	2	2	2021-11-10 05:56:39.028
36420	2005-11-12	2	2	2021-11-10 03:49:25.718
22764	1977-06-01	3	2	2021-11-10 02:00:50.866
36500	1951-11-02	1	2	2021-11-10 02:27:45.847
37885	1982-12-02	1	2	2021-11-10 13:27:16.983
7179	1989-03-03	3	1	2021-11-10 16:37:45.738
29173	1998-04-21	2	2	2021-11-10 17:19:07.701
20308	1969-03-13	2	2	2021-11-10 00:12:16.389
41959	1993-11-09	3	2	2021-11-10 20:14:45.819
22664	1998-01-03	2	1	2021-11-10 13:09:05.636
10526	1994-03-29	3	2	2021-11-10 10:23:59.713
21586	2008-05-17	2	1	2021-11-10 03:14:41.004
28016	1950-07-07	1	2	2021-11-10 21:24:01.427
23968	2001-09-21	1	2	2021-11-10 23:15:18.663
42108	1963-01-06	3	2	2021-11-10 16:21:43.715
32375	2002-11-07	2	2	2021-11-10 03:58:10.240
38811	1979-04-11	3	1	2021-11-10 21:47:06.726
7399	1953-03-21	2	2	2021-11-10 02:30:19.307
34622	1990-08-02	3	1	2021-11-10 09:57:55.549
13140	1984-09-24	3	2	2021-11-10 06:42:13.876
30562	1988-09-21	3	1	2021-11-10 15:47:42.677
36689	1997-06-07	3	1	2021-11-10 19:50:46.425
41763	1959-04-21	1	1	2021-11-10 23:40:01.356
11708	2009-10-21	3	2	2021-11-10 09:06:52.947
7996	1950-11-07	1	1	2021-11-10 21:17:13.567
27599	1997-01-03	3	2	2021-11-10 12:39:49.112
29681	1965-10-15	2	1	2021-11-10 13:42:44.847
42735	1988-07-13	1	2	2021-11-10 17:23:45.555
41091	1980-07-17	1	1	2021-11-10 21:51:19.051
28778	2006-02-01	2	1	2021-11-10 20:21:59.289
37792	1951-04-08	2	2	2021-11-10 08:05:07.492
42515	2002-07-30	2	1	2021-11-10 09:43:42.202
33910	1982-01-12	2	1	2021-11-10 12:45:25.268
37169	1952-01-12	1	1	2021-11-10 20:19:54.491
27525	2003-12-12	2	1	2021-11-10 22:13:29.603
24290	1972-11-01	3	1	2021-11-10 06:06:32.594
29730	1987-11-17	1	2	2021-11-10 11:36:29.756
35178	2001-11-24	3	2	2021-11-10 17:22:57.803
37689	1966-03-06	1	2	2021-11-10 04:50:11.575
35736	1965-10-22	2	2	2021-11-10 14:45:54.206
25268	1994-10-08	2	2	2021-11-10 13:33:03.045
40351	2001-12-12	3	2	2021-11-10 07:55:28.719
31265	1995-10-26	3	2	2021-11-10 14:00:18.426
17826	1955-01-31	2	2	2021-11-10 19:37:48.448
