userid	birthdate	profileLevel	gender	updatedTime
29079	2004-03-29	3	2	2021-11-11 23:55:58.387
33879	1977-08-25	1	1	2021-11-11 06:05:46.516
28110	1955-09-27	1	1	2021-11-11 09:09:49.841
9686	1969-11-26	2	1	2021-11-11 09:13:50.227
35813	1991-11-02	2	2	2021-11-11 12:27:11.136
25	1987-04-01	3	1	2021-11-11 13:36:11.641
9702	1969-12-23	2	2	2021-11-11 10:05:47.995
7695	2003-12-02	2	1	2021-11-11 00:47:28.845
7987	1952-12-25	1	1	2021-11-11 08:07:39.150
24817	2001-07-12	2	2	2021-11-11 01:24:35.761
7492	1958-03-13	2	1	2021-11-11 05:39:39.396
27124	2000-09-13	1	1	2021-11-11 13:21:05.699
25738	1992-11-21	2	1	2021-11-11 03:40:06.372
34967	1961-07-20	3	2	2021-11-11 03:35:36.882
28885	1980-10-16	3	2	2021-11-11 14:15:48.458
32188	1963-09-03	3	1	2021-11-11 23:53:39.864
91	2006-02-03	1	2	2021-11-11 05:22:54.325
8056	2002-01-29	2	1	2021-11-11 01:12:18.589
22023	1980-10-26	1	2	2021-11-11 10:26:42.709
36459	2004-10-05	3	2	2021-11-11 04:43:30.933
2958	1954-12-22	3	1	2021-11-11 21:17:31.540
7423	1971-12-07	2	1	2021-11-11 13:33:54.300
13697	1998-04-08	3	1	2021-11-11 03:44:03.415
42491	1980-02-09	2	2	2021-11-11 10:24:37.853
44666	1951-10-26	1	1	2021-11-11 10:54:26.191
2345	1989-01-12	2	2	2021-11-11 03:26:46.706
5455	1975-01-25	3	2	2021-11-11 01:38:38.360
1942	1994-05-17	3	1	2021-11-11 15:17:42.046
6410	1961-11-07	3	1	2021-11-11 07:51:30.413
35291	1986-12-21	1	1	2021-11-11 19:33:02.744
21369	1989-11-12	2	1	2021-11-11 19:42:50.514
22292	1960-09-26	2	1	2021-11-11 20:15:04.224
2826	2007-03-15	3	2	2021-11-11 03:51:14.799
37094	1965-12-18	2	1	2021-11-11 15:52:42.260
4513	1977-01-13	3	2	2021-11-11 10:45:34.839
1615	2001-08-29	3	2	2021-11-11 19:38:39.518
35673	1965-09-19	2	2	2021-11-11 03:52:07.495
37225	1958-05-13	2	2	2021-11-11 10:31:55.287
12270	1964-04-09	3	1	2021-11-11 21:39:23.914
26409	1962-06-14	3	1	2021-11-11 14:45:35.897
20209	1980-12-15	3	2	2021-11-11 08:45:37.380
28137	1974-01-19	1	1	2021-11-11 16:45:46.127
31433	1963-05-10	1	1	2021-11-11 12:22:41.309
5752	1977-10-23	3	1	2021-11-11 12:24:48.841
21340	1965-06-29	3	2	2021-11-11 16:59:59.174
7687	1956-09-30	1	2	2021-11-11 20:05:06.804
15944	1959-11-07	3	1	2021-11-11 08:44:31.882
40313	1994-08-18	1	1	2021-11-11 08:02:40.140
10967	1951-05-28	1	1	2021-11-11 04:20:19.542
34365	1950-07-07	2	2	2021-11-11 19:09:07.178
37581	1990-11-19	2	2	2021-11-11 16:14:52.592
884	1954-08-21	2	2	2021-11-11 20:43:59.333
38101	2005-10-31	3	2	2021-11-11 22:42:47.040
35760	1954-06-27	1	1	2021-11-11 04:08:09.922
10158	1959-11-24	1	2	2021-11-11 00:22:11.428
18365	1985-03-23	3	1	2021-11-11 17:34:35.601
6891	1988-02-13	2	1	2021-11-11 11:47:30.603
11563	1982-09-12	3	2	2021-11-11 05:41:14.870
4483	1973-07-17	2	1	2021-11-11 13:50:51.705
23066	1966-03-25	1	1	2021-11-11 14:04:49.372
33183	1963-04-06	1	2	2021-11-11 04:25:46.085
16067	1984-12-06	1	1	2021-11-11 15:36:40.840
44280	1951-06-22	2	1	2021-11-11 10:42:54.410
41769	1991-10-18	3	2	2021-11-11 05:54:43.515
32379	2007-05-09	2	2	2021-11-11 10:17:06.930
23520	1959-05-23	3	2	2021-11-11 00:59:43.786
29570	1959-10-12	3	1	2021-11-11 12:47:04.348
14872	2003-08-06	3	2	2021-11-11 10:28:49.616
36973	2006-08-06	1	1	2021-11-11 08:13:28.396
36645	2003-10-15	2	2	2021-11-11 23:53:07.352
8606	1955-01-31	1	2	2021-11-11 08:36:18.557
23358	1954-06-07	2	2	2021-11-11 19:01:05.671
38110	1965-01-09	2	2	2021-11-11 12:10:10.012
11724	1985-06-03	3	2	2021-11-11 16:00:12.510
39786	1970-12-22	2	2	2021-11-11 06:51:16.782
1095	1976-07-02	2	2	2021-11-11 08:46:41.358
42914	1964-08-01	2	1	2021-11-11 15:46:17.792
9098	1961-06-29	1	2	2021-11-11 00:40:56.550
10311	1958-03-11	1	1	2021-11-11 06:51:15.946
16771	1953-07-22	2	2	2021-11-11 03:18:32.502
24515	2003-11-25	1	2	2021-11-11 06:47:42.964
43259	1987-11-14	2	2	2021-11-11 11:18:56.743
21379	1972-11-09	3	1	2021-11-11 14:36:04.739
26489	1989-09-05	2	2	2021-11-11 20:48:56.463
18534	2004-12-22	1	1	2021-11-11 23:29:46.140
20432	2003-08-04	3	2	2021-11-11 03:54:55.427
40071	1974-02-27	2	2	2021-11-11 11:25:45.122
44592	1966-07-18	3	1	2021-11-11 07:13:47.022
14317	2006-12-14	3	1	2021-11-11 06:09:49.189
5899	1987-02-05	3	1	2021-11-11 03:46:13.185
37225	2008-08-28	2	2	2021-11-11 01:43:44.928
10129	2000-07-20	3	1	2021-11-11 02:55:49.959
7108	1998-07-14	2	2	2021-11-11 23:30:28.641
33958	1955-05-17	1	1	2021-11-11 06:58:04.646
42139	2001-06-05	1	1	2021-11-11 19:11:11.675
37359	1980-09-20	2	1	2021-11-11 09:31:47.175
32333	2000-12-23	1	2	2021-11-11 23:10:09.043
17418	1974-01-12	2	1	2021-11-11 18:28:22.666
19997	1968-12-30	1	2	2021-11-11 16:55:09.508
42689	2003-09-25	1	2	2021-11-11 04:24:51.534
14111	1970-05-03	2	1	2021-11-11 01:31:35.244
17660	1990-01-05	3	1	2021-11-11 19:31:08.445
2662	1966-10-21	1	1	2021-11-11 17:30:30.659
14300	1987-01-19	1	1	2021-11-11 13:16:20.689
19354	2008-08-31	2	1	2021-11-11 12:21:42.243
27212	2005-04-27	2	1	2021-11-11 00:36:16.529
34746	2000-01-17	3	2	2021-11-11 12:04:38.913
25034	1951-01-17	2	1	2021-11-11 03:42:59.530
33593	1977-12-29	2	1	2021-11-11 21:14:32.082
35729	1972-06-13	3	1	2021-11-11 08:21:37.354
23219	1972-06-05	2	1	2021-11-11 15:40:08.133
20016	2007-04-27	2	2	2021-11-11 10:16:33.719
29964	1982-03-04	3	1	2021-11-11 08:36:35.113
29934	2009-08-28	1	1	2021-11-11 05:27:30.842
