userid	birthdate	profileLevel	gender	updatedTime
33699	1955-02-17	1	1	2021-11-12 00:44:00.121
23175	1990-05-07	1	1	2021-11-12 09:53:44.652
22832	1957-04-14	2	2	2021-11-12 02:10:58.498
17760	1961-11-21	3	2	2021-11-12 16:36:49.568
18190	1999-03-13	1	1	2021-11-12 19:41:31.808
31285	1970-11-26	1	1	2021-11-12 14:40:14.975
20288	2009-05-28	3	2	2021-11-12 22:06:50.621
34526	1977-10-17	3	2	2021-11-12 14:20:18.660
19815	1982-08-25	1	1	2021-11-12 21:18:17.130
42391	1993-04-08	2	1	2021-11-12 23:58:41.973
13019	1971-12-29	1	2	2021-11-12 14:24:17.892
6331	1959-12-10	1	2	2021-11-12 21:04:10.709
33896	2003-06-17	1	1	2021-11-12 14:54:58.579
44778	1952-08-09	3	1	2021-11-12 01:30:00.033
20826	2001-09-25	1	1	2021-11-12 14:36:14.723
23933	1987-10-26	2	1	2021-11-12 13:19:12.766
30591	2007-11-17	2	2	2021-11-12 19:42:40.819
23087	2002-11-20	3	1	2021-11-12 21:19:48.079
11602	1959-01-25	3	2	2021-11-12 16:21:37.910
16822	2002-04-18	1	2	2021-11-12 02:48:03.866
3179	1971-02-02	1	1	2021-11-12 20:16:27.018
26960	1995-03-04	1	1	2021-11-12 10:23:24.982
44956	1994-11-26	1	2	2021-11-12 19:22:56.265
22181	1991-01-22	1	2	2021-11-12 23:13:30.970
41668	1971-08-29	3	2	2021-11-12 16:04:17.088
39511	2009-09-11	1	1	2021-11-12 19:23:13.138
8651	1956-12-24	1	2	2021-11-12 15:07:03.070
15453	2008-07-19	1	1	2021-11-12 02:44:56.142
39446	1969-09-24	2	1	2021-11-12 10:56:12.246
11779	2004-12-05	3	2	2021-11-12 04:14:21.274
4148	1976-10-28	3	1	2021-11-12 08:42:29.548
8810	1965-10-15	3	2	2021-11-12 14:35:50.031
4111	2006-06-05	2	2	2021-11-12 23:40:19.701
32977	1958-01-04	3	1	2021-11-12 19:20:00.259
