userid	birthdate	profileLevel	gender	updatedTime
10689	1971-04-28	3	2	2021-11-13 15:26:10.984
22472	2000-06-25	2	2	2021-11-13 06:42:57.291
9824	1983-03-16	3	2	2021-11-13 10:55:01.404
13752	1974-01-20	1	2	2021-11-13 00:12:00.059
24219	1965-10-05	3	1	2021-11-13 20:14:12.395
21488	1970-02-21	2	1	2021-11-13 03:35:37.297
27995	1972-03-12	2	1	2021-11-13 05:23:29.348
7939	1953-02-08	3	2	2021-11-13 02:10:20.132
18893	1968-05-06	2	2	2021-11-13 17:05:52.183
17910	1999-05-09	2	1	2021-11-13 09:00:18.237
27920	1995-10-28	2	1	2021-11-13 09:47:42.219
19628	1966-06-30	3	1	2021-11-13 16:18:25.502
7420	1951-01-28	3	2	2021-11-13 09:26:00.413
36692	2004-09-30	3	2	2021-11-13 21:36:11.160
44815	1976-05-06	1	2	2021-11-13 11:02:18.890
6699	1952-11-03	3	1	2021-11-13 12:42:12.959
14322	1954-03-23	2	1	2021-11-13 13:57:04.719
37288	1952-11-23	1	1	2021-11-13 00:21:22.760
33399	1975-01-20	3	1	2021-11-13 16:04:47.659
12930	1987-06-28	3	1	2021-11-13 00:53:24.066
37250	1987-10-24	2	2	2021-11-13 19:17:58.178
35343	1962-11-14	1	2	2021-11-13 01:36:26.986
44826	1952-04-20	2	2	2021-11-13 01:51:46.270
21395	1987-04-25	1	2	2021-11-13 09:27:19.985
33091	1975-12-29	2	1	2021-11-13 07:15:18.122
28333	1961-07-08	1	1	2021-11-13 06:20:05.192
8370	1975-07-11	2	2	2021-11-13 20:29:36.882
8980	1954-09-15	2	2	2021-11-13 22:30:53.289
6995	2006-08-12	3	2	2021-11-13 14:49:56.732
24616	1984-02-08	1	2	2021-11-13 10:11:31.377
18908	1973-06-03	1	1	2021-11-13 05:26:16.827
37769	1984-11-29	3	2	2021-11-13 17:38:05.236
43181	1987-05-16	3	2	2021-11-13 22:38:41.090
23604	1990-09-17	2	2	2021-11-13 05:30:02.889
4632	1961-05-13	2	2	2021-11-13 12:09:34.763
29826	1957-06-24	3	1	2021-11-13 07:13:32.946
4657	1963-12-26	3	1	2021-11-13 17:29:56.805
16903	1962-09-08	3	2	2021-11-13 19:45:31.637
2479	1982-10-13	1	1	2021-11-13 02:30:14.225
11261	1996-03-25	1	1	2021-11-13 05:00:35.859
30516	1985-06-03	2	1	2021-11-13 19:53:19.794
7113	2004-08-19	1	1	2021-11-13 18:29:18.766
2963	1996-02-23	3	1	2021-11-13 21:09:25.201
37556	1967-09-13	3	1	2021-11-13 20:11:56.688
22488	1953-09-11	3	2	2021-11-13 02:27:35.675
32596	1982-07-08	1	1	2021-11-13 16:40:09.519
18950	1953-01-07	2	2	2021-11-13 17:31:09.404
40785	2007-09-09	2	1	2021-11-13 22:58:31.170
17726	2005-03-02	2	1	2021-11-13 23:11:33.918
41958	1958-09-20	2	1	2021-11-13 02:51:24.857
39967	1961-11-22	3	2	2021-11-13 23:29:10.185
17261	1978-04-08	1	2	2021-11-13 09:46:33.640
23267	1950-12-26	2	1	2021-11-13 13:02:27.788
19375	1984-01-10	2	2	2021-11-13 16:22:58.617
6648	2008-07-04	3	1	2021-11-13 21:18:55.170
39640	2007-09-28	3	1	2021-11-13 15:28:35.691
8690	1978-04-28	1	1	2021-11-13 20:56:04.656
17307	1966-06-17	3	1	2021-11-13 04:32:39.963
22622	1999-09-19	1	2	2021-11-13 23:35:30.365
6375	1955-02-01	1	2	2021-11-13 00:24:57.066
16343	1968-01-30	2	1	2021-11-13 11:33:06.488
17746	1964-02-25	1	1	2021-11-13 16:54:01.933
34706	2007-03-12	2	2	2021-11-13 20:37:05.553
14946	1989-12-17	2	2	2021-11-13 03:26:15.409
28354	1993-11-10	1	1	2021-11-13 23:06:26.247
1693	1983-07-03	2	2	2021-11-13 23:38:32.148
44998	1982-10-21	2	2	2021-11-13 03:17:08.024
37184	1998-12-09	3	2	2021-11-13 06:29:07.149
26571	1974-04-25	1	2	2021-11-13 07:07:28.422
37644	1960-06-09	1	2	2021-11-13 07:35:41.541
12518	1995-03-17	2	1	2021-11-13 00:25:13.627
16378	2005-03-23	1	1	2021-11-13 22:15:25.944
30645	1964-11-21	1	2	2021-11-13 08:22:23.934
15804	1984-07-27	3	1	2021-11-13 07:41:04.758
34348	1950-10-19	2	2	2021-11-13 20:03:48.706
32858	1961-08-18	2	2	2021-11-13 04:41:17.831
28182	1979-01-05	3	2	2021-11-13 01:16:24.792
42834	2002-02-26	2	2	2021-11-13 22:02:53.271
41399	2009-08-24	3	2	2021-11-13 11:25:11.829
21361	1969-05-20	3	1	2021-11-13 16:24:56.247
18350	1959-10-01	2	2	2021-11-13 14:12:10.418
36981	1954-02-18	3	2	2021-11-13 02:18:31.821
20586	1988-03-10	2	2	2021-11-13 22:15:14.855
5326	1958-03-20	2	1	2021-11-13 17:22:59.209
15211	2005-01-30	2	1	2021-11-13 16:04:50.792
6692	1955-10-02	3	1	2021-11-13 11:22:52.125
12662	1982-11-10	2	2	2021-11-13 04:12:34.856
19678	1976-03-22	3	1	2021-11-13 14:02:23.465
33593	2003-06-25	1	1	2021-11-13 22:30:21.693
6283	1976-01-18	3	2	2021-11-13 15:55:00.417
16925	1982-08-29	3	2	2021-11-13 10:44:14.772
44943	1953-01-20	2	2	2021-11-13 23:42:04.409
13454	1961-09-30	3	1	2021-11-13 23:57:44.452
16200	1969-11-25	1	2	2021-11-13 04:50:07.839
34103	1981-03-26	1	1	2021-11-13 09:51:44.405
40967	1952-10-20	2	1	2021-11-13 19:43:43.620
4869	1977-07-03	1	1	2021-11-13 16:48:44.718
8843	2006-12-05	1	1	2021-11-13 16:09:27.065
10791	1999-03-05	2	2	2021-11-13 20:33:50.864
33998	1976-10-09	1	2	2021-11-13 11:38:02.210
35355	1970-05-19	2	2	2021-11-13 01:32:50.655
16208	2008-05-02	2	2	2021-11-13 04:10:11.770
