userid	birthdate	profileLevel	gender	updatedTime
31071	1980-05-03	3	1	2021-11-14 14:15:48.027
24778	1990-01-15	3	2	2021-11-14 13:21:52.845
24962	1980-10-22	3	1	2021-11-14 11:57:22.834
15176	1972-08-30	2	2	2021-11-14 15:56:12.927
35245	1992-12-13	1	1	2021-11-14 17:46:58.026
25076	2008-04-08	1	2	2021-11-14 06:22:54.935
25282	1953-03-12	3	2	2021-11-14 10:06:32.063
39322	2005-09-13	1	1	2021-11-14 08:34:08.250
11803	2001-12-03	3	1	2021-11-14 19:13:24.126
6960	2004-05-30	1	2	2021-11-14 00:48:50.798
13009	1996-02-14	3	1	2021-11-14 21:47:18.007
5046	1999-09-25	2	2	2021-11-14 00:26:25.512
39074	1996-06-04	3	1	2021-11-14 18:37:43.145
31122	1980-09-17	1	2	2021-11-14 16:59:04.530
1556	1980-08-17	3	2	2021-11-14 11:54:39.405
24580	1958-10-13	1	1	2021-11-14 18:06:46.691
44778	2009-07-22	2	2	2021-11-14 12:58:15.440
15831	1991-05-05	1	2	2021-11-14 07:47:50.415
31455	1979-10-08	2	2	2021-11-14 07:41:07.272
4697	1985-12-19	3	2	2021-11-14 20:29:22.345
10793	1975-12-12	1	2	2021-11-14 00:13:34.504
10414	1984-11-16	2	2	2021-11-14 22:46:53.197
7035	1979-11-08	2	1	2021-11-14 04:57:01.968
20455	1957-05-12	2	1	2021-11-14 16:01:11.826
39569	1999-10-24	2	1	2021-11-14 19:09:59.618
43345	1980-04-17	2	2	2021-11-14 10:18:39.271
24179	1982-07-19	2	1	2021-11-14 14:50:07.802
17725	1979-07-16	2	1	2021-11-14 05:53:01.948
5418	1961-07-01	2	2	2021-11-14 02:40:20.937
36790	1991-02-24	2	1	2021-11-14 07:41:18.338
24202	1996-10-21	1	2	2021-11-14 12:06:18.830
27221	1966-10-24	2	2	2021-11-14 12:55:15.934
12313	2007-12-20	3	1	2021-11-14 12:23:16.989
33313	1996-08-03	2	1	2021-11-14 03:20:34.642
34749	1972-06-15	3	2	2021-11-14 20:17:32.758
19943	1986-12-31	2	2	2021-11-14 13:21:48.575
30121	1981-10-25	3	1	2021-11-14 09:43:15.850
39365	1952-01-21	3	2	2021-11-14 10:17:48.731
20066	1970-05-23	2	2	2021-11-14 21:20:17.389
15696	1974-09-11	3	2	2021-11-14 06:56:52.903
14074	1964-10-17	3	1	2021-11-14 02:41:56.818
32875	1997-03-19	3	2	2021-11-14 11:42:05.362
4500	1992-10-14	2	1	2021-11-14 12:21:00.289
16122	1998-07-20	3	1	2021-11-14 15:28:14.075
41409	1959-05-13	1	1	2021-11-14 19:38:31.234
34996	1976-04-13	1	1	2021-11-14 05:53:47.255
23758	1997-10-19	1	2	2021-11-14 20:17:38.376
40163	1953-01-23	2	2	2021-11-14 15:01:19.562
29326	1996-02-16	3	1	2021-11-14 20:03:32.164
41777	1960-06-21	1	1	2021-11-14 17:29:22.362
44590	2004-07-06	3	2	2021-11-14 00:03:35.389
4194	1962-04-24	2	1	2021-11-14 09:52:55.633
16720	1977-11-14	1	1	2021-11-14 13:11:30.610
12370	1990-03-04	2	2	2021-11-14 06:11:05.406
40503	1964-10-15	1	2	2021-11-14 16:23:19.965
7705	2004-10-23	3	2	2021-11-14 15:40:54.778
23998	1976-01-14	3	2	2021-11-14 15:23:37.036
32385	2005-07-13	2	2	2021-11-14 20:06:06.350
23277	1987-09-26	2	1	2021-11-14 09:49:25.649
28130	1984-06-16	2	2	2021-11-14 16:12:14.682
31882	1998-07-18	3	1	2021-11-14 11:03:36.230
