userid	birthdate	profileLevel	gender	updatedTime
20605	1998-12-10	3	1	2021-11-15 18:27:18.424
32980	1993-08-05	2	2	2021-11-15 14:39:32.626
1673	2000-06-21	3	2	2021-11-15 16:01:15.964
24453	1997-05-08	3	1	2021-11-15 03:12:41.786
34468	1963-11-08	3	1	2021-11-15 05:38:17.965
35413	1951-05-05	3	1	2021-11-15 14:17:40.354
17779	1967-07-29	1	1	2021-11-15 02:02:18.482
5957	1998-09-23	1	1	2021-11-15 07:35:38.484
6930	1965-01-04	1	2	2021-11-15 16:27:08.407
9686	2008-08-24	3	1	2021-11-15 05:52:17.244
37950	1985-11-18	1	1	2021-11-15 22:29:22.594
7228	1999-09-30	1	2	2021-11-15 03:02:46.174
8370	1968-09-11	1	1	2021-11-15 07:28:12.057
9821	1966-01-03	2	2	2021-11-15 04:12:31.989
37388	1970-08-13	2	2	2021-11-15 07:31:52.743
6837	1969-01-18	1	2	2021-11-15 01:56:37.232
16590	1970-12-06	1	1	2021-11-15 08:29:33.144
24567	1990-06-27	3	1	2021-11-15 10:42:14.050
2922	1956-09-23	1	1	2021-11-15 18:50:50.048
1301	1955-07-28	1	1	2021-11-15 09:52:22.115
24042	1994-06-12	2	2	2021-11-15 15:07:39.479
37617	1960-11-05	2	1	2021-11-15 04:21:29.705
12677	1981-12-04	3	2	2021-11-15 03:26:07.327
34480	1995-09-06	2	1	2021-11-15 15:09:42.330
7444	1959-06-07	2	1	2021-11-15 11:43:41.926
37362	1968-12-21	3	1	2021-11-15 17:53:38.979
29539	1966-05-04	3	2	2021-11-15 08:08:09.067
17871	1952-05-31	2	1	2021-11-15 21:07:18.658
30677	2009-10-27	3	1	2021-11-15 05:52:02.891
30517	1997-03-30	1	2	2021-11-15 03:33:49.687
9944	2003-03-20	2	2	2021-11-15 12:54:11.545
37890	1981-05-03	1	2	2021-11-15 15:59:08.337
19788	1985-09-08	1	2	2021-11-15 09:27:06.844
21003	1983-06-03	3	2	2021-11-15 14:48:01.117
4334	1977-06-06	1	2	2021-11-15 18:41:49.452
37361	1950-08-21	2	1	2021-11-15 23:47:00.078
44814	1995-07-06	1	1	2021-11-15 13:50:50.518
1803	1963-07-15	2	1	2021-11-15 17:34:44.171
19424	1979-11-13	1	1	2021-11-15 04:33:13.881
5743	2003-05-20	1	2	2021-11-15 10:49:25.774
7246	2007-02-02	3	2	2021-11-15 19:21:01.208
13268	1959-01-18	1	2	2021-11-15 18:56:26.410
31158	1975-04-08	2	2	2021-11-15 03:03:16.642
39433	1994-03-03	1	1	2021-11-15 13:37:23.488
41309	1973-12-25	3	2	2021-11-15 00:11:34.975
39100	1985-04-15	3	2	2021-11-15 12:40:47.598
40254	1975-09-19	3	2	2021-11-15 13:20:15.263
11532	1984-01-16	1	1	2021-11-15 20:18:27.070
28376	1968-12-19	3	1	2021-11-15 18:36:18.501
12921	1961-05-27	2	2	2021-11-15 05:39:36.435
17282	1962-08-01	2	2	2021-11-15 14:26:18.417
30755	1963-07-20	3	1	2021-11-15 17:14:55.819
9147	1979-07-20	3	2	2021-11-15 02:40:10.409
12094	1960-05-08	3	2	2021-11-15 15:45:44.842
28081	1987-01-17	2	2	2021-11-15 17:23:50.235
25956	1994-07-04	1	1	2021-11-15 11:59:31.559
29372	1974-06-21	3	2	2021-11-15 09:27:38.222
43968	2001-09-22	1	2	2021-11-15 04:31:43.461
40031	1957-09-08	2	1	2021-11-15 19:55:18.667
27002	1958-08-13	1	2	2021-11-15 04:22:42.844
44720	1984-11-15	2	1	2021-11-15 08:18:12.768
37260	2009-06-24	2	2	2021-11-15 18:34:25.954
17482	1964-06-22	1	1	2021-11-15 08:39:40.349
15530	1952-09-09	1	2	2021-11-15 09:32:11.035
284	1983-09-05	2	2	2021-11-15 15:21:48.215
23763	1953-09-02	3	1	2021-11-15 04:35:32.167
30822	1970-04-23	3	1	2021-11-15 20:34:43.756
331	1951-01-05	2	2	2021-11-15 18:35:26.895
2862	1951-06-08	3	1	2021-11-15 21:29:44.233
24188	1980-10-20	1	1	2021-11-15 19:39:48.081
4130	1974-11-29	3	2	2021-11-15 18:34:58.913
19428	2008-07-07	1	1	2021-11-15 21:44:32.412
31443	2003-10-14	3	2	2021-11-15 00:11:45.947
1717	1961-08-14	2	1	2021-11-15 03:05:40.436
12053	1981-12-12	1	2	2021-11-15 03:23:06.085
19037	1960-09-28	2	2	2021-11-15 18:38:19.599
25142	1966-05-30	1	1	2021-11-15 01:08:50.962
20026	2008-09-22	1	1	2021-11-15 07:17:33.042
44394	1964-01-07	1	2	2021-11-15 23:25:19.545
1212	1972-09-01	3	1	2021-11-15 15:27:45.803
32534	1976-12-29	2	2	2021-11-15 03:42:57.150
39920	1966-07-15	2	1	2021-11-15 10:02:33.976
14893	1995-04-30	3	2	2021-11-15 06:03:17.730
23501	1963-08-06	1	1	2021-11-15 06:01:48.921
783	1987-06-29	3	1	2021-11-15 10:44:12.882
9899	1964-01-04	2	2	2021-11-15 17:21:05.637
3082	1984-12-05	1	2	2021-11-15 21:31:21.090
16125	1957-05-14	3	2	2021-11-15 08:27:40.606
17142	1996-07-04	3	2	2021-11-15 17:16:57.926
9220	2008-12-01	1	2	2021-11-15 04:32:35.568
42797	1970-04-27	1	2	2021-11-15 17:42:29.833
24301	2002-11-15	2	1	2021-11-15 05:26:22.471
20411	1952-01-02	2	2	2021-11-15 09:12:22.073
21171	1955-07-23	3	1	2021-11-15 16:42:40.303
11146	1975-04-13	1	1	2021-11-15 06:36:23.411
6494	1996-10-05	3	2	2021-11-15 01:36:10.290
2935	1974-09-14	3	2	2021-11-15 12:10:34.761
22450	1966-06-07	1	2	2021-11-15 12:57:26.005
34991	2004-01-28	3	2	2021-11-15 07:33:21.110
44653	1980-12-17	1	1	2021-11-15 03:58:36.315
21589	2000-10-20	2	1	2021-11-15 18:07:32.662
12367	1968-08-26	3	1	2021-11-15 14:40:30.678
32448	1957-07-08	1	2	2021-11-15 02:44:23.299
37735	1970-02-28	2	2	2021-11-15 22:54:33.384
18017	1974-04-04	3	1	2021-11-15 10:30:29.547
29388	1952-02-26	1	1	2021-11-15 06:31:19.415
1620	1957-12-21	2	2	2021-11-15 04:33:33.150
33053	1975-08-22	1	2	2021-11-15 22:00:32.961
13418	2009-11-02	2	1	2021-11-15 17:57:58.866
42100	2006-01-13	3	2	2021-11-15 20:15:24.528
23122	1973-06-01	2	1	2021-11-15 20:35:19.140
21974	1972-04-23	1	1	2021-11-15 02:48:23.101
24360	1974-12-04	2	2	2021-11-15 01:39:55.562
28846	2002-05-14	1	1	2021-11-15 11:49:16.621
38176	2000-03-09	1	1	2021-11-15 18:14:36.622
38183	1993-02-16	1	1	2021-11-15 07:40:18.222
9653	1955-01-07	3	1	2021-11-15 18:09:14.021
23493	1963-09-01	2	2	2021-11-15 14:34:06.665
17709	1985-05-03	2	1	2021-11-15 04:32:39.451
29263	1985-04-19	3	2	2021-11-15 00:57:41.078
11333	1975-08-12	1	2	2021-11-15 01:53:22.893
16713	1969-10-21	1	1	2021-11-15 14:26:00.914
7351	2004-06-29	2	2	2021-11-15 16:02:12.916
43209	1974-11-03	3	1	2021-11-15 20:04:18.984
26730	1991-08-09	2	1	2021-11-15 16:52:49.527
2261	1989-09-11	2	1	2021-11-15 16:24:38.043
23516	2004-01-21	2	1	2021-11-15 15:40:49.385
17487	1997-08-26	2	1	2021-11-15 15:09:34.950
24897	1992-04-25	2	2	2021-11-15 21:17:56.355
44891	1968-02-02	2	1	2021-11-15 12:37:25.876
30035	2009-01-04	3	1	2021-11-15 14:39:10.181
10574	1958-05-28	1	1	2021-11-15 17:54:54.951
27213	1985-11-25	1	1	2021-11-15 15:33:15.995
37997	1950-10-17	3	1	2021-11-15 02:35:02.669
40845	1991-04-12	3	1	2021-11-15 19:40:12.060
35567	1963-12-08	1	2	2021-11-15 02:01:53.360
10139	1955-06-02	1	1	2021-11-15 23:11:17.584
39944	2008-01-10	1	2	2021-11-15 03:27:30.942
43601	1991-07-04	1	1	2021-11-15 14:57:35.491
20415	1951-09-10	3	2	2021-11-15 19:43:13.682
44154	2007-10-20	1	2	2021-11-15 05:59:31.475
24611	2000-02-15	3	1	2021-11-15 19:44:00.616
9137	1999-12-16	2	1	2021-11-15 13:36:14.403
31516	1980-07-03	3	1	2021-11-15 19:52:53.749
34293	2001-11-17	3	1	2021-11-15 19:18:36.613
40090	1952-09-07	1	1	2021-11-15 02:03:42.317
11597	1984-10-16	2	1	2021-11-15 17:39:43.870
16131	1963-07-24	2	1	2021-11-15 06:14:22.989
10510	1958-08-04	1	1	2021-11-15 04:04:39.918
18231	1963-02-11	3	1	2021-11-15 23:11:17.086
17460	1971-10-10	3	1	2021-11-15 13:41:05.083
43214	1964-06-21	2	1	2021-11-15 00:59:51.652
7318	2005-09-05	2	1	2021-11-15 04:24:47.368
32366	1969-07-20	3	1	2021-11-15 13:35:39.942
42897	1955-02-13	1	2	2021-11-15 09:25:39.702
42807	1991-08-20	2	2	2021-11-15 20:07:27.302
30873	1989-05-02	1	2	2021-11-15 10:14:34.023
40386	1996-01-29	3	2	2021-11-15 16:38:22.298
29168	2006-12-03	2	1	2021-11-15 14:30:13.208
35642	1975-02-21	2	2	2021-11-15 17:15:01.431
30352	1984-04-30	3	2	2021-11-15 09:07:40.382
34518	1963-09-16	1	2	2021-11-15 03:39:42.066
28764	1997-02-13	3	2	2021-11-15 03:29:57.495
12625	1979-01-06	3	1	2021-11-15 14:24:50.114
43839	1963-10-29	2	2	2021-11-15 06:02:22.083
