userid	birthdate	profileLevel	gender	updatedTime
23046	1992-11-13	1	1	2021-11-16 00:25:21.497
27903	1974-03-03	1	1	2021-11-16 07:14:34.641
1770	1999-11-26	2	1	2021-11-16 07:54:29.970
10421	1991-05-05	3	1	2021-11-16 02:52:50.298
31795	1991-08-15	3	1	2021-11-16 02:33:12.055
1600	1990-10-05	3	2	2021-11-16 00:41:35.955
25598	1953-09-18	1	1	2021-11-16 19:38:57.160
36203	1980-02-04	1	2	2021-11-16 14:58:45.252
23518	2003-08-01	1	2	2021-11-16 05:03:16.145
9996	1995-08-15	2	1	2021-11-16 02:08:02.784
38829	1979-08-03	2	2	2021-11-16 07:17:30.732
14321	1975-11-11	3	1	2021-11-16 09:17:34.705
37995	2002-01-30	3	2	2021-11-16 15:38:07.695
35890	1981-12-25	3	1	2021-11-16 11:07:22.839
1943	2008-04-06	1	1	2021-11-16 09:53:27.837
40627	2004-10-12	2	2	2021-11-16 01:44:30.431
17299	1985-04-05	2	1	2021-11-16 14:32:47.545
31812	1990-09-09	1	2	2021-11-16 05:04:31.926
27324	1998-03-11	2	2	2021-11-16 09:22:19.381
1268	1985-03-27	1	2	2021-11-16 03:16:09.009
19470	1958-02-25	2	2	2021-11-16 19:42:57.928
8203	1997-09-06	2	1	2021-11-16 17:10:44.015
43179	1986-06-03	3	2	2021-11-16 15:59:35.467
29497	1995-05-27	2	2	2021-11-16 18:02:11.384
43654	1999-12-30	2	1	2021-11-16 04:58:47.094
39900	1976-07-19	2	2	2021-11-16 01:07:28.951
23468	1952-07-24	3	2	2021-11-16 15:04:37.300
22007	1957-12-12	2	1	2021-11-16 22:30:40.543
3441	1951-06-05	3	1	2021-11-16 11:12:09.005
16340	1998-08-25	2	1	2021-11-16 00:09:35.895
37258	1995-12-07	2	2	2021-11-16 12:42:00.811
38107	1976-06-01	3	1	2021-11-16 19:51:47.141
21233	2005-02-20	2	1	2021-11-16 23:13:49.449
27492	1992-10-20	2	2	2021-11-16 08:41:14.259
23727	1986-03-14	1	2	2021-11-16 00:39:46.699
3	1991-11-07	1	1	2021-11-16 14:26:09.139
37485	1977-05-21	3	2	2021-11-16 13:36:06.254
19434	2009-05-07	1	2	2021-11-16 16:51:16.617
17164	1956-08-18	2	1	2021-11-16 11:39:19.204
32987	1953-04-20	3	1	2021-11-16 15:50:51.287
20565	1960-02-25	2	2	2021-11-16 00:04:50.907
5220	1957-01-28	3	1	2021-11-16 18:09:51.904
39003	1983-11-07	2	1	2021-11-16 21:53:00.980
10280	1950-09-22	2	1	2021-11-16 23:30:43.522
34839	2001-05-29	2	1	2021-11-16 00:06:48.984
15726	1993-06-02	3	2	2021-11-16 20:21:34.006
38204	1975-04-13	2	2	2021-11-16 22:00:51.292
36899	1996-12-29	1	1	2021-11-16 04:56:17.554
1048	1951-06-18	2	2	2021-11-16 05:17:27.903
4143	2005-08-21	3	2	2021-11-16 01:37:15.833
7820	1979-02-25	2	1	2021-11-16 10:50:15.941
43964	2006-04-09	3	1	2021-11-16 17:50:08.494
42299	1989-07-17	1	2	2021-11-16 11:09:30.794
36218	1967-10-01	1	2	2021-11-16 18:34:05.986
34897	1996-07-18	2	2	2021-11-16 07:49:09.964
16250	1977-07-23	1	2	2021-11-16 22:07:18.831
14676	1998-04-12	2	1	2021-11-16 16:13:26.593
31055	1951-02-05	2	2	2021-11-16 07:42:46.697
31439	1999-01-03	3	2	2021-11-16 14:54:47.599
36780	2005-11-24	2	2	2021-11-16 01:19:48.778
30261	2006-01-25	1	2	2021-11-16 13:48:11.229
42013	1987-02-23	3	2	2021-11-16 15:00:51.233
36452	1980-05-08	3	2	2021-11-16 07:23:41.534
39780	1954-12-16	1	2	2021-11-16 23:48:35.804
24952	1979-03-31	1	2	2021-11-16 00:53:01.399
12896	1997-08-27	3	1	2021-11-16 19:47:51.357
16586	2009-11-18	2	1	2021-11-16 17:49:33.589
42932	1986-03-13	2	1	2021-11-16 00:03:49.989
18152	1987-11-08	2	2	2021-11-16 04:57:08.212
8741	1969-03-13	3	1	2021-11-16 05:46:03.587
18134	1980-01-03	2	2	2021-11-16 20:35:28.511
34741	1969-07-17	2	2	2021-11-16 20:57:01.466
13698	1987-10-31	2	2	2021-11-16 16:01:52.996
23667	2000-06-02	1	1	2021-11-16 04:30:47.530
14762	2005-03-27	1	2	2021-11-16 16:50:52.242
32850	1955-08-10	2	2	2021-11-16 21:48:42.327
28171	1952-12-26	1	1	2021-11-16 09:49:11.179
28043	1957-12-01	1	2	2021-11-16 09:51:11.486
34395	1951-10-25	1	2	2021-11-16 01:31:12.752
40264	1981-12-22	3	2	2021-11-16 23:13:02.393
44170	1978-03-21	3	1	2021-11-16 03:15:24.894
4093	2009-07-06	3	2	2021-11-16 09:15:23.008
38925	1997-03-24	1	2	2021-11-16 08:49:13.209
5299	1950-07-27	2	1	2021-11-16 00:26:41.226
40216	2007-05-18	3	2	2021-11-16 05:05:19.580
15158	1950-12-03	2	1	2021-11-16 23:36:45.707
453	1957-11-19	1	1	2021-11-16 21:08:53.543
38292	1986-01-17	2	2	2021-11-16 16:56:42.108
37958	1960-04-20	2	1	2021-11-16 08:25:05.245
15578	1998-10-29	2	1	2021-11-16 22:31:02.541
42900	2003-09-05	3	1	2021-11-16 19:57:46.531
23845	1963-04-21	1	2	2021-11-16 11:21:39.060
31213	1994-02-23	1	2	2021-11-16 20:59:28.204
3772	1952-11-24	1	1	2021-11-16 14:07:44.888
1832	2008-01-16	2	1	2021-11-16 22:01:03.779
18016	1951-03-20	2	1	2021-11-16 00:34:45.045
747	2007-01-18	2	1	2021-11-16 04:31:35.180
36767	1956-09-29	1	2	2021-11-16 07:55:10.013
36718	1968-12-22	2	2	2021-11-16 08:03:26.914
38081	1950-07-02	2	2	2021-11-16 09:45:45.662
5997	1951-01-04	3	1	2021-11-16 02:16:59.786
13205	1961-07-21	3	2	2021-11-16 17:33:23.959
39100	2002-08-28	1	2	2021-11-16 18:51:49.855
17240	1970-06-04	2	1	2021-11-16 22:51:29.202
438	1974-04-29	2	2	2021-11-16 16:57:32.900
32585	1996-07-13	1	1	2021-11-16 19:53:30.766
1374	1982-10-30	2	2	2021-11-16 17:30:23.576
34936	1958-11-08	3	1	2021-11-16 11:54:45.139
40229	2005-01-28	3	2	2021-11-16 15:10:48.124
8785	1961-01-19	1	2	2021-11-16 08:12:19.235
23679	1991-04-17	3	2	2021-11-16 00:14:55.794
30710	1974-10-03	3	1	2021-11-16 15:16:01.504
7066	2009-10-04	3	1	2021-11-16 12:29:19.923
32835	1954-01-10	3	1	2021-11-16 10:32:37.245
28345	1957-09-08	2	1	2021-11-16 06:26:09.171
37969	1954-05-10	3	1	2021-11-16 06:21:24.311
40289	1988-11-27	3	1	2021-11-16 00:07:02.050
22301	1973-05-13	3	2	2021-11-16 05:29:07.692
4600	1966-03-27	3	1	2021-11-16 20:12:11.229
40150	1967-10-03	2	1	2021-11-16 21:12:55.243
23541	1962-06-12	1	2	2021-11-16 14:14:50.783
17490	1959-09-18	1	1	2021-11-16 13:39:48.450
