userid	birthdate	profileLevel	gender	updatedTime
33286	2005-12-29	3	2	2021-11-17 18:37:06.442
27122	1969-07-20	3	2	2021-11-17 10:13:05.615
23838	1970-09-19	1	2	2021-11-17 00:58:15.394
16553	2004-05-09	1	1	2021-11-17 08:01:01.411
30280	1992-05-08	1	2	2021-11-17 03:34:06.012
18509	1992-08-01	1	1	2021-11-17 21:59:42.491
32702	1954-03-28	3	1	2021-11-17 14:09:04.414
24461	1996-05-18	1	1	2021-11-17 20:35:09.709
24659	1974-06-28	1	2	2021-11-17 13:56:14.360
3731	1969-05-27	1	1	2021-11-17 13:29:14.950
23445	2008-03-01	3	2	2021-11-17 01:10:27.137
30046	1971-06-09	1	2	2021-11-17 02:34:26.699
38532	1981-06-08	1	1	2021-11-17 12:40:09.581
44569	1996-06-13	3	2	2021-11-17 10:38:39.037
28112	1989-02-08	1	2	2021-11-17 15:19:04.191
1178	2009-07-12	1	2	2021-11-17 06:38:03.332
16145	1954-05-03	2	1	2021-11-17 11:34:07.025
1955	1969-05-05	1	2	2021-11-17 12:46:09.484
5036	2004-10-28	3	2	2021-11-17 09:00:20.007
26113	1967-07-16	3	1	2021-11-17 01:44:48.852
27360	1985-04-14	3	2	2021-11-17 21:59:04.694
12218	1952-02-29	1	1	2021-11-17 04:48:45.348
32959	1996-09-22	2	1	2021-11-17 07:03:57.497
16623	1961-10-01	3	2	2021-11-17 04:47:29.770
4955	1984-07-19	2	1	2021-11-17 19:03:47.883
28200	2003-01-25	3	2	2021-11-17 23:22:01.814
22655	1957-05-25	3	2	2021-11-17 07:47:48.724
26445	1988-10-13	1	1	2021-11-17 13:34:16.738
35302	1997-05-18	3	2	2021-11-17 06:04:40.463
26784	1950-08-11	1	1	2021-11-17 10:18:09.373
44759	1966-01-06	1	1	2021-11-17 12:31:10.598
1670	1978-11-25	3	1	2021-11-17 23:30:20.143
7409	1984-03-29	1	1	2021-11-17 16:01:13.524
22459	1964-10-11	1	1	2021-11-17 01:47:39.801
30849	2002-10-23	3	1	2021-11-17 18:53:46.819
22023	1953-10-29	3	2	2021-11-17 09:11:56.334
38935	1961-03-22	3	1	2021-11-17 18:57:39.645
21353	1991-05-10	3	2	2021-11-17 22:21:25.781
19959	1991-08-14	2	1	2021-11-17 08:09:33.789
28374	1975-12-09	1	2	2021-11-17 17:00:34.876
36671	1959-05-25	1	1	2021-11-17 11:16:52.978
31984	1965-05-15	1	2	2021-11-17 14:31:20.966
3670	1978-04-28	3	1	2021-11-17 18:38:21.219
20790	1997-02-14	2	2	2021-11-17 01:12:22.178
13765	1957-02-18	2	1	2021-11-17 07:45:25.736
17800	1987-04-04	1	1	2021-11-17 00:33:11.466
44342	1952-12-11	3	2	2021-11-17 13:37:45.649
26867	1995-06-17	3	1	2021-11-17 08:02:14.064
43228	1975-09-09	3	1	2021-11-17 02:32:49.059
37628	1989-02-26	1	2	2021-11-17 07:19:56.461
38574	1966-12-25	3	1	2021-11-17 20:09:44.670
10814	2000-10-30	2	1	2021-11-17 05:49:20.850
39807	1968-05-02	1	1	2021-11-17 12:54:04.882
29380	1967-04-19	3	1	2021-11-17 05:47:47.206
12870	2009-10-10	2	1	2021-11-17 13:32:20.012
2690	1981-06-25	3	2	2021-11-17 20:15:22.111
36084	1999-08-17	1	1	2021-11-17 11:40:31.060
40114	1992-08-01	1	2	2021-11-17 13:02:26.177
36373	1986-06-29	3	2	2021-11-17 02:57:53.346
43658	2002-05-26	2	1	2021-11-17 19:16:11.490
21989	1953-02-13	1	2	2021-11-17 19:09:12.179
15910	1987-10-18	3	1	2021-11-17 23:18:25.171
8325	1998-08-02	3	2	2021-11-17 11:24:44.473
35489	1978-07-26	2	2	2021-11-17 19:24:56.379
31966	1975-05-15	2	1	2021-11-17 16:53:35.395
21993	1962-07-20	3	2	2021-11-17 11:36:59.269
16715	1984-01-03	1	2	2021-11-17 22:50:51.469
28179	2005-02-18	2	2	2021-11-17 20:25:56.280
15968	2006-01-07	2	1	2021-11-17 13:01:11.426
27931	1978-04-20	3	2	2021-11-17 16:12:58.480
27384	1984-11-13	3	1	2021-11-17 11:33:08.883
38508	1961-10-29	3	1	2021-11-17 00:56:23.510
30431	2001-06-29	1	1	2021-11-17 06:39:02.114
13320	1951-12-02	1	2	2021-11-17 17:49:12.079
33290	1973-10-09	1	2	2021-11-17 20:09:54.176
21348	1982-05-27	1	1	2021-11-17 00:20:20.359
9065	1957-02-01	3	1	2021-11-17 07:01:25.253
24228	1983-04-20	2	2	2021-11-17 00:57:49.109
16973	1957-01-29	3	1	2021-11-17 06:15:38.093
480	1954-02-19	2	2	2021-11-17 18:14:09.365
31744	1974-07-07	2	2	2021-11-17 02:57:23.503
37708	1988-09-25	1	1	2021-11-17 01:38:45.023
37312	1961-01-21	2	1	2021-11-17 21:09:09.875
33302	1980-07-05	1	2	2021-11-17 07:53:04.628
15079	1997-06-15	3	2	2021-11-17 08:46:55.049
43934	2005-08-27	3	2	2021-11-17 00:19:48.816
