userid	birthdate	profileLevel	gender	updatedTime
12036	1998-09-30	1	2	2021-11-18 16:00:44.537
37522	1997-02-21	1	2	2021-11-18 09:34:31.618
42422	1999-03-21	3	2	2021-11-18 00:43:48.358
11482	1972-02-16	1	2	2021-11-18 01:00:49.141
35555	1971-10-15	1	2	2021-11-18 05:09:57.340
4596	2006-05-22	1	1	2021-11-18 18:26:32.674
17589	1956-09-20	2	2	2021-11-18 02:32:35.594
13181	1974-03-08	1	1	2021-11-18 04:26:05.691
13762	1971-08-29	3	2	2021-11-18 14:36:18.200
16998	1983-06-24	3	1	2021-11-18 14:47:16.226
21537	1961-01-08	2	2	2021-11-18 14:59:38.276
43140	1961-01-03	3	1	2021-11-18 06:32:42.083
34766	1961-08-21	1	1	2021-11-18 12:25:43.235
34025	1978-08-01	1	1	2021-11-18 21:27:44.618
21880	1962-02-03	3	1	2021-11-18 02:56:48.412
3936	2006-07-03	3	2	2021-11-18 12:18:09.050
30354	1965-08-01	3	2	2021-11-18 14:21:05.661
33365	2007-09-08	1	2	2021-11-18 13:11:48.804
10427	1989-04-15	3	2	2021-11-18 16:17:43.936
26877	1967-02-12	1	1	2021-11-18 22:45:57.089
4865	1991-01-22	3	2	2021-11-18 21:16:01.971
26729	1960-09-16	1	2	2021-11-18 01:08:35.772
31666	1973-12-14	1	1	2021-11-18 09:19:25.004
10207	1977-06-10	1	2	2021-11-18 19:21:25.942
41108	1974-03-13	3	2	2021-11-18 07:21:53.424
17877	1964-01-13	2	1	2021-11-18 19:18:33.162
32613	1952-02-18	2	1	2021-11-18 04:48:52.646
28394	1990-09-02	3	1	2021-11-18 18:40:28.978
2210	1957-06-18	2	2	2021-11-18 04:05:35.975
25101	1953-04-18	2	2	2021-11-18 15:53:58.628
37562	1996-11-13	1	1	2021-11-18 20:56:18.387
9859	2001-08-20	3	2	2021-11-18 09:02:56.130
34274	1996-12-27	3	1	2021-11-18 10:30:32.478
20096	1964-12-06	3	1	2021-11-18 00:34:24.320
41164	1951-05-10	1	1	2021-11-18 14:30:39.297
23361	1972-04-02	3	2	2021-11-18 10:06:36.459
12114	1979-04-03	3	1	2021-11-18 00:38:39.763
17811	1957-07-21	3	1	2021-11-18 23:41:22.592
17475	1994-03-15	1	2	2021-11-18 15:37:57.711
16774	1998-09-10	2	2	2021-11-18 21:34:14.427
13501	1998-12-23	3	2	2021-11-18 20:38:49.130
9323	1992-09-16	3	1	2021-11-18 07:33:21.122
39628	1992-09-17	2	1	2021-11-18 21:29:56.065
39283	1965-07-29	3	2	2021-11-18 10:05:34.427
15549	1997-10-24	1	2	2021-11-18 22:08:00.709
41611	1960-11-05	2	2	2021-11-18 07:41:17.116
30288	1997-03-21	1	1	2021-11-18 07:53:05.305
13100	1983-08-23	1	2	2021-11-18 15:53:02.082
12601	2005-01-13	2	1	2021-11-18 11:01:34.180
6706	1998-05-20	3	2	2021-11-18 01:49:09.827
27121	1997-08-13	1	1	2021-11-18 14:25:34.301
10287	1950-02-28	2	1	2021-11-18 19:21:24.507
33417	1965-04-22	3	2	2021-11-18 08:57:17.817
20235	2007-08-26	2	2	2021-11-18 05:26:42.284
6966	1989-09-23	3	2	2021-11-18 10:46:25.465
8810	1956-03-03	3	2	2021-11-18 19:42:00.654
3599	1994-01-14	2	2	2021-11-18 21:58:11.181
34931	1954-07-13	2	2	2021-11-18 05:01:06.820
11144	1989-01-28	1	1	2021-11-18 01:27:25.224
8324	1972-01-24	2	1	2021-11-18 11:00:08.180
4759	1965-07-03	2	1	2021-11-18 18:47:03.870
4069	1987-10-08	3	2	2021-11-18 06:35:03.315
32534	2008-11-06	3	1	2021-11-18 02:30:06.861
28934	2005-07-14	2	2	2021-11-18 23:56:14.244
41528	1963-05-01	1	2	2021-11-18 19:25:28.473
24815	1974-04-06	2	2	2021-11-18 15:09:43.653
20831	2005-03-21	1	1	2021-11-18 13:17:26.090
33411	1972-02-07	2	1	2021-11-18 08:13:28.457
39372	1972-01-26	2	1	2021-11-18 08:19:24.737
8012	1968-05-28	3	1	2021-11-18 12:21:28.534
900	1991-11-26	1	1	2021-11-18 19:24:24.512
44031	1953-02-22	1	1	2021-11-18 06:40:44.172
17649	1950-06-27	2	2	2021-11-18 22:09:17.804
21244	1957-06-25	1	1	2021-11-18 12:51:26.132
15098	1982-06-05	3	1	2021-11-18 03:23:15.854
20933	1968-02-19	3	2	2021-11-18 22:34:30.734
5180	1960-09-11	2	2	2021-11-18 15:23:15.209
18903	1993-11-21	1	1	2021-11-18 15:12:09.397
22562	1968-02-06	3	2	2021-11-18 08:26:32.111
23866	1965-12-16	3	2	2021-11-18 02:33:52.751
10590	1973-04-24	2	1	2021-11-18 11:37:17.142
30936	1977-09-26	3	1	2021-11-18 21:21:24.554
8662	1999-03-27	1	2	2021-11-18 10:29:59.401
10250	1961-09-27	3	1	2021-11-18 13:11:32.073
26863	1960-07-25	1	2	2021-11-18 01:04:31.618
42716	1956-06-24	3	1	2021-11-18 02:22:49.015
7440	1971-05-12	2	2	2021-11-18 16:12:49.423
30025	2006-07-10	2	2	2021-11-18 05:18:07.845
9995	1996-02-03	3	2	2021-11-18 20:33:39.663
16348	1991-01-16	2	1	2021-11-18 21:02:22.366
14084	1986-07-12	3	2	2021-11-18 08:13:20.508
12139	1973-01-31	3	2	2021-11-18 06:12:17.812
18320	1978-01-27	1	2	2021-11-18 18:01:29.871
9300	1997-03-29	1	1	2021-11-18 15:38:17.675
13236	1978-10-21	2	1	2021-11-18 11:04:24.017
28601	1993-12-18	1	2	2021-11-18 18:46:50.489
22964	1980-04-25	1	2	2021-11-18 16:38:12.232
39920	1974-04-10	3	1	2021-11-18 22:25:44.648
20903	1985-07-09	2	2	2021-11-18 02:26:02.144
10179	2008-03-13	3	1	2021-11-18 12:13:34.219
14446	1951-01-30	1	2	2021-11-18 08:07:32.487
33914	2002-03-15	1	1	2021-11-18 14:43:14.391
23232	1951-06-11	3	1	2021-11-18 22:59:11.982
4866	1978-11-19	1	1	2021-11-18 22:39:42.040
22050	1994-11-11	1	1	2021-11-18 03:22:54.149
18765	1962-06-14	2	2	2021-11-18 10:50:44.822
42629	1981-07-08	2	2	2021-11-18 02:49:42.377
2105	1968-08-21	2	2	2021-11-18 12:43:46.148
20026	1994-02-09	1	2	2021-11-18 03:48:41.415
33076	1956-09-22	3	2	2021-11-18 19:23:52.292
8392	1990-05-03	1	1	2021-11-18 16:05:20.689
39905	2003-02-18	1	2	2021-11-18 11:20:42.390
39657	1984-02-21	1	1	2021-11-18 07:17:39.118
38181	1954-04-05	2	2	2021-11-18 12:13:00.055
21030	1963-12-03	2	2	2021-11-18 21:07:54.779
37785	1998-12-11	2	1	2021-11-18 21:09:20.216
17805	1975-10-20	3	1	2021-11-18 07:30:47.167
35055	1999-09-12	1	1	2021-11-18 23:37:03.293
3481	2006-04-28	3	1	2021-11-18 17:24:52.517
28343	1969-08-26	2	1	2021-11-18 13:14:01.399
36365	1973-11-07	1	1	2021-11-18 04:01:41.686
22386	1977-12-06	1	1	2021-11-18 19:16:13.299
20078	1981-12-15	2	2	2021-11-18 10:12:53.982
44821	1978-07-08	2	2	2021-11-18 03:34:26.496
42254	1980-12-10	1	2	2021-11-18 14:25:43.110
34520	1971-03-12	1	2	2021-11-18 20:55:21.075
28050	1971-09-20	3	1	2021-11-18 15:58:23.861
34606	1959-04-03	3	2	2021-11-18 20:23:07.067
6617	1960-10-30	3	2	2021-11-18 22:47:23.685
19086	1987-09-19	3	1	2021-11-18 18:09:47.993
40774	1978-07-16	3	1	2021-11-18 21:47:27.676
3705	1978-06-12	1	1	2021-11-18 09:25:40.195
11282	2004-04-05	2	2	2021-11-18 03:28:59.780
16031	1962-07-14	1	1	2021-11-18 13:42:45.734
14398	1970-11-04	1	1	2021-11-18 08:31:09.437
13320	1965-04-22	2	1	2021-11-18 02:06:43.277
6110	1967-04-27	3	1	2021-11-18 03:21:20.035
13903	2004-07-28	2	2	2021-11-18 16:36:35.627
39298	1959-03-09	1	1	2021-11-18 11:05:12.612
5390	1972-10-25	1	2	2021-11-18 03:27:41.834
32267	1968-06-16	2	2	2021-11-18 15:50:14.994
17651	2007-03-08	2	1	2021-11-18 03:41:11.887
17371	1956-09-08	1	1	2021-11-18 19:57:23.040
34939	1960-05-20	1	1	2021-11-18 00:08:53.240
22426	1975-07-31	2	1	2021-11-18 07:06:08.003
9720	2001-11-08	1	2	2021-11-18 04:26:21.599
36142	2004-03-23	3	2	2021-11-18 00:23:25.610
33438	1998-04-23	1	2	2021-11-18 09:02:42.615
2039	1975-08-21	1	1	2021-11-18 11:03:54.341
43739	1950-08-02	2	2	2021-11-18 15:38:30.404
33677	1950-02-25	1	2	2021-11-18 18:54:19.739
29839	1978-08-19	2	1	2021-11-18 11:18:00.630
34232	1989-02-14	3	2	2021-11-18 13:38:48.745
27800	1980-11-26	3	2	2021-11-18 16:36:57.157
12871	1986-03-28	1	1	2021-11-18 14:47:31.932
30820	1967-08-31	3	2	2021-11-18 17:59:18.386
33666	1973-08-01	3	1	2021-11-18 03:00:15.652
39723	1967-07-15	1	1	2021-11-18 06:25:52.885
26752	1956-04-07	1	1	2021-11-18 04:58:20.504
15314	1951-03-17	3	2	2021-11-18 01:26:29.019
8953	1998-03-28	1	1	2021-11-18 14:48:10.271
37226	2009-06-21	2	2	2021-11-18 05:43:18.903
13539	1981-10-26	2	2	2021-11-18 06:18:37.961
6791	1969-03-08	2	2	2021-11-18 16:08:04.689
42546	2007-12-26	2	2	2021-11-18 01:48:56.847
14625	2004-07-24	1	2	2021-11-18 13:43:57.993
18818	2000-01-18	2	2	2021-11-18 17:13:52.473
1070	2004-04-27	3	2	2021-11-18 21:47:17.221
36440	1998-01-20	1	1	2021-11-18 18:18:49.688
30247	1968-10-29	2	1	2021-11-18 04:29:51.154
42243	1966-01-03	2	2	2021-11-18 16:19:07.588
24940	1962-05-23	3	2	2021-11-18 21:26:29.792
22137	1980-12-03	1	1	2021-11-18 06:34:03.239
6845	1969-09-20	2	1	2021-11-18 16:33:45.938
8241	1963-09-27	1	1	2021-11-18 00:23:53.972
29869	1965-05-20	2	1	2021-11-18 05:41:26.151
15056	1986-10-03	1	1	2021-11-18 21:29:53.925
151	1986-07-03	1	2	2021-11-18 12:33:07.867
39870	1995-03-30	1	1	2021-11-18 15:22:19.828
44109	1973-07-14	1	2	2021-11-18 14:27:48.742
37859	2000-10-10	2	1	2021-11-18 11:46:18.134
13599	1957-08-09	1	2	2021-11-18 03:46:07.644
17343	1975-11-06	2	2	2021-11-18 11:02:44.230
18480	1994-07-27	2	2	2021-11-18 11:42:30.360
10196	1995-01-18	1	1	2021-11-18 17:02:01.133
38661	1954-08-24	3	1	2021-11-18 04:42:47.701
236	1957-11-25	1	1	2021-11-18 16:18:05.486
19585	1983-09-25	2	2	2021-11-18 07:09:09.279
37776	1993-05-31	2	2	2021-11-18 07:08:05.190
14087	1958-01-05	2	1	2021-11-18 23:51:48.028
41442	1962-11-03	1	1	2021-11-18 14:45:11.486
27024	1963-11-01	1	1	2021-11-18 13:47:33.425
38356	1995-10-10	3	1	2021-11-18 07:54:01.670
31127	2006-02-28	2	2	2021-11-18 19:31:42.819
31409	1995-02-24	2	2	2021-11-18 01:42:14.870
26337	2000-07-14	3	1	2021-11-18 15:00:49.707
32715	1976-12-29	2	1	2021-11-18 07:01:51.813
23184	1980-12-15	2	1	2021-11-18 20:40:35.764
44079	2008-08-28	2	1	2021-11-18 12:59:16.636
34167	1963-10-06	2	1	2021-11-18 21:10:16.520
44989	2006-03-16	3	2	2021-11-18 13:50:01.353
41258	1987-02-18	2	2	2021-11-18 19:38:18.093
19128	1977-06-27	2	2	2021-11-18 03:59:50.368
22549	2000-11-08	2	1	2021-11-18 20:19:48.907
1819	1992-09-06	1	2	2021-11-18 23:53:56.895
3914	1987-08-20	3	1	2021-11-18 10:52:40.289
2353	1997-04-15	3	2	2021-11-18 19:04:51.965
7583	1964-02-10	3	1	2021-11-18 22:50:48.921
17941	1992-09-02	3	2	2021-11-18 17:36:00.513
8989	1981-04-29	1	1	2021-11-18 14:43:14.264
42652	1950-11-03	2	2	2021-11-18 08:01:15.587
6102	1980-09-11	2	2	2021-11-18 04:08:42.331
3341	1961-02-09	3	2	2021-11-18 04:13:24.018
38629	1996-02-07	1	1	2021-11-18 19:28:10.562
13200	2006-09-03	1	1	2021-11-18 00:41:16.217
