userid	birthdate	profileLevel	gender	updatedTime
37161	1959-04-25	1	1	2021-11-19 20:49:40.141
3747	1988-10-28	1	2	2021-11-19 01:31:29.137
3770	1986-12-15	3	1	2021-11-19 05:54:48.351
34867	1991-02-21	1	2	2021-11-19 17:28:34.914
15291	1957-07-12	2	1	2021-11-19 11:29:12.389
28577	1989-08-26	2	2	2021-11-19 17:32:15.706
15185	1974-08-18	1	1	2021-11-19 18:14:14.384
26050	1972-12-17	1	2	2021-11-19 06:02:55.770
1282	1963-11-15	1	2	2021-11-19 23:30:10.715
27031	1981-08-08	2	2	2021-11-19 20:26:26.871
5243	2005-11-07	2	2	2021-11-19 00:24:58.765
33007	1998-06-30	2	2	2021-11-19 00:57:12.829
2844	1972-09-17	2	1	2021-11-19 05:02:29.631
18047	2007-01-03	3	1	2021-11-19 23:47:25.956
17232	1957-02-27	3	1	2021-11-19 06:08:33.766
25403	1984-08-23	3	2	2021-11-19 06:43:35.232
39251	2005-09-12	1	1	2021-11-19 00:48:01.483
31656	1968-02-22	2	2	2021-11-19 16:24:13.156
39777	1962-08-27	2	2	2021-11-19 12:16:54.546
9169	2001-04-09	2	1	2021-11-19 02:10:43.302
44817	1955-07-23	2	2	2021-11-19 23:35:00.881
19709	1959-03-28	2	1	2021-11-19 14:35:24.055
30160	1985-01-13	3	2	2021-11-19 07:49:48.251
29048	1980-11-25	3	1	2021-11-19 19:04:10.897
27960	1997-01-05	3	1	2021-11-19 06:33:00.742
33424	1969-06-13	3	1	2021-11-19 21:21:46.179
21946	1966-10-09	1	1	2021-11-19 13:22:48.736
11602	1997-12-16	2	1	2021-11-19 01:14:26.475
30733	1989-08-12	1	1	2021-11-19 03:37:49.985
33961	1969-11-12	1	2	2021-11-19 10:13:32.794
23810	1985-05-02	1	2	2021-11-19 18:59:48.333
13712	1986-08-11	2	2	2021-11-19 20:22:47.914
10957	1986-03-14	2	2	2021-11-19 12:03:23.705
40978	2001-03-14	1	1	2021-11-19 03:10:41.165
11912	1956-08-05	1	2	2021-11-19 01:34:53.492
32452	1962-04-05	2	1	2021-11-19 01:58:03.018
18245	1960-06-28	1	2	2021-11-19 01:04:13.911
42135	1986-04-24	2	1	2021-11-19 15:48:21.787
38014	1968-03-13	3	2	2021-11-19 01:56:32.392
4136	1980-06-07	3	2	2021-11-19 18:28:35.801
32596	1967-07-31	1	1	2021-11-19 15:27:55.870
9428	1978-11-18	3	1	2021-11-19 15:14:00.083
14621	2000-07-23	3	2	2021-11-19 09:12:57.639
1729	1954-10-10	2	2	2021-11-19 10:35:14.741
29185	1970-01-28	3	1	2021-11-19 20:03:14.406
41392	1976-10-03	1	1	2021-11-19 06:31:16.891
32244	2000-08-13	2	1	2021-11-19 22:45:45.738
36982	1964-12-18	2	2	2021-11-19 00:59:25.073
1933	2001-04-23	2	1	2021-11-19 13:17:58.394
33629	1982-01-22	1	1	2021-11-19 09:52:35.906
13274	1995-10-12	1	2	2021-11-19 10:22:41.233
39042	1996-12-03	2	2	2021-11-19 16:56:38.677
15169	1979-09-22	2	1	2021-11-19 23:30:22.084
35406	1952-12-02	3	2	2021-11-19 23:13:36.991
2782	1987-07-06	2	2	2021-11-19 16:13:18.937
5422	2004-09-25	2	2	2021-11-19 00:51:59.377
37734	1962-10-27	1	2	2021-11-19 12:52:34.163
410	1965-09-17	1	2	2021-11-19 01:55:44.993
19199	2003-02-03	2	2	2021-11-19 07:01:40.088
37761	1984-06-19	3	2	2021-11-19 06:54:06.363
27072	1999-11-05	1	1	2021-11-19 22:36:23.485
21106	1953-12-16	2	2	2021-11-19 03:15:22.678
18402	1998-01-26	3	1	2021-11-19 05:53:09.757
9571	1970-04-13	3	1	2021-11-19 08:09:02.712
19464	1964-02-22	2	1	2021-11-19 13:29:08.624
14127	1987-11-15	1	1	2021-11-19 10:06:59.741
41114	1965-12-04	2	2	2021-11-19 14:37:05.640
28843	1955-12-19	3	1	2021-11-19 12:19:20.412
37553	1985-07-28	2	1	2021-11-19 19:37:08.548
13371	1956-11-25	3	1	2021-11-19 07:20:42.727
12638	1971-06-27	3	2	2021-11-19 11:40:38.857
35693	1992-07-18	3	2	2021-11-19 00:24:54.823
33886	1965-07-04	1	1	2021-11-19 00:54:30.785
17199	1973-02-20	2	2	2021-11-19 09:48:17.156
26339	1989-05-04	2	2	2021-11-19 04:41:16.833
9828	1986-08-18	1	2	2021-11-19 08:05:16.411
25274	1999-07-10	1	1	2021-11-19 10:52:10.107
44254	1995-08-29	1	2	2021-11-19 03:22:59.872
16356	1968-07-17	1	2	2021-11-19 12:28:20.936
30948	2003-07-13	2	2	2021-11-19 17:21:51.901
11232	1967-09-28	3	2	2021-11-19 21:55:20.812
8947	1973-05-05	2	2	2021-11-19 17:54:33.655
36087	1964-11-20	1	2	2021-11-19 06:40:11.968
36296	2009-09-02	1	2	2021-11-19 01:57:35.110
30212	1994-04-28	1	2	2021-11-19 20:32:52.686
19049	1998-08-16	1	2	2021-11-19 21:59:15.709
32994	1988-04-16	2	2	2021-11-19 14:24:46.442
43099	1996-09-05	2	1	2021-11-19 04:32:38.212
1319	1951-02-08	1	1	2021-11-19 12:01:27.778
3702	1971-06-25	1	1	2021-11-19 09:16:00.831
19446	1981-11-05	2	1	2021-11-19 09:38:05.862
11010	1970-07-23	1	1	2021-11-19 20:16:51.731
34183	1985-09-21	2	1	2021-11-19 08:56:59.303
8466	2001-12-03	3	1	2021-11-19 02:53:40.839
9565	2009-12-05	3	2	2021-11-19 10:04:33.061
23908	2007-07-02	3	2	2021-11-19 06:41:22.375
13574	2006-11-26	3	2	2021-11-19 02:03:06.950
11543	1985-10-16	3	1	2021-11-19 05:03:38.717
20717	1953-02-07	2	2	2021-11-19 13:35:13.281
3215	1971-03-31	3	2	2021-11-19 09:01:00.012
10491	1992-08-16	2	2	2021-11-19 22:58:35.644
28037	1978-07-14	3	2	2021-11-19 05:16:27.486
34840	1983-03-09	3	2	2021-11-19 04:27:29.586
23719	1962-10-08	3	2	2021-11-19 07:52:27.238
40756	1954-02-25	1	1	2021-11-19 23:25:56.541
16785	1964-06-12	2	1	2021-11-19 08:13:38.813
40877	1962-01-25	1	1	2021-11-19 18:10:35.653
30522	1953-10-02	2	2	2021-11-19 09:33:43.058
37802	1994-01-21	3	2	2021-11-19 17:52:33.924
22729	1969-09-16	1	2	2021-11-19 14:18:19.548
14236	1986-07-05	3	1	2021-11-19 09:34:01.020
3707	1968-08-07	1	2	2021-11-19 16:53:11.894
23881	1997-11-14	1	2	2021-11-19 14:39:52.512
28939	1991-05-05	2	2	2021-11-19 23:35:30.438
24910	1953-12-18	1	2	2021-11-19 20:02:36.397
38647	1955-04-03	3	2	2021-11-19 21:32:33.609
14219	1958-07-02	1	2	2021-11-19 19:40:50.428
34988	1991-06-12	3	1	2021-11-19 16:58:42.345
13777	1985-12-09	1	2	2021-11-19 22:49:38.337
42626	1983-07-06	1	1	2021-11-19 03:52:59.736
22690	1976-01-23	2	1	2021-11-19 20:57:52.412
23980	1992-03-11	3	1	2021-11-19 23:12:55.680
20324	1961-10-18	1	2	2021-11-19 21:00:34.219
246	1997-04-18	3	1	2021-11-19 05:16:15.945
3301	1981-10-13	2	1	2021-11-19 02:35:57.785
37912	2006-10-12	3	1	2021-11-19 23:13:45.389
22914	1966-11-22	2	2	2021-11-19 03:33:40.947
31325	2004-11-23	2	1	2021-11-19 12:59:39.072
9997	1970-08-06	3	1	2021-11-19 08:36:25.358
36715	1967-05-05	3	2	2021-11-19 05:55:45.815
13022	1972-08-07	3	2	2021-11-19 22:42:31.970
5019	1964-08-02	3	1	2021-11-19 03:49:33.581
37677	1987-10-23	1	2	2021-11-19 03:24:02.843
34497	1954-02-24	2	2	2021-11-19 08:56:43.196
995	1990-05-25	1	2	2021-11-19 22:34:41.833
3399	1957-08-04	2	1	2021-11-19 14:28:57.040
13742	1997-05-08	3	1	2021-11-19 06:37:34.302
37411	1958-12-16	1	1	2021-11-19 06:42:26.495
18633	1952-08-03	2	1	2021-11-19 15:43:06.232
4195	1978-04-18	3	1	2021-11-19 02:05:59.823
18724	1983-03-25	2	1	2021-11-19 09:27:30.913
44578	1969-11-15	3	1	2021-11-19 22:23:51.999
34156	1970-06-30	2	2	2021-11-19 18:14:39.923
36448	1983-09-08	3	1	2021-11-19 07:41:13.239
44751	1960-12-18	3	2	2021-11-19 01:36:02.344
9646	2008-12-01	2	2	2021-11-19 13:43:28.355
1642	2003-11-14	1	1	2021-11-19 17:42:05.959
5479	2008-01-24	3	1	2021-11-19 07:39:38.366
19249	2009-08-21	1	1	2021-11-19 22:49:42.533
3980	2000-04-01	2	2	2021-11-19 08:03:31.082
27778	1993-07-08	3	1	2021-11-19 07:19:46.987
4314	1951-05-21	1	1	2021-11-19 12:50:30.922
18510	1977-12-23	3	2	2021-11-19 02:11:41.725
2899	1992-07-06	2	1	2021-11-19 06:06:51.430
26663	1972-05-06	3	1	2021-11-19 07:26:27.717
34259	1966-11-14	2	2	2021-11-19 02:55:50.534
16819	1958-08-27	1	1	2021-11-19 02:11:14.182
23790	1960-09-08	2	2	2021-11-19 04:47:17.700
18189	1999-09-27	1	1	2021-11-19 22:48:11.516
25098	1951-09-27	3	2	2021-11-19 18:49:00.697
39705	1962-12-12	1	2	2021-11-19 20:31:18.650
39459	1967-02-26	3	2	2021-11-19 22:57:34.444
27803	1985-04-23	3	2	2021-11-19 13:28:25.868
35930	2007-03-17	3	2	2021-11-19 01:59:56.279
1059	1961-02-27	2	1	2021-11-19 11:24:52.264
15151	1995-08-29	3	2	2021-11-19 03:17:36.921
27563	1998-10-30	3	1	2021-11-19 06:16:28.248
12190	1976-01-13	2	1	2021-11-19 11:52:56.491
44215	1972-07-28	1	2	2021-11-19 08:04:45.136
37927	1985-01-24	3	2	2021-11-19 07:59:16.810
35169	1970-07-29	1	1	2021-11-19 10:42:56.982
16872	1991-05-17	2	2	2021-11-19 09:42:49.847
9574	2005-09-06	3	1	2021-11-19 19:05:06.980
14574	1962-03-16	1	2	2021-11-19 05:55:23.877
30919	1951-01-04	1	1	2021-11-19 08:41:27.491
30516	1960-01-23	3	2	2021-11-19 05:08:42.635
11340	1997-10-09	3	2	2021-11-19 04:20:49.415
37359	1961-07-15	3	2	2021-11-19 13:43:26.626
5369	2001-02-22	2	1	2021-11-19 16:16:19.790
21124	1961-02-20	2	2	2021-11-19 11:23:17.298
30353	1988-04-24	1	1	2021-11-19 15:34:44.375
2613	1987-05-22	3	1	2021-11-19 07:08:36.980
9052	2007-01-20	2	1	2021-11-19 13:13:50.124
27283	1976-03-07	2	2	2021-11-19 23:36:46.735
43025	1963-03-20	2	1	2021-11-19 08:03:35.698
19916	1979-04-17	1	1	2021-11-19 02:04:31.187
25294	1995-07-12	3	1	2021-11-19 16:56:44.691
44	1957-06-29	3	2	2021-11-19 03:35:49.636
19398	1952-09-26	2	1	2021-11-19 01:29:43.576
7362	1983-10-10	2	2	2021-11-19 22:06:21.383
