userid	birthdate	profileLevel	gender	updatedTime
9877	2003-11-30	1	2	2021-11-20 22:57:32.143
22774	1969-02-07	3	2	2021-11-20 12:56:07.876
8892	2007-11-18	3	1	2021-11-20 13:59:10.939
8682	1985-10-21	3	1	2021-11-20 14:50:12.465
43047	1983-06-18	2	1	2021-11-20 00:26:09.614
45000	1950-01-08	3	1	2021-11-20 19:31:05.461
25750	1967-10-02	3	2	2021-11-20 16:45:44.640
44099	1954-08-31	1	1	2021-11-20 00:18:11.162
33160	1963-10-21	1	2	2021-11-20 23:17:24.719
295	1953-10-10	1	2	2021-11-20 14:50:10.615
33940	1997-02-01	3	1	2021-11-20 09:50:50.996
6752	1978-04-20	2	2	2021-11-20 21:28:07.819
20243	1992-01-27	2	2	2021-11-20 21:00:57.175
16858	1987-09-01	2	2	2021-11-20 20:17:53.223
1529	1971-08-25	1	2	2021-11-20 01:05:11.034
11562	1957-05-08	3	2	2021-11-20 22:06:31.121
388	1960-02-05	1	2	2021-11-20 10:05:31.116
40803	1987-01-29	3	2	2021-11-20 01:59:23.013
29280	1959-09-02	2	2	2021-11-20 15:41:31.046
10982	1973-10-29	2	2	2021-11-20 17:56:16.815
37047	2002-11-03	1	2	2021-11-20 23:37:43.037
17404	1985-11-14	2	2	2021-11-20 21:51:20.361
15452	2006-09-14	1	1	2021-11-20 17:03:26.285
43627	1998-07-15	1	2	2021-11-20 21:30:58.243
27734	1958-03-29	1	2	2021-11-20 06:34:03.103
25560	1989-09-17	1	1	2021-11-20 18:26:10.292
24335	1989-10-09	2	2	2021-11-20 05:42:59.585
24257	1962-02-01	2	1	2021-11-20 04:17:46.957
11905	1971-02-12	2	1	2021-11-20 22:11:59.584
20600	2007-06-15	2	1	2021-11-20 06:18:39.441
33226	1951-12-25	3	2	2021-11-20 10:06:22.988
5018	1953-09-10	2	1	2021-11-20 22:18:14.585
25971	1973-03-18	1	1	2021-11-20 23:33:04.979
2814	1970-06-17	1	1	2021-11-20 05:19:30.385
20430	1985-06-20	2	1	2021-11-20 22:31:20.526
35691	1956-10-18	1	1	2021-11-20 14:20:46.992
17301	2007-02-07	2	2	2021-11-20 08:46:31.259
22972	2008-11-15	1	1	2021-11-20 16:29:03.569
18859	1995-10-15	2	1	2021-11-20 19:50:33.981
28770	2009-09-11	2	2	2021-11-20 10:54:36.040
487	1998-05-31	2	1	2021-11-20 04:19:16.714
87	1993-05-19	3	2	2021-11-20 18:16:54.565
6730	1969-10-14	2	1	2021-11-20 01:31:03.229
31582	1976-07-09	1	2	2021-11-20 07:17:11.624
8993	1992-11-22	1	2	2021-11-20 09:50:16.480
37723	1963-06-02	2	1	2021-11-20 23:13:23.388
42165	1997-07-28	3	2	2021-11-20 04:34:00.304
14615	1962-11-14	1	2	2021-11-20 14:18:51.472
15269	1954-01-16	1	1	2021-11-20 20:32:31.928
43335	1951-10-08	1	2	2021-11-20 05:19:55.477
17589	1983-11-22	1	1	2021-11-20 04:47:33.375
24382	2009-09-05	1	2	2021-11-20 18:54:33.758
