userid	birthdate	profileLevel	gender	updatedTime
14672	1953-02-25	2	1	2021-11-21 01:31:07.602
35640	1956-03-15	3	1	2021-11-21 18:45:44.458
42202	1957-08-30	2	1	2021-11-21 08:47:17.738
17073	1977-07-28	3	1	2021-11-21 22:53:53.731
44325	1994-01-29	3	1	2021-11-21 07:18:02.540
33694	1964-06-24	2	2	2021-11-21 08:23:08.170
43902	1962-04-07	3	2	2021-11-21 14:55:28.497
44334	1983-09-30	3	2	2021-11-21 17:15:06.919
24985	2007-05-21	2	2	2021-11-21 11:27:39.537
31746	1974-12-12	3	1	2021-11-21 19:32:11.209
44196	1957-07-21	2	2	2021-11-21 14:15:07.183
4816	1979-04-27	3	1	2021-11-21 01:47:07.118
15477	1993-02-22	1	1	2021-11-21 22:08:59.051
36805	1973-07-22	3	1	2021-11-21 14:19:23.497
34903	1994-06-11	2	2	2021-11-21 05:07:01.102
23578	1980-08-25	1	1	2021-11-21 04:58:07.517
1489	1950-12-12	2	2	2021-11-21 11:45:38.722
23408	1964-10-07	3	2	2021-11-21 04:34:55.060
18087	1959-01-19	1	2	2021-11-21 04:53:49.986
43513	1994-08-01	1	2	2021-11-21 05:41:19.185
16204	2007-07-02	3	1	2021-11-21 11:35:39.214
26075	1959-10-13	1	1	2021-11-21 03:04:35.046
28317	1966-02-17	2	2	2021-11-21 18:48:12.612
6313	1970-05-20	2	2	2021-11-21 06:04:28.297
27029	2002-08-13	3	1	2021-11-21 07:28:19.241
43578	1961-09-05	2	1	2021-11-21 10:15:21.319
13705	1979-12-28	2	2	2021-11-21 04:00:21.077
39401	1988-09-05	2	1	2021-11-21 19:33:58.267
43990	1994-05-05	1	2	2021-11-21 17:42:02.348
27696	2003-05-19	3	2	2021-11-21 14:06:15.037
36124	1979-02-16	2	2	2021-11-21 21:52:57.647
7780	1994-11-02	2	2	2021-11-21 08:54:35.264
10067	1958-08-21	2	2	2021-11-21 20:05:01.121
29465	1972-03-09	1	2	2021-11-21 03:46:19.875
25189	1987-06-13	1	2	2021-11-21 19:42:02.460
8779	1971-05-28	1	1	2021-11-21 04:19:07.252
18750	1953-11-02	2	2	2021-11-21 00:41:51.113
22093	1972-03-08	1	1	2021-11-21 22:43:30.737
44558	1956-08-04	2	1	2021-11-21 11:13:16.876
34995	2008-11-13	1	2	2021-11-21 00:50:51.925
968	1963-10-11	3	2	2021-11-21 14:04:10.760
36491	1951-03-02	3	2	2021-11-21 01:05:11.122
5063	1996-03-26	2	2	2021-11-21 09:37:51.185
11087	1975-08-13	1	2	2021-11-21 12:20:18.296
32821	1951-01-28	1	2	2021-11-21 08:43:36.488
38902	1954-12-04	3	1	2021-11-21 17:26:09.829
13804	1983-01-04	1	2	2021-11-21 19:21:25.077
1576	1951-09-18	3	1	2021-11-21 15:51:58.937
23465	1986-09-02	1	2	2021-11-21 10:55:15.027
40453	1975-05-01	2	2	2021-11-21 19:37:21.987
42964	1997-07-27	1	2	2021-11-21 19:06:13.989
42090	1954-12-07	2	1	2021-11-21 08:58:47.124
29502	2004-09-05	1	2	2021-11-21 20:53:42.226
691	1986-02-06	2	1	2021-11-21 20:57:01.292
31251	1975-05-11	1	1	2021-11-21 04:39:50.670
21475	1986-01-13	1	2	2021-11-21 09:13:55.602
41332	1964-07-24	2	1	2021-11-21 21:48:45.988
31257	1985-05-19	2	1	2021-11-21 11:37:44.630
39898	1970-05-26	3	1	2021-11-21 15:08:12.085
42136	2004-09-17	2	2	2021-11-21 23:48:09.111
17228	1978-11-09	3	2	2021-11-21 21:20:20.695
5702	2003-05-22	3	1	2021-11-21 22:15:57.247
39442	1963-12-04	3	1	2021-11-21 11:49:39.871
12912	1950-02-22	3	1	2021-11-21 07:08:56.338
37964	1969-08-03	3	1	2021-11-21 13:22:58.517
9544	1973-10-14	2	1	2021-11-21 07:38:39.714
29643	1965-05-18	1	1	2021-11-21 16:27:54.579
22248	2004-04-18	2	2	2021-11-21 00:47:31.905
30982	1980-03-21	3	1	2021-11-21 14:14:28.826
5932	1998-09-11	2	1	2021-11-21 22:01:13.951
19042	1978-10-31	3	1	2021-11-21 10:53:59.304
1802	1974-05-13	1	2	2021-11-21 05:21:56.962
5713	1959-11-02	2	2	2021-11-21 01:31:41.102
11908	1987-05-09	1	2	2021-11-21 12:43:31.961
9056	1997-12-26	1	2	2021-11-21 02:13:34.643
26257	1969-08-28	3	2	2021-11-21 02:56:21.590
17807	1971-06-03	3	1	2021-11-21 10:17:06.575
4160	2009-08-11	1	1	2021-11-21 16:27:29.566
31666	1983-04-25	2	1	2021-11-21 08:46:42.269
10019	1976-12-24	3	2	2021-11-21 07:02:20.248
37820	1950-06-29	1	2	2021-11-21 16:08:34.647
6779	1958-12-08	2	2	2021-11-21 04:56:27.048
44443	1995-06-22	1	2	2021-11-21 06:10:08.680
17389	1950-09-20	3	2	2021-11-21 21:05:14.968
37283	2003-01-15	2	1	2021-11-21 06:57:18.200
29768	1963-04-04	3	2	2021-11-21 15:24:29.848
35203	1993-11-20	1	2	2021-11-21 13:00:09.874
15246	2001-07-06	3	2	2021-11-21 21:03:37.560
15086	1965-06-12	2	1	2021-11-21 07:58:16.095
13300	1984-03-02	1	1	2021-11-21 06:35:06.702
4796	1957-09-06	3	2	2021-11-21 20:28:21.654
2195	1984-04-08	1	1	2021-11-21 22:26:59.097
1912	2002-03-17	1	2	2021-11-21 20:31:48.760
34298	1972-01-17	1	2	2021-11-21 14:42:09.686
38041	1964-08-04	1	2	2021-11-21 17:53:13.509
43764	1961-12-01	1	1	2021-11-21 11:34:07.664
2087	1990-07-24	1	2	2021-11-21 20:22:05.683
11926	1994-11-17	1	1	2021-11-21 20:32:35.800
29789	1967-09-21	1	2	2021-11-21 04:45:55.946
37904	1999-10-30	3	2	2021-11-21 01:10:01.996
44005	1995-11-25	1	2	2021-11-21 02:26:56.812
9825	2005-07-01	1	2	2021-11-21 18:54:27.720
3763	1987-11-18	1	1	2021-11-21 16:55:07.968
28024	1973-04-24	1	2	2021-11-21 00:43:43.955
