userid	birthdate	profileLevel	gender	updatedTime
23224	1994-06-15	3	2	2021-11-22 00:51:14.237
19259	1982-07-01	2	1	2021-11-22 02:24:51.169
30907	1961-01-24	3	2	2021-11-22 06:18:13.112
22112	1994-12-17	3	1	2021-11-22 14:28:53.591
4014	2003-10-09	2	2	2021-11-22 17:04:38.787
3040	2001-07-07	3	2	2021-11-22 11:09:25.264
15448	1976-10-19	1	2	2021-11-22 16:59:10.072
23994	2001-08-16	3	1	2021-11-22 05:51:55.813
5748	1961-09-07	1	1	2021-11-22 03:28:14.248
37935	1952-04-01	1	2	2021-11-22 19:26:27.540
25587	1977-08-04	3	1	2021-11-22 10:40:33.687
7029	1962-02-17	1	1	2021-11-22 08:51:52.026
42217	1976-03-02	1	2	2021-11-22 03:22:20.344
26881	2007-03-13	2	2	2021-11-22 15:03:02.202
23990	1991-05-21	3	2	2021-11-22 15:27:12.085
23893	1972-04-25	1	2	2021-11-22 18:19:25.637
12493	1952-02-11	3	2	2021-11-22 03:57:33.335
44818	2005-04-16	1	1	2021-11-22 07:42:02.196
41154	2001-09-09	1	2	2021-11-22 18:40:52.949
28716	1984-09-04	1	1	2021-11-22 22:24:32.154
13368	1985-12-11	2	1	2021-11-22 20:59:25.953
33716	1993-07-16	2	2	2021-11-22 10:00:04.647
29110	1967-10-01	3	2	2021-11-22 02:51:13.050
25839	1954-02-16	3	1	2021-11-22 22:43:37.507
12876	2005-07-09	2	2	2021-11-22 08:05:02.604
21908	1983-01-11	2	2	2021-11-22 11:55:15.057
42273	1951-03-27	1	2	2021-11-22 22:13:41.689
4271	1987-07-14	2	1	2021-11-22 14:24:06.327
11473	1965-09-06	2	2	2021-11-22 14:13:14.452
9129	1978-06-12	1	2	2021-11-22 08:13:36.551
2915	1981-10-28	3	2	2021-11-22 12:06:08.533
2188	1979-05-05	3	1	2021-11-22 17:59:31.979
25214	1962-09-30	3	1	2021-11-22 10:49:45.862
6699	1959-06-19	3	2	2021-11-22 05:05:13.982
14427	1984-12-25	3	1	2021-11-22 11:16:05.794
14875	1975-12-20	1	1	2021-11-22 01:12:43.529
8764	1962-04-07	1	2	2021-11-22 09:40:19.569
1435	1996-11-19	2	1	2021-11-22 08:02:14.264
8705	1969-08-07	2	1	2021-11-22 10:46:33.723
41351	1982-12-16	1	1	2021-11-22 12:38:03.979
40387	1974-03-15	3	1	2021-11-22 21:29:16.455
28593	1961-03-03	2	2	2021-11-22 12:18:09.484
17808	1953-09-11	1	2	2021-11-22 03:33:17.103
31814	1975-01-21	2	1	2021-11-22 12:16:31.527
31914	2000-07-01	2	2	2021-11-22 09:12:47.597
1635	1992-02-19	3	2	2021-11-22 20:02:35.290
37564	1970-03-05	1	1	2021-11-22 19:41:06.288
41179	1961-12-14	2	1	2021-11-22 12:09:42.422
37674	1991-10-07	2	1	2021-11-22 09:29:31.461
7900	1959-11-26	1	1	2021-11-22 07:51:48.941
33733	1967-09-11	3	2	2021-11-22 00:04:05.169
27008	1968-02-23	2	2	2021-11-22 19:30:13.568
5800	1999-12-18	2	2	2021-11-22 22:25:35.770
21451	1982-07-15	3	2	2021-11-22 14:40:53.000
40827	1992-02-22	3	1	2021-11-22 12:35:09.617
864	1961-08-30	3	1	2021-11-22 00:11:10.354
18838	1964-11-11	1	1	2021-11-22 17:39:19.794
6864	2006-01-11	3	2	2021-11-22 15:11:39.836
2429	1964-08-01	2	1	2021-11-22 10:41:25.442
43369	1961-08-02	1	2	2021-11-22 23:03:46.044
19623	1998-03-09	2	2	2021-11-22 12:16:25.189
8446	2000-11-17	3	1	2021-11-22 12:36:33.417
24953	1965-06-05	3	1	2021-11-22 08:35:37.620
35697	1960-02-09	1	2	2021-11-22 15:42:15.966
18469	1970-12-28	2	2	2021-11-22 10:05:40.117
28230	1980-03-27	2	2	2021-11-22 04:23:21.562
2624	1985-08-27	2	1	2021-11-22 04:25:14.287
38649	1963-07-03	2	2	2021-11-22 08:25:03.944
28924	1960-08-06	1	1	2021-11-22 07:05:07.100
9035	1997-11-05	1	2	2021-11-22 02:45:02.577
17524	1953-03-31	2	2	2021-11-22 12:09:51.824
22178	1976-02-08	3	1	2021-11-22 11:23:05.812
15875	1968-10-04	2	2	2021-11-22 07:30:38.542
28413	1963-02-18	1	2	2021-11-22 05:52:13.833
1674	1980-12-05	2	2	2021-11-22 08:27:53.984
43967	2008-11-30	2	2	2021-11-22 19:45:52.715
37175	1985-12-23	2	1	2021-11-22 21:30:00.352
24657	1992-04-11	3	2	2021-11-22 11:09:16.641
3505	1985-06-07	2	1	2021-11-22 16:23:49.065
5061	2002-07-16	2	1	2021-11-22 15:54:10.675
38086	1951-01-12	1	1	2021-11-22 21:17:12.040
40680	1954-06-18	3	1	2021-11-22 06:14:04.212
15156	2001-07-18	2	1	2021-11-22 20:59:35.627
8977	1969-05-12	1	1	2021-11-22 10:20:31.765
42944	1968-05-08	1	2	2021-11-22 13:57:36.008
5768	1988-03-26	1	2	2021-11-22 08:00:48.979
33309	1993-02-14	2	1	2021-11-22 09:46:48.512
17275	1956-05-30	1	2	2021-11-22 15:10:33.319
36138	1998-05-15	3	1	2021-11-22 01:57:29.046
5731	1959-04-20	3	1	2021-11-22 20:32:40.907
20740	1974-05-25	1	1	2021-11-22 17:19:46.005
40160	1950-03-05	2	2	2021-11-22 02:46:40.808
17408	1952-03-27	3	2	2021-11-22 18:55:12.434
4568	1952-04-19	2	1	2021-11-22 16:37:35.339
4203	1972-10-06	2	2	2021-11-22 13:56:46.956
35374	1959-12-25	3	1	2021-11-22 19:16:13.297
42353	2009-11-18	2	1	2021-11-22 01:22:43.998
29632	1991-04-30	1	1	2021-11-22 14:29:39.196
7390	1964-03-04	1	1	2021-11-22 11:47:09.007
40657	1991-12-27	1	1	2021-11-22 13:07:57.158
33810	1982-05-13	1	2	2021-11-22 12:27:11.759
3887	1989-07-18	2	1	2021-11-22 05:17:22.542
30618	1978-09-19	2	2	2021-11-22 21:43:34.477
42463	1968-03-10	2	1	2021-11-22 11:16:03.065
18670	1984-11-11	3	1	2021-11-22 00:59:52.169
5988	1974-10-23	1	1	2021-11-22 10:40:46.102
2625	2000-12-24	2	2	2021-11-22 04:55:39.826
22999	2000-06-13	1	2	2021-11-22 19:16:13.573
28999	1989-04-25	3	1	2021-11-22 03:46:18.621
5344	1993-12-02	3	1	2021-11-22 16:38:27.752
22972	1965-11-19	1	2	2021-11-22 01:00:32.299
21430	1971-03-12	1	2	2021-11-22 13:09:01.916
37703	1965-01-29	3	1	2021-11-22 06:54:18.034
11420	1976-07-18	2	1	2021-11-22 09:09:24.837
12192	2004-02-10	2	1	2021-11-22 22:42:43.958
44929	1995-10-03	2	2	2021-11-22 05:54:08.967
7124	1954-07-25	2	1	2021-11-22 19:11:07.328
24207	2006-12-06	2	2	2021-11-22 23:43:17.701
11533	1955-09-12	3	2	2021-11-22 09:40:37.183
16152	1960-02-05	3	2	2021-11-22 21:39:57.481
9076	1950-01-15	2	1	2021-11-22 17:15:16.992
22147	1989-07-10	2	2	2021-11-22 12:14:23.080
28870	1959-07-04	1	1	2021-11-22 19:29:37.448
37002	1966-07-15	3	2	2021-11-22 04:00:29.018
18010	2000-08-22	1	1	2021-11-22 09:39:17.437
18490	1972-02-27	1	2	2021-11-22 14:31:49.223
11046	1988-07-31	3	1	2021-11-22 23:12:58.925
682	1975-09-13	2	2	2021-11-22 01:50:58.739
42582	1999-10-20	1	1	2021-11-22 01:32:51.064
9865	1966-12-12	2	2	2021-11-22 20:15:25.825
35443	1992-03-15	2	2	2021-11-22 07:23:12.193
16351	1963-04-23	3	2	2021-11-22 14:48:11.759
40434	1966-04-25	2	1	2021-11-22 17:57:40.336
40777	1968-01-23	1	2	2021-11-22 02:03:59.151
41757	1995-08-20	3	1	2021-11-22 10:47:21.550
4472	1964-12-23	1	1	2021-11-22 08:40:26.746
12325	2001-08-03	3	2	2021-11-22 20:11:51.753
25589	1994-04-08	2	1	2021-11-22 18:28:45.921
33448	1976-01-10	2	1	2021-11-22 00:34:18.557
10288	1976-04-15	2	2	2021-11-22 16:18:47.697
31272	1974-06-28	3	1	2021-11-22 03:31:02.632
22948	2001-01-13	1	2	2021-11-22 08:37:46.051
17683	1964-05-24	3	1	2021-11-22 21:50:00.396
39903	2001-01-25	1	2	2021-11-22 21:42:09.659
15740	1982-03-06	2	2	2021-11-22 09:43:41.761
29750	1968-08-22	2	2	2021-11-22 02:24:37.205
7134	1992-09-17	3	2	2021-11-22 01:54:51.059
9427	1987-11-15	3	1	2021-11-22 02:50:59.004
1427	1988-04-22	1	1	2021-11-22 03:11:24.256
12045	1966-11-13	1	2	2021-11-22 00:47:11.112
17977	1997-06-22	1	1	2021-11-22 06:17:23.850
8455	1971-01-29	3	2	2021-11-22 08:04:59.986
9199	1951-12-21	2	2	2021-11-22 13:47:47.210
9547	1972-06-24	3	1	2021-11-22 23:45:05.886
24250	2005-07-08	1	2	2021-11-22 12:12:42.561
35384	1979-10-23	2	2	2021-11-22 03:55:37.754
8303	1983-12-18	3	2	2021-11-22 23:42:35.406
21213	1974-10-24	3	2	2021-11-22 12:45:37.034
34684	1956-03-29	1	2	2021-11-22 11:10:44.406
23677	1958-11-27	3	1	2021-11-22 20:07:30.822
18335	2003-06-13	3	2	2021-11-22 14:06:55.916
30525	1986-07-24	1	1	2021-11-22 16:36:52.975
14028	1981-11-19	2	1	2021-11-22 13:59:53.285
5227	1980-08-01	3	2	2021-11-22 17:46:59.625
7082	1972-08-28	3	1	2021-11-22 00:54:14.713
16077	1989-05-13	2	1	2021-11-22 12:36:32.707
3393	1960-09-18	1	1	2021-11-22 11:03:03.430
27785	1989-10-11	1	1	2021-11-22 23:50:11.768
3504	1991-10-23	3	1	2021-11-22 01:30:47.251
14062	1998-12-18	1	2	2021-11-22 06:41:05.687
2325	2000-12-10	3	2	2021-11-22 00:19:56.906
37493	1986-02-28	1	1	2021-11-22 16:43:30.018
23043	2007-05-23	1	1	2021-11-22 02:30:02.039
29874	1982-05-20	1	2	2021-11-22 01:16:45.704
26171	2009-04-12	2	2	2021-11-22 20:55:45.115
25430	1971-12-10	1	2	2021-11-22 23:51:55.246
7005	1968-08-25	2	2	2021-11-22 11:21:36.511
15128	1950-03-25	2	1	2021-11-22 14:21:06.630
22813	1994-06-28	3	1	2021-11-22 05:36:17.833
26925	1973-10-26	3	2	2021-11-22 12:42:51.288
7322	1956-03-26	2	1	2021-11-22 22:19:48.670
12379	1992-04-11	3	2	2021-11-22 07:04:06.810
15298	1997-03-11	2	2	2021-11-22 02:28:15.043
41556	1985-05-31	1	1	2021-11-22 03:16:30.881
19543	1994-09-24	3	2	2021-11-22 13:02:25.929
21308	1986-05-12	3	1	2021-11-22 06:39:30.067
10952	1983-08-25	3	1	2021-11-22 12:56:35.193
8615	1968-08-25	2	1	2021-11-22 22:52:06.849
31625	1971-09-15	2	2	2021-11-22 05:38:53.330
16520	1964-12-20	2	2	2021-11-22 00:45:47.856
23990	1966-09-10	2	2	2021-11-22 10:17:43.033
8140	2000-09-24	2	1	2021-11-22 03:48:37.956
5260	1972-08-10	2	2	2021-11-22 06:36:31.842
21565	1973-09-28	2	1	2021-11-22 14:32:13.528
3334	1989-11-12	2	2	2021-11-22 19:13:21.098
13245	1989-03-31	2	2	2021-11-22 09:04:41.362
35411	2004-09-09	2	1	2021-11-22 00:05:54.413
24270	1972-07-06	2	2	2021-11-22 15:46:48.754
12838	1978-11-17	1	1	2021-11-22 09:58:40.950
