userid	birthdate	profileLevel	gender	updatedTime
43774	2001-08-19	2	1	2021-11-24 07:19:42.627
39636	1952-01-27	1	2	2021-11-24 09:04:37.127
39718	1984-03-18	3	1	2021-11-24 03:04:22.705
20551	1971-01-05	3	1	2021-11-24 18:03:13.448
43273	1985-04-04	2	2	2021-11-24 04:21:48.589
40328	1995-03-19	1	1	2021-11-24 10:29:09.868
7276	1978-09-05	2	1	2021-11-24 20:10:30.602
10288	1975-06-26	1	2	2021-11-24 22:53:57.782
14494	1989-03-16	3	1	2021-11-24 16:47:29.149
41459	1966-06-10	3	1	2021-11-24 01:59:30.218
37994	1956-08-05	3	2	2021-11-24 08:54:16.754
24886	2006-05-05	3	1	2021-11-24 13:43:34.979
32801	1984-12-15	1	1	2021-11-24 10:28:45.865
31612	1951-08-30	2	2	2021-11-24 20:01:33.746
25342	1965-08-31	1	1	2021-11-24 14:26:14.368
38399	1996-01-11	3	1	2021-11-24 12:21:38.691
4260	1984-08-01	2	2	2021-11-24 10:05:17.374
15201	1964-09-03	3	1	2021-11-24 00:56:48.025
44883	1988-11-29	2	2	2021-11-24 16:26:34.984
37157	1981-03-28	1	2	2021-11-24 07:55:25.880
2068	1970-04-01	3	2	2021-11-24 10:53:27.565
41283	1974-02-15	3	2	2021-11-24 09:36:07.262
32798	1964-09-25	2	1	2021-11-24 15:37:30.791
5113	1950-08-06	3	2	2021-11-24 04:35:01.469
12063	2007-03-02	1	1	2021-11-24 09:50:07.785
6420	1984-10-24	3	2	2021-11-24 09:38:04.547
28242	1965-01-30	3	2	2021-11-24 19:48:32.040
19229	1962-06-11	2	1	2021-11-24 04:26:10.336
43461	2003-06-21	2	1	2021-11-24 18:32:13.065
26377	1954-10-22	2	2	2021-11-24 00:32:54.476
42332	1954-02-18	2	2	2021-11-24 18:16:13.413
39662	1995-09-27	1	2	2021-11-24 04:15:48.724
16358	1970-05-31	1	1	2021-11-24 21:14:02.399
31240	2000-05-19	1	1	2021-11-24 11:16:23.066
9683	1965-11-04	3	1	2021-11-24 05:07:03.821
12965	1992-06-22	1	1	2021-11-24 02:44:44.373
31847	1986-06-23	3	1	2021-11-24 08:38:10.992
24074	1955-01-10	2	1	2021-11-24 14:50:53.378
41047	2001-07-30	2	1	2021-11-24 02:58:27.269
39675	1983-03-27	2	2	2021-11-24 04:47:27.810
12975	2009-12-15	2	1	2021-11-24 17:32:15.438
37005	1997-11-09	1	1	2021-11-24 04:15:35.943
7046	1981-05-24	1	1	2021-11-24 10:35:04.421
28068	1987-12-22	2	1	2021-11-24 00:53:26.838
19627	2003-07-28	3	1	2021-11-24 21:14:49.511
13140	1984-03-08	3	2	2021-11-24 23:43:35.095
18709	1969-12-31	2	2	2021-11-24 02:47:55.760
7794	1994-07-13	2	1	2021-11-24 04:49:31.046
6064	1995-08-19	3	2	2021-11-24 15:56:40.375
28094	2009-10-10	1	1	2021-11-24 06:57:56.687
31918	1996-03-02	2	2	2021-11-24 11:48:57.240
21648	2007-01-13	3	2	2021-11-24 02:33:31.107
37883	2000-07-07	2	2	2021-11-24 17:13:19.488
33815	1976-03-13	1	1	2021-11-24 22:18:18.362
892	1965-04-19	2	1	2021-11-24 20:55:08.435
34692	1974-07-06	2	2	2021-11-24 03:49:11.828
38120	1994-09-04	2	1	2021-11-24 08:54:19.478
28908	1968-03-15	1	2	2021-11-24 02:03:34.035
14792	1996-07-20	1	2	2021-11-24 18:32:44.274
3151	1951-01-23	3	1	2021-11-24 15:43:38.744
27734	1969-09-06	3	2	2021-11-24 03:01:40.744
2565	1956-02-22	1	1	2021-11-24 10:33:25.687
9831	1989-03-18	1	1	2021-11-24 22:21:23.186
42002	1968-09-10	1	1	2021-11-24 07:24:23.344
13814	2002-07-03	3	1	2021-11-24 04:16:08.739
24873	1953-05-01	1	2	2021-11-24 10:48:58.576
44833	1983-12-25	3	2	2021-11-24 20:12:36.699
19110	1989-11-04	2	1	2021-11-24 20:50:11.439
25876	1971-02-07	2	1	2021-11-24 02:39:10.114
29897	1986-12-25	1	1	2021-11-24 05:29:49.570
19064	2001-06-08	2	2	2021-11-24 17:53:43.240
10251	2006-03-01	3	1	2021-11-24 02:33:42.514
21003	2007-02-01	3	2	2021-11-24 00:57:13.003
9741	1962-04-08	2	1	2021-11-24 21:04:27.862
9250	1963-10-12	3	1	2021-11-24 01:30:49.789
14306	1956-06-24	2	1	2021-11-24 18:09:25.388
35627	1990-06-14	1	2	2021-11-24 18:20:53.808
40531	1984-12-02	3	2	2021-11-24 04:49:15.821
42598	2006-03-08	2	2	2021-11-24 12:42:31.781
22269	1965-04-03	3	1	2021-11-24 15:21:48.652
34144	1965-11-21	3	1	2021-11-24 15:55:35.304
26501	2002-04-08	3	2	2021-11-24 16:47:09.335
11894	1995-12-22	2	1	2021-11-24 16:43:38.574
5107	1981-03-30	2	1	2021-11-24 22:12:02.950
17497	1992-03-31	1	1	2021-11-24 16:39:43.133
40742	2007-12-21	3	1	2021-11-24 14:53:16.850
35535	1982-01-13	3	2	2021-11-24 07:06:21.223
38062	1969-06-26	2	2	2021-11-24 10:09:19.931
3431	1989-01-24	3	1	2021-11-24 13:04:17.802
44117	2009-11-06	3	2	2021-11-24 07:56:02.715
2200	2006-12-24	1	2	2021-11-24 20:02:26.637
37842	1950-03-26	3	1	2021-11-24 11:33:24.289
4738	1992-12-15	3	2	2021-11-24 17:08:16.843
12831	1995-04-16	3	1	2021-11-24 08:15:46.054
18370	1971-04-01	1	2	2021-11-24 23:06:32.520
30886	1952-02-08	3	1	2021-11-24 15:33:40.612
39573	2006-12-24	2	1	2021-11-24 23:56:43.679
25458	1995-05-10	2	1	2021-11-24 17:32:55.901
10130	1993-04-09	1	1	2021-11-24 22:30:30.722
13831	1997-01-30	2	1	2021-11-24 03:02:50.981
18000	1988-07-21	2	1	2021-11-24 22:59:17.010
2078	1954-03-11	3	1	2021-11-24 21:41:21.717
24676	2008-01-01	3	2	2021-11-24 17:26:44.643
21666	1973-01-05	2	1	2021-11-24 05:37:20.456
4854	1965-09-13	2	2	2021-11-24 09:44:39.338
8707	2001-11-07	2	1	2021-11-24 23:44:22.961
16052	1962-06-06	1	1	2021-11-24 18:43:45.608
8178	1961-12-03	1	2	2021-11-24 22:27:37.618
9290	1951-01-29	3	2	2021-11-24 20:07:40.491
4832	1965-06-13	2	1	2021-11-24 23:59:34.328
3914	1979-07-09	2	2	2021-11-24 12:57:37.691
14494	2000-11-05	2	2	2021-11-24 11:51:39.744
21561	1989-09-27	1	1	2021-11-24 22:53:20.036
