userid	birthdate	profileLevel	gender	updatedTime
7414	1968-08-15	2	2	2021-11-27 13:27:31.369
16590	1959-02-18	1	2	2021-11-27 14:57:56.272
12580	2005-04-04	3	2	2021-11-27 21:39:16.922
7840	1999-06-02	3	1	2021-11-27 21:37:01.984
32974	2008-05-02	2	2	2021-11-27 12:57:51.678
31678	1955-10-13	2	2	2021-11-27 19:41:18.200
4938	1985-07-27	2	1	2021-11-27 16:28:28.392
386	1961-05-11	3	2	2021-11-27 23:43:15.161
39549	1990-11-04	3	1	2021-11-27 05:45:28.342
19440	2008-07-13	2	1	2021-11-27 03:12:14.004
530	1954-08-21	2	2	2021-11-27 19:45:04.045
18862	1969-03-22	3	1	2021-11-27 06:12:19.105
18308	1967-05-17	3	2	2021-11-27 13:03:34.550
28550	1972-04-07	2	1	2021-11-27 23:10:06.536
41979	1950-09-04	1	2	2021-11-27 04:56:56.825
16509	2001-01-29	2	2	2021-11-27 06:08:58.336
26362	1982-03-20	3	2	2021-11-27 17:04:53.683
20518	1960-06-13	1	2	2021-11-27 19:43:49.902
35157	1972-12-08	2	1	2021-11-27 17:08:24.206
20658	1961-03-31	1	2	2021-11-27 10:49:23.628
42307	1961-10-30	2	1	2021-11-27 18:44:16.407
10079	2005-07-25	3	1	2021-11-27 00:25:51.911
30141	1984-12-15	1	2	2021-11-27 05:58:30.181
31068	1998-02-25	3	1	2021-11-27 22:39:38.667
4981	1982-12-21	3	1	2021-11-27 08:58:39.120
7754	1997-04-17	1	2	2021-11-27 00:10:43.231
7629	1964-09-03	1	1	2021-11-27 04:16:21.040
39727	1968-07-03	2	2	2021-11-27 00:08:56.390
12588	1971-11-25	2	1	2021-11-27 03:27:34.411
38000	1990-01-24	3	1	2021-11-27 02:42:45.477
32126	1991-03-14	2	2	2021-11-27 23:08:40.488
4770	1956-12-19	2	2	2021-11-27 20:17:33.274
14296	1989-02-15	1	1	2021-11-27 02:32:57.553
558	1989-07-21	1	2	2021-11-27 09:25:17.474
41898	1996-10-26	1	1	2021-11-27 11:58:54.061
21450	1996-02-13	3	2	2021-11-27 13:15:01.331
34437	1992-02-05	3	2	2021-11-27 15:14:09.161
29498	1965-03-06	3	1	2021-11-27 12:32:50.550
32639	1992-03-30	2	2	2021-11-27 19:15:33.292
10137	2008-12-26	1	2	2021-11-27 06:45:24.178
16331	1969-08-29	2	1	2021-11-27 15:31:24.601
24929	1958-05-01	1	1	2021-11-27 11:02:01.120
37583	1982-01-21	3	1	2021-11-27 11:33:16.749
9209	2008-03-14	1	2	2021-11-27 01:28:31.756
44544	1986-09-20	2	2	2021-11-27 07:47:44.874
1661	1985-12-01	3	2	2021-11-27 22:04:36.416
10883	1989-07-03	1	2	2021-11-27 17:47:50.364
22655	1996-04-11	1	1	2021-11-27 22:53:40.382
14616	1972-06-01	1	1	2021-11-27 21:50:24.051
1731	1999-06-09	3	2	2021-11-27 16:09:07.736
31180	1968-05-24	1	2	2021-11-27 07:41:16.115
9665	1962-07-29	1	2	2021-11-27 22:39:51.760
36357	2004-10-11	2	2	2021-11-27 22:16:04.864
44680	1951-02-13	1	1	2021-11-27 19:02:11.934
18729	1986-04-25	2	1	2021-11-27 06:14:34.639
39717	1960-07-19	2	2	2021-11-27 01:39:59.413
1002	1991-08-24	2	2	2021-11-27 18:29:57.494
13116	2006-06-27	2	2	2021-11-27 15:23:51.826
39663	1974-04-20	3	2	2021-11-27 18:58:07.694
19202	1973-06-12	1	2	2021-11-27 22:40:32.533
5028	2005-08-11	3	1	2021-11-27 08:19:59.177
37904	2000-08-24	2	1	2021-11-27 07:59:08.050
7871	1990-11-06	2	1	2021-11-27 21:42:43.891
7089	1970-10-29	3	2	2021-11-27 04:53:36.703
39658	1976-12-29	3	1	2021-11-27 23:55:40.630
44921	1999-04-30	1	2	2021-11-27 02:07:35.489
15931	1991-06-13	3	2	2021-11-27 16:51:56.457
3567	1958-07-21	2	1	2021-11-27 15:10:53.035
44078	1962-01-27	1	2	2021-11-27 21:28:25.190
30340	1998-11-20	1	2	2021-11-27 04:29:17.053
34477	2003-10-21	2	1	2021-11-27 00:29:41.149
15165	1953-03-22	2	2	2021-11-27 17:30:39.679
5168	1968-12-12	2	2	2021-11-27 23:05:12.667
7151	1956-09-06	1	2	2021-11-27 13:51:16.020
