userid	birthdate	profileLevel	gender	updatedTime
42222	1986-07-05	2	1	2021-11-28 16:22:48.901
6968	1977-06-22	3	2	2021-11-28 01:20:34.868
38628	1972-02-02	2	2	2021-11-28 09:33:10.692
31593	1982-11-16	1	1	2021-11-28 06:49:47.589
10868	1953-04-12	1	1	2021-11-28 07:48:27.662
38783	1987-06-27	2	1	2021-11-28 08:11:46.452
25096	1958-08-07	1	1	2021-11-28 15:25:09.267
32486	2003-09-15	3	2	2021-11-28 16:58:27.290
13875	1974-10-25	2	1	2021-11-28 16:20:28.872
34643	2009-02-22	2	2	2021-11-28 15:03:52.442
1373	1987-08-22	1	1	2021-11-28 20:00:55.994
18921	1963-07-03	2	1	2021-11-28 02:30:45.208
30906	1981-05-29	3	1	2021-11-28 05:54:47.915
31219	1956-02-02	2	1	2021-11-28 00:07:09.067
30835	1976-11-05	3	2	2021-11-28 00:41:49.600
36872	1952-12-23	2	2	2021-11-28 04:37:14.581
33288	1990-06-12	2	2	2021-11-28 00:24:56.374
11132	1985-03-07	1	1	2021-11-28 20:41:12.189
34601	1997-08-13	2	1	2021-11-28 16:15:18.625
18813	1959-03-12	1	1	2021-11-28 19:54:40.437
9814	1987-06-01	3	1	2021-11-28 01:38:33.422
35494	1967-11-14	2	2	2021-11-28 22:07:56.978
4810	1997-04-26	2	2	2021-11-28 19:05:43.573
24552	1996-06-01	1	1	2021-11-28 14:47:39.881
29103	2004-04-08	3	1	2021-11-28 06:51:33.850
21089	1982-04-16	1	2	2021-11-28 19:34:17.653
36533	1978-09-27	2	2	2021-11-28 07:14:13.863
2828	2001-06-13	1	2	2021-11-28 13:08:35.552
4802	1996-11-04	1	1	2021-11-28 12:03:29.533
6604	1984-06-22	1	2	2021-11-28 10:52:43.349
30353	1961-03-06	3	1	2021-11-28 10:42:22.227
19490	1984-09-25	3	1	2021-11-28 09:23:43.799
13416	1966-08-02	1	2	2021-11-28 15:20:44.529
31892	1968-12-23	2	2	2021-11-28 16:20:11.103
10506	2001-01-04	1	1	2021-11-28 06:32:56.334
19856	1995-10-01	2	1	2021-11-28 02:09:33.919
35644	2003-01-01	3	2	2021-11-28 01:15:21.233
25157	1986-03-20	3	1	2021-11-28 04:37:09.754
34663	1960-02-06	2	1	2021-11-28 14:03:02.240
20628	1986-04-02	1	2	2021-11-28 03:54:11.955
991	2008-06-20	2	2	2021-11-28 09:22:30.211
17157	2003-05-04	1	2	2021-11-28 19:38:29.944
6228	1997-04-06	3	2	2021-11-28 11:14:51.738
1190	1971-07-19	1	1	2021-11-28 04:35:58.957
30495	1995-02-13	3	2	2021-11-28 20:00:44.305
20369	1963-06-16	3	1	2021-11-28 23:52:37.820
25053	1989-09-24	1	1	2021-11-28 00:50:51.653
20075	1987-05-15	2	2	2021-11-28 17:39:33.766
41204	1958-09-09	1	2	2021-11-28 19:37:10.895
23570	1957-10-18	1	1	2021-11-28 23:34:34.558
23600	1968-03-17	3	2	2021-11-28 09:15:10.050
12625	1974-07-15	2	2	2021-11-28 02:56:43.335
5276	1989-12-03	2	1	2021-11-28 00:56:46.546
26936	1991-07-20	2	1	2021-11-28 12:41:48.981
826	1951-07-12	3	1	2021-11-28 19:50:38.717
15006	2007-02-09	1	1	2021-11-28 13:37:11.531
20516	1991-04-30	1	1	2021-11-28 13:33:42.562
8337	1952-10-14	3	1	2021-11-28 19:36:18.999
43888	1986-06-20	3	1	2021-11-28 10:29:50.888
36328	1966-07-31	2	1	2021-11-28 20:24:06.575
4300	1984-12-10	3	2	2021-11-28 02:22:31.087
35913	1976-12-30	3	1	2021-11-28 10:19:45.801
1874	2001-06-26	1	2	2021-11-28 06:35:04.956
35865	1990-08-17	1	1	2021-11-28 22:51:54.511
8410	1964-03-22	1	1	2021-11-28 20:11:27.068
25322	1991-08-26	3	2	2021-11-28 07:52:09.019
43340	1967-10-02	1	2	2021-11-28 01:41:20.676
19337	2007-12-23	1	2	2021-11-28 01:48:53.294
26258	1965-04-24	1	2	2021-11-28 11:26:31.611
28189	1960-07-10	3	1	2021-11-28 03:29:44.385
33453	1952-07-22	2	2	2021-11-28 01:00:47.572
