userid	birthdate	profileLevel	gender	updatedTime
9335	2005-10-19	3	1	2021-11-29 07:13:13.472
38303	1964-12-05	3	1	2021-11-29 15:39:11.506
31733	1983-06-14	3	2	2021-11-29 01:22:16.465
22024	1960-10-06	2	2	2021-11-29 09:36:34.085
32107	1960-02-13	1	2	2021-11-29 11:11:50.109
30176	1966-08-01	2	1	2021-11-29 11:03:26.748
6851	1981-11-17	2	2	2021-11-29 08:12:47.233
43004	1964-01-31	3	1	2021-11-29 06:35:14.906
36684	1967-11-18	3	1	2021-11-29 16:53:02.101
18409	1989-10-24	1	2	2021-11-29 11:32:30.339
5081	1997-02-27	1	1	2021-11-29 07:28:37.095
44792	1980-08-22	3	2	2021-11-29 17:02:28.835
40248	1985-03-11	2	2	2021-11-29 02:54:49.198
24532	1956-11-28	1	1	2021-11-29 23:28:34.290
14848	1986-05-03	3	1	2021-11-29 09:51:03.347
9819	1989-12-16	2	1	2021-11-29 23:10:38.432
5612	1996-02-10	2	1	2021-11-29 08:07:48.438
42089	1972-11-14	2	1	2021-11-29 23:16:54.037
23890	2003-05-03	2	1	2021-11-29 10:41:55.054
44814	1963-06-23	3	1	2021-11-29 05:54:38.600
31551	1968-03-04	2	2	2021-11-29 01:32:12.297
2509	1984-02-19	1	1	2021-11-29 04:06:21.792
31391	1950-12-08	1	1	2021-11-29 06:24:02.210
34396	2003-12-01	2	1	2021-11-29 07:16:43.259
28874	1976-06-05	1	1	2021-11-29 12:58:50.560
398	2000-08-19	2	2	2021-11-29 12:16:10.802
12376	1954-05-13	3	1	2021-11-29 08:13:52.693
7853	1976-02-10	2	1	2021-11-29 11:36:46.729
1472	1985-11-06	2	2	2021-11-29 20:53:42.687
28426	1950-03-30	3	2	2021-11-29 13:25:15.154
20927	1961-01-04	2	1	2021-11-29 07:50:57.615
26434	1964-09-13	2	1	2021-11-29 00:22:37.118
16222	1974-12-25	1	2	2021-11-29 22:47:42.972
36780	1953-09-29	3	1	2021-11-29 11:34:29.496
16725	1984-08-01	1	1	2021-11-29 06:22:43.484
43278	1980-01-29	1	2	2021-11-29 09:30:41.824
27568	1997-07-02	1	2	2021-11-29 03:28:25.311
25007	1961-03-28	1	2	2021-11-29 17:07:26.037
22289	1978-05-26	3	2	2021-11-29 10:36:04.113
10456	1973-10-05	1	1	2021-11-29 15:08:03.732
34083	1978-08-03	1	2	2021-11-29 21:06:20.445
35319	2006-06-23	1	1	2021-11-29 20:06:27.788
28338	2004-04-27	3	2	2021-11-29 22:45:58.977
36160	1976-01-12	1	2	2021-11-29 14:47:04.506
26753	1986-10-12	1	1	2021-11-29 20:26:41.146
29813	1999-08-25	1	2	2021-11-29 00:41:17.018
22833	1993-02-28	2	1	2021-11-29 21:53:38.265
5419	2000-10-30	1	1	2021-11-29 07:59:32.150
11049	1961-12-09	1	2	2021-11-29 21:57:51.118
40051	1969-11-13	2	1	2021-11-29 17:31:20.016
15431	1973-07-26	3	1	2021-11-29 05:07:17.090
42357	1986-04-05	1	1	2021-11-29 22:57:50.798
23484	1987-03-14	3	1	2021-11-29 08:17:40.124
31858	1955-04-17	3	1	2021-11-29 10:32:17.969
35129	2005-06-03	2	1	2021-11-29 12:06:24.585
35145	1966-01-16	1	1	2021-11-29 03:48:35.252
4684	1994-04-02	1	1	2021-11-29 05:14:39.413
23611	1968-10-28	3	1	2021-11-29 01:24:09.234
21259	1978-06-14	1	1	2021-11-29 14:33:15.838
13414	2004-11-03	3	1	2021-11-29 17:26:56.646
39278	1970-01-23	3	2	2021-11-29 20:56:07.188
43012	2009-07-19	1	1	2021-11-29 00:15:08.564
40163	1978-07-12	3	2	2021-11-29 01:27:42.464
26262	2005-06-02	3	1	2021-11-29 04:05:43.553
36802	1994-02-19	3	1	2021-11-29 09:25:13.144
8178	1981-03-29	3	1	2021-11-29 22:27:36.103
9264	1998-01-21	3	2	2021-11-29 20:20:18.627
26496	1969-04-04	1	1	2021-11-29 16:43:30.323
