userid	birthdate	profileLevel	gender	updatedTime
39537	1955-10-02	1	2	2021-11-30 10:08:57.106
35913	1978-07-24	3	1	2021-11-30 22:40:11.956
12297	1962-09-09	1	2	2021-11-30 19:56:37.373
26246	1998-06-13	2	1	2021-11-30 15:46:23.036
26789	1975-03-24	2	2	2021-11-30 22:00:00.780
43438	1968-03-07	2	1	2021-11-30 15:04:39.248
26620	1994-06-30	2	1	2021-11-30 03:23:13.188
20646	1972-05-06	1	2	2021-11-30 16:32:08.291
21921	1977-01-01	1	2	2021-11-30 18:58:38.032
34809	1997-03-21	3	2	2021-11-30 11:44:19.335
43964	1992-03-29	2	1	2021-11-30 09:17:18.000
31917	1965-04-14	1	1	2021-11-30 02:42:51.556
4825	1990-06-22	1	1	2021-11-30 08:54:05.729
43986	1971-02-09	3	1	2021-11-30 07:42:35.228
33802	1983-07-25	1	2	2021-11-30 07:20:33.351
18387	1983-03-05	3	1	2021-11-30 17:49:44.521
37694	1988-12-18	1	2	2021-11-30 08:00:49.611
11010	1994-02-16	2	1	2021-11-30 14:09:28.732
36553	1965-02-20	3	2	2021-11-30 19:35:49.862
19634	2004-10-11	1	1	2021-11-30 15:33:09.245
6300	1955-03-20	2	1	2021-11-30 13:05:43.400
2156	1950-05-03	3	1	2021-11-30 03:19:54.135
26374	1965-10-07	2	2	2021-11-30 03:43:24.866
8104	1973-02-01	1	1	2021-11-30 19:49:07.192
2752	1995-09-22	2	1	2021-11-30 13:54:15.254
18851	1980-02-11	3	2	2021-11-30 17:49:39.792
32948	1971-09-06	3	1	2021-11-30 16:14:11.490
24775	1989-12-19	1	2	2021-11-30 19:28:56.232
23399	1993-10-12	2	2	2021-11-30 16:51:07.996
34085	1990-08-03	2	2	2021-11-30 00:09:27.235
29182	1996-10-27	1	1	2021-11-30 12:46:47.820
7467	1985-03-10	1	1	2021-11-30 14:51:37.746
40305	1992-07-22	3	1	2021-11-30 22:48:35.201
5772	1972-07-15	2	2	2021-11-30 12:10:15.515
20075	1959-03-15	2	1	2021-11-30 04:31:58.461
7471	1973-12-13	1	1	2021-11-30 01:14:32.630
18303	2006-12-06	3	2	2021-11-30 10:23:40.951
39990	2008-05-11	3	1	2021-11-30 04:47:54.880
23947	1973-08-02	2	1	2021-11-30 08:01:09.277
37628	1959-01-08	2	1	2021-11-30 06:55:54.478
24405	2003-06-16	1	1	2021-11-30 02:20:38.857
10946	1989-10-18	3	1	2021-11-30 16:57:31.650
41877	1965-03-31	2	1	2021-11-30 15:55:42.783
9999	1960-07-16	1	1	2021-11-30 17:32:52.011
1954	1955-02-18	2	2	2021-11-30 23:33:42.063
27686	1950-03-04	3	1	2021-11-30 08:28:43.543
10295	1977-07-25	2	1	2021-11-30 17:28:21.182
3163	1980-05-06	3	2	2021-11-30 16:23:05.233
34954	1961-07-11	2	2	2021-11-30 07:29:47.960
5724	1951-02-03	2	1	2021-11-30 09:22:44.873
9014	1979-02-01	2	1	2021-11-30 15:39:16.747
28209	1990-05-28	1	1	2021-11-30 10:25:04.444
44458	1997-12-01	3	2	2021-11-30 01:38:40.661
28977	1975-04-14	1	2	2021-11-30 03:15:16.493
10204	1968-11-28	1	1	2021-11-30 19:38:19.458
37983	1986-01-22	3	2	2021-11-30 01:53:21.730
28807	1954-01-10	3	1	2021-11-30 19:55:04.299
22914	1980-03-07	2	2	2021-11-30 12:07:54.836
4916	1950-02-01	1	2	2021-11-30 17:15:56.252
11895	1950-03-09	3	2	2021-11-30 03:26:03.252
4217	2005-12-30	1	2	2021-11-30 16:17:47.986
3562	1965-09-01	1	1	2021-11-30 02:08:21.796
19021	1951-10-11	2	2	2021-11-30 07:31:45.593
7113	2006-01-30	1	2	2021-11-30 23:08:26.403
17965	2002-03-20	1	1	2021-11-30 18:50:48.330
24690	1956-10-15	2	2	2021-11-30 04:35:53.260
32842	1986-01-28	3	1	2021-11-30 23:02:19.086
42380	1955-09-05	1	2	2021-11-30 05:07:30.164
44556	1957-10-23	1	1	2021-11-30 08:54:23.794
36320	1951-07-05	3	1	2021-11-30 04:14:35.367
34692	1956-07-20	2	2	2021-11-30 17:00:01.299
34756	1970-03-12	3	1	2021-11-30 22:55:25.352
30201	1977-11-17	1	2	2021-11-30 13:30:30.916
35053	1955-07-08	3	1	2021-11-30 02:03:39.871
14673	1953-12-18	3	1	2021-11-30 13:17:53.189
43209	1987-12-27	3	2	2021-11-30 22:04:51.445
26784	1981-10-23	2	2	2021-11-30 20:11:18.414
23598	2009-02-26	3	1	2021-11-30 12:08:55.640
30913	2006-10-21	2	1	2021-11-30 03:28:33.405
16591	1953-03-29	3	2	2021-11-30 09:49:45.632
9703	1951-01-07	1	1	2021-11-30 05:56:23.068
26084	1984-06-20	1	1	2021-11-30 23:53:11.216
23297	1953-08-12	2	1	2021-11-30 09:10:25.413
2694	1978-11-06	3	1	2021-11-30 15:21:44.927
10720	1971-05-20	1	1	2021-11-30 18:28:14.868
41588	1978-12-16	2	2	2021-11-30 21:33:20.063
19081	1954-02-07	3	1	2021-11-30 05:06:45.352
26148	1966-05-23	1	2	2021-11-30 12:28:32.211
23646	1981-04-25	2	2	2021-11-30 14:00:10.126
34725	1968-10-22	3	1	2021-11-30 04:40:46.656
5180	1962-09-12	1	2	2021-11-30 05:05:48.920
37579	1957-09-22	3	1	2021-11-30 23:45:07.113
23857	1975-02-28	3	1	2021-11-30 21:07:26.505
1647	1958-11-06	2	1	2021-11-30 11:53:31.588
7208	1991-02-05	1	2	2021-11-30 14:53:24.637
32928	1950-07-21	1	2	2021-11-30 22:57:15.630
18687	1975-06-14	1	2	2021-11-30 04:53:29.566
39608	1980-12-02	3	1	2021-11-30 07:12:18.379
32138	1958-06-25	1	1	2021-11-30 22:34:09.511
31218	1996-11-28	1	1	2021-11-30 19:24:58.243
20027	1986-06-08	1	1	2021-11-30 13:44:16.750
17065	1994-12-31	2	2	2021-11-30 19:40:46.123
12213	2005-04-16	1	2	2021-11-30 01:27:33.961
2760	2000-08-04	3	1	2021-11-30 19:14:35.068
41064	1978-09-15	3	1	2021-11-30 11:24:03.435
2928	1951-04-27	1	1	2021-11-30 07:21:48.142
41818	1969-11-20	3	1	2021-11-30 01:07:13.363
4181	1972-01-09	1	2	2021-11-30 20:34:51.642
17385	2009-12-06	1	1	2021-11-30 06:36:53.097
29524	1954-08-26	3	1	2021-11-30 01:56:57.431
2656	1954-09-20	1	2	2021-11-30 05:45:28.772
5570	1950-04-15	2	1	2021-11-30 06:39:04.324
25880	1974-02-15	1	1	2021-11-30 12:32:21.187
18875	1999-02-26	2	2	2021-11-30 18:00:25.795
5354	1974-07-14	1	1	2021-11-30 19:46:29.652
29397	1956-06-12	1	2	2021-11-30 18:59:04.715
36822	2008-11-22	3	1	2021-11-30 15:39:44.437
38794	1993-06-02	1	2	2021-11-30 07:00:29.347
11191	2004-12-18	1	1	2021-11-30 13:13:13.562
29295	2001-01-24	3	2	2021-11-30 10:20:44.038
