userid	birthdate	profileLevel	gender	updatedTime
19795	1957-08-29	3	2	2021-12-01 08:19:42.350
44162	2001-06-26	1	2	2021-12-01 09:21:20.120
9089	1957-10-31	3	1	2021-12-01 15:00:33.852
17299	2000-06-12	3	1	2021-12-01 03:42:14.400
919	1980-11-07	2	1	2021-12-01 04:56:19.423
28099	1950-07-22	1	2	2021-12-01 06:48:36.477
30109	1985-03-07	1	1	2021-12-01 05:04:50.495
15153	1967-08-25	1	1	2021-12-01 11:41:01.614
21848	2002-09-18	1	1	2021-12-01 02:29:47.515
30274	1956-07-29	1	2	2021-12-01 13:41:01.434
39359	1994-05-01	3	1	2021-12-01 01:33:11.826
25212	1962-07-01	1	1	2021-12-01 20:04:02.949
41387	1965-11-05	2	2	2021-12-01 04:06:17.187
33091	1952-08-08	3	2	2021-12-01 20:20:34.760
10308	1997-10-05	2	1	2021-12-01 00:38:16.260
21479	1954-09-14	2	1	2021-12-01 14:47:53.900
21531	1963-08-07	1	1	2021-12-01 18:38:44.127
2076	2008-06-05	3	1	2021-12-01 09:55:53.597
17072	1959-09-30	3	1	2021-12-01 13:26:06.161
8557	1992-05-31	1	1	2021-12-01 20:31:52.550
11095	1957-02-27	3	2	2021-12-01 02:02:56.480
4843	1983-07-25	3	1	2021-12-01 17:30:05.803
28316	1969-08-18	2	1	2021-12-01 18:43:46.163
2488	1952-06-30	3	2	2021-12-01 13:13:49.247
10842	1969-07-11	3	2	2021-12-01 21:02:00.939
36438	1974-03-20	2	2	2021-12-01 14:46:24.156
32224	1973-08-08	1	2	2021-12-01 02:49:53.354
32205	1972-05-15	3	1	2021-12-01 05:13:09.790
17741	1999-03-09	2	2	2021-12-01 13:47:16.035
31484	1951-10-23	1	2	2021-12-01 00:13:50.251
11386	2009-04-21	3	2	2021-12-01 07:56:01.323
38306	1963-08-05	1	1	2021-12-01 12:31:16.106
22199	1967-02-22	1	1	2021-12-01 12:37:23.485
29745	1961-11-22	1	1	2021-12-01 11:00:59.056
1185	1977-09-20	2	2	2021-12-01 02:01:32.368
32204	1958-08-14	2	1	2021-12-01 08:52:50.227
30891	1953-08-04	3	1	2021-12-01 12:27:27.552
8684	1962-03-12	2	2	2021-12-01 12:04:44.046
16231	1953-06-18	2	1	2021-12-01 17:06:52.546
19273	1978-12-16	3	2	2021-12-01 05:17:47.149
43336	1991-03-07	2	2	2021-12-01 17:04:28.085
18318	1958-04-16	1	2	2021-12-01 07:38:42.924
43123	2007-07-12	3	2	2021-12-01 18:03:31.371
41944	1981-03-10	1	1	2021-12-01 03:37:16.619
25328	1999-12-12	1	2	2021-12-01 13:16:05.418
31340	1992-09-05	2	1	2021-12-01 20:49:32.273
33486	2001-08-14	3	1	2021-12-01 08:19:51.837
3660	1959-09-22	1	2	2021-12-01 02:46:07.299
11040	1965-09-16	3	2	2021-12-01 20:41:53.192
41934	1966-12-23	3	1	2021-12-01 18:41:19.202
38847	1988-05-31	1	2	2021-12-01 04:49:13.887
10124	1957-04-08	2	1	2021-12-01 05:27:07.539
33693	1970-12-10	2	2	2021-12-01 07:39:50.152
34941	1978-09-15	1	2	2021-12-01 04:04:36.140
1717	2006-09-09	3	2	2021-12-01 05:42:41.594
32230	1951-09-02	1	1	2021-12-01 08:40:43.441
42671	1979-09-21	1	1	2021-12-01 06:57:29.124
36264	1964-01-09	2	2	2021-12-01 07:08:29.968
19492	1989-11-17	3	2	2021-12-01 16:35:33.857
7580	1973-10-04	1	2	2021-12-01 22:39:48.351
2530	1980-03-15	3	1	2021-12-01 14:06:09.139
24052	1980-08-06	2	2	2021-12-01 03:39:16.927
39771	1954-03-24	1	2	2021-12-01 18:38:45.771
41054	1967-05-30	2	1	2021-12-01 04:19:01.098
