userid	birthdate	profileLevel	gender	updatedTime
16722	1982-11-08	3	2	2021-12-02 12:59:26.626
27196	1979-05-14	1	2	2021-12-02 15:34:19.130
36844	2006-11-19	1	1	2021-12-02 05:26:27.306
38943	1965-02-13	3	1	2021-12-02 00:24:18.572
36549	2002-04-08	2	2	2021-12-02 06:08:52.537
44146	1967-04-04	2	1	2021-12-02 08:06:56.543
42242	1993-05-01	2	2	2021-12-02 02:42:36.023
29152	1964-08-26	1	1	2021-12-02 20:36:22.596
41945	1980-10-14	3	2	2021-12-02 17:56:36.652
1094	1991-04-26	1	2	2021-12-02 00:12:34.785
39288	1985-08-18	1	1	2021-12-02 16:01:45.895
32626	1972-05-08	1	1	2021-12-02 08:39:08.090
23416	1979-04-02	3	2	2021-12-02 02:44:21.524
10396	1954-03-17	3	1	2021-12-02 20:55:12.891
8632	1969-04-03	2	2	2021-12-02 10:06:08.806
21041	1995-09-01	2	1	2021-12-02 23:42:36.084
31062	1968-04-30	2	2	2021-12-02 03:16:04.617
9354	2005-05-31	1	2	2021-12-02 01:15:37.322
31545	1985-02-14	1	2	2021-12-02 00:49:09.248
34467	1996-12-04	1	2	2021-12-02 09:47:54.246
32575	1963-02-01	3	1	2021-12-02 00:23:05.587
25113	1976-10-26	3	2	2021-12-02 16:46:26.425
34784	2007-08-31	2	2	2021-12-02 03:19:51.647
8562	1965-12-20	3	2	2021-12-02 22:54:05.791
24301	1983-09-21	2	1	2021-12-02 03:51:07.825
37221	1981-04-12	1	1	2021-12-02 09:49:36.989
10240	1955-06-27	3	1	2021-12-02 11:09:13.588
20285	1957-11-29	2	1	2021-12-02 04:26:41.526
16083	1969-03-25	3	2	2021-12-02 00:01:49.373
25614	1976-01-08	2	2	2021-12-02 11:20:04.599
24984	1987-07-27	3	2	2021-12-02 17:00:33.301
11786	1989-12-12	1	2	2021-12-02 11:33:57.328
8048	1957-05-25	1	2	2021-12-02 10:24:43.161
21687	1993-04-10	2	2	2021-12-02 11:12:39.251
28455	1981-03-06	2	2	2021-12-02 18:46:07.870
39141	1966-08-31	3	1	2021-12-02 03:24:25.942
23014	1960-06-15	2	2	2021-12-02 17:54:36.714
30288	1966-03-20	3	1	2021-12-02 02:31:56.239
20314	1972-09-21	3	2	2021-12-02 07:29:19.270
10297	2005-05-10	3	1	2021-12-02 08:32:58.718
14938	1962-04-27	2	2	2021-12-02 19:03:05.789
28399	1979-08-20	3	1	2021-12-02 01:58:59.459
35972	1996-05-11	3	1	2021-12-02 12:47:05.704
34041	1973-09-17	1	1	2021-12-02 16:53:46.672
14236	1977-10-19	2	1	2021-12-02 10:08:04.834
15143	1995-12-31	3	2	2021-12-02 16:07:36.905
22160	2009-05-21	1	2	2021-12-02 22:23:54.360
9999	2009-08-24	2	2	2021-12-02 04:45:54.470
43967	1998-07-08	3	2	2021-12-02 17:59:10.405
11018	1991-12-02	2	2	2021-12-02 18:59:32.387
12888	1957-01-27	1	2	2021-12-02 03:52:25.481
29505	1955-06-14	3	1	2021-12-02 01:12:21.185
41615	1961-03-25	2	1	2021-12-02 17:17:39.063
13476	1972-08-08	3	2	2021-12-02 08:29:06.093
3132	1952-01-31	2	2	2021-12-02 02:31:00.157
4664	1987-11-13	3	1	2021-12-02 12:06:58.688
23944	1978-05-31	3	1	2021-12-02 02:59:08.689
15895	1998-03-08	1	1	2021-12-02 04:48:32.787
25407	2002-04-15	1	2	2021-12-02 15:45:38.272
11338	1956-09-18	1	2	2021-12-02 05:27:19.000
36116	1994-07-09	2	2	2021-12-02 01:42:17.502
28702	1962-03-09	3	2	2021-12-02 19:35:39.402
28917	1965-09-14	2	2	2021-12-02 02:06:59.427
29310	2002-08-26	2	1	2021-12-02 18:18:13.102
23584	1975-01-26	2	1	2021-12-02 06:21:08.680
38181	2005-09-26	3	1	2021-12-02 01:46:05.529
28730	1968-03-05	2	1	2021-12-02 22:51:13.888
10611	1994-01-23	3	1	2021-12-02 06:38:48.267
13416	1984-06-15	2	2	2021-12-02 10:46:19.536
15269	1995-09-28	3	2	2021-12-02 18:37:46.211
38919	2006-10-05	1	1	2021-12-02 18:07:37.757
3058	1964-04-20	2	2	2021-12-02 19:13:15.784
31278	1952-02-06	3	2	2021-12-02 15:45:49.622
17039	1968-07-24	2	1	2021-12-02 06:23:07.156
31415	1979-07-05	2	2	2021-12-02 15:40:17.398
12578	1973-07-12	1	1	2021-12-02 00:25:26.139
17998	1966-03-26	2	1	2021-12-02 05:09:40.063
1580	2003-05-31	2	1	2021-12-02 03:43:35.107
14259	1988-08-09	3	2	2021-12-02 06:19:37.789
22821	1984-07-26	3	2	2021-12-02 00:58:51.315
6760	1953-10-16	2	1	2021-12-02 12:27:29.050
32407	2004-07-24	2	2	2021-12-02 06:08:13.879
12549	1957-12-17	2	1	2021-12-02 14:01:39.303
1044	1960-03-07	3	2	2021-12-02 23:21:44.112
19376	1964-11-16	1	1	2021-12-02 07:28:07.036
3614	1960-09-15	1	2	2021-12-02 09:02:04.073
15041	1985-10-11	2	1	2021-12-02 20:59:24.521
20696	1952-01-28	1	2	2021-12-02 21:32:49.248
25180	1971-12-07	2	2	2021-12-02 14:38:09.386
38633	2001-03-14	3	1	2021-12-02 07:12:39.171
21395	1954-05-29	1	2	2021-12-02 14:11:34.720
8633	2009-10-24	3	2	2021-12-02 08:08:32.881
11915	1973-02-06	1	2	2021-12-02 07:18:20.655
42361	2001-07-18	2	1	2021-12-02 20:26:51.816
20094	1973-12-11	2	1	2021-12-02 17:00:18.758
7884	1960-07-14	3	1	2021-12-02 19:24:12.506
24998	1956-08-07	2	2	2021-12-02 20:47:09.404
7094	1998-01-24	3	1	2021-12-02 20:03:44.817
37805	2006-12-24	2	1	2021-12-02 04:28:39.473
13365	1990-04-15	1	1	2021-12-02 06:06:32.224
20535	1997-03-21	2	2	2021-12-02 18:02:01.939
13918	2009-10-16	1	1	2021-12-02 15:16:07.660
17848	1987-10-06	2	2	2021-12-02 20:30:25.804
259	1972-07-11	2	1	2021-12-02 02:39:07.403
28032	2001-12-22	1	2	2021-12-02 14:20:43.760
25952	1978-06-08	3	2	2021-12-02 20:37:38.615
35680	1963-05-23	1	1	2021-12-02 10:18:41.557
20804	2007-07-30	2	1	2021-12-02 09:41:28.926
13701	1992-05-30	2	1	2021-12-02 21:24:52.643
30002	1986-06-21	2	2	2021-12-02 01:40:15.278
12197	1984-07-20	1	2	2021-12-02 03:19:01.699
31211	2000-11-21	2	2	2021-12-02 22:56:01.408
11801	1956-05-04	1	2	2021-12-02 18:30:15.670
30185	1975-07-01	2	1	2021-12-02 07:35:47.401
29617	1957-05-04	2	1	2021-12-02 16:33:09.492
35089	1973-11-24	1	2	2021-12-02 08:01:41.759
39591	1981-07-25	2	2	2021-12-02 12:34:57.787
33612	1975-05-12	1	2	2021-12-02 01:05:00.669
16664	1995-09-15	3	2	2021-12-02 23:22:57.013
361	1963-03-02	2	2	2021-12-02 23:37:22.049
18997	1982-10-18	1	2	2021-12-02 10:32:06.423
40512	1982-07-24	3	1	2021-12-02 00:26:38.323
350	1993-10-04	1	2	2021-12-02 03:44:10.114
3059	1983-12-02	3	1	2021-12-02 03:52:01.357
26795	1994-06-27	2	1	2021-12-02 12:07:06.403
30091	2005-07-22	1	1	2021-12-02 23:19:02.766
5071	1972-05-09	2	1	2021-12-02 18:25:28.221
26231	1965-06-09	3	2	2021-12-02 21:01:46.294
1233	1987-08-24	1	2	2021-12-02 10:43:39.591
15783	1989-03-30	2	1	2021-12-02 05:01:53.247
8490	2007-04-10	3	1	2021-12-02 19:29:43.598
9385	2006-08-20	1	1	2021-12-02 03:18:10.415
41405	1986-01-30	3	1	2021-12-02 22:21:38.538
11991	2006-11-06	3	2	2021-12-02 03:48:01.773
30807	1976-05-22	2	2	2021-12-02 01:52:30.548
13250	1960-06-09	1	1	2021-12-02 21:43:09.576
26380	1995-01-17	3	1	2021-12-02 20:11:12.722
22434	1987-05-11	1	1	2021-12-02 09:24:16.843
24556	1968-11-06	2	2	2021-12-02 10:45:13.450
22148	1964-04-28	3	1	2021-12-02 17:30:42.313
39298	1970-04-22	2	1	2021-12-02 16:18:01.475
40927	2007-02-22	1	2	2021-12-02 12:01:56.698
29059	1980-06-29	1	2	2021-12-02 09:49:21.971
18612	1985-03-24	3	2	2021-12-02 05:08:14.529
30161	1958-02-06	2	2	2021-12-02 05:21:33.451
6062	2002-06-14	1	2	2021-12-02 17:03:52.747
35895	2008-01-30	2	2	2021-12-02 22:54:39.938
39767	2005-09-29	3	2	2021-12-02 01:07:15.623
25982	1952-08-12	3	2	2021-12-02 09:14:28.876
1108	1953-12-01	1	2	2021-12-02 06:36:19.943
2274	1993-08-15	3	2	2021-12-02 09:00:38.442
13744	2006-04-19	1	1	2021-12-02 18:27:29.970
26621	1953-02-08	1	2	2021-12-02 07:26:23.544
25344	1951-08-14	1	2	2021-12-02 16:53:59.512
2183	1973-09-07	1	2	2021-12-02 18:59:08.099
7291	2000-09-11	1	2	2021-12-02 14:52:44.366
26380	1988-08-07	2	1	2021-12-02 15:44:44.698
8044	1953-07-06	1	1	2021-12-02 23:50:58.595
10433	2006-09-20	1	2	2021-12-02 09:39:35.426
24994	1967-08-04	1	1	2021-12-02 20:33:24.157
31407	2001-12-14	2	1	2021-12-02 05:47:45.437
25669	1961-11-10	3	2	2021-12-02 03:26:06.379
33201	1991-01-25	1	1	2021-12-02 09:41:15.032
32741	2005-08-06	2	1	2021-12-02 10:36:48.239
28649	1993-08-31	1	2	2021-12-02 07:50:54.891
17637	1988-09-11	2	1	2021-12-02 02:32:05.844
30364	1956-09-21	1	1	2021-12-02 12:20:50.030
24670	1983-12-25	1	2	2021-12-02 03:22:45.735
25838	1965-02-13	2	1	2021-12-02 19:07:24.205
30208	1962-10-13	1	2	2021-12-02 22:32:55.431
18400	1996-12-22	2	2	2021-12-02 04:47:12.332
29619	1951-12-03	1	2	2021-12-02 01:47:03.600
22184	1984-05-25	1	1	2021-12-02 04:47:44.633
3095	2009-05-11	3	1	2021-12-02 11:04:01.467
27310	1964-04-30	3	1	2021-12-02 03:42:37.429
33749	1991-10-25	2	2	2021-12-02 08:21:06.335
31740	1989-04-02	2	2	2021-12-02 09:59:54.080
22345	1959-09-09	1	1	2021-12-02 05:38:23.878
28635	1952-09-16	1	1	2021-12-02 03:45:08.881
32713	2007-08-02	2	2	2021-12-02 04:35:52.479
43650	1956-03-24	2	2	2021-12-02 13:02:28.804
33498	2002-07-12	1	2	2021-12-02 02:42:10.245
27329	1969-04-06	2	2	2021-12-02 15:14:48.613
21006	1974-10-28	3	1	2021-12-02 23:02:30.561
34076	1994-06-28	1	1	2021-12-02 23:10:36.153
34524	1983-03-04	3	1	2021-12-02 14:48:23.022
29417	1953-03-30	2	1	2021-12-02 11:19:34.691
5508	1995-07-06	2	2	2021-12-02 22:18:56.412
38004	1985-09-01	3	2	2021-12-02 14:44:29.796
32232	1961-12-29	2	1	2021-12-02 00:22:37.474
21012	1956-04-25	1	2	2021-12-02 02:00:15.611
32018	1996-06-25	1	2	2021-12-02 18:41:46.116
40213	1960-07-20	1	1	2021-12-02 06:53:10.294
17	1984-07-15	2	2	2021-12-02 01:16:29.751
5836	2009-06-20	3	1	2021-12-02 22:19:19.639
27093	1994-03-03	1	2	2021-12-02 11:03:59.432
37450	1992-10-25	2	1	2021-12-02 21:00:07.435
3094	1983-04-13	3	2	2021-12-02 19:46:47.578
32176	1961-12-29	3	2	2021-12-02 03:15:31.269
23786	1974-12-16	2	2	2021-12-02 19:10:17.357
5157	1975-10-05	3	1	2021-12-02 14:23:47.253
22489	1991-09-14	1	1	2021-12-02 23:59:56.885
13391	1978-12-20	2	2	2021-12-02 09:55:39.920
37498	1960-04-05	1	1	2021-12-02 15:28:10.881
30701	1973-11-14	3	2	2021-12-02 02:53:52.262
5239	2006-09-16	3	1	2021-12-02 12:00:14.793
21016	1995-05-31	2	1	2021-12-02 18:52:04.459
454	1989-08-27	1	2	2021-12-02 09:45:53.528
19413	1995-08-19	2	2	2021-12-02 09:39:24.782
33301	1998-06-19	3	1	2021-12-02 10:38:39.451
32701	1967-01-24	2	2	2021-12-02 06:40:08.227
28590	1993-10-30	2	1	2021-12-02 08:58:15.663
8254	1989-04-30	3	1	2021-12-02 09:22:01.293
38144	1996-01-31	1	2	2021-12-02 09:38:19.762
9999	1950-12-02	2	1	2021-12-02 07:23:45.815
17753	1971-05-07	2	1	2021-12-02 22:19:50.843
24182	2002-06-07	2	1	2021-12-02 01:22:49.165
9828	1977-10-16	1	2	2021-12-02 02:45:50.127
23544	1968-08-08	1	2	2021-12-02 04:35:25.909
25938	1959-05-29	2	2	2021-12-02 00:58:15.682
10435	1998-06-16	2	2	2021-12-02 16:03:08.162
23766	1967-05-02	2	1	2021-12-02 01:37:40.319
26854	1993-11-14	2	2	2021-12-02 07:22:53.682
22108	1973-02-04	1	2	2021-12-02 18:20:28.859
43742	1974-02-01	3	1	2021-12-02 09:49:01.168
5393	1979-06-25	3	2	2021-12-02 22:53:02.449
14826	1957-10-06	3	1	2021-12-02 18:31:14.299
9760	1967-02-21	1	1	2021-12-02 14:49:52.880
3692	1956-05-05	2	2	2021-12-02 17:25:16.004
21920	1956-10-12	2	1	2021-12-02 04:38:24.167
31906	1993-07-11	3	2	2021-12-02 23:02:46.283
31335	1965-10-08	1	1	2021-12-02 20:00:32.812
17545	1982-08-12	2	1	2021-12-02 00:05:31.522
1568	1976-02-27	1	2	2021-12-02 14:35:14.608
4242	2005-08-14	2	1	2021-12-02 02:30:58.419
27083	1950-07-18	2	2	2021-12-02 02:06:52.269
44433	2006-09-14	3	1	2021-12-02 20:03:58.733
31308	1953-07-12	1	2	2021-12-02 08:56:20.361
26864	1959-01-06	2	2	2021-12-02 02:13:33.267
27096	1967-10-30	3	1	2021-12-02 22:23:58.167
15570	1968-01-07	1	2	2021-12-02 09:50:10.441
22555	1984-02-05	1	1	2021-12-02 16:07:12.588
33618	1990-03-16	3	2	2021-12-02 04:28:03.085
12804	1971-04-10	2	1	2021-12-02 09:49:40.621
44999	1984-02-14	3	1	2021-12-02 23:11:48.344
731	1999-05-14	2	2	2021-12-02 04:35:24.403
6957	1962-07-20	3	1	2021-12-02 12:52:20.625
15540	1976-09-25	2	1	2021-12-02 08:17:38.377
20910	1961-03-27	3	2	2021-12-02 17:11:15.081
4956	1987-08-12	3	1	2021-12-02 19:39:34.057
5526	1993-05-21	3	2	2021-12-02 13:33:47.312
14639	1970-06-08	3	1	2021-12-02 20:39:55.787
35377	2001-01-20	2	2	2021-12-02 03:48:45.655
13145	1963-11-25	1	1	2021-12-02 03:47:30.923
27531	1978-06-18	1	2	2021-12-02 21:43:18.712
21732	2000-12-09	2	1	2021-12-02 23:46:41.937
35957	1992-07-23	2	2	2021-12-02 21:13:13.761
24011	1963-09-30	1	1	2021-12-02 08:27:40.404
31790	1982-01-26	2	1	2021-12-02 16:09:45.695
32459	1995-12-09	2	2	2021-12-02 16:17:01.133
9667	2005-04-26	3	2	2021-12-02 20:23:21.181
13614	1950-04-19	1	1	2021-12-02 19:03:18.649
35613	2008-03-27	2	1	2021-12-02 03:35:16.015
16217	1979-07-07	1	1	2021-12-02 19:37:11.648
10518	2008-01-09	3	1	2021-12-02 01:07:40.417
19488	1993-05-15	2	2	2021-12-02 14:02:05.325
43064	2004-02-27	2	2	2021-12-02 08:23:22.671
22434	2000-11-04	2	1	2021-12-02 17:41:04.010
23110	1997-04-07	2	2	2021-12-02 06:21:22.147
35651	1967-10-28	2	2	2021-12-02 18:25:23.305
27859	1964-08-27	2	1	2021-12-02 06:14:06.952
22461	1994-12-02	1	2	2021-12-02 09:21:16.753
26874	2003-03-30	1	2	2021-12-02 07:24:08.661
1284	1976-12-29	1	1	2021-12-02 12:05:39.485
23418	1981-02-23	1	2	2021-12-02 17:00:50.574
10850	1951-11-29	1	1	2021-12-02 23:15:57.418
14373	1989-10-04	2	1	2021-12-02 20:12:34.219
8602	1987-02-24	3	1	2021-12-02 21:28:46.117
17100	2008-03-22	3	2	2021-12-02 00:14:08.310
6206	1987-04-18	1	2	2021-12-02 21:07:06.461
32392	1966-11-10	3	1	2021-12-02 19:09:09.801
5610	1980-07-17	3	1	2021-12-02 10:50:38.198
26937	1994-10-20	1	2	2021-12-02 17:18:47.584
30436	1986-12-03	3	1	2021-12-02 11:09:58.486
2407	1976-07-02	3	2	2021-12-02 16:26:28.267
10443	1993-03-15	2	2	2021-12-02 22:37:04.874
42986	2001-01-26	3	2	2021-12-02 22:43:47.909
20560	1984-05-22	1	1	2021-12-02 05:32:15.812
6821	2004-05-04	3	2	2021-12-02 01:34:50.435
3250	1964-03-12	3	2	2021-12-02 22:53:48.215
11588	2004-10-18	1	1	2021-12-02 02:10:35.747
15469	1976-06-13	3	1	2021-12-02 23:43:19.465
3511	1954-09-22	3	2	2021-12-02 10:49:12.309
24944	1955-12-04	2	2	2021-12-02 11:37:22.504
24738	1959-09-09	1	1	2021-12-02 11:24:54.633
37684	2002-10-04	3	1	2021-12-02 02:11:00.397
18196	1953-02-03	1	1	2021-12-02 08:19:18.861
13672	1966-09-19	1	2	2021-12-02 23:42:01.865
32390	1974-05-02	3	1	2021-12-02 02:19:00.129
41859	1982-12-05	2	2	2021-12-02 05:21:48.083
26568	2009-12-09	3	2	2021-12-02 19:48:35.178
15703	1979-03-01	2	1	2021-12-02 11:35:54.096
25166	1988-10-16	2	1	2021-12-02 11:21:46.420
15017	1955-06-03	1	2	2021-12-02 03:28:38.097
44918	1990-01-24	1	1	2021-12-02 04:18:32.240
989	1982-10-19	3	1	2021-12-02 22:55:39.957
23466	1968-05-31	3	1	2021-12-02 19:47:15.870
43012	1992-09-25	1	2	2021-12-02 08:13:49.201
39829	1979-12-23	2	2	2021-12-02 01:58:59.289
28332	2009-07-06	3	1	2021-12-02 05:22:07.983
31815	2002-05-20	2	2	2021-12-02 14:50:48.391
8637	1985-01-19	1	2	2021-12-02 22:36:51.885
17661	1983-09-27	3	1	2021-12-02 13:11:49.180
16704	2006-05-09	1	2	2021-12-02 10:10:47.270
12080	1977-07-13	1	2	2021-12-02 04:21:17.000
204	1994-01-26	2	2	2021-12-02 01:02:10.869
36114	1964-08-09	3	1	2021-12-02 23:46:35.426
9279	1969-11-15	2	2	2021-12-02 12:33:32.516
8987	1964-01-07	1	1	2021-12-02 02:46:36.304
14026	1973-05-30	2	1	2021-12-02 12:38:57.067
19275	1961-09-30	2	1	2021-12-02 13:14:10.631
43221	1982-11-23	2	2	2021-12-02 15:43:42.293
26170	1965-12-02	1	1	2021-12-02 10:37:36.184
26631	2005-03-12	3	2	2021-12-02 08:39:51.524
6536	1998-06-04	2	1	2021-12-02 19:29:33.787
17409	1979-01-07	2	2	2021-12-02 09:05:04.234
27318	2000-02-21	3	1	2021-12-02 10:34:23.807
20912	1996-02-22	2	2	2021-12-02 23:04:42.764
15340	2008-10-03	3	1	2021-12-02 01:22:09.140
15592	1951-09-18	2	1	2021-12-02 16:19:37.554
41645	1960-07-14	1	1	2021-12-02 19:31:00.089
16670	1958-11-09	3	2	2021-12-02 03:20:01.927
8417	1978-05-15	3	2	2021-12-02 16:55:24.822
42830	1994-07-31	1	2	2021-12-02 10:38:50.478
354	1977-05-02	2	1	2021-12-02 22:57:57.400
27124	2007-04-03	2	2	2021-12-02 02:21:52.880
32969	1991-12-06	1	1	2021-12-02 00:20:25.650
35980	2002-04-23	3	2	2021-12-02 04:44:49.005
34102	2004-11-14	3	2	2021-12-02 23:57:27.685
11507	2000-05-18	1	1	2021-12-02 11:48:12.006
19750	1954-04-03	2	1	2021-12-02 13:06:23.830
