userid	birthdate	profileLevel	gender	updatedTime
24719	2008-11-21	1	2	2021-12-03 00:01:55.830
39515	1992-05-30	1	2	2021-12-03 19:25:25.929
27568	2003-10-10	2	2	2021-12-03 01:34:27.431
9481	2006-10-16	2	2	2021-12-03 00:00:15.132
19878	1992-12-16	2	1	2021-12-03 06:58:28.327
1628	1964-04-28	3	2	2021-12-03 08:35:36.676
26956	1973-07-12	1	1	2021-12-03 05:18:43.630
36645	1996-02-06	2	1	2021-12-03 02:20:04.810
33353	2008-10-11	3	2	2021-12-03 17:57:44.628
36589	1972-07-05	2	2	2021-12-03 07:44:23.249
10859	1972-06-09	1	2	2021-12-03 06:09:50.772
8062	1952-12-26	3	2	2021-12-03 11:35:38.059
5742	2008-07-18	3	2	2021-12-03 11:06:32.652
26189	1993-02-09	3	2	2021-12-03 20:41:04.909
9451	1959-03-06	2	2	2021-12-03 12:21:00.562
24512	1952-11-26	1	2	2021-12-03 09:16:38.191
37719	1967-04-18	1	1	2021-12-03 06:55:01.377
17152	1974-02-11	2	1	2021-12-03 04:10:11.534
28033	1982-05-16	3	1	2021-12-03 09:21:37.715
32378	1957-07-02	1	1	2021-12-03 05:52:05.894
16816	1972-04-30	2	2	2021-12-03 14:30:10.055
2342	2006-11-19	1	2	2021-12-03 11:49:08.814
4808	1969-03-12	3	2	2021-12-03 03:38:37.167
34459	2002-10-29	2	1	2021-12-03 03:26:40.130
22793	1987-01-27	3	2	2021-12-03 04:19:27.638
19891	1954-12-12	2	1	2021-12-03 22:11:32.070
15738	1958-08-16	1	1	2021-12-03 05:42:57.142
9562	1991-09-22	3	1	2021-12-03 17:59:37.166
22701	2005-12-22	3	1	2021-12-03 11:41:20.397
16396	2001-01-01	2	1	2021-12-03 11:09:06.863
34648	2003-11-18	3	2	2021-12-03 17:50:56.456
4899	1967-11-09	3	1	2021-12-03 05:29:57.009
3261	1992-10-21	3	1	2021-12-03 06:08:17.181
12221	1986-12-04	1	1	2021-12-03 05:26:29.417
27703	1981-09-07	2	2	2021-12-03 11:01:14.271
21903	1967-05-28	3	2	2021-12-03 01:45:51.385
43001	1971-06-15	2	1	2021-12-03 16:54:39.384
44747	2002-06-27	2	2	2021-12-03 17:16:35.502
8615	1951-07-21	3	1	2021-12-03 14:26:27.816
41865	2005-07-20	2	2	2021-12-03 14:22:26.562
9917	1963-05-24	3	2	2021-12-03 02:00:48.290
21901	2003-06-09	3	1	2021-12-03 07:46:29.592
16378	1959-12-20	2	2	2021-12-03 18:41:33.704
21576	1993-03-28	2	1	2021-12-03 03:14:38.059
39897	1986-04-19	2	1	2021-12-03 17:54:37.181
34683	1967-07-31	2	2	2021-12-03 03:15:17.506
3540	1980-06-22	3	2	2021-12-03 07:50:54.140
40572	1988-09-06	3	1	2021-12-03 13:18:03.398
