userid	birthdate	profileLevel	gender	updatedTime
21952	1951-07-19	2	2	2021-12-04 04:15:17.852
22210	1979-03-27	2	2	2021-12-04 15:37:03.301
20205	1957-01-01	1	1	2021-12-04 14:50:58.645
37534	1959-04-02	2	1	2021-12-04 13:57:45.541
4268	1967-10-23	2	1	2021-12-04 19:25:09.161
10349	1984-03-27	2	1	2021-12-04 16:55:56.117
37253	1971-07-10	3	2	2021-12-04 19:46:44.094
42414	1959-09-20	1	1	2021-12-04 03:15:06.086
34519	1959-09-21	1	2	2021-12-04 04:00:29.633
31146	2000-08-11	2	2	2021-12-04 15:49:47.462
31983	1995-07-08	2	2	2021-12-04 03:34:32.888
35736	1969-09-11	1	1	2021-12-04 13:51:06.302
40163	1966-03-17	3	1	2021-12-04 21:03:35.926
44275	1953-03-13	3	1	2021-12-04 21:53:02.429
20303	1989-10-15	3	2	2021-12-04 17:56:11.124
42790	1954-09-28	3	1	2021-12-04 16:13:37.980
8431	1986-07-19	3	1	2021-12-04 02:33:23.808
19479	1951-03-24	1	2	2021-12-04 02:58:39.353
17380	1961-10-23	3	2	2021-12-04 18:33:10.162
20045	1973-11-29	3	1	2021-12-04 06:15:48.211
4450	1958-11-25	3	1	2021-12-04 07:46:41.675
34526	1994-07-22	3	2	2021-12-04 08:59:14.682
32744	1973-12-30	1	1	2021-12-04 06:20:51.446
20783	1997-11-01	2	1	2021-12-04 06:15:27.603
26583	1950-08-15	1	2	2021-12-04 02:07:07.825
27621	1960-12-04	2	1	2021-12-04 13:53:37.858
13132	1980-04-25	2	1	2021-12-04 18:32:56.915
25663	1988-05-19	3	1	2021-12-04 20:47:53.464
23831	1952-01-16	1	1	2021-12-04 06:25:42.881
16194	1976-04-24	3	2	2021-12-04 11:26:35.512
38263	1956-12-24	2	1	2021-12-04 17:36:57.190
40696	1960-09-26	2	2	2021-12-04 21:18:58.587
9834	1996-12-07	3	1	2021-12-04 18:00:02.411
31534	2000-11-21	2	2	2021-12-04 14:43:44.121
24608	1984-02-09	2	1	2021-12-04 00:38:12.720
34571	1997-05-16	3	2	2021-12-04 18:05:21.274
27065	1995-04-09	1	1	2021-12-04 20:26:21.026
6412	1970-06-07	1	1	2021-12-04 14:36:32.968
41505	1978-02-12	2	2	2021-12-04 06:52:42.525
32244	1970-02-03	3	1	2021-12-04 05:39:42.628
9267	1957-10-23	3	2	2021-12-04 20:32:29.307
4663	2009-12-09	3	1	2021-12-04 18:36:03.839
28195	1957-09-23	1	2	2021-12-04 22:46:43.545
20124	1967-04-13	2	1	2021-12-04 10:21:39.306
16495	1951-12-28	1	2	2021-12-04 18:59:28.720
