userid	birthdate	profileLevel	gender	updatedTime
3007	1962-04-23	1	2	2021-12-05 20:55:42.988
19687	1996-11-09	3	2	2021-12-05 11:01:45.093
43798	1954-08-28	1	1	2021-12-05 22:46:20.612
19590	1978-11-26	2	2	2021-12-05 17:14:09.962
1240	1966-09-16	1	2	2021-12-05 10:45:04.137
41145	1998-07-30	2	2	2021-12-05 00:02:08.432
43514	1964-08-22	3	2	2021-12-05 21:00:53.808
40037	1973-03-02	2	1	2021-12-05 15:32:31.661
1816	1952-02-09	1	1	2021-12-05 10:46:11.139
4432	1965-12-12	2	2	2021-12-05 04:07:32.669
33695	1960-12-27	3	1	2021-12-05 09:43:07.559
28498	1967-09-08	1	2	2021-12-05 22:35:23.250
30484	1961-10-26	1	2	2021-12-05 16:44:18.055
29675	1974-10-26	2	2	2021-12-05 16:14:41.529
5131	1965-03-31	2	1	2021-12-05 04:00:47.013
44561	1993-08-20	2	2	2021-12-05 07:06:46.163
17621	1995-04-26	3	1	2021-12-05 23:33:47.787
25002	1958-08-06	1	1	2021-12-05 02:59:24.070
6386	2001-09-05	2	1	2021-12-05 06:05:34.205
24823	1987-09-27	3	1	2021-12-05 04:41:43.282
36395	1985-09-08	1	1	2021-12-05 12:16:50.364
2360	1961-08-26	2	2	2021-12-05 08:07:13.996
19168	1988-06-25	2	2	2021-12-05 14:27:08.484
7804	2009-02-28	1	2	2021-12-05 23:02:47.277
1494	2000-06-07	1	2	2021-12-05 18:16:06.031
14605	1955-04-27	3	2	2021-12-05 13:43:43.928
28777	1970-10-13	2	1	2021-12-05 22:11:01.420
11758	1975-10-07	3	1	2021-12-05 03:16:20.473
32132	1956-02-23	2	1	2021-12-05 17:54:23.483
1722	1964-08-28	2	2	2021-12-05 10:51:22.528
28872	1977-02-24	3	2	2021-12-05 04:26:01.786
13986	1988-06-18	3	1	2021-12-05 14:14:39.793
17825	2009-03-08	2	2	2021-12-05 15:27:14.052
35934	1968-01-06	1	2	2021-12-05 08:28:03.380
4442	1962-07-05	2	1	2021-12-05 20:04:57.539
16036	1985-09-06	3	2	2021-12-05 13:31:59.146
34566	1971-07-23	2	2	2021-12-05 01:47:03.868
3749	1986-02-13	1	2	2021-12-05 19:37:14.134
5665	1955-03-29	3	1	2021-12-05 14:29:48.359
43587	1970-08-30	1	2	2021-12-05 00:24:51.846
18871	1992-09-27	3	2	2021-12-05 04:24:13.836
12118	1971-07-21	2	1	2021-12-05 12:25:14.870
15197	1950-06-14	3	2	2021-12-05 09:13:47.710
18799	1979-02-07	1	1	2021-12-05 06:27:47.492
37122	1950-09-13	3	2	2021-12-05 05:54:13.612
29217	1988-06-25	3	2	2021-12-05 21:11:34.803
32056	1989-01-01	1	1	2021-12-05 00:29:06.256
30495	1951-10-07	3	1	2021-12-05 05:57:53.557
4185	1992-10-11	1	2	2021-12-05 12:45:46.594
