userid	birthdate	profileLevel	gender	updatedTime
36896	1969-11-08	2	2	2021-12-06 12:54:46.953
15655	1950-10-01	1	1	2021-12-06 18:50:39.415
30870	2005-06-13	2	2	2021-12-06 12:48:29.740
43176	2009-10-25	3	2	2021-12-06 11:34:14.925
42005	1982-10-07	3	2	2021-12-06 15:06:57.989
8843	1995-05-07	2	2	2021-12-06 01:15:24.889
16171	1993-02-28	3	1	2021-12-06 19:59:05.211
39777	1973-08-11	3	2	2021-12-06 15:06:01.778
17222	1963-09-16	1	1	2021-12-06 01:54:33.150
20960	2006-09-09	3	1	2021-12-06 18:47:02.379
13714	1996-05-05	1	2	2021-12-06 15:55:51.922
19222	1980-10-18	1	2	2021-12-06 08:47:09.895
8607	1953-11-28	3	2	2021-12-06 10:19:15.843
12789	1960-03-07	3	2	2021-12-06 03:23:13.787
11338	1964-05-11	2	2	2021-12-06 21:45:59.257
13894	1958-01-30	2	1	2021-12-06 10:51:44.407
1597	1966-08-20	2	1	2021-12-06 15:09:44.704
6026	1984-04-04	2	1	2021-12-06 00:39:20.301
30838	1953-11-29	3	2	2021-12-06 07:19:30.909
34220	1978-03-12	3	2	2021-12-06 00:08:09.815
12675	2009-07-13	2	1	2021-12-06 23:18:32.048
2054	1975-09-21	1	1	2021-12-06 13:41:59.877
35468	1966-10-31	2	1	2021-12-06 12:45:38.953
15384	2002-06-24	1	2	2021-12-06 18:46:11.078
18874	1997-03-02	1	2	2021-12-06 15:34:32.606
21624	1981-12-11	2	1	2021-12-06 17:53:14.764
9216	1962-01-24	3	2	2021-12-06 22:41:16.837
9752	1954-01-30	1	1	2021-12-06 18:59:49.085
25313	2004-02-23	3	1	2021-12-06 02:50:45.444
17340	2009-06-07	1	1	2021-12-06 07:51:30.406
29403	2005-07-06	2	1	2021-12-06 17:37:22.562
23123	1954-10-28	3	1	2021-12-06 15:52:21.378
247	1967-06-16	1	2	2021-12-06 02:13:02.542
41032	1951-07-14	1	1	2021-12-06 07:04:42.444
2890	1963-04-20	1	1	2021-12-06 10:05:08.261
33775	1975-11-26	3	1	2021-12-06 02:56:59.521
31379	1960-03-19	3	2	2021-12-06 00:34:08.393
14314	2002-12-28	2	1	2021-12-06 08:11:47.432
40009	1961-03-16	1	1	2021-12-06 20:47:45.531
7284	2001-04-13	1	2	2021-12-06 15:00:53.291
22174	1951-12-11	1	2	2021-12-06 22:34:04.348
6269	1971-04-16	2	2	2021-12-06 17:52:23.425
21040	1997-09-29	1	1	2021-12-06 08:51:23.092
3654	1967-01-21	2	2	2021-12-06 13:41:07.882
14358	1968-02-20	1	1	2021-12-06 03:20:04.195
17062	2006-10-06	3	2	2021-12-06 11:13:18.342
6744	1992-02-16	3	1	2021-12-06 12:18:32.115
32527	1989-05-05	3	2	2021-12-06 23:34:16.299
18631	2001-07-27	3	2	2021-12-06 09:20:46.833
38774	1952-05-02	2	1	2021-12-06 19:58:36.874
16338	1981-05-27	2	2	2021-12-06 17:35:45.768
10412	1963-11-24	3	1	2021-12-06 05:20:56.080
12782	1994-04-10	1	2	2021-12-06 03:03:04.712
5007	1988-05-03	2	2	2021-12-06 10:19:14.235
29952	1956-09-26	1	2	2021-12-06 06:19:32.494
17166	2002-10-12	2	1	2021-12-06 07:33:53.486
5235	1950-02-23	2	1	2021-12-06 12:33:13.994
13525	1962-08-15	3	2	2021-12-06 09:00:12.459
43417	1976-09-19	1	2	2021-12-06 01:56:59.519
19092	1951-10-30	3	1	2021-12-06 09:33:16.578
6252	1981-10-15	2	1	2021-12-06 10:25:02.598
1430	1974-05-12	2	1	2021-12-06 05:32:51.772
15383	2002-09-11	1	2	2021-12-06 02:45:05.438
14951	1976-06-24	1	2	2021-12-06 13:07:28.255
12590	1993-09-04	1	2	2021-12-06 00:26:34.184
19453	2005-02-22	2	1	2021-12-06 08:48:43.267
42699	1966-09-28	2	1	2021-12-06 02:47:53.475
44873	1950-08-07	3	1	2021-12-06 06:47:13.435
386	1961-04-02	3	1	2021-12-06 17:37:22.319
16246	1997-05-21	3	2	2021-12-06 20:41:12.452
38326	2002-09-02	2	2	2021-12-06 13:38:48.902
25744	1952-10-28	1	1	2021-12-06 03:22:13.050
26225	1990-06-15	2	2	2021-12-06 18:20:12.134
14065	1954-09-21	2	2	2021-12-06 19:26:22.849
8234	1992-12-18	1	1	2021-12-06 22:17:06.679
6796	1985-07-08	3	2	2021-12-06 09:34:42.255
10183	1954-07-25	2	2	2021-12-06 18:47:00.909
39028	1952-07-04	3	2	2021-12-06 07:09:27.397
40962	1952-10-26	1	2	2021-12-06 21:23:45.898
31864	1984-06-18	2	1	2021-12-06 07:00:37.902
36447	1977-06-20	3	2	2021-12-06 07:33:21.497
14679	1990-02-17	1	2	2021-12-06 01:04:53.824
40177	2002-03-04	1	1	2021-12-06 02:53:00.428
20014	1957-09-28	2	2	2021-12-06 12:32:03.839
16377	1971-03-15	3	1	2021-12-06 20:10:46.860
1179	1967-03-11	1	1	2021-12-06 01:39:39.480
20470	1996-01-15	1	2	2021-12-06 05:00:16.130
26024	1991-12-21	1	1	2021-12-06 00:17:02.096
25307	1980-11-20	2	2	2021-12-06 15:56:18.978
8773	2006-03-10	3	2	2021-12-06 05:08:13.407
3086	1983-11-05	1	2	2021-12-06 18:14:17.631
19015	1998-03-02	1	1	2021-12-06 15:46:36.788
