userid	birthdate	profileLevel	gender	updatedTime
30138	1980-07-26	2	1	2021-12-07 06:53:31.496
370	1965-10-22	2	1	2021-12-07 00:14:39.752
22742	1974-02-24	3	2	2021-12-07 23:57:34.891
39316	1971-05-08	1	1	2021-12-07 23:49:37.843
1513	1956-01-16	2	1	2021-12-07 16:30:02.929
26658	1961-08-29	1	2	2021-12-07 18:45:09.556
36789	1996-03-06	1	2	2021-12-07 03:22:03.772
35727	1981-03-13	3	1	2021-12-07 13:51:10.897
33480	1967-06-03	1	2	2021-12-07 04:27:28.915
8596	1973-11-03	1	1	2021-12-07 22:15:54.631
30415	2005-07-03	3	2	2021-12-07 23:02:10.248
37655	2003-02-03	2	2	2021-12-07 03:06:33.231
9885	1956-03-01	2	2	2021-12-07 19:55:01.712
14212	1996-05-09	1	2	2021-12-07 15:09:13.747
42810	1963-01-18	3	2	2021-12-07 04:36:33.561
39907	1954-12-17	2	1	2021-12-07 14:49:06.189
42804	1966-03-11	1	1	2021-12-07 07:12:35.976
20384	2002-01-15	3	2	2021-12-07 20:43:12.709
21209	1999-08-11	1	1	2021-12-07 22:05:47.670
6777	1993-05-06	2	1	2021-12-07 04:23:21.290
30570	1970-05-12	2	2	2021-12-07 15:28:51.978
16745	1959-08-05	2	1	2021-12-07 16:42:43.207
5480	1969-04-01	1	1	2021-12-07 00:32:00.818
24582	1955-12-19	2	2	2021-12-07 04:18:25.977
8612	1951-11-09	3	2	2021-12-07 12:28:23.526
4734	2008-08-03	3	1	2021-12-07 13:13:54.788
12020	2004-12-11	3	1	2021-12-07 16:09:23.620
41747	1993-05-04	3	2	2021-12-07 12:36:36.749
11806	2007-06-02	3	1	2021-12-07 16:46:58.173
16601	1957-10-06	1	1	2021-12-07 13:24:09.029
29384	2007-08-13	2	2	2021-12-07 03:42:23.331
12531	1976-05-18	3	1	2021-12-07 03:42:50.835
22675	1995-12-06	1	2	2021-12-07 01:14:39.382
24488	1990-02-05	1	2	2021-12-07 20:00:17.481
17036	1971-09-18	1	2	2021-12-07 05:07:42.362
29286	1958-04-05	3	1	2021-12-07 05:25:30.184
22879	1950-08-07	3	1	2021-12-07 03:09:57.526
29515	1985-07-13	3	2	2021-12-07 18:16:38.062
17989	1985-04-15	3	1	2021-12-07 03:45:30.541
20399	1995-07-22	3	1	2021-12-07 18:15:40.010
20803	1997-11-19	1	1	2021-12-07 11:24:47.399
14229	1996-05-24	1	1	2021-12-07 00:10:12.710
9348	1996-12-12	2	2	2021-12-07 14:28:57.100
29221	1976-02-19	2	2	2021-12-07 23:09:51.602
23113	1962-04-20	1	2	2021-12-07 17:42:45.549
44260	1994-04-10	3	2	2021-12-07 14:18:44.149
17846	2006-11-27	1	2	2021-12-07 19:47:19.655
9016	1983-06-11	1	2	2021-12-07 17:02:48.907
2770	1972-10-15	1	1	2021-12-07 08:15:12.163
6569	1968-10-06	3	1	2021-12-07 09:03:25.909
17746	1984-06-08	1	2	2021-12-07 12:46:09.368
19668	1953-10-04	3	1	2021-12-07 02:15:38.997
29910	1982-07-30	3	2	2021-12-07 08:25:18.317
24325	1966-04-05	3	2	2021-12-07 21:21:03.673
2558	1973-08-17	1	1	2021-12-07 21:49:06.061
43527	1998-05-10	3	2	2021-12-07 21:34:51.888
10653	2003-09-23	2	1	2021-12-07 14:36:54.283
43413	2000-04-17	1	1	2021-12-07 03:12:38.900
2876	1950-10-13	2	1	2021-12-07 05:23:37.420
7978	1958-02-09	2	2	2021-12-07 04:52:51.699
22800	1998-05-20	2	1	2021-12-07 04:27:17.595
23932	1963-07-13	2	1	2021-12-07 10:07:31.462
25951	1959-11-15	2	1	2021-12-07 01:04:08.545
15253	1980-04-01	3	1	2021-12-07 05:06:20.462
3533	1957-09-18	3	1	2021-12-07 21:03:05.939
12562	1964-11-19	1	2	2021-12-07 06:25:57.996
12004	1990-12-22	1	2	2021-12-07 20:55:33.156
15126	1994-12-08	3	2	2021-12-07 23:23:33.489
7746	1996-12-11	3	1	2021-12-07 07:03:01.317
19177	1973-12-02	2	2	2021-12-07 03:26:46.296
40957	1992-09-01	2	1	2021-12-07 13:36:11.131
12907	1967-09-13	2	1	2021-12-07 13:54:34.897
27811	1965-11-29	3	2	2021-12-07 02:33:42.062
9458	1980-04-18	1	2	2021-12-07 14:55:41.788
20209	1998-11-05	2	1	2021-12-07 12:38:41.602
26812	1986-10-09	2	1	2021-12-07 22:57:13.701
38962	1965-02-23	3	1	2021-12-07 03:11:20.656
7328	1970-05-28	2	2	2021-12-07 04:34:47.798
