userid	birthdate	profileLevel	gender	updatedTime
34626	2005-03-20	1	1	2021-12-08 10:55:12.013
10977	1963-05-01	2	2	2021-12-08 21:15:16.033
43377	1983-02-15	2	2	2021-12-08 11:29:05.626
30193	1975-04-26	2	1	2021-12-08 05:56:28.010
6034	1951-07-25	1	1	2021-12-08 04:47:36.275
31224	2002-11-17	1	1	2021-12-08 22:12:57.267
9391	1963-12-08	2	1	2021-12-08 21:27:18.454
6783	1975-07-16	2	1	2021-12-08 16:43:25.826
21384	1994-12-08	1	2	2021-12-08 16:54:56.343
22111	1987-12-13	2	1	2021-12-08 23:40:46.977
7587	1961-09-29	2	1	2021-12-08 15:30:43.881
27614	1963-03-21	2	2	2021-12-08 22:22:56.276
15964	1955-02-19	1	1	2021-12-08 03:55:26.258
12511	1991-10-02	3	1	2021-12-08 14:22:15.847
25395	1955-03-03	1	2	2021-12-08 18:45:36.654
25931	1968-11-04	3	1	2021-12-08 20:22:28.898
21432	1995-02-25	3	2	2021-12-08 07:44:20.155
33933	1993-08-18	2	2	2021-12-08 01:01:27.165
37873	1956-05-25	3	2	2021-12-08 10:16:38.830
34626	1976-08-02	1	2	2021-12-08 15:47:50.407
27477	1959-05-13	3	2	2021-12-08 05:39:42.510
42827	1995-02-26	2	2	2021-12-08 10:58:28.798
26346	1953-02-02	2	1	2021-12-08 07:49:56.704
21443	1971-04-19	1	2	2021-12-08 07:37:45.006
39259	2008-03-26	3	1	2021-12-08 11:23:24.951
26627	2004-10-22	1	2	2021-12-08 16:10:08.904
21928	1972-01-16	3	1	2021-12-08 08:37:36.115
6526	1977-07-03	1	1	2021-12-08 08:03:24.848
8925	1951-12-14	1	2	2021-12-08 00:25:54.830
29362	1957-10-31	2	1	2021-12-08 03:59:10.092
21647	1986-04-08	3	1	2021-12-08 08:05:47.738
7451	1977-05-17	3	1	2021-12-08 15:14:29.772
28665	1978-06-13	2	1	2021-12-08 11:56:12.210
1666	1958-06-17	1	1	2021-12-08 13:46:27.738
31531	1969-01-13	1	1	2021-12-08 14:11:54.587
39437	1992-04-17	1	1	2021-12-08 14:53:55.135
23340	1954-04-28	2	1	2021-12-08 01:56:11.317
41634	1996-04-04	1	1	2021-12-08 15:57:50.029
34511	1993-10-12	1	1	2021-12-08 20:15:08.068
23623	1951-06-19	1	2	2021-12-08 10:35:47.040
24478	1954-06-17	2	2	2021-12-08 23:43:59.614
10614	1980-08-21	3	2	2021-12-08 23:28:35.753
11031	1960-06-07	2	1	2021-12-08 13:53:41.001
22111	1997-02-28	3	2	2021-12-08 10:05:18.673
9417	2002-08-27	2	2	2021-12-08 13:02:31.874
44466	1958-08-03	3	2	2021-12-08 23:02:49.991
30845	1979-08-03	3	2	2021-12-08 13:11:34.596
39096	1969-01-20	3	2	2021-12-08 23:42:55.521
20558	1995-11-12	1	1	2021-12-08 11:08:37.657
26569	1972-06-17	1	2	2021-12-08 14:30:37.785
32032	1978-05-30	2	1	2021-12-08 15:55:59.580
41264	1966-12-29	1	1	2021-12-08 17:49:52.647
6360	1963-03-02	3	2	2021-12-08 02:53:56.312
33393	1985-10-07	2	1	2021-12-08 02:36:14.282
41674	1961-11-16	3	1	2021-12-08 02:10:38.439
32266	1999-08-20	3	2	2021-12-08 04:43:03.261
14523	1951-03-04	2	2	2021-12-08 12:01:33.337
39679	1970-12-09	3	2	2021-12-08 22:49:59.201
11633	1958-09-23	2	1	2021-12-08 09:45:38.944
17238	1988-10-16	1	1	2021-12-08 13:58:50.757
13436	1993-07-14	3	2	2021-12-08 19:51:34.368
33389	1965-01-11	3	1	2021-12-08 21:05:33.377
2931	1997-07-11	2	2	2021-12-08 03:29:47.851
13407	1984-02-01	2	1	2021-12-08 20:26:47.645
8444	1962-12-08	3	1	2021-12-08 11:06:09.162
38402	1960-06-28	3	2	2021-12-08 20:28:25.446
21187	1974-01-25	1	1	2021-12-08 20:16:27.514
39945	1989-12-26	2	2	2021-12-08 13:39:38.206
7384	1951-10-04	1	2	2021-12-08 06:34:02.308
34931	1956-11-13	1	1	2021-12-08 23:41:58.580
1673	1952-11-03	3	1	2021-12-08 22:27:13.118
16698	2003-07-19	2	1	2021-12-08 00:43:14.974
21548	1950-09-12	3	2	2021-12-08 19:45:25.456
14510	1998-12-04	2	1	2021-12-08 12:06:09.712
12207	1983-11-19	3	1	2021-12-08 17:55:27.973
10221	1951-05-12	1	1	2021-12-08 18:18:35.826
40649	1978-10-26	1	2	2021-12-08 02:56:16.132
24067	1952-05-16	2	1	2021-12-08 05:18:01.395
10049	1973-07-12	2	1	2021-12-08 09:06:21.819
14123	1972-07-10	1	1	2021-12-08 07:55:43.379
20209	2002-02-04	3	2	2021-12-08 05:33:50.246
26732	1982-12-01	1	1	2021-12-08 08:28:12.993
32835	1974-06-14	3	2	2021-12-08 08:47:41.821
28978	1963-12-13	3	1	2021-12-08 14:34:20.634
19301	1984-07-03	2	2	2021-12-08 04:04:55.453
27146	2008-03-26	3	1	2021-12-08 22:44:56.941
42414	1965-08-10	1	2	2021-12-08 17:22:24.001
40266	1984-09-01	1	1	2021-12-08 09:20:47.229
10654	1957-12-06	2	2	2021-12-08 11:37:54.298
30479	1957-02-14	2	2	2021-12-08 21:45:53.865
39926	1996-01-23	3	1	2021-12-08 13:36:01.673
22293	1968-10-23	2	2	2021-12-08 08:44:19.753
29351	1958-12-17	3	1	2021-12-08 20:31:22.805
11568	1951-06-21	1	1	2021-12-08 04:20:33.534
33626	1993-06-01	3	2	2021-12-08 11:27:31.563
6915	1983-03-04	2	2	2021-12-08 11:48:10.419
11899	1953-10-29	1	1	2021-12-08 10:52:13.394
10640	1991-12-02	2	2	2021-12-08 16:05:31.152
41615	1993-11-12	2	2	2021-12-08 08:07:43.060
12711	1952-02-15	1	1	2021-12-08 18:42:49.799
22149	1984-06-19	3	2	2021-12-08 18:54:34.005
31409	1992-03-22	3	2	2021-12-08 05:02:04.607
5063	2003-11-30	3	1	2021-12-08 10:49:50.268
22236	2002-10-05	3	2	2021-12-08 06:56:26.220
13413	1987-04-20	3	2	2021-12-08 03:27:29.285
4023	2002-10-18	2	1	2021-12-08 19:32:48.003
42346	1985-11-25	3	2	2021-12-08 01:12:22.604
36985	2008-11-16	2	1	2021-12-08 04:53:11.796
13295	2008-03-07	2	1	2021-12-08 15:47:50.822
23273	1961-11-11	1	2	2021-12-08 05:43:16.567
18216	1977-01-03	3	2	2021-12-08 12:58:36.364
17478	1971-12-26	3	2	2021-12-08 01:15:22.780
40548	1962-12-26	1	2	2021-12-08 22:53:28.814
3027	2004-11-15	2	1	2021-12-08 13:03:13.504
25198	1972-04-19	2	2	2021-12-08 17:32:26.373
6396	1965-12-29	2	2	2021-12-08 03:04:12.498
26120	1989-09-07	1	1	2021-12-08 03:42:08.469
26481	1991-01-26	3	1	2021-12-08 11:54:21.689
28523	1957-02-18	3	1	2021-12-08 12:24:55.224
28346	1979-12-30	1	1	2021-12-08 22:47:38.288
27924	1985-11-29	2	1	2021-12-08 19:02:40.307
10397	1964-09-29	2	2	2021-12-08 04:52:02.397
37488	1956-01-27	1	1	2021-12-08 22:54:41.427
12240	1953-03-04	2	1	2021-12-08 03:21:16.675
43765	1984-01-24	2	2	2021-12-08 05:52:01.073
19779	1977-01-07	2	1	2021-12-08 20:06:00.666
28831	1997-02-06	1	1	2021-12-08 00:37:00.840
33140	1992-02-06	2	1	2021-12-08 21:18:20.683
43814	1958-12-25	3	2	2021-12-08 14:44:03.968
24243	1992-11-05	3	1	2021-12-08 23:49:23.329
26614	1964-08-04	3	1	2021-12-08 04:46:55.127
21608	1957-11-27	3	2	2021-12-08 10:37:46.161
18310	1975-04-17	2	2	2021-12-08 12:43:53.824
11609	1958-08-19	2	1	2021-12-08 00:17:04.743
7283	1990-08-28	1	2	2021-12-08 11:19:20.410
21728	1991-01-25	3	2	2021-12-08 22:25:10.190
30316	1997-06-12	3	2	2021-12-08 17:18:39.443
13195	1977-01-01	1	2	2021-12-08 08:29:41.028
9597	1978-08-29	1	1	2021-12-08 07:29:04.942
22120	1962-08-04	1	2	2021-12-08 10:51:21.990
36139	1987-12-05	2	2	2021-12-08 21:46:49.757
20668	1998-02-11	2	1	2021-12-08 21:42:19.891
15476	1959-05-26	3	2	2021-12-08 14:58:07.446
43279	1960-09-03	1	1	2021-12-08 08:55:00.977
17753	2002-10-31	1	2	2021-12-08 08:31:05.534
20157	1994-03-06	1	1	2021-12-08 20:47:14.339
29483	1988-01-30	3	2	2021-12-08 05:01:26.930
20030	1999-04-04	1	2	2021-12-08 14:48:32.308
26403	1991-12-10	2	1	2021-12-08 02:47:56.758
21225	1980-04-25	3	2	2021-12-08 12:25:37.375
20702	1956-03-22	3	1	2021-12-08 10:44:13.047
22134	1992-07-31	2	1	2021-12-08 18:46:01.900
9337	1955-07-15	2	2	2021-12-08 22:39:38.031
9563	1999-10-19	1	1	2021-12-08 17:43:23.948
29493	1985-06-25	2	2	2021-12-08 06:14:22.971
8416	1977-06-06	2	1	2021-12-08 05:23:51.806
11109	1977-09-24	3	1	2021-12-08 06:43:42.525
3239	1962-01-22	2	2	2021-12-08 10:28:30.748
33868	1962-06-12	2	2	2021-12-08 20:14:14.575
24718	1961-12-20	3	1	2021-12-08 21:23:44.256
30879	1993-05-08	2	1	2021-12-08 15:46:29.798
8019	1989-12-11	3	1	2021-12-08 07:27:53.066
19059	1979-11-29	1	1	2021-12-08 19:27:03.962
570	1960-08-22	1	2	2021-12-08 22:27:05.828
3441	1970-07-28	1	1	2021-12-08 14:10:54.333
1965	1986-11-22	1	1	2021-12-08 00:45:15.931
34867	2004-03-12	2	2	2021-12-08 06:12:33.061
42275	1968-03-23	2	2	2021-12-08 20:17:46.979
8262	1975-05-27	3	1	2021-12-08 19:21:55.722
16730	1980-03-26	3	2	2021-12-08 01:26:43.812
32427	1999-06-16	1	2	2021-12-08 05:01:46.449
43599	1961-06-22	1	2	2021-12-08 05:40:26.856
19860	1952-06-20	3	2	2021-12-08 04:45:13.176
10980	2008-08-10	2	2	2021-12-08 21:00:19.668
4773	1984-02-16	2	1	2021-12-08 11:42:07.914
17768	1994-08-08	3	2	2021-12-08 03:52:26.170
8052	1967-08-20	2	1	2021-12-08 03:54:11.984
43023	2008-12-11	1	1	2021-12-08 13:16:43.583
4608	1956-02-24	3	2	2021-12-08 14:39:48.182
31033	1999-07-28	1	1	2021-12-08 09:25:37.966
252	1993-05-07	2	2	2021-12-08 05:19:15.158
12123	1969-08-11	3	1	2021-12-08 15:48:57.854
10700	1951-09-12	2	2	2021-12-08 23:13:52.267
38128	1984-03-02	2	2	2021-12-08 06:23:33.897
21535	1955-08-12	1	1	2021-12-08 04:41:27.270
35874	2009-10-23	2	1	2021-12-08 05:54:03.444
24088	1971-05-24	2	2	2021-12-08 23:02:25.426
37864	1984-12-31	3	1	2021-12-08 23:19:19.864
26837	1961-02-25	2	1	2021-12-08 08:38:09.959
3335	2004-11-23	2	1	2021-12-08 17:11:57.947
