userid	birthdate	profileLevel	gender	updatedTime
20431	1958-09-30	3	2	2021-12-09 12:48:00.732
1315	1961-03-10	1	1	2021-12-09 10:44:53.985
11477	1995-01-15	1	1	2021-12-09 16:25:04.122
760	2003-11-27	1	2	2021-12-09 17:19:00.844
39921	1968-02-24	3	2	2021-12-09 20:17:41.098
20545	1958-06-15	2	2	2021-12-09 17:29:56.906
29210	1955-06-26	2	2	2021-12-09 16:23:34.072
6125	1987-09-22	1	1	2021-12-09 00:43:10.188
23158	1984-01-08	3	1	2021-12-09 20:07:54.902
5033	1988-12-14	2	1	2021-12-09 02:42:44.042
43581	1988-06-09	1	2	2021-12-09 03:54:35.455
41445	1995-02-10	3	2	2021-12-09 23:11:30.532
40105	1971-08-01	3	2	2021-12-09 04:49:53.371
5177	1969-04-24	1	1	2021-12-09 13:00:53.685
3012	1988-03-17	1	1	2021-12-09 21:20:23.467
41785	1976-10-27	1	2	2021-12-09 03:02:46.147
33002	1976-05-04	3	1	2021-12-09 18:59:38.456
14356	1951-06-16	3	2	2021-12-09 22:42:30.269
22812	2001-12-12	2	2	2021-12-09 11:55:42.449
44946	1979-10-06	1	2	2021-12-09 04:32:04.127
5012	1958-06-01	3	2	2021-12-09 10:01:41.542
1926	1967-08-01	3	1	2021-12-09 14:06:43.717
31512	2008-01-10	1	2	2021-12-09 10:02:39.776
32726	1983-10-31	2	1	2021-12-09 20:01:37.713
1780	2007-01-22	1	1	2021-12-09 21:58:06.937
33205	1981-01-09	3	2	2021-12-09 21:54:27.884
40947	1958-05-16	1	1	2021-12-09 10:10:18.552
36062	1964-02-24	3	1	2021-12-09 11:54:37.338
10945	1987-10-26	3	2	2021-12-09 05:35:19.045
24400	1978-10-18	1	1	2021-12-09 00:33:09.843
24885	1980-01-29	2	1	2021-12-09 23:07:06.787
20073	1967-12-04	2	1	2021-12-09 00:30:29.478
9459	1959-07-05	3	2	2021-12-09 13:19:36.274
11825	1962-04-21	1	1	2021-12-09 03:16:08.874
5360	1985-03-09	3	1	2021-12-09 17:17:05.845
28876	1990-09-18	2	2	2021-12-09 17:13:51.289
23196	1994-07-07	1	1	2021-12-09 19:20:29.618
40279	1985-07-25	3	1	2021-12-09 02:37:55.285
43687	1995-10-10	1	1	2021-12-09 04:06:43.695
25958	1986-10-15	3	2	2021-12-09 21:46:10.170
19230	1952-09-29	1	2	2021-12-09 13:14:20.905
29708	1961-04-19	2	1	2021-12-09 09:54:38.295
8350	1954-03-28	3	2	2021-12-09 17:08:22.006
43676	1976-04-04	3	1	2021-12-09 16:06:50.185
10204	1980-07-15	1	2	2021-12-09 14:27:44.435
3416	1950-03-27	2	2	2021-12-09 17:09:25.792
39634	2005-04-04	1	2	2021-12-09 13:00:48.150
21398	1979-09-09	1	2	2021-12-09 00:25:35.367
17058	2009-03-08	1	1	2021-12-09 13:25:13.068
29974	2006-03-05	3	2	2021-12-09 23:11:58.319
38931	1970-07-26	2	2	2021-12-09 02:40:36.771
41582	1977-11-07	1	2	2021-12-09 21:27:46.122
20473	1964-12-19	3	2	2021-12-09 00:31:38.846
8165	1957-10-14	2	2	2021-12-09 16:06:33.366
22890	1972-06-26	1	2	2021-12-09 16:09:34.431
31138	1961-09-05	2	1	2021-12-09 13:28:47.622
43582	1971-12-19	3	2	2021-12-09 15:15:50.474
17485	1992-01-12	1	1	2021-12-09 05:41:05.076
40111	1956-10-13	2	1	2021-12-09 20:29:09.026
38772	1964-09-23	1	2	2021-12-09 21:16:33.515
26597	1955-11-03	3	1	2021-12-09 19:12:46.597
1627	1968-08-18	1	1	2021-12-09 08:57:17.700
11965	2003-04-16	3	2	2021-12-09 05:06:22.900
4431	1952-11-30	1	2	2021-12-09 21:38:32.715
37595	1965-06-19	3	2	2021-12-09 07:07:49.077
37069	2008-07-04	2	2	2021-12-09 10:14:56.881
28118	1975-09-06	3	1	2021-12-09 05:07:58.450
25921	1970-06-01	2	2	2021-12-09 20:21:42.095
29050	1959-04-17	2	2	2021-12-09 17:01:58.543
44622	1976-01-02	2	1	2021-12-09 16:41:06.671
15489	1986-05-13	1	1	2021-12-09 13:53:07.329
21413	1966-02-12	2	1	2021-12-09 04:28:19.749
