userid	birthdate	profileLevel	gender	updatedTime
9114	1982-04-27	2	2	2021-12-10 00:32:52.188
29767	1953-01-02	1	2	2021-12-10 18:56:47.548
21394	1969-08-15	3	1	2021-12-10 18:52:31.825
18143	2005-06-11	1	1	2021-12-10 00:47:45.957
44158	2007-04-11	3	1	2021-12-10 04:28:50.185
3658	1952-02-23	2	1	2021-12-10 03:22:09.894
8237	1968-01-02	1	1	2021-12-10 19:28:21.597
40600	2003-11-10	2	2	2021-12-10 14:16:25.930
22216	1984-09-26	1	2	2021-12-10 15:08:40.775
14052	2002-01-22	1	2	2021-12-10 16:57:32.479
23172	1999-07-25	2	2	2021-12-10 18:47:59.164
10622	1965-12-06	1	1	2021-12-10 14:50:38.724
29578	1973-12-03	1	2	2021-12-10 18:11:03.241
38326	1961-08-25	2	2	2021-12-10 17:33:27.814
4302	1964-01-21	1	1	2021-12-10 10:33:59.074
25192	1972-11-29	1	2	2021-12-10 13:11:55.438
31208	1994-11-26	2	2	2021-12-10 01:32:18.649
43904	1968-05-20	2	2	2021-12-10 22:39:29.645
33953	1983-01-28	3	2	2021-12-10 14:28:50.560
26160	1953-10-17	1	2	2021-12-10 02:24:50.293
38671	1960-04-23	3	2	2021-12-10 21:46:23.061
32729	1987-10-06	3	2	2021-12-10 04:20:48.854
28038	1992-08-24	2	1	2021-12-10 22:03:39.445
4459	1977-09-23	2	1	2021-12-10 00:45:32.922
30966	1957-05-21	3	2	2021-12-10 15:06:45.466
10149	1981-06-16	3	1	2021-12-10 17:58:28.632
9203	1956-10-07	1	2	2021-12-10 05:16:57.346
40148	1951-10-15	3	1	2021-12-10 16:20:53.043
35865	1975-08-07	3	2	2021-12-10 18:27:41.031
40763	1990-01-16	1	1	2021-12-10 21:28:10.654
5065	2008-07-22	2	2	2021-12-10 08:44:15.926
17261	1958-04-16	1	2	2021-12-10 16:32:47.179
2810	1963-01-17	1	2	2021-12-10 06:00:03.327
33546	1964-09-24	2	2	2021-12-10 03:26:25.279
37526	1963-02-23	3	2	2021-12-10 15:00:44.867
41128	1959-08-18	3	1	2021-12-10 15:09:35.242
40875	1984-03-15	1	1	2021-12-10 16:37:54.265
34569	1978-10-04	1	1	2021-12-10 10:24:59.940
14996	1970-07-02	2	2	2021-12-10 21:11:56.846
7930	2000-08-15	2	2	2021-12-10 07:35:48.958
8050	1970-07-24	1	2	2021-12-10 17:11:13.806
18159	2008-10-22	3	2	2021-12-10 23:08:46.841
40036	1991-03-17	1	1	2021-12-10 06:34:50.854
40132	1989-07-05	2	2	2021-12-10 23:32:46.890
39790	1967-05-15	2	2	2021-12-10 13:15:09.390
6938	1999-09-30	1	1	2021-12-10 20:27:50.534
7340	1993-09-19	2	1	2021-12-10 21:56:46.137
40954	1981-05-19	3	1	2021-12-10 07:21:49.645
774	2003-07-29	3	2	2021-12-10 09:04:14.224
31086	1950-03-05	2	2	2021-12-10 07:47:35.215
26473	1995-01-05	2	2	2021-12-10 18:28:06.232
33230	2003-07-29	2	2	2021-12-10 08:45:00.295
8720	1996-01-05	2	1	2021-12-10 17:35:15.356
35300	1974-11-18	1	2	2021-12-10 06:14:21.309
35782	1978-02-03	3	2	2021-12-10 14:25:05.500
21533	1984-04-30	2	1	2021-12-10 05:52:42.239
33150	1956-06-10	3	2	2021-12-10 19:43:40.152
43300	1964-05-29	2	2	2021-12-10 06:59:05.288
25459	1966-09-10	3	1	2021-12-10 13:48:28.209
41271	1988-10-14	2	1	2021-12-10 15:49:12.524
5775	2006-01-10	1	2	2021-12-10 02:01:33.889
30574	1999-01-23	3	1	2021-12-10 22:01:47.617
12546	1956-09-24	3	2	2021-12-10 21:57:12.785
40860	1997-10-23	2	2	2021-12-10 15:13:17.034
24516	1985-09-30	3	1	2021-12-10 11:30:18.265
32902	2001-09-30	1	2	2021-12-10 00:18:09.916
2801	1982-03-12	1	1	2021-12-10 23:47:03.612
37362	1964-05-28	3	2	2021-12-10 02:45:47.390
21454	1970-06-16	3	1	2021-12-10 17:11:59.811
11247	1963-01-15	1	1	2021-12-10 17:14:00.248
23845	1996-07-08	1	1	2021-12-10 21:29:03.872
27367	2004-06-06	2	2	2021-12-10 19:56:14.569
8593	1986-10-30	1	2	2021-12-10 15:33:47.370
19606	1999-02-28	1	2	2021-12-10 18:33:38.349
17203	2005-07-09	2	1	2021-12-10 20:41:35.777
43959	1978-05-19	1	2	2021-12-10 19:58:58.542
18544	1994-04-15	2	2	2021-12-10 12:05:17.807
36349	1975-03-04	3	2	2021-12-10 16:56:15.971
15023	1996-01-02	1	2	2021-12-10 19:27:51.377
13474	1983-02-16	2	1	2021-12-10 10:41:55.214
29337	2006-02-07	3	2	2021-12-10 00:30:18.904
35576	1954-03-08	3	2	2021-12-10 14:11:39.681
18876	1995-10-06	3	1	2021-12-10 11:34:28.748
17061	1989-02-04	3	1	2021-12-10 15:37:14.617
