userid	birthdate	profileLevel	gender	updatedTime
15169	1995-06-12	2	2	2021-12-11 11:52:34.956
21184	1991-04-28	2	1	2021-12-11 13:37:14.398
11268	1976-07-03	3	1	2021-12-11 04:51:35.519
18995	2001-04-21	2	2	2021-12-11 04:55:07.698
40265	1954-12-25	2	2	2021-12-11 19:49:51.178
2142	1969-04-27	2	2	2021-12-11 14:02:05.826
26068	1967-10-02	1	2	2021-12-11 04:07:01.153
27195	1984-03-25	2	2	2021-12-11 09:49:18.114
15481	1973-01-12	1	2	2021-12-11 12:55:04.494
10309	1979-03-18	3	2	2021-12-11 08:59:26.443
26678	1977-12-31	3	2	2021-12-11 14:45:56.557
32449	2000-08-16	1	1	2021-12-11 22:26:26.174
24299	1955-03-14	2	1	2021-12-11 01:49:26.958
5479	1990-05-20	2	1	2021-12-11 19:31:11.955
4937	1992-01-16	3	1	2021-12-11 07:13:29.440
41566	1988-02-21	3	2	2021-12-11 02:11:02.627
11656	1957-09-22	3	2	2021-12-11 18:53:40.209
3099	1965-02-03	2	1	2021-12-11 11:45:54.210
30170	1988-11-10	3	1	2021-12-11 13:19:53.732
1125	1955-08-03	2	1	2021-12-11 16:52:58.635
12811	1987-10-05	3	1	2021-12-11 18:55:12.944
38742	1974-08-08	3	1	2021-12-11 19:52:26.320
20670	1975-02-03	1	1	2021-12-11 09:15:24.044
12181	1988-05-07	1	1	2021-12-11 23:41:28.742
31824	1953-03-22	3	2	2021-12-11 10:20:47.754
34034	1978-08-24	3	1	2021-12-11 13:19:26.975
16145	2007-05-31	3	2	2021-12-11 06:44:49.716
575	1967-02-25	1	2	2021-12-11 08:49:56.385
23819	1957-09-13	1	1	2021-12-11 06:32:18.988
28159	2000-12-01	3	2	2021-12-11 05:21:56.082
2703	2002-04-17	2	2	2021-12-11 00:28:04.324
20192	1990-11-01	1	2	2021-12-11 03:22:30.595
3235	1957-12-26	1	2	2021-12-11 00:21:48.717
33041	2008-01-13	3	2	2021-12-11 22:06:55.023
19804	1972-11-09	2	1	2021-12-11 23:29:07.770
34153	2006-01-13	2	1	2021-12-11 18:41:43.401
17484	1994-02-14	3	2	2021-12-11 21:21:48.226
28161	1983-09-24	1	2	2021-12-11 07:53:43.673
20545	1956-04-10	3	2	2021-12-11 07:55:10.287
29350	1981-05-30	1	2	2021-12-11 19:30:33.374
40431	1989-12-14	3	1	2021-12-11 18:53:23.895
26652	1995-04-24	3	2	2021-12-11 17:29:27.920
19998	1969-06-15	1	2	2021-12-11 08:07:41.857
11105	1971-12-04	1	1	2021-12-11 02:24:43.570
44219	1969-09-20	3	2	2021-12-11 01:50:50.885
27234	2007-05-13	1	1	2021-12-11 08:19:34.572
2307	1950-10-03	1	1	2021-12-11 20:08:40.551
23984	2001-05-06	3	2	2021-12-11 13:53:12.871
43721	2009-04-06	3	1	2021-12-11 12:29:40.232
28156	1965-01-03	3	1	2021-12-11 12:52:55.630
33855	1982-02-07	2	1	2021-12-11 21:43:08.641
36652	1977-03-31	3	1	2021-12-11 21:32:28.040
40354	1973-03-04	2	1	2021-12-11 17:33:01.477
35914	1952-06-10	1	1	2021-12-11 04:49:49.927
11898	1961-08-07	1	2	2021-12-11 16:01:41.441
7708	1958-03-26	2	1	2021-12-11 01:10:16.937
25814	1996-04-20	3	2	2021-12-11 15:14:22.204
43997	1993-07-18	3	2	2021-12-11 23:18:42.359
15304	2003-01-29	3	1	2021-12-11 23:54:46.466
193	1959-03-28	3	1	2021-12-11 23:44:49.249
17008	1978-09-18	1	2	2021-12-11 10:01:04.717
42770	1964-10-01	2	2	2021-12-11 10:26:05.421
3231	1967-11-12	1	2	2021-12-11 02:20:06.512
27631	2003-06-14	1	2	2021-12-11 08:25:31.146
5762	1976-08-15	2	1	2021-12-11 04:35:48.029
23345	1962-03-12	1	2	2021-12-11 06:42:31.494
31023	1976-10-03	1	1	2021-12-11 23:27:18.645
30298	1974-02-28	3	2	2021-12-11 04:10:47.113
41258	1969-04-22	3	2	2021-12-11 15:22:33.405
8392	1989-03-18	1	2	2021-12-11 22:06:55.692
10990	1993-09-19	1	2	2021-12-11 15:08:06.139
23196	1966-02-10	1	1	2021-12-11 12:58:53.882
2928	1975-05-15	2	2	2021-12-11 07:12:40.517
37423	1973-08-10	2	1	2021-12-11 03:14:27.779
6148	2000-11-08	1	2	2021-12-11 19:00:38.117
17138	1960-04-14	3	2	2021-12-11 10:02:58.066
35084	1998-05-05	3	2	2021-12-11 21:19:15.240
31360	1957-05-04	2	1	2021-12-11 08:20:16.019
17445	1991-05-11	1	1	2021-12-11 06:09:07.870
1196	1975-10-10	3	1	2021-12-11 13:37:01.129
37042	1987-11-26	1	1	2021-12-11 06:38:30.428
25703	1954-12-11	2	1	2021-12-11 02:06:29.828
41870	1991-07-03	2	1	2021-12-11 00:24:15.854
39791	1981-06-11	2	1	2021-12-11 15:58:19.423
12312	1958-03-04	1	1	2021-12-11 01:44:59.740
23142	1990-01-23	3	2	2021-12-11 18:53:10.683
22350	1972-07-16	2	1	2021-12-11 07:24:33.492
3493	1980-11-21	1	2	2021-12-11 07:46:06.101
19112	1972-12-01	2	1	2021-12-11 04:20:00.978
18161	1969-07-26	2	1	2021-12-11 03:10:48.710
7211	1973-07-13	2	2	2021-12-11 10:05:37.213
43257	2004-12-20	3	1	2021-12-11 03:22:24.550
16193	2000-07-24	1	2	2021-12-11 21:12:52.816
5770	1973-06-28	1	2	2021-12-11 06:04:24.599
14202	1993-01-07	2	2	2021-12-11 00:03:27.969
22531	1954-11-29	1	2	2021-12-11 22:52:36.781
3181	1994-05-15	2	1	2021-12-11 06:18:19.209
571	1985-09-18	1	1	2021-12-11 00:50:06.660
42252	1985-09-19	3	2	2021-12-11 15:49:29.583
7242	2007-07-15	2	1	2021-12-11 02:11:10.543
14887	1988-02-19	1	2	2021-12-11 00:54:10.964
28387	1990-07-26	3	1	2021-12-11 16:34:20.606
22360	1963-01-28	1	2	2021-12-11 01:27:47.939
40371	1966-08-19	1	2	2021-12-11 08:06:55.507
11466	1971-11-21	1	1	2021-12-11 10:46:50.833
7901	2005-02-03	1	1	2021-12-11 05:05:15.805
7833	1987-12-14	3	2	2021-12-11 22:18:13.361
7713	1968-09-27	1	1	2021-12-11 13:59:24.101
9239	2007-01-28	3	1	2021-12-11 02:35:03.305
8855	1979-03-20	3	2	2021-12-11 16:45:43.521
321	1970-02-05	2	2	2021-12-11 12:36:34.975
44971	1997-06-16	1	1	2021-12-11 01:11:47.486
36662	2001-02-13	1	2	2021-12-11 01:33:33.406
13217	1968-10-20	2	1	2021-12-11 06:31:27.446
30849	1956-04-08	1	2	2021-12-11 06:52:32.033
42036	1955-09-05	3	1	2021-12-11 22:15:16.819
22887	1969-05-27	1	2	2021-12-11 01:55:58.186
35067	1993-07-09	2	1	2021-12-11 00:02:09.385
43142	1974-05-15	3	2	2021-12-11 14:42:18.974
34953	2003-04-23	2	1	2021-12-11 03:18:45.087
9584	2007-12-20	1	1	2021-12-11 12:59:29.867
36374	2006-06-23	3	2	2021-12-11 04:36:48.194
43546	1973-11-27	3	1	2021-12-11 03:31:20.186
14881	1951-03-22	2	1	2021-12-11 19:44:08.541
12755	1974-01-29	1	1	2021-12-11 10:38:12.860
8958	1998-10-01	1	1	2021-12-11 14:30:33.890
27202	1976-10-11	1	2	2021-12-11 03:02:37.862
28036	1978-10-13	2	1	2021-12-11 08:36:55.963
33812	1987-07-24	1	1	2021-12-11 07:50:46.933
33263	1958-04-10	1	2	2021-12-11 19:50:16.544
8042	2002-11-03	1	2	2021-12-11 15:53:31.472
33255	1983-12-17	2	2	2021-12-11 06:13:01.115
33641	1957-04-23	1	1	2021-12-11 16:07:49.852
39449	2003-08-03	3	2	2021-12-11 17:13:56.203
20911	1974-08-09	1	2	2021-12-11 21:39:53.727
21827	1986-10-26	2	2	2021-12-11 04:45:20.437
8784	1970-07-25	2	2	2021-12-11 17:05:36.284
20294	1968-12-22	2	2	2021-12-11 11:53:39.273
2939	1983-12-04	2	1	2021-12-11 21:39:25.312
43389	2004-04-05	3	2	2021-12-11 00:15:17.995
26360	1974-03-25	1	2	2021-12-11 19:19:20.393
35218	1951-01-21	2	2	2021-12-11 11:23:45.345
40196	1989-06-26	2	1	2021-12-11 21:32:47.524
11106	1997-12-16	3	2	2021-12-11 12:34:44.461
9320	1995-03-09	1	1	2021-12-11 05:52:10.532
42289	1970-09-01	1	2	2021-12-11 18:53:15.279
39874	1959-02-13	1	2	2021-12-11 17:23:16.829
15360	1993-06-17	3	1	2021-12-11 20:13:10.584
8327	1970-09-08	3	1	2021-12-11 00:53:50.763
19707	1969-04-18	1	2	2021-12-11 07:46:57.640
29526	1997-05-15	2	1	2021-12-11 10:23:17.366
6851	1954-01-04	1	2	2021-12-11 04:46:47.543
13532	1957-09-28	3	1	2021-12-11 05:23:41.079
3161	2000-01-23	2	1	2021-12-11 21:14:25.837
21690	2004-05-11	1	2	2021-12-11 08:14:37.825
44436	2006-03-01	3	1	2021-12-11 16:20:28.568
3366	1963-01-04	3	2	2021-12-11 09:56:04.113
