userid	birthdate	profileLevel	gender	updatedTime
37678	1987-07-02	3	2	2021-12-13 10:25:38.010
19952	1997-08-03	1	2	2021-12-13 14:36:03.509
370	1988-04-18	2	1	2021-12-13 21:39:20.193
42666	1990-05-13	2	1	2021-12-13 10:12:48.584
11976	1995-02-27	1	1	2021-12-13 11:01:24.510
19992	2006-11-16	1	1	2021-12-13 00:41:41.191
17950	1971-10-27	3	2	2021-12-13 08:07:25.935
25610	1955-03-07	1	2	2021-12-13 08:11:38.405
30898	1988-05-19	1	2	2021-12-13 09:33:20.427
44800	1954-03-15	1	2	2021-12-13 06:15:00.181
41806	1966-08-13	3	2	2021-12-13 08:02:05.163
16192	1982-09-18	1	1	2021-12-13 10:07:27.326
27019	1981-07-18	1	1	2021-12-13 04:12:21.480
42984	1994-05-22	1	2	2021-12-13 03:04:49.569
12260	1967-09-04	2	2	2021-12-13 04:59:27.490
5437	1963-03-05	3	1	2021-12-13 03:47:03.541
21408	1957-05-25	3	1	2021-12-13 03:20:19.475
5131	1961-07-25	2	1	2021-12-13 08:45:18.541
28181	1981-01-24	2	2	2021-12-13 12:32:48.407
44773	1974-01-08	1	2	2021-12-13 16:53:28.351
23604	1974-09-04	1	2	2021-12-13 16:21:45.097
23965	1963-11-07	1	1	2021-12-13 08:06:02.791
6268	1992-06-22	2	2	2021-12-13 00:09:40.412
25795	1956-02-12	1	1	2021-12-13 06:30:31.158
19648	1984-05-11	1	2	2021-12-13 12:47:06.115
37682	1991-07-12	1	1	2021-12-13 18:11:05.883
10589	1975-02-26	2	1	2021-12-13 05:07:42.090
575	1989-06-16	3	2	2021-12-13 15:16:07.965
3019	1951-07-18	2	1	2021-12-13 10:00:03.572
26470	1991-03-20	2	2	2021-12-13 23:20:11.503
23307	1961-12-26	2	1	2021-12-13 15:15:35.337
13903	2002-08-22	2	2	2021-12-13 17:10:27.001
36921	1971-04-28	2	2	2021-12-13 22:50:19.501
30803	1997-12-02	3	1	2021-12-13 17:20:01.355
243	1983-10-03	3	2	2021-12-13 02:14:13.043
27418	1953-02-05	3	1	2021-12-13 18:54:00.736
36448	1999-08-09	1	2	2021-12-13 18:25:31.042
13990	1981-10-24	3	2	2021-12-13 01:31:19.826
21800	1975-11-23	1	2	2021-12-13 10:28:08.502
32286	1959-04-30	3	1	2021-12-13 00:21:11.697
26164	1995-08-18	2	2	2021-12-13 04:09:19.646
2061	1950-12-18	2	1	2021-12-13 00:48:31.040
19454	1963-12-08	1	2	2021-12-13 08:58:56.501
9447	1999-07-20	1	2	2021-12-13 05:19:23.660
41065	1979-09-30	3	1	2021-12-13 19:59:08.096
22427	2004-05-18	2	2	2021-12-13 03:24:56.540
37307	1996-07-04	1	2	2021-12-13 22:07:29.263
7640	1979-12-12	3	1	2021-12-13 16:14:30.702
7249	1993-03-13	2	1	2021-12-13 10:03:24.902
22163	1996-02-15	2	1	2021-12-13 22:27:25.943
32118	1970-11-02	2	1	2021-12-13 03:13:36.130
15905	1988-11-11	3	1	2021-12-13 07:35:38.445
41235	1999-11-08	2	1	2021-12-13 17:03:48.762
14170	1993-08-21	1	2	2021-12-13 12:15:02.866
450	1977-07-14	2	2	2021-12-13 07:01:50.351
9464	1964-11-26	3	2	2021-12-13 10:27:09.971
16035	1968-11-14	1	1	2021-12-13 08:59:37.409
22441	1992-06-11	1	1	2021-12-13 03:30:23.337
41850	1995-02-21	1	2	2021-12-13 14:28:23.677
16985	1961-10-03	3	1	2021-12-13 16:56:02.568
27999	1977-01-31	2	1	2021-12-13 09:08:37.731
42012	1998-04-03	3	1	2021-12-13 12:58:29.929
9048	1958-06-05	3	2	2021-12-13 04:56:51.684
7184	1959-03-10	3	1	2021-12-13 23:13:25.853
4124	1959-02-25	3	2	2021-12-13 00:39:44.622
44328	2009-04-29	2	1	2021-12-13 04:02:30.879
37532	1994-12-29	3	2	2021-12-13 07:31:20.302
15455	1998-03-05	3	1	2021-12-13 13:11:07.081
17034	1998-07-07	2	1	2021-12-13 17:29:35.556
31998	2005-09-22	1	1	2021-12-13 14:32:37.275
31269	1980-03-26	1	2	2021-12-13 06:44:04.321
27019	2000-11-25	1	2	2021-12-13 16:47:09.456
3047	1977-02-18	3	2	2021-12-13 01:01:18.370
44975	1984-04-28	2	2	2021-12-13 11:26:15.927
1321	1954-07-17	2	2	2021-12-13 02:29:03.716
25419	1995-10-13	2	1	2021-12-13 01:36:32.897
11071	1967-05-26	2	1	2021-12-13 18:38:26.930
13226	1975-07-07	3	2	2021-12-13 00:27:07.058
44360	1955-01-01	3	1	2021-12-13 16:07:44.027
24592	1954-06-04	3	1	2021-12-13 03:53:58.704
23714	1965-06-10	3	1	2021-12-13 00:41:38.890
1387	2002-07-10	1	1	2021-12-13 04:59:01.818
35224	1996-08-15	3	2	2021-12-13 00:59:18.274
28786	1954-10-12	2	2	2021-12-13 18:13:06.984
1126	1972-05-04	1	2	2021-12-13 06:25:21.860
41362	1958-02-25	2	2	2021-12-13 03:01:11.636
10709	1963-04-10	1	1	2021-12-13 03:35:23.061
16780	1982-01-06	1	2	2021-12-13 08:12:50.235
37867	2007-07-22	3	2	2021-12-13 20:25:34.847
33822	1999-06-14	2	2	2021-12-13 12:01:27.865
32130	1990-12-23	2	2	2021-12-13 11:39:44.366
14985	2001-07-10	2	2	2021-12-13 16:11:40.210
24056	1972-11-30	2	1	2021-12-13 18:23:31.971
10123	1998-06-29	2	1	2021-12-13 22:39:09.586
37289	1964-01-28	2	1	2021-12-13 13:59:43.024
3926	1986-03-12	2	1	2021-12-13 15:02:18.059
22525	1970-08-05	2	2	2021-12-13 11:07:07.126
8162	1998-09-13	2	2	2021-12-13 16:55:55.338
44602	1975-09-28	2	1	2021-12-13 10:52:46.080
18557	1998-04-25	1	2	2021-12-13 05:45:55.999
28562	1966-06-25	2	1	2021-12-13 16:42:34.006
44223	1989-08-12	1	1	2021-12-13 06:31:54.120
30608	1993-01-10	1	1	2021-12-13 21:52:01.035
9848	1991-08-04	1	1	2021-12-13 03:07:20.910
17269	1990-06-25	2	2	2021-12-13 13:06:15.615
38896	1984-11-18	3	1	2021-12-13 00:42:14.077
23461	1965-03-11	2	1	2021-12-13 08:44:30.725
29716	1987-05-03	2	1	2021-12-13 05:25:08.652
474	1984-04-06	1	1	2021-12-13 21:13:00.882
40180	1956-10-16	2	1	2021-12-13 17:06:30.877
42591	1973-01-20	3	2	2021-12-13 08:24:57.052
25932	2004-08-31	1	1	2021-12-13 00:11:53.992
7061	1985-03-02	2	1	2021-12-13 13:02:18.188
19819	1985-08-21	2	2	2021-12-13 06:21:58.100
28111	1967-06-12	1	1	2021-12-13 19:29:49.928
23082	1974-05-20	3	1	2021-12-13 07:22:38.671
5517	1964-10-04	3	1	2021-12-13 10:45:12.586
9524	1972-04-02	2	1	2021-12-13 10:59:10.107
30849	1952-09-06	1	1	2021-12-13 12:12:11.997
21062	1951-10-28	1	2	2021-12-13 22:48:17.700
2023	1986-09-02	3	2	2021-12-13 19:01:41.288
13617	1950-04-16	3	2	2021-12-13 14:18:57.003
17324	1977-05-18	3	2	2021-12-13 12:11:16.398
7450	1969-04-28	1	2	2021-12-13 19:31:03.389
15611	1991-10-24	3	2	2021-12-13 01:45:41.885
26024	1966-10-05	2	1	2021-12-13 20:34:54.443
26697	1972-02-19	2	1	2021-12-13 11:47:27.520
2723	1964-08-09	2	1	2021-12-13 17:12:24.615
32018	1966-01-30	1	2	2021-12-13 12:14:26.996
10863	1955-04-28	2	2	2021-12-13 04:15:38.780
13224	1990-03-01	3	1	2021-12-13 14:57:11.595
20881	1971-03-01	2	1	2021-12-13 03:14:16.961
6829	1976-10-19	1	1	2021-12-13 09:34:51.832
22302	2009-05-03	1	1	2021-12-13 02:49:59.872
1270	2006-09-15	2	1	2021-12-13 00:20:28.028
40477	1981-02-07	2	2	2021-12-13 13:01:55.164
16745	1987-12-28	3	2	2021-12-13 22:38:09.827
