userid	birthdate	profileLevel	gender	updatedTime
11472	1978-06-22	2	2	2021-12-14 15:52:06.020
34064	1955-07-01	1	1	2021-12-14 22:50:33.239
14638	2005-12-31	1	1	2021-12-14 06:08:53.183
13495	2000-03-15	2	2	2021-12-14 08:39:51.405
13940	1999-08-28	3	2	2021-12-14 16:19:47.817
40773	1968-08-06	1	1	2021-12-14 13:11:19.838
34527	1951-02-04	3	1	2021-12-14 17:35:49.153
6466	1996-12-07	3	1	2021-12-14 22:58:20.296
37984	1982-12-25	2	1	2021-12-14 23:54:23.247
35350	1956-10-21	3	1	2021-12-14 14:17:14.948
30456	1951-05-20	1	2	2021-12-14 05:03:28.258
4709	2004-03-18	2	1	2021-12-14 08:18:15.878
12359	2002-01-21	2	2	2021-12-14 17:50:03.788
33783	2004-12-08	3	1	2021-12-14 20:50:44.080
39483	1968-09-16	1	2	2021-12-14 19:39:33.799
5686	1989-03-27	1	2	2021-12-14 21:34:43.913
7203	1981-10-03	1	2	2021-12-14 03:21:34.007
34879	1968-08-20	3	1	2021-12-14 16:34:39.799
2309	1984-07-09	2	2	2021-12-14 07:00:44.823
14696	1969-03-29	1	2	2021-12-14 02:18:04.400
25821	1960-12-29	2	2	2021-12-14 20:43:46.467
19232	2003-08-21	1	2	2021-12-14 07:00:36.917
33670	1975-06-21	1	2	2021-12-14 00:07:33.964
18667	1977-01-04	3	1	2021-12-14 01:23:35.184
27784	1976-12-07	1	1	2021-12-14 15:39:24.991
11605	2003-05-18	2	2	2021-12-14 20:20:27.884
13861	1972-03-10	2	2	2021-12-14 23:18:56.924
25636	1954-11-20	3	2	2021-12-14 04:00:15.860
25391	1951-08-20	1	1	2021-12-14 08:03:12.988
36820	1971-02-21	2	2	2021-12-14 22:40:45.307
35093	1977-11-01	1	1	2021-12-14 15:31:55.074
43840	1955-08-14	2	1	2021-12-14 00:11:44.122
26043	1950-07-22	1	2	2021-12-14 23:13:47.525
24671	2000-10-16	1	2	2021-12-14 14:10:19.403
22403	1957-12-30	2	2	2021-12-14 14:49:14.713
16557	1996-07-03	3	1	2021-12-14 20:47:00.893
22690	1979-03-05	2	1	2021-12-14 01:41:18.892
18423	1979-07-12	1	1	2021-12-14 20:09:15.628
28575	1992-04-15	3	1	2021-12-14 13:38:11.775
24148	1992-11-02	1	1	2021-12-14 17:21:11.903
39943	1998-06-06	1	1	2021-12-14 11:53:06.686
3876	1969-10-17	2	1	2021-12-14 18:08:56.749
22176	1969-06-05	2	2	2021-12-14 02:32:11.048
1881	1959-02-27	2	2	2021-12-14 15:28:06.304
40803	1996-07-27	1	1	2021-12-14 04:37:25.387
531	1997-04-03	1	1	2021-12-14 07:15:56.954
5557	1994-12-23	1	1	2021-12-14 11:45:25.223
18572	1959-05-27	2	1	2021-12-14 12:11:56.708
12654	1990-04-17	2	1	2021-12-14 23:55:27.762
2988	1990-11-22	3	2	2021-12-14 17:49:35.604
22694	1954-09-20	2	1	2021-12-14 07:59:07.446
6851	2005-12-23	2	1	2021-12-14 07:16:10.482
21132	2004-12-30	3	1	2021-12-14 00:21:50.726
27472	1956-02-02	1	1	2021-12-14 23:13:14.221
22310	1970-04-14	3	1	2021-12-14 06:28:16.930
12439	2005-05-07	2	2	2021-12-14 08:19:25.640
1150	1961-03-10	2	2	2021-12-14 02:57:02.007
24804	1974-10-12	3	1	2021-12-14 10:21:03.845
9402	1965-11-25	1	2	2021-12-14 12:16:25.851
34337	1980-06-25	3	1	2021-12-14 08:49:45.557
39556	2004-05-21	1	2	2021-12-14 18:31:02.416
31014	1975-07-02	3	2	2021-12-14 07:21:36.729
22566	1978-07-09	3	2	2021-12-14 15:34:35.602
38907	1974-05-20	2	1	2021-12-14 17:02:21.825
2022	1995-05-30	1	2	2021-12-14 20:39:52.188
21320	1981-12-03	3	2	2021-12-14 20:59:55.564
39004	1963-11-27	2	2	2021-12-14 10:20:55.695
7567	1993-08-25	3	1	2021-12-14 11:02:16.385
8170	1998-01-17	3	2	2021-12-14 00:35:07.154
14986	1993-11-10	2	1	2021-12-14 12:52:26.254
17290	1995-10-28	3	1	2021-12-14 04:45:18.272
29922	1988-12-09	3	1	2021-12-14 05:13:39.364
3261	1961-07-05	2	1	2021-12-14 13:15:21.329
44821	2000-11-21	2	1	2021-12-14 06:55:43.154
32484	1970-07-01	1	1	2021-12-14 01:26:47.484
5755	1992-12-10	3	1	2021-12-14 20:38:22.665
21895	1999-11-04	2	1	2021-12-14 03:22:42.222
7924	1980-03-19	1	1	2021-12-14 23:21:35.401
10039	1968-08-13	1	2	2021-12-14 11:29:49.499
33252	1964-10-18	2	1	2021-12-14 19:30:59.790
6015	1959-10-04	2	1	2021-12-14 01:29:10.236
35024	1952-08-05	1	2	2021-12-14 10:34:01.170
9226	1960-03-26	1	2	2021-12-14 04:02:38.576
2994	1981-08-01	1	2	2021-12-14 08:51:59.904
9337	1961-09-10	1	2	2021-12-14 01:18:56.825
16282	1955-09-22	3	2	2021-12-14 13:00:23.188
39738	1987-12-11	2	1	2021-12-14 00:26:23.816
32686	1984-03-26	1	2	2021-12-14 20:36:30.510
21910	1993-03-21	2	1	2021-12-14 11:32:54.243
21777	2006-01-14	2	2	2021-12-14 18:35:11.331
27058	1981-01-21	1	1	2021-12-14 01:39:36.543
17361	1962-05-05	3	1	2021-12-14 19:40:44.060
18278	1969-01-14	3	1	2021-12-14 20:46:27.480
14101	1967-04-26	2	2	2021-12-14 18:29:53.575
4305	1982-05-03	2	2	2021-12-14 08:11:53.370
14326	1986-03-23	1	2	2021-12-14 01:47:55.463
12155	2005-08-31	3	2	2021-12-14 18:02:25.508
25380	1986-11-20	3	1	2021-12-14 00:33:46.465
26095	2009-01-17	3	2	2021-12-14 14:55:53.254
44819	1951-11-26	3	1	2021-12-14 11:24:51.758
6204	1970-04-07	1	1	2021-12-14 19:07:23.691
22071	2000-11-15	3	1	2021-12-14 23:19:14.834
32529	1954-08-31	1	2	2021-12-14 06:14:15.459
35212	1988-09-16	3	1	2021-12-14 17:38:09.842
4289	1955-10-30	3	1	2021-12-14 08:31:59.031
44163	1954-06-06	3	1	2021-12-14 15:45:13.926
27225	1997-05-12	3	2	2021-12-14 04:23:36.807
3754	2005-10-17	2	2	2021-12-14 10:52:41.816
44911	1989-01-20	2	2	2021-12-14 07:58:10.726
15838	1979-07-05	3	2	2021-12-14 13:32:28.297
31620	1958-08-29	2	2	2021-12-14 18:49:51.228
5841	1968-03-06	3	1	2021-12-14 14:31:06.694
6095	2004-09-18	2	2	2021-12-14 19:47:15.878
30682	1997-04-15	2	1	2021-12-14 16:07:20.174
36244	1967-07-18	2	1	2021-12-14 00:21:32.511
6970	1997-02-11	2	1	2021-12-14 19:39:47.741
29293	1983-03-30	1	2	2021-12-14 04:18:17.816
27252	1953-03-12	1	1	2021-12-14 07:49:58.886
643	1959-06-14	2	2	2021-12-14 09:23:00.399
24801	1963-09-24	2	1	2021-12-14 02:08:46.124
29858	2001-08-23	2	1	2021-12-14 12:07:14.106
4235	2004-04-12	3	2	2021-12-14 08:38:50.814
37985	1955-03-02	2	1	2021-12-14 15:42:45.655
16439	1951-05-22	2	2	2021-12-14 20:47:04.525
3459	1980-11-08	1	2	2021-12-14 07:38:57.680
13555	1997-10-19	1	1	2021-12-14 18:42:13.733
40513	1991-11-15	2	1	2021-12-14 08:45:37.253
13719	1973-09-13	1	1	2021-12-14 08:44:51.452
10095	1972-06-26	2	1	2021-12-14 22:12:32.634
21809	2006-07-17	1	1	2021-12-14 13:18:32.113
10444	1974-10-04	3	2	2021-12-14 22:26:45.514
21333	1952-09-01	3	1	2021-12-14 17:24:25.991
33773	1968-03-31	2	1	2021-12-14 00:13:42.297
3824	1987-10-22	2	1	2021-12-14 21:25:20.180
4877	1953-05-31	2	2	2021-12-14 02:14:04.922
4776	1969-01-15	1	1	2021-12-14 01:28:50.649
19238	1986-03-06	2	1	2021-12-14 09:11:49.891
797	1968-08-06	3	1	2021-12-14 23:49:53.131
22303	1952-11-17	2	2	2021-12-14 20:05:00.896
35750	1955-04-04	1	1	2021-12-14 05:29:32.084
13747	1963-02-02	2	2	2021-12-14 06:44:20.461
13230	1989-01-22	3	2	2021-12-14 03:06:15.107
36028	1989-05-09	3	1	2021-12-14 22:19:32.641
38307	1962-01-14	3	2	2021-12-14 04:05:46.622
40596	1991-03-04	2	1	2021-12-14 08:09:28.109
17210	1961-04-28	1	2	2021-12-14 09:29:34.175
44031	2006-07-17	2	1	2021-12-14 02:22:40.328
11215	1970-10-10	2	1	2021-12-14 03:45:35.771
16700	1988-03-22	2	2	2021-12-14 05:01:11.803
32201	2000-01-01	3	2	2021-12-14 16:59:09.693
44657	2004-04-27	2	1	2021-12-14 13:52:26.691
21952	1969-06-04	3	2	2021-12-14 14:16:57.142
5832	1959-04-01	2	1	2021-12-14 23:19:11.824
17102	1957-05-08	1	2	2021-12-14 17:09:30.180
35812	1972-10-15	3	1	2021-12-14 12:29:36.428
33438	1953-01-30	1	1	2021-12-14 03:25:31.757
31768	1976-05-29	2	2	2021-12-14 20:50:17.790
38855	1963-04-21	3	2	2021-12-14 09:28:13.728
