userid	birthdate	profileLevel	gender	updatedTime
24267	1959-04-26	1	2	2021-12-15 18:47:52.934
6974	1951-10-30	2	1	2021-12-15 06:33:36.044
4424	2004-07-29	3	2	2021-12-15 10:20:38.549
43714	1957-07-19	3	1	2021-12-15 16:12:41.693
8221	1961-03-17	3	2	2021-12-15 16:15:30.739
32782	1973-10-25	2	1	2021-12-15 21:35:05.649
19051	1973-12-06	1	2	2021-12-15 06:44:57.762
2651	1958-03-12	3	1	2021-12-15 23:51:52.742
11187	1965-04-26	3	1	2021-12-15 23:24:21.691
43991	1966-04-04	3	2	2021-12-15 17:23:17.589
7570	1968-06-06	2	1	2021-12-15 19:03:31.270
24339	1992-03-08	3	1	2021-12-15 06:33:04.320
29014	1976-10-06	2	1	2021-12-15 01:00:48.536
5675	1970-01-03	2	1	2021-12-15 21:46:26.085
29839	1981-10-19	1	1	2021-12-15 19:04:41.712
27859	1967-07-24	3	1	2021-12-15 12:04:32.820
27541	1995-06-26	1	1	2021-12-15 15:10:38.861
29250	1980-09-29	3	2	2021-12-15 07:27:18.826
27101	1963-07-11	3	2	2021-12-15 18:44:21.702
27399	1954-07-17	1	2	2021-12-15 08:41:22.693
7400	1978-05-10	2	2	2021-12-15 14:04:26.230
21084	1992-08-16	1	2	2021-12-15 09:16:15.117
9344	1995-05-12	1	2	2021-12-15 20:09:16.816
28197	1996-02-13	1	2	2021-12-15 11:30:28.309
7130	1975-12-13	3	1	2021-12-15 07:57:05.622
10985	1976-12-06	3	1	2021-12-15 07:07:27.138
21942	2008-01-27	2	2	2021-12-15 14:43:37.652
760	1976-08-21	3	2	2021-12-15 19:27:10.994
38162	1987-03-22	2	1	2021-12-15 14:57:43.336
30872	1990-03-02	3	1	2021-12-15 07:30:07.902
31479	1959-03-05	2	2	2021-12-15 21:04:28.242
8313	2006-12-14	2	1	2021-12-15 01:16:27.977
40038	1986-03-31	2	2	2021-12-15 21:14:28.597
19530	1972-12-22	2	2	2021-12-15 08:56:20.765
32127	1979-12-27	2	2	2021-12-15 19:31:26.974
33044	1957-09-15	1	2	2021-12-15 11:22:00.309
1302	1953-12-11	3	1	2021-12-15 16:43:12.487
2218	2005-12-25	3	2	2021-12-15 10:57:09.705
42603	1997-05-28	1	2	2021-12-15 19:56:02.927
7745	1990-07-30	1	2	2021-12-15 09:31:13.636
16733	2004-08-07	3	2	2021-12-15 10:01:00.547
39754	1991-07-10	3	2	2021-12-15 15:47:22.629
24081	1982-09-06	1	2	2021-12-15 13:09:51.643
9803	1968-10-08	2	2	2021-12-15 13:18:42.829
6365	1977-03-19	2	1	2021-12-15 04:20:19.439
21018	1956-07-23	3	2	2021-12-15 13:54:20.371
28913	1964-04-29	3	1	2021-12-15 14:02:17.458
42006	1977-09-27	2	1	2021-12-15 17:11:57.181
44147	1956-06-14	3	2	2021-12-15 04:23:16.590
18380	1964-03-04	3	2	2021-12-15 01:15:46.501
36919	2007-08-09	3	2	2021-12-15 09:47:23.555
44871	1979-12-08	1	1	2021-12-15 09:34:15.195
9742	1976-08-23	1	1	2021-12-15 03:03:56.834
18778	1955-12-28	1	1	2021-12-15 15:27:49.601
6242	1989-11-07	2	2	2021-12-15 15:03:36.251
14179	2002-07-17	2	2	2021-12-15 16:08:28.147
40663	1994-12-14	3	1	2021-12-15 10:25:39.284
44660	1965-06-15	3	2	2021-12-15 07:28:53.231
6251	1962-01-10	2	1	2021-12-15 06:40:05.501
20979	1977-07-07	1	2	2021-12-15 23:15:51.082
40991	2008-06-14	2	2	2021-12-15 12:52:31.912
5862	1980-12-15	1	1	2021-12-15 02:03:53.505
22377	1962-09-29	3	2	2021-12-15 09:51:21.633
29399	1994-05-13	3	2	2021-12-15 17:03:53.790
7012	1990-07-13	2	1	2021-12-15 09:27:14.486
11145	1994-01-14	3	2	2021-12-15 17:54:58.835
2320	2002-10-20	3	1	2021-12-15 19:30:02.954
33832	1985-11-22	1	1	2021-12-15 10:20:40.650
10101	1966-01-07	2	1	2021-12-15 07:49:03.045
13174	1967-09-06	3	2	2021-12-15 10:24:34.391
13774	1975-09-14	3	2	2021-12-15 20:30:07.772
24626	1985-10-08	1	1	2021-12-15 16:04:51.283
18342	1955-09-15	3	1	2021-12-15 12:52:42.058
36442	1974-04-28	1	1	2021-12-15 07:31:55.518
1857	2002-12-07	3	1	2021-12-15 19:13:10.574
39253	1968-11-21	1	1	2021-12-15 08:24:21.520
7410	1980-04-22	2	2	2021-12-15 08:58:47.227
13712	2006-08-24	1	1	2021-12-15 23:21:02.895
36405	1953-02-14	2	1	2021-12-15 23:13:03.611
22062	1953-09-24	1	2	2021-12-15 16:23:12.352
7483	1975-12-02	2	2	2021-12-15 06:57:15.959
12792	1991-11-25	1	1	2021-12-15 00:53:59.703
20091	1999-07-05	3	1	2021-12-15 18:01:00.656
40068	1951-06-21	1	2	2021-12-15 01:31:16.761
13188	1995-10-31	3	2	2021-12-15 21:27:51.537
37440	1968-12-08	1	1	2021-12-15 14:47:02.366
5003	1968-08-15	2	1	2021-12-15 13:50:37.891
32128	2001-10-01	2	2	2021-12-15 14:49:27.202
996	2007-11-23	3	1	2021-12-15 12:17:01.387
19036	1982-03-06	3	1	2021-12-15 03:42:38.044
19604	1956-09-15	1	1	2021-12-15 00:40:16.289
40431	1954-02-01	1	2	2021-12-15 12:32:06.161
10314	1987-12-20	1	2	2021-12-15 03:36:56.095
33908	1962-10-21	1	2	2021-12-15 03:56:06.906
42173	1970-01-04	1	1	2021-12-15 04:59:39.008
3658	1950-06-29	2	2	2021-12-15 04:46:54.335
35261	1959-12-26	2	1	2021-12-15 12:30:04.402
41355	1973-11-15	3	1	2021-12-15 04:15:22.475
36645	1976-05-21	2	1	2021-12-15 11:53:21.003
13029	1958-09-25	2	2	2021-12-15 21:36:38.442
41845	1974-06-10	2	1	2021-12-15 09:22:02.051
21593	2003-12-01	3	1	2021-12-15 11:58:00.748
26169	2007-12-06	2	1	2021-12-15 17:16:43.951
34880	1979-10-24	1	2	2021-12-15 06:34:47.099
24216	2001-02-03	1	1	2021-12-15 00:36:42.197
