userid	birthdate	profileLevel	gender	updatedTime
14386	2008-03-15	1	2	2021-12-16 18:49:17.086
18645	1998-05-19	1	2	2021-12-16 02:05:35.234
37815	1953-07-15	2	2	2021-12-16 00:23:31.973
27118	1961-06-25	2	1	2021-12-16 02:32:58.806
4860	1959-06-15	2	2	2021-12-16 23:00:39.275
28747	1984-06-25	3	2	2021-12-16 15:31:43.692
27343	1961-08-20	1	1	2021-12-16 17:37:06.743
13390	1978-12-26	2	1	2021-12-16 02:13:19.290
34537	1957-07-30	3	2	2021-12-16 09:16:53.830
38113	1983-03-21	1	2	2021-12-16 04:17:05.184
20461	1987-02-06	2	1	2021-12-16 14:26:18.510
17749	1954-12-02	2	1	2021-12-16 12:41:25.671
43339	1998-07-08	1	1	2021-12-16 21:29:20.676
44723	2002-12-26	3	2	2021-12-16 10:59:14.075
36562	2001-04-03	3	2	2021-12-16 16:56:50.566
28844	1995-01-31	3	1	2021-12-16 04:39:19.786
41187	1964-07-03	1	1	2021-12-16 19:14:42.725
32609	1967-12-19	2	2	2021-12-16 13:53:26.266
15936	1971-11-17	2	2	2021-12-16 16:39:08.833
6526	1971-05-28	2	2	2021-12-16 08:57:40.895
43484	1960-04-04	3	2	2021-12-16 06:58:14.799
40576	1960-10-26	2	1	2021-12-16 22:44:22.689
25475	1964-02-21	1	1	2021-12-16 09:36:56.586
42040	1986-06-10	2	1	2021-12-16 22:45:20.650
8008	1971-07-06	1	1	2021-12-16 04:13:26.553
26052	1982-08-10	3	2	2021-12-16 22:50:53.430
41735	1988-01-06	1	2	2021-12-16 16:47:25.321
30403	1999-08-12	3	1	2021-12-16 05:01:26.349
7705	1978-03-29	2	1	2021-12-16 10:25:31.572
10291	1950-03-22	1	2	2021-12-16 09:29:07.307
38273	1954-08-09	2	1	2021-12-16 09:11:08.168
38385	1989-02-27	1	1	2021-12-16 09:46:16.304
28918	2009-05-11	3	2	2021-12-16 23:14:58.808
3600	1972-01-06	2	1	2021-12-16 00:40:40.984
28034	1957-03-29	3	2	2021-12-16 08:17:04.411
9301	2003-01-11	2	1	2021-12-16 08:04:42.093
41893	1973-02-25	2	2	2021-12-16 12:56:14.057
16425	1988-08-27	2	2	2021-12-16 12:27:57.579
31019	1953-07-26	2	1	2021-12-16 21:02:07.072
54	1971-06-26	3	1	2021-12-16 03:02:16.641
17770	1983-12-26	2	2	2021-12-16 16:42:43.863
26183	1979-06-20	3	1	2021-12-16 08:50:55.749
43613	1983-12-20	3	1	2021-12-16 21:21:29.576
31863	1992-12-30	1	1	2021-12-16 07:32:05.284
31875	1990-09-16	2	1	2021-12-16 20:59:33.886
8877	1955-01-09	2	1	2021-12-16 10:17:08.133
26301	1981-05-01	2	1	2021-12-16 23:28:20.278
9264	1968-12-26	2	1	2021-12-16 06:57:01.430
4162	1963-10-19	1	1	2021-12-16 15:49:18.890
42926	1953-10-26	2	2	2021-12-16 17:18:59.910
10987	1955-07-24	3	2	2021-12-16 07:46:53.326
1244	1965-12-18	1	1	2021-12-16 05:38:37.144
32188	2004-12-02	1	2	2021-12-16 17:00:39.320
229	1981-11-16	3	1	2021-12-16 05:26:08.500
38507	1954-11-20	1	2	2021-12-16 05:15:22.153
38600	1968-09-05	3	1	2021-12-16 16:57:02.261
6908	1964-03-01	2	1	2021-12-16 05:04:52.864
34506	1967-08-19	1	1	2021-12-16 06:25:42.219
16424	1954-05-08	2	1	2021-12-16 08:10:05.794
34969	1966-05-26	1	2	2021-12-16 04:44:15.189
6752	1970-09-03	3	2	2021-12-16 00:23:32.923
42284	1998-01-09	3	2	2021-12-16 02:36:40.381
17563	1963-05-10	1	2	2021-12-16 16:08:29.668
40002	1991-12-26	1	1	2021-12-16 18:31:47.155
38065	1977-05-16	2	1	2021-12-16 01:40:12.506
33306	2002-12-20	1	1	2021-12-16 07:36:03.404
6782	1985-01-31	2	2	2021-12-16 00:39:05.274
25656	1993-10-15	2	1	2021-12-16 23:10:52.197
35816	2000-07-26	1	2	2021-12-16 07:30:33.877
5490	2006-06-06	2	1	2021-12-16 23:49:42.753
4869	1956-11-15	1	2	2021-12-16 04:22:01.741
17772	1967-05-22	1	1	2021-12-16 16:25:01.911
39819	1993-08-20	2	1	2021-12-16 21:21:38.248
8161	1958-09-13	2	2	2021-12-16 23:14:34.368
27976	1957-10-19	2	1	2021-12-16 20:31:13.252
34622	1987-12-08	3	2	2021-12-16 20:14:07.211
39226	1986-12-11	1	1	2021-12-16 04:58:38.775
43622	1967-05-15	3	1	2021-12-16 15:17:48.107
26542	1967-12-08	1	2	2021-12-16 13:49:18.925
2174	2007-01-27	1	2	2021-12-16 03:56:47.943
17475	1954-09-09	1	1	2021-12-16 16:16:58.260
36419	1971-04-04	1	1	2021-12-16 01:13:06.496
16754	1954-02-19	1	1	2021-12-16 04:20:49.416
1097	1985-01-06	1	1	2021-12-16 23:56:21.849
14726	2000-06-24	2	1	2021-12-16 02:08:06.819
3090	1988-07-15	3	2	2021-12-16 15:01:28.612
40027	1962-10-28	3	2	2021-12-16 01:06:52.456
30663	2007-02-05	2	1	2021-12-16 10:30:54.947
43628	2009-03-02	2	2	2021-12-16 10:47:13.146
44531	1958-09-18	2	1	2021-12-16 09:40:30.197
42182	1963-07-06	1	2	2021-12-16 05:11:28.724
9122	1950-12-04	2	1	2021-12-16 17:26:25.044
41603	1996-06-13	1	1	2021-12-16 19:02:26.622
16217	1967-12-18	3	1	2021-12-16 07:56:06.293
33314	2006-07-27	1	1	2021-12-16 01:01:08.243
14473	1981-01-09	2	2	2021-12-16 03:24:41.647
40574	1982-09-29	1	1	2021-12-16 09:42:44.376
