userid	birthdate	profileLevel	gender	updatedTime
32502	1966-06-16	3	1	2021-12-17 07:29:27.287
4592	1990-09-13	1	1	2021-12-17 00:00:41.422
1084	1982-02-19	1	1	2021-12-17 01:40:59.411
29628	1956-03-29	3	1	2021-12-17 04:31:09.511
23708	1990-04-29	3	2	2021-12-17 22:38:39.284
6273	1976-06-24	2	2	2021-12-17 11:18:18.440
17800	1980-02-03	1	1	2021-12-17 21:04:30.033
16527	1951-06-23	3	2	2021-12-17 07:51:15.799
31579	1989-07-24	3	2	2021-12-17 21:24:22.088
25838	1970-03-28	3	1	2021-12-17 00:02:59.422
3840	2004-09-15	3	2	2021-12-17 13:01:21.688
34630	1984-10-27	2	1	2021-12-17 06:14:55.562
36228	1972-04-30	3	2	2021-12-17 17:32:56.108
27519	1988-07-20	1	2	2021-12-17 22:22:51.127
5656	2000-09-02	3	1	2021-12-17 03:27:21.218
34277	1950-11-17	1	1	2021-12-17 00:00:10.381
9650	1970-02-14	3	2	2021-12-17 15:02:41.943
25647	1951-09-10	2	1	2021-12-17 04:42:46.180
43556	1994-01-23	1	1	2021-12-17 18:28:51.684
36004	2007-09-23	3	2	2021-12-17 22:04:46.460
11939	2001-06-29	2	2	2021-12-17 22:16:46.167
38238	1963-04-10	1	2	2021-12-17 17:12:46.496
44664	1961-03-18	2	2	2021-12-17 02:05:05.439
2006	1960-05-03	3	2	2021-12-17 02:15:39.832
37938	1991-01-25	3	2	2021-12-17 17:08:59.911
21658	2004-10-13	3	1	2021-12-17 14:22:38.993
17801	1986-09-22	3	1	2021-12-17 02:58:33.736
43423	1959-09-01	2	2	2021-12-17 14:26:18.051
37661	1968-06-15	2	1	2021-12-17 06:37:56.542
3093	1972-08-10	1	1	2021-12-17 01:43:55.239
44511	1959-01-01	2	1	2021-12-17 05:03:27.952
8450	1953-09-27	2	2	2021-12-17 19:03:05.387
32461	1988-02-10	3	2	2021-12-17 14:39:38.190
21437	1967-03-25	2	2	2021-12-17 05:11:50.536
25458	2002-12-17	1	1	2021-12-17 08:57:07.167
27787	1977-08-16	2	2	2021-12-17 19:14:15.811
28280	1979-04-24	3	1	2021-12-17 07:04:11.567
20461	1967-05-07	3	2	2021-12-17 10:07:37.530
42170	1975-05-05	3	2	2021-12-17 16:57:19.605
1198	1971-09-26	3	2	2021-12-17 22:31:53.908
4741	2002-02-17	2	1	2021-12-17 00:21:38.296
15786	1996-12-12	3	2	2021-12-17 03:40:39.342
1231	1965-03-26	2	1	2021-12-17 00:31:32.401
36994	1974-09-16	3	2	2021-12-17 02:03:15.316
6847	1969-08-31	3	1	2021-12-17 16:44:59.385
38493	1978-06-12	2	2	2021-12-17 23:35:50.094
10335	1997-02-27	3	1	2021-12-17 05:06:08.503
30601	1958-10-02	2	2	2021-12-17 15:39:00.801
28201	1975-07-17	3	1	2021-12-17 00:08:05.925
35492	2003-12-04	3	1	2021-12-17 14:52:23.037
40713	1979-06-29	3	1	2021-12-17 17:26:06.538
20210	2002-05-18	3	1	2021-12-17 06:52:02.642
19025	1980-11-21	3	1	2021-12-17 10:51:39.440
13761	1986-01-03	3	2	2021-12-17 17:18:33.488
18579	1956-10-20	1	2	2021-12-17 07:46:19.041
31024	1989-01-20	1	1	2021-12-17 07:45:14.966
17647	1974-11-24	3	2	2021-12-17 08:56:14.581
12279	1962-08-31	3	2	2021-12-17 19:44:55.599
30121	1967-06-03	2	2	2021-12-17 04:12:50.686
22676	1979-09-12	1	2	2021-12-17 15:00:36.441
22341	1980-03-27	3	1	2021-12-17 18:50:53.617
10918	2003-05-27	2	1	2021-12-17 03:46:05.691
34043	1983-05-24	3	2	2021-12-17 02:35:56.336
35497	1976-05-07	2	1	2021-12-17 19:45:41.307
23670	1956-05-09	3	2	2021-12-17 23:51:57.968
15142	1987-04-18	2	2	2021-12-17 18:52:30.638
44932	2009-07-30	2	2	2021-12-17 17:25:56.499
19360	1961-02-15	1	2	2021-12-17 17:59:18.725
16142	1963-01-13	1	1	2021-12-17 02:27:24.328
21967	1966-10-23	2	2	2021-12-17 22:10:06.268
9760	1994-01-28	2	1	2021-12-17 11:01:06.165
9679	1998-12-23	3	1	2021-12-17 10:59:03.502
37634	1957-07-26	1	2	2021-12-17 14:16:36.353
14173	1964-12-15	3	1	2021-12-17 02:04:00.730
42136	1973-05-29	3	2	2021-12-17 14:56:40.116
7147	1996-11-06	1	2	2021-12-17 16:04:45.253
40242	1974-09-06	2	1	2021-12-17 19:25:25.481
23794	1991-08-14	3	2	2021-12-17 19:59:59.325
9888	1985-08-20	2	2	2021-12-17 03:27:09.490
32140	2006-10-08	3	2	2021-12-17 08:11:43.617
4426	1971-08-14	3	1	2021-12-17 20:37:34.029
20803	2001-05-12	1	1	2021-12-17 18:14:20.217
36103	1984-05-28	2	1	2021-12-17 21:08:55.555
34534	1983-05-21	3	1	2021-12-17 02:15:32.832
6088	2005-02-22	2	1	2021-12-17 02:46:08.349
19596	2003-03-20	3	2	2021-12-17 09:56:09.554
27756	1975-05-14	3	2	2021-12-17 15:24:34.289
27225	1994-07-07	2	1	2021-12-17 19:57:46.141
35408	1976-01-20	3	1	2021-12-17 09:38:46.010
1254	1959-09-04	1	1	2021-12-17 07:17:22.026
27181	1979-07-30	2	2	2021-12-17 20:27:09.639
3698	1997-06-09	1	1	2021-12-17 08:31:55.738
