userid	birthdate	profileLevel	gender	updatedTime
17172	1986-02-07	3	2	2021-12-18 23:58:11.154
33110	2008-10-16	1	1	2021-12-18 08:33:23.208
23538	1967-07-07	1	2	2021-12-18 17:33:20.372
38586	1984-05-04	2	2	2021-12-18 20:50:22.680
29560	1970-01-10	3	1	2021-12-18 23:46:45.980
31065	1985-12-27	1	1	2021-12-18 16:53:53.798
35709	1973-09-16	3	2	2021-12-18 11:02:04.392
4065	1976-03-24	2	2	2021-12-18 14:13:10.264
33929	2001-05-06	2	2	2021-12-18 14:45:02.087
7325	2009-11-13	3	1	2021-12-18 11:05:25.916
24488	1988-11-03	1	2	2021-12-18 10:45:51.522
4396	2004-02-04	1	1	2021-12-18 20:44:51.679
12693	2003-03-18	1	2	2021-12-18 22:58:04.955
35119	1964-02-05	3	2	2021-12-18 15:38:17.074
44536	1971-12-31	2	2	2021-12-18 08:53:02.876
35690	1995-11-12	1	1	2021-12-18 23:44:17.572
16175	1952-01-22	3	2	2021-12-18 04:06:42.676
26837	1986-06-15	1	2	2021-12-18 22:20:51.004
40952	2007-03-23	2	1	2021-12-18 06:14:57.196
2252	1983-07-19	1	2	2021-12-18 12:24:56.588
24015	1957-05-03	1	2	2021-12-18 17:39:29.921
29507	2001-07-28	2	2	2021-12-18 13:02:25.731
965	1957-04-08	2	2	2021-12-18 17:05:59.617
43022	1992-12-23	1	2	2021-12-18 08:20:51.402
6796	1977-10-29	2	1	2021-12-18 14:46:48.845
15597	1958-12-08	2	2	2021-12-18 13:55:27.424
11538	1989-12-09	1	2	2021-12-18 16:18:20.449
37865	1958-06-18	2	2	2021-12-18 13:44:25.812
26824	1970-09-13	1	1	2021-12-18 23:06:23.388
4588	1981-06-05	2	2	2021-12-18 04:08:21.954
38164	2006-12-17	3	2	2021-12-18 22:17:24.833
18132	1977-02-12	1	2	2021-12-18 07:35:41.945
18658	2005-10-12	2	2	2021-12-18 09:16:37.418
39032	1992-01-28	3	1	2021-12-18 16:11:00.111
38357	2009-04-15	1	2	2021-12-18 04:06:36.778
16844	1991-01-17	3	2	2021-12-18 21:11:56.662
7762	1998-12-18	3	1	2021-12-18 21:31:33.901
25828	1998-04-16	1	1	2021-12-18 07:30:05.978
25315	1957-07-05	3	2	2021-12-18 08:25:26.105
10788	1961-03-24	2	1	2021-12-18 08:21:54.012
7937	1985-10-30	1	2	2021-12-18 23:22:38.241
40188	1957-06-21	3	1	2021-12-18 23:59:21.105
2979	1984-08-12	1	2	2021-12-18 14:07:32.500
3871	1960-06-28	2	1	2021-12-18 18:45:45.356
18265	2005-11-10	1	1	2021-12-18 03:19:43.858
8939	2002-05-06	3	1	2021-12-18 17:38:03.343
21827	1951-11-21	2	1	2021-12-18 09:13:26.065
44778	1993-09-25	2	2	2021-12-18 03:29:13.720
1230	1973-06-09	2	1	2021-12-18 20:45:30.985
24945	2001-03-11	3	2	2021-12-18 21:40:54.045
33476	1989-09-19	1	1	2021-12-18 18:10:54.171
33795	1977-12-25	2	2	2021-12-18 17:24:47.081
2286	1973-05-31	1	1	2021-12-18 18:36:58.967
28435	1966-01-17	3	1	2021-12-18 03:35:31.973
25677	1963-07-30	3	2	2021-12-18 15:35:23.816
17928	1991-04-13	1	2	2021-12-18 16:09:26.745
11297	1989-11-17	3	1	2021-12-18 03:33:42.884
14522	1997-12-16	3	1	2021-12-18 05:55:00.595
38622	1996-02-18	1	1	2021-12-18 01:53:55.975
20424	1971-12-13	3	2	2021-12-18 21:55:46.119
4442	1990-06-28	2	2	2021-12-18 05:51:00.926
4003	1985-02-28	3	2	2021-12-18 01:01:56.848
34604	1952-12-30	1	2	2021-12-18 03:05:20.656
1549	1960-06-30	2	2	2021-12-18 09:45:37.960
8228	1956-10-13	3	2	2021-12-18 23:35:31.853
32773	2005-06-20	3	1	2021-12-18 17:57:47.312
42374	1963-01-03	1	2	2021-12-18 22:49:40.579
30178	1962-11-28	1	1	2021-12-18 22:22:17.287
30462	1961-10-05	1	1	2021-12-18 02:52:09.370
33234	1993-04-20	3	1	2021-12-18 01:48:07.807
42460	1984-01-13	3	1	2021-12-18 15:19:50.853
21178	1956-02-07	2	2	2021-12-18 02:48:45.536
6792	1961-06-14	3	1	2021-12-18 04:15:26.461
15115	1965-12-07	3	2	2021-12-18 19:45:35.679
5652	2007-06-28	3	1	2021-12-18 06:48:51.033
44362	1997-11-12	2	1	2021-12-18 19:35:58.101
33665	1960-01-13	2	2	2021-12-18 15:39:22.159
10743	1965-11-14	1	2	2021-12-18 04:08:06.771
24859	2009-08-10	2	2	2021-12-18 05:55:21.949
1277	1966-01-02	3	1	2021-12-18 20:40:48.453
1737	1971-05-09	3	1	2021-12-18 01:29:10.435
35240	1964-02-28	3	2	2021-12-18 12:25:51.026
41095	1993-07-09	1	2	2021-12-18 20:00:40.875
29135	2001-07-23	1	2	2021-12-18 10:32:03.055
18448	2004-06-14	3	1	2021-12-18 06:16:31.749
34271	1975-03-06	3	1	2021-12-18 21:31:59.459
12733	1960-04-14	1	1	2021-12-18 05:29:45.954
38953	1951-05-13	2	1	2021-12-18 01:38:54.956
5662	1997-12-12	3	2	2021-12-18 14:35:00.811
20227	1976-03-12	3	2	2021-12-18 19:38:38.316
42732	1957-05-28	2	1	2021-12-18 16:58:37.242
40676	1990-06-03	2	1	2021-12-18 19:06:42.203
1162	1971-08-25	3	1	2021-12-18 05:04:28.253
30276	1998-08-09	3	1	2021-12-18 15:20:09.738
29676	1982-12-22	1	2	2021-12-18 21:19:48.367
2160	1994-11-10	1	2	2021-12-18 05:43:05.426
6313	1982-08-09	3	1	2021-12-18 20:18:27.131
10529	1965-10-16	1	2	2021-12-18 04:00:55.451
42913	1975-12-21	2	2	2021-12-18 12:16:11.819
15481	1997-02-18	2	2	2021-12-18 15:42:15.940
33417	1967-06-23	3	1	2021-12-18 12:21:50.484
37692	2003-06-18	2	2	2021-12-18 04:38:21.489
23472	1957-11-27	1	1	2021-12-18 20:26:32.954
14804	2006-11-14	1	2	2021-12-18 01:24:06.145
2690	1955-02-06	2	1	2021-12-18 10:51:41.979
3156	1982-03-13	2	1	2021-12-18 09:03:44.984
29688	2009-04-28	2	1	2021-12-18 12:13:32.482
38304	1961-04-08	3	1	2021-12-18 13:56:08.480
13979	1976-12-20	3	2	2021-12-18 03:49:50.868
7630	1965-10-31	3	1	2021-12-18 04:32:46.514
31364	2001-09-19	3	1	2021-12-18 19:09:25.272
4017	1959-02-18	2	1	2021-12-18 22:53:39.487
15733	1951-02-28	1	2	2021-12-18 22:48:24.493
19478	1965-09-03	1	1	2021-12-18 16:51:35.085
22466	1973-10-26	1	2	2021-12-18 09:02:15.974
6740	2006-04-09	2	2	2021-12-18 19:24:13.924
31016	1999-09-29	2	1	2021-12-18 08:15:06.080
20903	1999-06-06	2	1	2021-12-18 07:01:45.739
74	1998-01-27	1	1	2021-12-18 20:31:40.835
4160	1984-02-14	1	2	2021-12-18 07:03:24.208
10969	2006-03-20	2	2	2021-12-18 10:55:04.402
21120	1980-08-12	3	2	2021-12-18 21:16:54.806
17437	1979-12-26	2	2	2021-12-18 18:28:02.276
38736	2000-01-16	3	1	2021-12-18 04:27:48.183
11370	1995-04-10	2	2	2021-12-18 21:22:41.652
11354	1998-06-21	1	1	2021-12-18 21:55:52.647
26696	1970-11-16	2	2	2021-12-18 17:20:23.943
22175	2001-02-06	2	2	2021-12-18 10:02:08.452
18778	2004-09-04	1	2	2021-12-18 13:44:41.431
10305	1995-09-07	1	2	2021-12-18 08:14:11.208
19691	2003-12-22	3	2	2021-12-18 14:07:54.511
6592	1955-04-18	2	2	2021-12-18 09:44:35.177
24877	1954-02-25	2	1	2021-12-18 11:47:44.038
13652	1979-03-28	3	1	2021-12-18 17:55:39.686
27169	2005-09-29	1	1	2021-12-18 04:04:34.368
4481	1961-03-03	3	2	2021-12-18 18:21:29.545
14473	1994-09-27	1	1	2021-12-18 19:39:42.098
31421	1979-06-28	3	2	2021-12-18 10:45:24.322
29801	1955-12-30	3	2	2021-12-18 08:39:08.010
6490	2003-10-10	1	1	2021-12-18 20:15:19.851
39107	1979-10-21	1	2	2021-12-18 14:31:36.154
39966	1982-06-18	2	1	2021-12-18 20:53:06.582
42561	1968-09-19	2	1	2021-12-18 03:50:42.281
26250	1954-06-30	2	2	2021-12-18 19:50:12.186
8315	1970-12-08	1	2	2021-12-18 09:51:38.742
42819	1977-08-27	3	1	2021-12-18 23:18:34.128
4110	1982-06-23	1	1	2021-12-18 05:38:49.820
26316	1977-07-31	2	2	2021-12-18 07:15:22.981
17001	2003-02-04	1	2	2021-12-18 15:58:28.316
9273	1967-02-08	3	1	2021-12-18 23:17:00.869
30261	1982-10-22	3	1	2021-12-18 16:43:00.604
20294	1966-08-26	1	2	2021-12-18 12:10:10.069
18517	1984-12-09	1	1	2021-12-18 06:23:11.223
11046	1995-11-02	1	1	2021-12-18 06:31:01.823
10574	1968-09-30	1	1	2021-12-18 03:20:25.568
28059	1961-06-29	3	1	2021-12-18 20:13:32.513
11701	2001-08-18	1	2	2021-12-18 23:47:07.094
37498	1990-04-12	1	2	2021-12-18 18:51:53.647
32708	1957-07-05	2	1	2021-12-18 17:06:07.421
18778	1956-02-22	2	1	2021-12-18 03:39:02.734
18223	1972-08-29	3	1	2021-12-18 06:56:05.182
37088	2004-02-26	3	1	2021-12-18 09:36:45.129
31002	1985-10-12	1	2	2021-12-18 23:28:19.775
24632	1984-04-27	1	2	2021-12-18 23:13:33.434
1252	1951-05-02	2	1	2021-12-18 12:27:07.964
10494	1992-07-24	3	2	2021-12-18 16:18:23.476
23916	1985-03-10	3	1	2021-12-18 04:47:49.246
8529	2009-02-09	1	2	2021-12-18 15:00:06.074
22071	1955-08-31	1	1	2021-12-18 03:27:01.244
27688	1955-10-09	3	1	2021-12-18 09:58:49.117
42220	1983-07-01	1	1	2021-12-18 21:02:53.222
2193	1983-06-01	1	1	2021-12-18 09:19:37.709
10390	1951-05-28	1	2	2021-12-18 23:08:27.291
37321	2001-12-09	3	2	2021-12-18 00:04:09.478
14800	1993-07-02	2	2	2021-12-18 13:27:10.389
23787	2005-06-20	3	1	2021-12-18 21:39:47.435
18260	1954-05-09	3	1	2021-12-18 17:00:03.569
18055	1964-05-19	2	2	2021-12-18 21:45:43.626
37751	2009-11-03	2	2	2021-12-18 04:48:07.314
33178	1972-10-21	3	2	2021-12-18 07:09:50.561
22066	2003-01-01	3	2	2021-12-18 05:59:02.989
40948	1970-09-09	3	1	2021-12-18 06:55:19.791
39235	1976-01-19	1	2	2021-12-18 21:45:19.073
3993	1980-06-05	2	2	2021-12-18 06:26:46.354
43917	1989-08-07	2	2	2021-12-18 16:12:11.796
20184	1968-09-12	1	2	2021-12-18 08:46:44.033
32912	1965-08-18	3	2	2021-12-18 14:08:58.558
13259	1954-06-01	2	2	2021-12-18 03:26:48.075
32615	2000-12-03	3	2	2021-12-18 12:30:26.340
16881	1998-11-22	1	1	2021-12-18 13:49:25.581
32816	1978-08-18	1	2	2021-12-18 05:23:49.214
37235	2000-10-21	1	2	2021-12-18 09:54:27.498
30852	1951-11-21	1	2	2021-12-18 02:26:09.330
19508	1984-10-14	3	2	2021-12-18 03:16:46.028
5215	1983-07-28	2	2	2021-12-18 04:34:52.754
3380	1992-04-30	1	1	2021-12-18 17:01:07.810
14764	1997-08-01	2	1	2021-12-18 02:52:06.904
32509	1991-04-01	1	2	2021-12-18 00:24:41.220
2117	1956-07-07	2	2	2021-12-18 14:19:11.974
42719	1956-02-21	1	2	2021-12-18 06:56:27.519
21955	1958-12-20	2	2	2021-12-18 02:10:27.764
3225	1997-09-11	1	1	2021-12-18 07:40:17.324
8507	1987-03-19	2	1	2021-12-18 16:58:32.949
33130	1958-01-14	2	2	2021-12-18 00:29:07.420
15125	2000-10-22	3	2	2021-12-18 09:27:23.684
35842	1980-04-11	3	2	2021-12-18 10:13:53.161
43551	1999-04-30	3	1	2021-12-18 04:30:51.711
37075	2003-06-16	3	2	2021-12-18 04:57:05.999
14686	2004-03-13	3	1	2021-12-18 07:10:24.650
30011	1965-06-07	2	2	2021-12-18 14:44:39.722
38397	1955-01-16	3	2	2021-12-18 01:51:04.987
7364	1975-05-01	2	1	2021-12-18 05:42:23.217
10801	1989-04-28	3	2	2021-12-18 02:32:31.309
29070	1953-07-14	2	2	2021-12-18 16:29:00.749
18080	1952-09-04	3	1	2021-12-18 02:35:08.464
44928	2003-01-03	3	1	2021-12-18 08:13:35.564
22331	1966-08-01	2	2	2021-12-18 12:13:05.822
20508	1950-03-09	1	1	2021-12-18 15:03:04.997
9778	1981-10-10	1	2	2021-12-18 15:04:29.368
2372	1962-12-23	3	1	2021-12-18 04:45:57.888
37258	1993-12-25	3	1	2021-12-18 00:47:10.867
4696	2005-06-26	2	1	2021-12-18 00:52:29.498
33266	2002-04-23	1	2	2021-12-18 19:44:39.479
5150	1950-07-08	2	2	2021-12-18 07:12:46.711
39378	1951-04-27	2	1	2021-12-18 22:01:19.531
11645	1983-04-12	2	2	2021-12-18 14:38:55.156
42656	1972-11-18	2	2	2021-12-18 12:47:42.094
33958	1961-06-15	3	2	2021-12-18 16:36:10.759
24216	1952-05-18	1	2	2021-12-18 23:01:58.685
20277	1960-04-30	2	1	2021-12-18 01:59:35.759
27172	1979-08-11	2	2	2021-12-18 16:10:27.415
39541	1985-05-23	1	2	2021-12-18 04:41:54.847
2162	1977-11-18	2	2	2021-12-18 18:50:15.838
10626	1984-11-11	1	1	2021-12-18 06:05:58.891
11687	1983-05-03	1	1	2021-12-18 08:20:53.595
36746	2002-12-20	1	2	2021-12-18 02:51:05.604
34992	1982-08-26	3	1	2021-12-18 06:24:52.220
6320	1974-09-14	1	1	2021-12-18 04:12:48.086
15920	2006-05-09	1	1	2021-12-18 22:40:14.798
4586	1995-01-26	2	1	2021-12-18 00:10:20.092
34023	1977-10-02	2	2	2021-12-18 10:50:39.984
9638	1954-11-27	3	2	2021-12-18 12:36:28.914
11147	1950-04-26	1	2	2021-12-18 00:00:39.640
15941	1977-10-04	3	1	2021-12-18 04:59:41.682
