userid	birthdate	profileLevel	gender	updatedTime
37677	1965-06-11	2	1	2021-12-19 11:56:26.393
39480	1970-12-31	1	1	2021-12-19 09:24:12.054
132	1971-09-05	3	1	2021-12-19 00:18:17.490
42856	1985-06-08	1	1	2021-12-19 19:37:50.288
35437	1992-04-16	1	1	2021-12-19 17:50:39.040
37882	1952-07-04	2	1	2021-12-19 10:37:01.259
17850	1975-10-03	1	1	2021-12-19 17:54:28.615
29148	2008-04-19	1	2	2021-12-19 15:49:44.858
15094	1961-01-17	3	1	2021-12-19 07:58:58.848
25493	1975-02-18	3	2	2021-12-19 17:42:59.832
39926	1986-04-02	2	1	2021-12-19 07:45:05.223
35718	1974-01-12	2	2	2021-12-19 22:50:30.454
37298	2007-06-26	1	1	2021-12-19 15:32:25.347
3642	1977-05-31	1	1	2021-12-19 21:53:46.767
15495	1995-04-07	2	2	2021-12-19 01:40:48.624
38825	1995-02-08	1	2	2021-12-19 00:07:35.386
11872	1997-01-31	1	2	2021-12-19 17:11:39.038
44094	1967-04-24	1	1	2021-12-19 17:03:48.706
18366	1980-07-07	3	2	2021-12-19 01:29:18.329
31735	1984-07-22	3	1	2021-12-19 07:33:46.181
13547	1984-05-19	1	2	2021-12-19 12:46:59.977
21920	1953-10-05	1	1	2021-12-19 23:23:23.294
15709	1988-12-29	3	2	2021-12-19 12:29:46.499
10309	1981-08-15	3	1	2021-12-19 01:18:32.408
1750	1999-10-11	2	2	2021-12-19 20:31:15.158
32546	1960-09-14	2	1	2021-12-19 12:07:44.943
36077	1999-07-18	2	2	2021-12-19 15:38:58.873
36110	1961-09-02	2	1	2021-12-19 22:56:56.243
42108	1969-07-18	1	2	2021-12-19 20:52:08.693
41356	1962-03-03	2	1	2021-12-19 04:21:59.382
35122	1962-04-20	3	1	2021-12-19 00:54:51.845
24205	1963-02-06	2	1	2021-12-19 03:25:46.514
31369	1995-04-06	2	1	2021-12-19 14:37:15.569
32379	1974-01-25	1	1	2021-12-19 23:44:04.853
39530	1997-06-07	3	2	2021-12-19 18:48:23.645
40276	1981-10-25	2	1	2021-12-19 11:29:07.840
17165	1975-05-20	3	2	2021-12-19 19:18:03.076
31216	1989-01-08	1	1	2021-12-19 11:20:03.601
5638	1952-05-08	2	1	2021-12-19 19:36:13.559
8533	1975-11-09	3	2	2021-12-19 17:24:45.986
34650	1998-06-14	3	1	2021-12-19 22:21:48.307
25575	1953-08-13	3	2	2021-12-19 21:27:10.974
41186	1958-01-26	1	2	2021-12-19 11:22:22.846
148	1984-04-15	1	2	2021-12-19 10:37:25.349
44588	1969-11-18	3	1	2021-12-19 07:26:35.699
10116	1973-07-26	1	1	2021-12-19 20:52:16.471
2055	1997-09-03	1	1	2021-12-19 07:18:01.787
21746	1952-02-09	2	1	2021-12-19 04:51:12.238
32633	1977-08-31	2	2	2021-12-19 09:03:21.066
22525	1985-01-26	2	2	2021-12-19 23:31:29.497
38705	1956-05-13	1	1	2021-12-19 03:53:14.462
25435	1958-11-27	1	2	2021-12-19 05:33:13.879
147	1981-03-23	3	1	2021-12-19 08:10:53.304
14399	1973-01-23	3	2	2021-12-19 10:47:56.084
9648	1972-06-20	2	1	2021-12-19 05:50:22.499
11614	1991-04-25	1	2	2021-12-19 05:25:37.292
21215	1978-12-16	2	1	2021-12-19 14:33:07.986
23073	1966-11-15	1	1	2021-12-19 20:17:49.458
31002	1974-06-19	3	2	2021-12-19 00:44:00.529
3313	1984-01-30	2	2	2021-12-19 17:54:28.488
9706	2004-03-01	1	2	2021-12-19 01:21:42.127
42374	1981-08-28	3	1	2021-12-19 00:43:59.714
34461	1955-02-14	1	2	2021-12-19 15:31:56.811
10066	2000-04-08	3	1	2021-12-19 07:45:13.687
32762	1959-08-25	2	2	2021-12-19 07:00:53.457
8208	1955-08-21	3	2	2021-12-19 00:38:35.541
19244	1951-02-06	3	1	2021-12-19 19:57:30.371
4920	1970-12-21	2	2	2021-12-19 05:00:36.515
13718	1998-05-08	3	2	2021-12-19 15:45:57.942
23206	1995-12-05	3	1	2021-12-19 09:36:38.261
31099	1996-12-24	3	1	2021-12-19 10:29:09.541
37252	1957-11-08	3	1	2021-12-19 08:52:55.811
6020	1969-10-07	2	2	2021-12-19 14:11:59.087
23787	1970-01-05	1	2	2021-12-19 13:28:05.773
8581	1993-10-17	2	2	2021-12-19 16:35:52.187
42694	1989-04-10	1	1	2021-12-19 19:51:02.927
21870	1980-12-11	1	1	2021-12-19 04:38:56.310
618	1996-12-23	2	1	2021-12-19 11:49:39.542
37216	1960-05-16	3	2	2021-12-19 22:17:39.370
29386	1973-08-26	3	1	2021-12-19 15:11:18.137
41222	1995-12-17	3	2	2021-12-19 17:02:51.398
12728	1984-10-20	3	2	2021-12-19 02:51:34.003
23123	1953-08-08	2	2	2021-12-19 20:07:18.077
14300	1962-09-28	1	2	2021-12-19 07:03:30.342
8231	1968-06-02	1	1	2021-12-19 07:05:01.170
5125	2001-11-19	3	1	2021-12-19 02:24:08.338
25003	2000-11-08	1	1	2021-12-19 02:18:10.382
34523	1971-01-16	1	2	2021-12-19 18:42:40.840
1034	1979-06-28	2	2	2021-12-19 11:04:29.931
3302	1996-10-01	2	2	2021-12-19 14:37:15.180
43262	1991-08-29	3	2	2021-12-19 09:01:50.330
43949	1972-03-30	2	1	2021-12-19 22:34:33.128
40974	1994-08-04	2	2	2021-12-19 04:16:36.815
203	2000-10-07	3	2	2021-12-19 05:09:50.104
35541	1954-09-10	2	2	2021-12-19 05:59:40.023
41827	1954-09-03	3	2	2021-12-19 17:11:40.754
9309	2007-12-24	3	1	2021-12-19 07:17:25.178
42152	2009-01-01	2	2	2021-12-19 11:43:21.917
39242	1989-01-26	2	2	2021-12-19 02:32:46.707
3503	1955-08-20	2	1	2021-12-19 19:51:51.122
42979	2007-07-16	1	1	2021-12-19 23:12:20.821
25394	1955-08-10	2	2	2021-12-19 09:41:23.576
35685	1958-08-05	1	1	2021-12-19 15:04:00.086
6055	1997-06-11	1	1	2021-12-19 04:42:58.989
22158	2002-09-14	2	2	2021-12-19 20:30:56.038
44158	1986-10-09	1	2	2021-12-19 10:15:51.893
34237	2008-04-21	3	1	2021-12-19 19:15:22.063
15726	1955-09-16	2	1	2021-12-19 18:34:44.016
31340	1996-06-15	3	2	2021-12-19 11:27:58.190
31687	1993-06-16	1	2	2021-12-19 12:03:48.526
22554	1978-11-21	1	2	2021-12-19 09:08:56.204
37265	1976-11-18	2	1	2021-12-19 10:02:26.557
20264	1985-12-23	2	1	2021-12-19 22:21:09.363
40376	2009-09-13	3	2	2021-12-19 12:32:48.755
31562	1967-08-01	2	2	2021-12-19 19:47:21.876
39129	1973-01-12	2	2	2021-12-19 04:09:59.011
33025	1999-08-19	1	1	2021-12-19 15:34:18.912
20990	1975-03-08	2	1	2021-12-19 13:38:30.925
31759	1976-11-07	3	1	2021-12-19 14:50:43.388
24151	1993-04-13	1	2	2021-12-19 15:15:24.252
38070	1995-05-03	1	1	2021-12-19 14:32:09.042
42607	2007-04-20	2	1	2021-12-19 18:04:50.796
3727	1981-01-16	1	2	2021-12-19 20:17:11.149
6343	1975-02-26	3	2	2021-12-19 19:48:25.663
5769	2003-05-27	1	2	2021-12-19 17:36:57.181
23675	1996-06-10	1	2	2021-12-19 18:00:42.043
29676	1982-05-28	2	2	2021-12-19 00:26:53.697
27121	1977-11-08	1	1	2021-12-19 17:32:33.481
36997	1991-01-28	2	2	2021-12-19 05:12:51.425
273	1974-11-04	1	1	2021-12-19 15:00:41.893
25342	1966-06-29	3	2	2021-12-19 18:22:53.905
11871	1968-10-09	2	1	2021-12-19 03:43:39.579
35049	1950-08-17	1	1	2021-12-19 12:57:53.803
2332	1990-12-22	1	1	2021-12-19 05:54:26.423
4176	2001-03-13	3	1	2021-12-19 07:17:50.256
6675	1979-01-26	2	2	2021-12-19 07:53:33.575
29010	1991-04-09	2	2	2021-12-19 08:56:35.745
31596	2007-03-17	3	1	2021-12-19 22:47:25.841
5826	1969-07-10	1	2	2021-12-19 11:25:34.110
3103	2001-08-21	1	1	2021-12-19 06:56:56.010
24570	1978-10-23	1	2	2021-12-19 01:41:34.513
12792	1974-09-01	3	1	2021-12-19 07:52:50.999
14728	1959-05-31	2	1	2021-12-19 12:07:26.603
13781	1997-04-30	2	1	2021-12-19 18:40:14.866
26898	1981-08-18	1	2	2021-12-19 12:31:30.829
6871	1953-09-30	2	2	2021-12-19 08:08:50.113
17053	1983-10-05	2	1	2021-12-19 04:09:37.211
4518	1982-02-07	3	1	2021-12-19 08:50:49.833
5673	1971-09-09	2	2	2021-12-19 14:10:44.227
21295	1979-07-14	3	2	2021-12-19 21:12:39.584
36961	1989-10-02	1	2	2021-12-19 09:56:45.244
44059	1981-05-14	3	1	2021-12-19 20:51:34.936
33182	1964-02-08	2	2	2021-12-19 16:56:06.851
20132	1987-02-10	2	2	2021-12-19 02:34:03.216
2614	1986-10-21	2	2	2021-12-19 20:01:27.527
37870	1991-03-16	2	1	2021-12-19 21:40:58.016
18221	2000-08-15	3	1	2021-12-19 09:53:33.685
43853	1955-09-22	2	2	2021-12-19 05:21:41.965
27931	1968-01-03	1	2	2021-12-19 16:24:17.663
27036	1983-05-23	3	2	2021-12-19 08:09:45.927
43668	1965-10-06	1	1	2021-12-19 09:47:20.852
39480	1977-09-19	2	1	2021-12-19 07:10:14.335
31461	1998-09-21	3	1	2021-12-19 13:05:54.772
31094	1974-09-18	1	2	2021-12-19 01:24:55.866
38032	1974-10-24	3	2	2021-12-19 00:24:18.507
28180	2001-11-08	3	2	2021-12-19 17:23:17.860
21827	2004-06-21	2	2	2021-12-19 14:32:53.588
25132	1951-07-13	1	1	2021-12-19 03:14:24.012
30825	1964-09-04	2	2	2021-12-19 14:32:51.964
16550	2008-06-27	3	1	2021-12-19 02:44:46.351
43642	1996-11-05	3	1	2021-12-19 17:24:38.321
18175	2007-11-14	2	2	2021-12-19 08:37:45.108
31297	1998-05-27	2	1	2021-12-19 21:40:10.727
5076	2007-02-19	1	1	2021-12-19 11:51:57.548
3739	1997-10-22	1	1	2021-12-19 01:03:24.849
20847	1967-12-27	2	1	2021-12-19 10:00:28.105
18064	1982-12-01	1	1	2021-12-19 19:30:55.810
29725	1991-10-17	2	1	2021-12-19 15:51:58.101
26558	1974-10-22	1	2	2021-12-19 02:13:50.020
6939	2006-10-30	3	1	2021-12-19 05:11:29.128
16303	1960-04-20	2	2	2021-12-19 20:48:13.531
20812	1993-03-21	3	1	2021-12-19 18:23:11.856
22279	2002-03-31	1	1	2021-12-19 00:39:31.354
7793	1951-06-01	3	1	2021-12-19 15:07:20.230
11125	2002-12-22	2	2	2021-12-19 01:17:48.320
23977	1954-04-06	2	2	2021-12-19 12:55:48.815
42470	1981-09-04	3	2	2021-12-19 06:02:52.866
39912	1951-11-09	3	1	2021-12-19 01:37:48.510
32634	1964-08-20	3	1	2021-12-19 07:01:59.006
27203	2001-12-23	2	2	2021-12-19 13:31:44.018
25279	1952-02-17	2	2	2021-12-19 23:03:01.576
2680	1959-09-13	2	1	2021-12-19 02:09:38.075
17425	1970-06-21	1	2	2021-12-19 20:13:19.515
10067	1990-11-27	3	1	2021-12-19 11:56:57.363
13917	1953-01-16	3	2	2021-12-19 15:45:19.740
19880	1977-05-18	3	1	2021-12-19 21:12:37.987
33880	1952-04-03	2	1	2021-12-19 16:31:34.681
3824	2005-10-08	2	2	2021-12-19 03:29:57.579
19350	1972-07-09	1	1	2021-12-19 01:52:11.458
26064	1981-10-25	3	1	2021-12-19 03:47:16.747
23354	1984-01-03	2	2	2021-12-19 04:25:10.746
35379	1979-10-12	3	2	2021-12-19 11:30:02.194
23785	2006-08-28	3	2	2021-12-19 16:12:15.344
12484	1969-07-15	1	2	2021-12-19 23:59:02.335
23658	1964-04-24	3	1	2021-12-19 02:34:37.535
7978	1997-03-03	3	2	2021-12-19 09:35:02.597
11689	1963-08-04	1	1	2021-12-19 21:25:38.588
2073	1952-06-22	3	2	2021-12-19 11:39:48.428
32190	1997-02-01	2	1	2021-12-19 23:02:29.958
37079	2004-05-18	2	1	2021-12-19 10:28:26.021
12074	1986-09-15	2	2	2021-12-19 06:12:36.399
41650	1989-01-08	3	1	2021-12-19 00:46:15.307
30195	1979-02-01	3	2	2021-12-19 02:42:52.829
