userid	birthdate	profileLevel	gender	updatedTime
16678	1999-07-12	3	1	2021-12-20 18:15:14.961
16595	1988-08-23	2	1	2021-12-20 17:33:31.605
23135	1952-04-30	3	2	2021-12-20 17:58:03.821
14233	1991-09-06	1	2	2021-12-20 21:29:19.846
23183	2007-05-10	2	2	2021-12-20 21:01:43.445
15763	1954-11-17	1	2	2021-12-20 17:33:25.215
34806	1978-02-04	3	1	2021-12-20 23:09:07.696
6009	1986-07-22	1	2	2021-12-20 14:58:18.681
23498	1960-04-22	2	1	2021-12-20 08:05:19.650
4802	1950-05-03	3	2	2021-12-20 14:59:40.551
19244	1970-10-05	1	1	2021-12-20 14:12:38.030
11069	1976-02-27	2	2	2021-12-20 12:09:39.293
30746	1982-05-04	3	2	2021-12-20 13:51:27.912
41299	1996-10-23	1	2	2021-12-20 13:20:14.134
39033	1974-08-25	2	1	2021-12-20 10:16:08.213
31286	1986-12-15	1	1	2021-12-20 21:53:57.354
44592	1993-08-29	1	2	2021-12-20 09:10:48.778
14022	1992-10-21	3	2	2021-12-20 06:02:28.005
1176	2004-08-28	1	2	2021-12-20 14:36:10.539
14050	2006-02-23	3	2	2021-12-20 01:59:54.750
36881	1993-01-24	2	1	2021-12-20 17:43:53.838
38303	1984-06-13	1	1	2021-12-20 00:37:35.122
32355	1967-07-19	1	2	2021-12-20 06:42:38.873
10445	2003-09-03	3	2	2021-12-20 23:02:52.280
14461	1952-07-16	3	1	2021-12-20 02:11:11.189
28111	1967-06-17	1	2	2021-12-20 02:42:13.129
2553	1980-12-07	3	1	2021-12-20 01:28:36.675
1670	1992-06-30	1	1	2021-12-20 11:55:22.511
30017	1956-05-12	3	1	2021-12-20 13:37:16.359
4708	2005-12-04	1	1	2021-12-20 10:45:23.241
7931	1987-08-08	3	2	2021-12-20 13:27:06.537
43961	1987-04-12	2	1	2021-12-20 05:33:03.679
30174	1962-11-03	1	1	2021-12-20 06:39:15.744
9915	2002-01-19	1	2	2021-12-20 10:05:59.048
31055	1996-08-09	2	2	2021-12-20 13:59:10.554
27733	1957-09-13	2	2	2021-12-20 02:11:53.257
24032	1959-01-04	1	1	2021-12-20 02:23:35.570
20482	1952-06-01	3	2	2021-12-20 13:50:14.345
29731	1989-07-16	1	1	2021-12-20 17:42:08.212
17115	1984-11-29	1	2	2021-12-20 05:28:35.685
24648	2003-08-27	3	2	2021-12-20 05:40:12.315
6265	1989-04-24	2	2	2021-12-20 11:54:31.872
6058	1973-03-14	1	2	2021-12-20 04:53:50.525
21857	1970-06-28	1	2	2021-12-20 08:33:40.774
39846	1955-04-13	3	2	2021-12-20 23:38:02.257
35651	1960-12-04	2	2	2021-12-20 16:18:28.407
30330	1987-07-16	2	1	2021-12-20 18:03:28.017
