userid	birthdate	profileLevel	gender	updatedTime
23969	1977-04-30	1	1	2021-12-21 02:04:33.087
32279	1960-11-06	2	2	2021-12-21 00:48:49.739
9087	1955-06-18	1	2	2021-12-21 15:58:06.932
12359	1999-06-25	2	1	2021-12-21 16:21:54.724
7317	2006-10-15	2	1	2021-12-21 13:59:34.002
11529	1992-10-29	1	2	2021-12-21 19:50:46.061
15049	1966-01-01	1	1	2021-12-21 00:32:54.559
29173	1981-02-04	3	2	2021-12-21 16:55:09.241
16591	2005-05-15	2	1	2021-12-21 22:37:14.963
42406	1971-09-07	1	1	2021-12-21 15:04:25.418
25396	1981-06-21	3	1	2021-12-21 00:10:12.433
31708	1971-04-12	3	2	2021-12-21 16:42:27.731
16540	2009-11-07	2	2	2021-12-21 23:13:00.904
8320	1975-04-16	2	2	2021-12-21 02:20:17.990
24074	1964-12-25	1	2	2021-12-21 02:15:42.905
28711	1991-12-20	2	2	2021-12-21 10:07:31.049
32500	1972-01-21	3	2	2021-12-21 05:06:44.668
33760	1985-09-25	3	1	2021-12-21 18:06:50.130
10017	2001-08-20	2	1	2021-12-21 01:16:36.644
27800	1953-05-19	3	2	2021-12-21 01:11:09.408
43146	1952-11-28	2	1	2021-12-21 08:07:24.908
40234	1994-02-24	2	1	2021-12-21 16:48:40.893
31974	1963-11-03	3	2	2021-12-21 02:30:58.267
2570	1999-11-23	3	1	2021-12-21 13:35:28.965
14084	1955-01-07	3	2	2021-12-21 13:48:47.366
30163	1961-07-15	2	1	2021-12-21 13:25:44.322
8953	1978-07-25	2	1	2021-12-21 05:55:54.208
22711	1977-10-07	3	1	2021-12-21 21:28:02.297
3114	1988-03-04	1	1	2021-12-21 08:06:44.623
31469	1967-12-06	2	1	2021-12-21 21:45:18.140
30420	1993-07-24	2	2	2021-12-21 10:44:01.354
28040	1985-05-29	2	2	2021-12-21 15:17:15.203
3373	1997-12-14	1	1	2021-12-21 17:59:58.733
44678	1995-05-22	1	1	2021-12-21 09:28:30.303
33499	1973-07-02	3	1	2021-12-21 11:45:54.878
32541	1959-06-24	3	2	2021-12-21 03:43:06.597
32608	1967-03-08	2	1	2021-12-21 00:58:18.463
23945	1956-09-25	1	2	2021-12-21 21:00:51.492
31724	1986-10-03	3	1	2021-12-21 23:20:22.718
21779	1959-08-27	3	2	2021-12-21 17:32:12.901
3910	1950-07-22	3	1	2021-12-21 13:50:28.910
2863	1955-10-29	3	2	2021-12-21 16:15:05.098
585	1963-10-30	2	1	2021-12-21 08:48:05.168
35881	1963-09-20	2	1	2021-12-21 02:51:11.001
1063	1989-03-24	2	2	2021-12-21 17:18:16.986
42568	1973-04-02	1	1	2021-12-21 17:52:32.636
6994	1957-01-26	3	1	2021-12-21 08:36:38.759
14327	1965-02-10	1	2	2021-12-21 10:25:34.316
29253	2006-11-02	2	1	2021-12-21 19:31:21.286
35768	1993-06-25	3	2	2021-12-21 22:44:48.847
11180	1954-08-13	1	2	2021-12-21 07:21:54.112
28681	1990-01-12	2	2	2021-12-21 05:47:52.322
1371	2008-04-17	1	1	2021-12-21 22:19:32.199
36611	1986-06-16	2	1	2021-12-21 23:14:52.639
40691	1979-10-04	1	2	2021-12-21 08:16:43.592
26692	1979-12-10	2	2	2021-12-21 15:09:45.534
15059	1978-07-24	1	1	2021-12-21 21:46:44.234
25056	1963-06-15	2	1	2021-12-21 08:01:21.969
24488	1954-12-21	1	2	2021-12-21 20:56:05.910
32295	1958-07-05	1	2	2021-12-21 17:11:29.446
28619	2007-02-25	2	1	2021-12-21 17:15:23.903
37284	1974-04-21	1	2	2021-12-21 17:54:21.133
3908	1998-05-30	3	1	2021-12-21 01:26:17.893
24202	1957-05-22	1	1	2021-12-21 17:50:24.308
44447	2004-03-12	3	2	2021-12-21 09:42:06.321
14469	1962-06-05	2	1	2021-12-21 19:28:31.878
38709	2003-11-11	1	2	2021-12-21 19:35:52.015
3633	1969-03-02	3	1	2021-12-21 20:35:32.572
7267	1970-05-31	3	1	2021-12-21 10:04:42.604
1122	1995-12-26	3	1	2021-12-21 07:51:12.221
25670	2000-08-10	2	2	2021-12-21 23:59:48.822
10984	1991-09-10	1	2	2021-12-21 06:08:35.209
20235	1988-12-02	2	1	2021-12-21 22:15:17.473
22174	1972-09-10	1	1	2021-12-21 15:57:11.169
36336	2002-12-17	3	2	2021-12-21 06:58:27.679
1058	1963-04-01	2	2	2021-12-21 01:01:11.066
21379	1956-01-02	3	1	2021-12-21 12:55:55.975
10601	1977-04-10	3	1	2021-12-21 23:12:53.421
5923	1989-06-25	1	1	2021-12-21 20:38:28.353
7273	1996-06-04	1	2	2021-12-21 19:21:36.644
7927	1989-01-05	2	2	2021-12-21 16:08:01.855
43210	1995-02-03	1	1	2021-12-21 14:59:32.790
23141	1962-12-29	3	2	2021-12-21 03:09:20.214
27853	1977-02-20	3	1	2021-12-21 10:02:12.208
31629	1965-10-02	3	1	2021-12-21 10:07:40.281
44275	1965-11-11	1	1	2021-12-21 18:47:24.966
8908	1974-04-18	2	2	2021-12-21 08:56:03.691
9525	1992-02-17	1	2	2021-12-21 08:54:41.518
39371	1961-09-27	1	2	2021-12-21 10:14:14.647
16844	2006-08-27	2	1	2021-12-21 13:51:28.119
43282	1968-02-21	1	2	2021-12-21 11:40:01.195
35794	1980-06-06	2	1	2021-12-21 05:09:24.780
42530	1960-08-09	3	2	2021-12-21 05:45:48.910
33400	1983-04-21	1	1	2021-12-21 23:05:42.124
6536	1988-10-24	2	1	2021-12-21 12:30:09.434
21657	1952-12-29	2	2	2021-12-21 23:17:37.256
5606	1963-02-14	2	2	2021-12-21 05:50:16.708
16865	1958-01-19	1	1	2021-12-21 08:57:11.655
7601	2000-06-14	3	1	2021-12-21 18:12:45.529
