userid	birthdate	profileLevel	gender	updatedTime
14888	2007-05-31	3	2	2021-12-22 19:52:08.335
28981	1997-04-25	1	2	2021-12-22 05:55:47.528
8039	1956-01-14	1	2	2021-12-22 06:37:31.743
25747	1982-06-27	3	1	2021-12-22 03:49:58.751
3579	2009-10-26	2	2	2021-12-22 21:47:02.349
6690	1986-04-06	3	2	2021-12-22 03:05:13.566
37064	1983-07-12	2	1	2021-12-22 11:49:12.721
19153	1990-04-25	3	2	2021-12-22 10:46:49.775
17957	1991-09-05	3	2	2021-12-22 12:29:02.082
31742	1993-10-31	3	2	2021-12-22 04:09:52.193
10070	1964-08-31	1	2	2021-12-22 16:34:44.174
1119	1996-11-07	1	2	2021-12-22 06:48:18.911
14206	1999-04-13	1	1	2021-12-22 09:17:10.424
43836	1959-04-18	1	1	2021-12-22 08:06:21.075
19543	2005-05-11	3	1	2021-12-22 07:48:18.760
15618	1987-08-04	3	2	2021-12-22 21:02:20.765
9697	2006-01-22	3	2	2021-12-22 12:26:59.019
23312	2003-08-21	1	2	2021-12-22 00:45:44.942
16886	1963-09-25	2	1	2021-12-22 11:23:27.268
39684	1969-03-08	1	2	2021-12-22 04:41:10.471
37657	1991-09-20	3	1	2021-12-22 12:34:00.652
38571	1966-07-10	3	1	2021-12-22 14:19:42.159
29516	1969-07-25	3	2	2021-12-22 16:34:11.979
42406	1999-03-02	3	2	2021-12-22 18:48:17.956
28808	1988-02-06	2	1	2021-12-22 03:31:01.535
39578	2005-11-21	1	2	2021-12-22 03:47:39.728
10056	1978-07-08	2	1	2021-12-22 05:13:27.988
2762	1962-07-29	2	2	2021-12-22 02:42:57.053
40252	1953-11-26	1	1	2021-12-22 07:47:32.174
18851	1968-04-24	3	1	2021-12-22 02:02:19.461
10270	1963-11-20	3	2	2021-12-22 17:32:11.889
37901	1961-06-11	1	2	2021-12-22 22:14:25.538
12262	2005-11-21	1	1	2021-12-22 13:42:25.174
9358	1951-11-15	2	1	2021-12-22 15:48:46.506
43219	1954-07-23	2	2	2021-12-22 08:20:10.956
27466	1985-12-23	1	1	2021-12-22 12:59:58.541
28415	1979-11-13	3	1	2021-12-22 18:38:04.594
12355	2001-02-22	2	1	2021-12-22 10:56:02.914
30169	1952-11-30	1	1	2021-12-22 23:54:06.439
8971	1978-03-19	3	1	2021-12-22 14:18:10.789
35277	1995-04-17	1	1	2021-12-22 12:01:00.501
15407	1992-08-09	1	2	2021-12-22 19:52:53.484
19364	1970-09-18	1	1	2021-12-22 00:27:49.686
33399	1981-10-12	3	1	2021-12-22 02:16:04.259
5095	1984-10-18	2	2	2021-12-22 00:55:13.025
32349	2003-02-06	3	1	2021-12-22 13:59:40.330
4656	1990-09-07	2	1	2021-12-22 17:08:51.738
30993	1979-03-03	3	1	2021-12-22 09:56:48.439
12842	2003-01-19	1	1	2021-12-22 12:10:32.785
33206	2001-08-29	3	2	2021-12-22 02:45:05.537
22756	1987-11-07	3	1	2021-12-22 23:31:51.797
37991	1963-04-28	2	2	2021-12-22 12:49:48.014
13698	2006-05-18	1	1	2021-12-22 09:29:45.095
14603	1992-05-01	3	2	2021-12-22 21:10:28.542
10119	1973-05-04	2	1	2021-12-22 10:03:03.642
40122	1991-04-08	1	2	2021-12-22 00:32:39.594
39036	1960-11-11	2	1	2021-12-22 10:46:55.100
16446	1979-10-21	1	1	2021-12-22 13:59:03.472
25285	2009-11-23	3	1	2021-12-22 21:08:48.603
19783	1979-08-19	3	2	2021-12-22 18:41:33.961
23008	1954-11-25	3	1	2021-12-22 19:08:57.401
8118	1982-09-19	2	2	2021-12-22 14:22:34.990
32893	1960-04-28	2	2	2021-12-22 16:05:26.612
13395	2005-10-31	2	2	2021-12-22 05:08:44.212
33236	1958-04-16	2	2	2021-12-22 19:13:02.993
15374	1982-04-07	3	1	2021-12-22 15:10:22.021
1512	1984-02-16	3	1	2021-12-22 18:25:24.627
12919	1974-02-16	1	2	2021-12-22 05:45:24.564
22156	1988-09-24	3	2	2021-12-22 15:13:43.310
5253	2002-03-31	1	2	2021-12-22 23:02:14.656
19019	1983-02-09	3	1	2021-12-22 19:03:43.972
53	1960-02-12	1	1	2021-12-22 23:27:28.362
26708	2007-08-08	3	2	2021-12-22 02:55:09.557
10583	1999-03-10	1	2	2021-12-22 10:37:28.768
14550	2005-02-07	1	2	2021-12-22 09:30:55.338
20298	1981-06-02	1	2	2021-12-22 20:38:47.984
25332	1991-02-07	2	1	2021-12-22 21:06:31.528
42964	1980-04-23	3	1	2021-12-22 21:05:59.717
30494	1968-10-04	1	2	2021-12-22 14:34:49.919
9562	1953-10-19	3	2	2021-12-22 17:45:45.523
12236	2008-04-23	2	2	2021-12-22 23:15:25.971
12591	1979-01-31	2	2	2021-12-22 22:47:28.060
2060	2003-05-29	2	2	2021-12-22 17:15:57.683
2082	2001-07-16	3	2	2021-12-22 11:51:17.337
23406	2000-11-12	1	2	2021-12-22 02:57:31.350
14239	1994-11-19	2	1	2021-12-22 03:03:12.349
21240	2002-03-05	2	2	2021-12-22 14:41:53.915
5582	1952-06-10	3	2	2021-12-22 22:51:14.282
44458	1985-09-25	3	2	2021-12-22 09:25:30.675
13397	1964-05-12	2	2	2021-12-22 19:18:10.195
24258	1956-03-21	2	1	2021-12-22 06:13:44.843
41738	1985-05-27	2	2	2021-12-22 11:49:43.874
37077	1961-06-03	2	1	2021-12-22 09:47:45.117
27720	1997-10-17	1	1	2021-12-22 06:50:09.065
37153	1961-09-30	3	2	2021-12-22 09:25:23.574
38825	1955-12-22	3	2	2021-12-22 11:46:43.365
29499	1959-11-27	3	1	2021-12-22 19:14:49.164
22095	1981-08-25	3	1	2021-12-22 16:49:08.405
1744	2007-09-14	3	1	2021-12-22 11:02:58.957
34854	1963-02-02	1	2	2021-12-22 22:15:28.450
1747	1992-08-12	2	2	2021-12-22 14:24:34.824
5189	1995-04-08	2	1	2021-12-22 08:52:03.264
38568	1979-04-16	2	2	2021-12-22 02:53:22.992
23505	2004-05-01	2	1	2021-12-22 02:46:00.075
43230	2001-05-25	2	2	2021-12-22 01:54:03.901
18068	2004-11-21	1	2	2021-12-22 00:15:55.374
43437	1989-04-14	3	2	2021-12-22 01:13:37.890
19771	1956-10-31	1	1	2021-12-22 20:31:56.033
28025	1958-06-07	1	2	2021-12-22 08:01:39.013
36294	1966-10-07	1	2	2021-12-22 02:11:51.853
38845	1977-11-21	1	1	2021-12-22 20:33:02.002
34453	1974-11-14	2	1	2021-12-22 03:37:59.646
43497	1977-02-09	2	1	2021-12-22 16:51:23.681
17826	1980-03-13	3	1	2021-12-22 18:29:42.210
1951	1989-12-25	2	2	2021-12-22 00:12:41.284
40479	1995-01-30	1	2	2021-12-22 03:32:52.093
12233	1995-06-29	3	2	2021-12-22 09:35:05.427
32644	1987-12-29	3	1	2021-12-22 17:55:11.984
4376	1967-08-13	2	1	2021-12-22 18:13:24.209
16136	1993-07-07	2	1	2021-12-22 18:26:27.625
29973	1986-07-20	3	1	2021-12-22 08:18:19.010
7315	1994-01-14	1	1	2021-12-22 06:10:23.292
22793	1990-11-20	3	1	2021-12-22 05:46:44.022
11868	1969-02-18	1	2	2021-12-22 02:41:00.255
30950	1950-12-22	1	2	2021-12-22 11:47:56.646
23778	1991-07-19	1	1	2021-12-22 12:25:50.829
1695	1955-03-01	1	2	2021-12-22 23:16:51.731
14449	1950-11-15	1	1	2021-12-22 05:13:13.880
11933	1999-01-12	2	2	2021-12-22 07:27:38.731
24307	1994-12-03	2	1	2021-12-22 04:00:29.830
44335	1999-07-08	1	1	2021-12-22 13:14:44.516
34665	1955-08-07	2	2	2021-12-22 12:42:28.638
17768	1975-12-25	2	1	2021-12-22 14:21:20.791
6558	1958-06-09	1	2	2021-12-22 20:07:13.866
34965	1969-12-01	3	1	2021-12-22 20:01:16.299
14139	1988-12-06	1	1	2021-12-22 05:49:14.347
39793	1993-01-26	2	2	2021-12-22 17:10:44.829
21517	1975-04-15	1	2	2021-12-22 15:27:58.707
9195	1960-11-05	1	2	2021-12-22 13:34:57.778
26926	1959-12-21	2	2	2021-12-22 14:33:30.150
32695	1980-05-06	1	2	2021-12-22 01:08:11.393
30545	1956-07-16	3	1	2021-12-22 00:53:46.564
22224	1987-08-23	3	1	2021-12-22 14:17:17.314
29417	1960-06-04	2	1	2021-12-22 18:12:39.779
15435	1954-09-11	2	1	2021-12-22 18:40:16.710
8679	1999-02-13	1	1	2021-12-22 07:13:09.504
20797	1964-03-18	1	1	2021-12-22 13:56:06.279
6168	2008-05-12	1	2	2021-12-22 09:24:29.024
27222	1953-08-14	1	1	2021-12-22 04:44:20.509
8627	2002-10-19	3	2	2021-12-22 13:27:03.078
6289	1958-10-16	1	1	2021-12-22 09:47:37.384
43574	1984-07-01	1	2	2021-12-22 19:50:39.793
9624	1991-03-21	2	2	2021-12-22 14:52:43.021
5348	1996-07-09	1	2	2021-12-22 00:00:26.842
8171	1999-01-18	2	1	2021-12-22 18:31:01.984
5656	1996-02-26	3	2	2021-12-22 14:37:03.580
29923	1970-03-05	3	2	2021-12-22 03:01:45.123
5797	2000-09-21	3	1	2021-12-22 16:46:27.077
21384	1986-06-15	3	2	2021-12-22 00:56:27.958
3351	2009-03-05	1	1	2021-12-22 15:45:50.802
39426	2001-12-01	1	1	2021-12-22 01:39:41.055
5316	1977-11-29	3	1	2021-12-22 03:51:29.967
20742	2009-10-18	1	1	2021-12-22 17:49:39.610
42925	1993-10-06	1	2	2021-12-22 07:55:36.034
21320	1997-12-09	2	2	2021-12-22 21:22:57.579
23609	1994-01-22	1	1	2021-12-22 02:09:39.444
15340	1974-11-24	3	1	2021-12-22 03:18:03.619
21651	1970-02-14	1	2	2021-12-22 18:04:37.059
12742	1983-06-02	3	2	2021-12-22 23:21:28.230
41181	1981-05-06	1	2	2021-12-22 19:57:18.562
40056	1969-10-22	3	1	2021-12-22 15:21:40.844
42319	1986-06-14	2	2	2021-12-22 13:39:39.862
18055	2005-12-17	2	2	2021-12-22 13:55:02.989
34009	1958-02-03	3	1	2021-12-22 07:32:39.299
39076	1975-03-27	2	1	2021-12-22 18:38:18.664
38738	1963-02-12	1	1	2021-12-22 08:34:25.285
28222	1955-05-26	2	2	2021-12-22 20:12:30.315
8984	1971-11-19	1	1	2021-12-22 09:32:31.132
21298	1980-10-11	1	1	2021-12-22 10:04:20.258
28091	2005-12-24	2	1	2021-12-22 14:29:11.695
24718	1994-04-18	2	2	2021-12-22 05:53:31.768
18741	1981-11-14	2	2	2021-12-22 07:54:50.811
33641	1978-05-08	3	2	2021-12-22 02:23:01.788
7539	1957-08-27	1	2	2021-12-22 11:33:25.267
23350	1962-07-10	1	2	2021-12-22 21:17:25.542
8849	1953-09-20	2	2	2021-12-22 10:40:59.601
3516	1953-02-17	3	1	2021-12-22 03:12:13.124
39999	1980-03-16	3	1	2021-12-22 21:13:12.415
25727	1969-09-19	1	1	2021-12-22 15:50:47.111
40767	2002-09-16	1	1	2021-12-22 05:13:30.500
12547	1961-07-31	3	2	2021-12-22 21:42:50.968
39532	1972-10-25	3	2	2021-12-22 06:51:48.521
17968	1986-05-18	3	1	2021-12-22 04:53:16.861
23645	1960-07-27	2	1	2021-12-22 22:53:47.559
9617	1998-03-18	1	1	2021-12-22 05:51:32.194
18209	1981-03-20	3	2	2021-12-22 04:31:28.491
4205	1986-10-26	2	1	2021-12-22 10:01:55.251
33864	1979-07-02	1	2	2021-12-22 22:40:53.804
24051	2003-12-26	3	1	2021-12-22 09:31:27.624
27489	1969-08-29	3	1	2021-12-22 09:14:25.790
1824	1990-06-29	3	2	2021-12-22 05:03:53.862
17261	1995-10-13	1	2	2021-12-22 10:15:05.663
4748	1968-08-10	1	2	2021-12-22 19:57:27.636
25927	1971-12-31	2	1	2021-12-22 04:27:58.223
8648	2003-02-06	3	2	2021-12-22 10:50:49.779
6084	1967-06-19	3	1	2021-12-22 05:13:18.786
8259	1998-07-15	1	1	2021-12-22 04:40:09.068
33914	1989-04-29	3	2	2021-12-22 21:09:12.395
34384	1982-03-03	1	1	2021-12-22 01:42:54.901
32026	1991-12-03	3	1	2021-12-22 19:11:33.810
27871	1970-02-14	2	2	2021-12-22 20:19:06.425
25858	1963-10-06	2	2	2021-12-22 20:16:08.472
21875	1986-03-27	2	1	2021-12-22 05:44:11.065
21211	1963-05-09	1	2	2021-12-22 20:59:43.645
1518	2008-10-16	3	1	2021-12-22 03:12:07.771
44248	1956-01-07	3	1	2021-12-22 20:36:05.979
11463	2008-10-22	2	1	2021-12-22 00:40:31.463
16430	1970-03-18	1	1	2021-12-22 07:03:53.661
5471	1952-07-31	1	2	2021-12-22 07:43:05.329
22372	1961-10-16	3	1	2021-12-22 14:53:42.522
15888	1988-03-08	1	2	2021-12-22 00:07:29.521
41621	1979-08-08	1	1	2021-12-22 07:57:16.854
27712	2002-01-06	1	1	2021-12-22 14:29:56.717
29804	1994-03-04	2	2	2021-12-22 18:52:41.576
33182	1976-05-26	1	2	2021-12-22 00:33:26.122
10531	1976-08-11	1	1	2021-12-22 03:28:11.887
5962	2000-06-30	2	2	2021-12-22 19:52:02.613
23409	1969-05-05	1	2	2021-12-22 22:14:56.169
29714	1978-09-24	1	2	2021-12-22 05:24:47.032
10366	2005-10-07	3	1	2021-12-22 09:13:59.385
7458	1995-05-25	3	1	2021-12-22 15:21:01.184
19449	1981-06-23	3	2	2021-12-22 07:55:14.885
26560	2003-05-28	2	1	2021-12-22 23:51:53.870
39464	1978-06-19	2	1	2021-12-22 07:41:48.621
23342	2006-10-01	2	2	2021-12-22 19:19:31.007
6271	1972-10-19	1	1	2021-12-22 12:00:47.984
33065	1971-11-22	2	2	2021-12-22 09:27:39.796
9533	1953-08-02	2	1	2021-12-22 08:02:10.670
1805	1957-01-20	1	1	2021-12-22 07:57:36.900
12169	2007-01-29	3	1	2021-12-22 19:45:58.558
42532	1986-09-22	1	2	2021-12-22 15:43:13.718
39700	1955-02-15	1	1	2021-12-22 11:30:52.595
31596	1974-06-25	2	1	2021-12-22 03:47:46.875
23296	1968-02-23	2	2	2021-12-22 11:46:06.959
31874	1975-07-28	2	2	2021-12-22 06:31:04.940
43939	2009-04-18	1	1	2021-12-22 18:54:51.085
8503	1982-06-04	1	2	2021-12-22 08:13:48.711
38108	1966-10-27	2	2	2021-12-22 07:02:42.793
40918	1956-09-01	1	1	2021-12-22 17:42:56.163
13707	1965-06-25	2	1	2021-12-22 23:33:46.468
19150	2007-12-01	2	2	2021-12-22 04:31:44.647
39706	1975-06-20	3	2	2021-12-22 18:54:54.747
15348	1961-06-28	3	1	2021-12-22 13:37:38.342
37333	1962-11-02	2	1	2021-12-22 14:53:34.048
25234	2007-07-13	3	2	2021-12-22 21:37:38.272
2187	1998-08-26	3	2	2021-12-22 12:57:17.879
40715	1981-10-17	1	1	2021-12-22 05:51:54.798
4164	1966-04-29	2	1	2021-12-22 14:53:50.471
41855	1978-09-30	2	2	2021-12-22 19:37:09.883
23012	2004-04-14	2	2	2021-12-22 14:28:52.620
44714	1961-10-27	3	1	2021-12-22 22:58:01.499
25612	1987-10-15	2	2	2021-12-22 12:45:14.629
20713	2001-01-23	2	1	2021-12-22 22:17:11.868
16218	2002-07-24	2	1	2021-12-22 12:08:14.422
42600	1967-03-27	1	2	2021-12-22 18:46:37.302
36588	2004-08-26	3	1	2021-12-22 03:15:36.070
23889	1953-08-30	2	2	2021-12-22 14:22:17.287
27761	2000-10-27	1	1	2021-12-22 08:01:33.817
13980	2004-09-12	3	2	2021-12-22 12:51:04.206
21759	2002-06-25	1	2	2021-12-22 19:33:06.532
5170	1954-10-10	2	1	2021-12-22 00:55:01.145
19949	1969-07-26	3	1	2021-12-22 15:09:26.744
19651	2005-09-28	1	2	2021-12-22 19:03:41.560
33619	1968-12-17	1	2	2021-12-22 08:25:08.415
17325	1959-06-17	3	2	2021-12-22 02:32:11.900
20317	1995-08-11	1	1	2021-12-22 21:40:03.822
22674	2000-03-01	3	2	2021-12-22 12:46:15.034
42599	1972-11-16	1	1	2021-12-22 19:20:30.457
4331	2004-12-28	1	2	2021-12-22 12:33:43.373
23325	1951-05-09	2	1	2021-12-22 17:15:29.594
22645	1992-04-19	1	1	2021-12-22 18:19:08.580
241	1977-11-21	1	2	2021-12-22 20:09:25.783
1853	1973-06-01	2	1	2021-12-22 20:30:58.396
26994	2001-08-12	3	2	2021-12-22 07:45:33.069
3983	1955-03-03	2	2	2021-12-22 19:56:18.528
12922	1971-01-24	2	2	2021-12-22 07:42:07.293
26870	1983-06-26	1	1	2021-12-22 08:24:26.791
35275	2004-03-20	2	1	2021-12-22 07:46:44.843
27843	2008-09-16	1	2	2021-12-22 06:25:02.874
12853	1991-03-13	1	1	2021-12-22 13:36:34.431
2271	1957-12-04	3	1	2021-12-22 00:52:12.149
41125	1999-05-26	2	1	2021-12-22 01:56:02.159
16358	1982-12-04	1	1	2021-12-22 18:01:38.006
11006	1964-10-27	3	2	2021-12-22 05:17:14.040
13897	1951-06-15	3	1	2021-12-22 10:43:34.202
18374	2006-04-27	2	1	2021-12-22 11:13:38.332
6729	1950-07-01	3	2	2021-12-22 04:25:38.877
897	1970-07-08	1	2	2021-12-22 01:47:58.715
28663	1995-08-03	2	2	2021-12-22 08:24:15.694
14264	1970-08-14	2	2	2021-12-22 19:58:59.935
17316	2000-12-19	1	1	2021-12-22 14:47:24.080
37677	1970-08-30	1	1	2021-12-22 05:06:42.615
4391	1965-09-17	1	1	2021-12-22 15:03:05.308
22079	2008-12-22	2	1	2021-12-22 13:47:08.764
35319	1955-01-16	3	1	2021-12-22 17:18:54.198
40605	1973-12-07	2	1	2021-12-22 17:38:45.845
42514	1973-08-26	2	1	2021-12-22 23:22:30.723
7781	1995-02-06	2	2	2021-12-22 19:12:39.986
44848	1992-05-30	2	1	2021-12-22 21:51:38.153
24226	2009-05-02	1	1	2021-12-22 21:28:02.207
22781	1976-05-16	3	1	2021-12-22 13:34:19.708
19064	1982-10-11	2	1	2021-12-22 07:00:33.418
12114	1991-09-09	2	2	2021-12-22 23:01:06.060
11049	1975-07-06	2	2	2021-12-22 20:13:48.124
31241	1986-12-03	1	2	2021-12-22 05:02:20.058
17672	1957-08-28	1	2	2021-12-22 15:20:15.243
20639	2009-02-01	2	2	2021-12-22 00:34:34.449
25346	1957-02-21	2	1	2021-12-22 01:50:19.136
37387	1950-02-03	1	1	2021-12-22 01:29:21.795
23987	1951-11-16	2	2	2021-12-22 12:25:02.474
13375	2009-08-01	3	1	2021-12-22 06:12:45.647
13163	1951-09-10	3	1	2021-12-22 21:38:07.900
42526	1994-12-25	3	1	2021-12-22 02:24:54.701
35473	1993-07-02	1	1	2021-12-22 11:13:00.260
13467	1997-08-20	3	1	2021-12-22 03:28:42.814
33281	2007-08-16	1	2	2021-12-22 00:24:57.458
15451	1955-06-21	1	2	2021-12-22 01:37:37.602
10487	1954-11-11	2	1	2021-12-22 03:53:10.684
4118	1979-01-13	2	1	2021-12-22 00:26:44.994
34378	1963-01-02	1	2	2021-12-22 22:19:01.267
8685	1971-06-29	1	1	2021-12-22 10:25:59.924
30879	1983-07-13	1	1	2021-12-22 14:04:39.588
12335	1975-06-27	3	2	2021-12-22 14:28:32.960
40550	1980-07-08	3	1	2021-12-22 20:33:49.119
3908	1980-09-04	1	2	2021-12-22 10:54:10.847
22432	1964-11-16	3	1	2021-12-22 09:54:28.219
32145	1980-01-05	3	2	2021-12-22 20:13:33.642
29649	1986-12-13	3	2	2021-12-22 05:34:08.984
3024	1974-08-03	1	2	2021-12-22 07:03:20.121
11720	1979-11-27	2	2	2021-12-22 07:40:08.208
21294	1975-08-11	2	1	2021-12-22 01:45:22.024
7935	1970-04-02	2	1	2021-12-22 21:04:42.253
38041	1958-08-01	1	2	2021-12-22 05:19:56.728
4732	1980-06-13	2	1	2021-12-22 09:49:34.509
12296	1973-10-03	1	1	2021-12-22 12:23:52.598
42129	2007-10-17	3	1	2021-12-22 19:45:19.766
13679	2000-05-17	1	1	2021-12-22 18:43:41.410
16287	1983-01-25	2	2	2021-12-22 16:10:33.949
27356	1996-03-07	1	1	2021-12-22 07:37:17.946
1195	1990-01-22	3	1	2021-12-22 13:28:14.471
1570	1957-01-03	3	1	2021-12-22 01:05:55.899
2914	2007-12-11	1	1	2021-12-22 20:27:23.452
17976	1991-03-17	1	1	2021-12-22 13:38:15.788
14337	1965-02-07	3	1	2021-12-22 00:00:54.754
846	2006-03-05	3	2	2021-12-22 10:32:07.430
17148	1972-03-22	3	1	2021-12-22 05:39:58.295
27359	1974-08-25	2	2	2021-12-22 12:29:30.134
13359	1961-05-11	2	2	2021-12-22 00:45:18.249
32508	2006-05-17	2	2	2021-12-22 05:21:47.532
23804	2009-04-07	3	2	2021-12-22 19:25:01.095
8998	1995-01-02	3	2	2021-12-22 17:07:15.508
23298	1962-07-17	3	1	2021-12-22 11:45:03.767
32613	1968-07-29	1	2	2021-12-22 13:51:59.633
10741	2000-02-11	1	2	2021-12-22 12:36:27.051
39775	1970-02-13	1	2	2021-12-22 21:36:45.138
19521	2008-12-07	2	2	2021-12-22 11:08:12.168
17859	1985-05-08	2	2	2021-12-22 17:35:31.083
2470	1953-09-01	2	1	2021-12-22 04:55:52.304
20652	1959-08-12	2	1	2021-12-22 05:57:56.783
20324	1955-04-22	2	2	2021-12-22 03:08:06.470
35945	1991-03-20	1	1	2021-12-22 08:46:15.146
42972	1985-02-06	1	2	2021-12-22 21:14:57.924
19111	1967-05-07	3	2	2021-12-22 21:45:04.496
6227	2009-09-09	1	2	2021-12-22 11:07:27.503
15696	2001-09-29	3	1	2021-12-22 07:09:26.187
34447	2005-06-11	2	1	2021-12-22 13:53:30.123
26493	1998-12-17	3	1	2021-12-22 07:54:25.695
34905	1981-06-28	1	2	2021-12-22 19:40:24.967
41383	1974-01-23	2	2	2021-12-22 14:34:14.333
6312	2009-06-29	2	1	2021-12-22 06:02:33.632
22227	2000-11-12	2	1	2021-12-22 05:21:53.797
2531	1950-07-20	3	2	2021-12-22 11:50:28.028
36215	2004-11-19	3	1	2021-12-22 07:45:02.233
4982	1987-06-25	2	2	2021-12-22 00:25:47.905
445	1951-08-03	2	2	2021-12-22 03:12:30.411
24046	2004-08-08	3	2	2021-12-22 18:14:04.138
28624	1961-10-26	3	2	2021-12-22 07:39:09.921
44710	1951-11-21	2	2	2021-12-22 11:33:03.419
40428	1950-10-23	2	2	2021-12-22 23:00:33.396
30985	1984-11-21	3	1	2021-12-22 09:23:01.493
19382	1984-11-10	3	1	2021-12-22 18:36:47.933
12542	1989-05-24	1	1	2021-12-22 14:50:13.601
3561	1990-02-27	2	2	2021-12-22 01:40:08.340
30210	2003-02-07	2	2	2021-12-22 21:33:19.431
2918	1968-11-03	1	2	2021-12-22 01:45:38.279
5835	1954-07-05	1	1	2021-12-22 10:33:35.917
4164	1975-01-05	2	2	2021-12-22 12:47:05.606
22751	1952-07-23	1	1	2021-12-22 17:52:28.338
34684	1978-11-15	2	2	2021-12-22 16:44:37.335
37144	1953-05-03	1	1	2021-12-22 20:27:16.759
43956	1957-01-06	3	2	2021-12-22 08:54:29.350
29744	1997-09-03	3	2	2021-12-22 15:00:57.656
34885	1996-09-15	2	2	2021-12-22 08:29:32.496
41360	1993-10-17	1	2	2021-12-22 08:56:16.784
1041	1963-12-26	1	2	2021-12-22 09:57:26.770
38856	1953-11-27	1	1	2021-12-22 19:38:36.294
36571	2001-03-10	1	2	2021-12-22 19:21:55.554
42915	1984-07-06	1	1	2021-12-22 23:42:13.282
15760	1982-11-16	1	2	2021-12-22 14:49:40.489
41869	1978-09-06	2	2	2021-12-22 22:23:22.157
20253	2007-10-16	3	1	2021-12-22 18:42:11.414
43720	1971-09-07	2	2	2021-12-22 17:41:53.135
23201	1976-06-18	2	2	2021-12-22 10:11:22.967
42417	2000-04-17	1	2	2021-12-22 00:48:53.886
35291	1957-10-02	2	1	2021-12-22 14:21:27.695
29641	1951-03-10	3	2	2021-12-22 01:47:16.635
23430	1990-12-27	3	1	2021-12-22 13:54:35.076
7790	1981-07-10	3	2	2021-12-22 11:22:40.798
17448	1989-12-20	3	1	2021-12-22 03:36:57.945
44239	2000-08-19	1	2	2021-12-22 17:04:54.155
42166	1966-04-10	1	1	2021-12-22 11:36:29.125
27914	1982-02-28	3	2	2021-12-22 11:27:17.463
42628	1964-05-12	3	1	2021-12-22 02:20:19.444
11342	1996-06-23	1	1	2021-12-22 03:21:58.422
41911	1973-06-10	2	2	2021-12-22 02:17:10.244
2165	1959-10-01	1	1	2021-12-22 09:47:13.556
8677	1972-03-31	3	2	2021-12-22 07:49:41.859
