userid	birthdate	profileLevel	gender	updatedTime
41270	1966-10-16	3	2	2021-12-23 20:10:30.748
31684	2004-06-02	2	1	2021-12-23 16:16:00.110
28829	1956-10-07	3	2	2021-12-23 11:38:09.665
30868	1961-11-05	2	1	2021-12-23 13:50:46.811
3366	1988-02-11	3	2	2021-12-23 18:27:46.598
4345	1953-06-25	2	1	2021-12-23 17:16:23.256
41289	1966-10-14	2	2	2021-12-23 21:03:52.227
38861	1991-10-02	1	1	2021-12-23 23:32:57.763
446	1999-04-11	1	1	2021-12-23 13:35:39.646
3654	1974-08-02	3	2	2021-12-23 17:58:04.384
28267	2003-02-14	1	2	2021-12-23 10:01:02.306
2478	1986-11-14	1	1	2021-12-23 09:31:59.291
22836	1992-11-27	2	1	2021-12-23 00:45:22.143
4725	1997-09-05	1	2	2021-12-23 21:18:04.613
13636	2001-09-12	2	2	2021-12-23 19:10:42.959
20332	1983-11-04	1	2	2021-12-23 01:36:55.617
6070	1963-05-17	3	1	2021-12-23 15:00:15.919
29358	1991-12-25	2	1	2021-12-23 02:21:07.482
14778	1954-03-20	1	1	2021-12-23 12:32:11.606
35881	1987-05-31	2	1	2021-12-23 23:40:15.909
41371	1967-01-24	3	2	2021-12-23 07:30:34.144
25963	1950-10-13	1	2	2021-12-23 06:21:36.340
9988	1978-02-10	3	2	2021-12-23 12:44:19.413
35449	1952-04-08	1	2	2021-12-23 18:15:44.247
7313	1977-09-04	3	1	2021-12-23 18:43:03.547
8572	1970-09-07	2	2	2021-12-23 19:01:37.972
21141	1975-04-17	1	2	2021-12-23 15:29:12.963
25178	1961-07-23	3	2	2021-12-23 01:43:23.538
22303	1968-04-02	2	2	2021-12-23 02:30:33.885
35694	1979-08-05	2	2	2021-12-23 14:21:46.795
7486	1987-03-04	2	1	2021-12-23 02:23:41.598
21496	1950-12-22	1	2	2021-12-23 16:45:53.945
25614	1962-04-13	2	1	2021-12-23 01:36:51.533
1688	1976-07-15	1	1	2021-12-23 14:36:30.641
34193	1979-10-23	3	2	2021-12-23 20:57:48.392
21959	1955-04-13	3	1	2021-12-23 15:35:25.168
11652	1995-05-29	3	1	2021-12-23 00:55:25.413
41454	2003-12-13	2	1	2021-12-23 08:47:32.065
38828	1974-08-25	1	2	2021-12-23 13:04:36.398
35759	1954-09-12	3	2	2021-12-23 02:03:17.026
19972	1958-06-11	2	2	2021-12-23 13:37:05.816
10415	1967-12-25	2	1	2021-12-23 15:32:37.762
13492	2002-06-13	1	1	2021-12-23 10:35:28.610
33172	2001-08-22	3	2	2021-12-23 10:45:03.235
39730	1951-09-15	1	1	2021-12-23 21:04:54.013
44054	1953-02-28	3	1	2021-12-23 22:19:16.972
43123	1977-03-03	2	2	2021-12-23 17:14:07.447
36919	1978-03-27	1	1	2021-12-23 16:06:01.217
9777	1980-09-29	2	1	2021-12-23 03:43:14.622
42885	1997-06-16	3	1	2021-12-23 16:14:42.340
8241	1971-07-24	3	2	2021-12-23 16:20:43.509
5394	1984-06-29	1	1	2021-12-23 02:58:35.989
11030	1999-08-26	2	2	2021-12-23 02:56:02.904
33930	1952-02-28	1	2	2021-12-23 23:52:43.604
34418	1980-01-03	1	2	2021-12-23 16:29:37.219
26186	1984-04-20	3	1	2021-12-23 15:49:26.171
27286	1952-10-24	2	1	2021-12-23 20:37:38.565
18061	1986-03-08	1	1	2021-12-23 14:52:18.868
12067	2004-07-28	3	2	2021-12-23 08:47:15.203
18378	1978-02-17	1	2	2021-12-23 09:28:35.737
36091	1965-05-22	1	1	2021-12-23 08:54:48.214
8111	1975-05-02	2	2	2021-12-23 01:37:38.345
11181	1964-11-19	1	2	2021-12-23 11:50:37.204
25966	1954-11-24	3	2	2021-12-23 14:30:41.837
10970	1967-07-02	1	2	2021-12-23 01:30:04.752
30046	1962-04-22	1	2	2021-12-23 05:05:40.517
23664	1966-07-02	1	2	2021-12-23 08:38:31.443
455	1987-03-20	3	2	2021-12-23 18:44:16.177
29650	1960-01-17	2	2	2021-12-23 21:21:44.647
20427	1975-12-18	1	2	2021-12-23 16:04:38.048
3429	1979-08-23	1	2	2021-12-23 13:01:11.005
8052	1973-06-05	3	2	2021-12-23 20:02:26.148
44100	1965-12-12	1	1	2021-12-23 20:53:08.066
23430	1997-07-18	2	1	2021-12-23 14:58:19.809
12669	1977-11-12	3	1	2021-12-23 17:42:33.132
