userid	birthdate	profileLevel	gender	updatedTime
11314	1955-01-26	2	1	2021-12-25 01:45:41.404
25461	2008-05-30	2	1	2021-12-25 06:39:18.785
118	1975-02-16	1	1	2021-12-25 21:46:51.722
36534	1951-01-20	1	1	2021-12-25 03:05:33.747
5113	1966-10-15	2	1	2021-12-25 09:54:49.496
7091	1989-03-18	3	1	2021-12-25 15:17:57.361
16746	1962-10-26	1	1	2021-12-25 08:55:21.050
35034	1966-05-24	3	1	2021-12-25 21:44:25.608
34759	1973-05-09	2	1	2021-12-25 00:18:13.603
36437	1993-10-01	3	1	2021-12-25 18:21:14.837
44902	1966-02-12	2	2	2021-12-25 06:49:52.761
25111	2005-05-14	1	1	2021-12-25 22:37:04.179
32395	1980-07-16	2	1	2021-12-25 04:33:43.200
25662	1961-11-22	1	1	2021-12-25 19:03:45.013
42535	1988-10-08	2	1	2021-12-25 21:02:28.672
20553	1986-05-20	3	2	2021-12-25 00:28:52.312
21976	1960-01-09	2	2	2021-12-25 08:04:58.821
27219	2008-02-01	1	1	2021-12-25 08:13:04.930
8067	2008-09-06	1	2	2021-12-25 10:33:53.491
7129	1996-06-21	3	1	2021-12-25 22:40:26.339
19817	2002-11-09	3	2	2021-12-25 18:30:57.203
40168	1977-11-20	1	2	2021-12-25 07:26:16.820
35744	2009-02-12	3	1	2021-12-25 12:15:23.811
40954	1969-10-02	2	1	2021-12-25 07:53:13.073
24149	1970-06-20	3	1	2021-12-25 11:49:32.568
34982	1977-08-16	1	2	2021-12-25 17:45:55.779
33760	1961-02-16	1	2	2021-12-25 14:03:26.264
21756	1987-10-27	2	2	2021-12-25 01:47:56.231
23297	1980-07-29	1	1	2021-12-25 13:45:19.346
16171	1954-07-07	3	2	2021-12-25 16:00:30.329
22451	1960-07-24	2	2	2021-12-25 20:24:51.710
15836	1961-10-25	1	2	2021-12-25 11:30:25.423
34586	1973-02-24	1	1	2021-12-25 09:20:45.033
7849	1999-12-29	1	2	2021-12-25 09:22:11.420
9448	1961-09-02	2	1	2021-12-25 16:18:00.350
35451	1953-03-26	1	1	2021-12-25 21:20:18.724
41229	1990-12-19	2	1	2021-12-25 09:44:37.983
24402	1976-11-23	2	1	2021-12-25 13:07:48.648
8444	1982-05-24	1	1	2021-12-25 15:09:57.591
35565	1950-01-01	2	2	2021-12-25 11:57:07.249
9523	1999-06-30	2	2	2021-12-25 18:02:12.252
42203	1990-05-26	3	2	2021-12-25 21:15:06.273
9099	1961-08-24	1	1	2021-12-25 15:19:02.767
11920	1995-02-20	2	2	2021-12-25 12:08:08.160
20340	2007-03-05	3	2	2021-12-25 23:57:12.545
23390	1969-06-08	3	1	2021-12-25 13:16:10.546
26842	1964-09-17	2	2	2021-12-25 12:06:23.411
37897	1976-11-18	3	2	2021-12-25 00:40:41.177
13474	1981-01-25	3	1	2021-12-25 12:52:18.694
3490	1990-01-11	1	2	2021-12-25 23:04:24.262
10200	1958-01-03	1	1	2021-12-25 10:39:20.291
1334	1968-01-10	3	1	2021-12-25 20:37:25.132
4741	2009-09-02	3	1	2021-12-25 10:49:34.333
15907	1978-09-11	3	2	2021-12-25 01:24:57.240
23901	2008-03-09	3	2	2021-12-25 09:31:57.124
38212	1966-09-16	3	1	2021-12-25 13:47:21.048
26854	2007-06-11	1	2	2021-12-25 05:05:46.054
33043	1957-03-28	2	1	2021-12-25 14:09:53.654
7293	1968-05-04	2	1	2021-12-25 08:36:24.460
22766	1995-11-12	2	1	2021-12-25 17:48:16.701
18116	1961-04-15	1	1	2021-12-25 20:32:27.928
25557	1999-12-21	1	1	2021-12-25 05:07:01.990
28635	1984-05-08	1	1	2021-12-25 12:56:16.498
12797	1960-06-02	2	2	2021-12-25 20:45:06.865
1455	1962-01-04	3	2	2021-12-25 17:22:27.094
23047	1979-05-22	1	2	2021-12-25 02:03:23.334
38618	1977-05-15	3	2	2021-12-25 01:54:54.038
43255	2004-10-20	3	2	2021-12-25 22:50:14.930
31198	1975-10-15	3	1	2021-12-25 08:41:05.377
10287	1984-09-12	3	1	2021-12-25 20:49:17.463
40428	1959-06-09	3	1	2021-12-25 12:06:25.080
14692	1992-03-17	1	1	2021-12-25 11:27:05.674
36562	2007-08-25	1	2	2021-12-25 00:35:24.063
119	1988-06-18	3	1	2021-12-25 16:10:59.272
11875	1973-09-11	1	2	2021-12-25 12:28:36.045
20729	1956-06-28	1	2	2021-12-25 08:43:58.383
463	1952-01-01	1	1	2021-12-25 17:36:33.882
9927	1987-01-03	1	1	2021-12-25 06:44:49.084
19473	1993-01-03	3	2	2021-12-25 15:06:23.174
16771	1990-02-16	1	2	2021-12-25 23:15:34.934
12725	1985-05-22	3	1	2021-12-25 08:20:05.345
34768	1962-12-21	2	1	2021-12-25 08:03:54.523
2130	2006-02-22	2	1	2021-12-25 08:02:30.054
35405	2001-05-16	2	1	2021-12-25 02:04:55.738
34482	1976-08-08	1	1	2021-12-25 10:47:51.047
35897	1967-07-28	3	1	2021-12-25 05:45:00.424
5692	1981-10-21	1	2	2021-12-25 05:53:06.835
39862	1950-06-02	3	2	2021-12-25 00:11:45.597
33028	2008-07-18	3	2	2021-12-25 06:42:43.073
2533	1964-03-11	2	1	2021-12-25 15:07:22.782
22628	1987-06-16	3	2	2021-12-25 00:38:37.086
42990	1970-09-22	2	1	2021-12-25 00:38:01.184
34559	1950-12-07	3	1	2021-12-25 03:20:36.873
1271	2009-02-15	2	2	2021-12-25 21:24:56.236
4283	1976-06-26	1	1	2021-12-25 14:01:38.753
31005	1952-08-05	3	1	2021-12-25 23:34:52.992
34727	1988-12-08	3	1	2021-12-25 18:53:52.263
38592	1962-06-13	2	1	2021-12-25 14:21:47.669
14372	1984-04-28	1	2	2021-12-25 13:14:25.471
37138	1951-11-13	1	1	2021-12-25 21:42:56.597
39867	2005-10-14	3	1	2021-12-25 00:28:27.241
8131	1983-04-22	3	1	2021-12-25 22:27:16.293
7545	2008-01-01	3	2	2021-12-25 17:58:37.141
21035	1960-01-22	2	1	2021-12-25 20:23:07.162
26273	1973-04-19	2	1	2021-12-25 07:45:14.149
19843	1955-07-21	3	2	2021-12-25 23:18:47.528
39736	1995-05-30	2	1	2021-12-25 09:54:31.091
36952	1967-06-09	3	1	2021-12-25 04:33:42.876
44138	1951-03-11	2	1	2021-12-25 03:18:30.951
1585	1995-06-13	2	2	2021-12-25 22:32:24.611
11629	1996-11-23	1	1	2021-12-25 05:43:22.800
24333	1958-01-20	2	2	2021-12-25 01:46:32.631
15005	2000-06-29	2	1	2021-12-25 22:12:52.308
42575	2006-02-15	2	1	2021-12-25 18:01:42.071
31595	1982-08-01	2	1	2021-12-25 21:44:17.944
22309	1988-12-17	1	1	2021-12-25 10:44:28.706
23512	1952-02-25	2	2	2021-12-25 23:50:35.457
36202	2007-08-21	3	1	2021-12-25 02:23:04.102
3064	1990-02-15	2	1	2021-12-25 05:36:25.254
17750	1989-08-06	2	2	2021-12-25 12:31:34.709
1088	1994-06-18	1	2	2021-12-25 17:52:52.510
26149	1999-03-15	1	1	2021-12-25 04:15:25.822
7964	2005-06-23	3	1	2021-12-25 02:10:09.198
11504	1950-10-02	3	2	2021-12-25 03:37:49.059
14413	2007-04-04	3	1	2021-12-25 00:20:14.739
3870	1957-12-27	1	2	2021-12-25 22:16:38.105
33172	2001-04-18	2	2	2021-12-25 23:35:54.129
5142	1952-02-16	3	2	2021-12-25 04:19:22.071
29232	1989-01-06	2	2	2021-12-25 14:02:26.015
25225	1954-05-03	1	2	2021-12-25 19:20:30.239
41041	1982-01-09	1	1	2021-12-25 09:31:35.970
14632	1962-10-20	1	2	2021-12-25 20:52:04.796
35033	1977-04-17	2	2	2021-12-25 23:14:18.850
25419	1981-06-17	1	1	2021-12-25 09:40:50.788
24354	2005-03-18	3	2	2021-12-25 17:27:48.600
14342	1971-10-26	1	1	2021-12-25 04:56:22.235
43318	1968-09-07	1	2	2021-12-25 03:37:18.127
16804	1953-02-28	1	1	2021-12-25 15:56:24.534
13473	1972-02-26	1	2	2021-12-25 07:01:29.970
2102	2009-03-20	1	2	2021-12-25 04:25:03.866
27622	1974-10-26	3	1	2021-12-25 21:23:59.571
12847	1985-09-08	3	2	2021-12-25 03:43:16.897
14421	1962-09-11	1	1	2021-12-25 11:29:58.061
7437	2000-04-04	1	2	2021-12-25 00:15:58.423
43880	1954-08-26	1	2	2021-12-25 20:55:25.935
32038	1961-03-05	1	1	2021-12-25 00:29:03.975
36402	2000-10-03	3	1	2021-12-25 03:23:20.689
27179	1959-02-17	1	2	2021-12-25 08:46:37.062
5025	1968-05-14	2	1	2021-12-25 19:32:37.669
12733	2004-06-28	2	2	2021-12-25 07:24:59.953
26818	1970-10-16	2	1	2021-12-25 08:04:25.133
26626	1979-04-04	3	2	2021-12-25 22:29:59.005
4963	1966-04-13	1	1	2021-12-25 03:34:17.284
20938	1970-05-22	1	1	2021-12-25 00:53:11.147
2406	1965-02-11	2	2	2021-12-25 09:31:59.937
5053	1983-06-21	2	1	2021-12-25 18:59:29.814
42630	1950-04-04	1	2	2021-12-25 09:54:54.338
33556	1971-11-09	2	1	2021-12-25 08:06:07.375
23367	1952-02-06	1	1	2021-12-25 23:58:47.691
21624	2005-07-10	1	1	2021-12-25 19:47:58.138
1616	1955-03-16	3	1	2021-12-25 19:45:11.242
33114	1986-11-22	1	2	2021-12-25 01:05:59.371
8627	1984-10-15	1	1	2021-12-25 02:49:39.095
29281	1988-06-11	1	1	2021-12-25 16:23:12.100
28046	1970-03-08	1	2	2021-12-25 12:17:21.833
38630	1953-04-10	3	1	2021-12-25 03:41:47.561
3852	1966-01-29	3	2	2021-12-25 09:34:13.848
2622	1951-11-23	2	2	2021-12-25 21:42:31.090
2983	1968-05-01	3	2	2021-12-25 05:25:30.214
2104	1982-05-15	1	2	2021-12-25 18:10:34.916
9179	1957-05-17	1	2	2021-12-25 14:58:09.499
14969	1957-03-21	2	1	2021-12-25 20:06:44.336
36290	1977-12-08	3	1	2021-12-25 17:38:08.856
11164	1967-04-13	1	1	2021-12-25 22:11:58.021
193	1982-01-17	3	1	2021-12-25 01:24:13.288
22845	1970-07-10	2	2	2021-12-25 21:54:13.212
4721	1951-07-15	1	1	2021-12-25 19:04:43.703
26643	1986-11-03	2	2	2021-12-25 02:30:01.837
15691	1985-02-07	2	2	2021-12-25 12:52:06.725
16469	1999-05-19	1	2	2021-12-25 14:28:22.856
23476	1971-06-18	1	1	2021-12-25 10:15:55.167
13924	1969-10-09	2	2	2021-12-25 02:09:57.695
29017	1958-12-27	1	1	2021-12-25 04:31:00.873
41701	1967-06-02	3	2	2021-12-25 05:01:36.976
13008	1974-07-28	2	2	2021-12-25 22:13:36.234
30299	1998-04-26	2	1	2021-12-25 08:34:55.688
23113	1991-06-02	2	2	2021-12-25 17:51:10.097
44190	1985-04-19	3	2	2021-12-25 15:09:04.649
20083	1985-05-26	3	1	2021-12-25 04:41:16.097
21043	1964-05-12	1	1	2021-12-25 19:24:56.870
42797	1978-12-01	2	1	2021-12-25 23:03:47.231
24518	1956-01-09	2	2	2021-12-25 18:04:14.703
16851	1968-11-08	1	2	2021-12-25 04:03:47.395
18265	1989-03-07	1	1	2021-12-25 23:48:25.955
7746	1982-06-28	1	2	2021-12-25 15:59:04.239
10575	1974-01-17	3	2	2021-12-25 05:05:23.472
15751	2002-11-30	2	1	2021-12-25 02:02:57.235
4693	1961-12-10	1	2	2021-12-25 04:07:07.669
5445	1967-02-24	3	2	2021-12-25 01:32:16.615
28115	2004-05-29	1	2	2021-12-25 07:00:35.450
13487	1988-08-29	1	1	2021-12-25 01:48:04.879
14558	1966-08-03	2	2	2021-12-25 15:24:29.780
40430	1979-04-28	3	1	2021-12-25 13:37:00.895
26326	1999-11-08	1	1	2021-12-25 07:13:09.638
8969	1988-09-19	3	1	2021-12-25 12:08:55.076
10912	1953-02-23	2	2	2021-12-25 14:34:04.135
43368	2009-08-07	1	2	2021-12-25 15:31:35.936
33618	2009-10-02	1	1	2021-12-25 07:07:35.679
6493	2008-02-16	3	1	2021-12-25 21:25:48.235
16871	1985-06-03	2	1	2021-12-25 19:23:50.548
2751	1999-09-08	1	2	2021-12-25 04:10:22.967
44426	1974-01-17	2	1	2021-12-25 17:19:58.819
11359	2001-07-01	2	2	2021-12-25 13:56:04.987
11034	1991-09-25	1	2	2021-12-25 10:02:11.346
3362	1969-12-11	2	1	2021-12-25 07:40:03.614
5352	1978-04-12	1	1	2021-12-25 13:10:24.600
30564	1968-06-27	1	2	2021-12-25 20:27:49.887
19091	1984-03-24	1	2	2021-12-25 09:36:06.107
18295	2004-03-23	1	2	2021-12-25 17:05:52.731
35323	1983-03-06	3	2	2021-12-25 04:11:59.045
44048	1980-10-15	1	1	2021-12-25 16:16:03.707
18322	1985-01-22	1	1	2021-12-25 00:30:17.116
21581	2005-04-02	1	1	2021-12-25 13:24:03.667
40328	2002-10-11	2	2	2021-12-25 20:28:36.694
21134	1974-02-16	1	2	2021-12-25 09:15:32.185
12078	2006-09-16	2	2	2021-12-25 20:17:31.283
21791	1958-12-26	3	1	2021-12-25 06:20:37.010
3096	1966-03-07	3	2	2021-12-25 20:48:57.526
23927	1975-04-04	2	1	2021-12-25 07:38:01.551
13341	1974-07-16	3	1	2021-12-25 14:10:18.024
25749	2001-04-07	1	1	2021-12-25 00:57:09.315
9550	1962-05-09	3	1	2021-12-25 16:10:37.772
12617	1996-01-27	1	1	2021-12-25 04:39:39.936
8954	1969-10-08	2	2	2021-12-25 13:41:12.486
37119	1955-12-14	3	1	2021-12-25 17:09:31.158
35836	2005-06-30	3	1	2021-12-25 03:32:28.433
35508	2002-05-21	2	1	2021-12-25 10:36:33.264
13173	1990-11-01	3	1	2021-12-25 03:31:48.265
37576	1999-08-28	3	1	2021-12-25 03:48:09.600
39628	1971-06-05	2	1	2021-12-25 07:15:25.232
22567	1986-03-20	2	1	2021-12-25 08:16:02.590
863	1964-11-30	2	2	2021-12-25 05:37:42.490
18260	1987-05-30	1	1	2021-12-25 03:38:55.132
18620	1993-01-01	3	1	2021-12-25 17:38:25.332
746	1998-03-13	2	1	2021-12-25 07:04:26.572
124	1958-04-05	2	1	2021-12-25 04:58:49.569
36091	2003-03-04	1	2	2021-12-25 18:54:59.216
18861	1996-05-17	3	2	2021-12-25 18:08:56.144
32614	1960-11-08	3	2	2021-12-25 02:29:12.779
29511	1973-11-28	3	2	2021-12-25 06:48:54.429
23424	1971-09-28	3	2	2021-12-25 22:48:17.518
11648	1988-08-04	3	2	2021-12-25 05:25:20.815
26792	1967-08-14	2	2	2021-12-25 00:08:26.293
12387	1999-03-15	2	2	2021-12-25 08:48:37.299
16180	1961-02-07	3	2	2021-12-25 11:58:36.385
42126	1965-05-15	2	2	2021-12-25 17:12:30.791
4171	1959-03-22	2	1	2021-12-25 15:04:41.353
37240	1959-11-05	1	2	2021-12-25 18:52:26.067
32035	1968-05-16	1	2	2021-12-25 03:14:44.894
27550	1957-12-24	2	2	2021-12-25 22:52:52.678
4673	1953-11-01	1	2	2021-12-25 11:01:35.552
31443	1980-03-23	1	1	2021-12-25 11:12:39.541
34224	1956-09-10	1	2	2021-12-25 08:20:33.676
