userid	birthdate	profileLevel	gender	updatedTime
23307	1967-08-07	2	1	2021-12-26 07:40:42.053
42973	1966-08-04	1	2	2021-12-26 00:44:57.972
13481	1964-03-01	1	1	2021-12-26 00:11:41.347
15811	1982-09-08	1	1	2021-12-26 04:44:41.640
19279	1970-07-20	3	2	2021-12-26 12:40:48.357
1739	1951-07-02	2	2	2021-12-26 12:42:01.766
17374	1955-07-08	3	1	2021-12-26 12:29:27.582
5380	1972-11-21	1	1	2021-12-26 06:19:01.708
23933	2004-07-15	2	2	2021-12-26 08:25:58.194
41569	1999-07-02	2	2	2021-12-26 12:41:52.243
14804	1959-01-21	3	2	2021-12-26 10:13:19.721
4368	2002-12-19	2	1	2021-12-26 14:20:15.248
6207	1958-08-19	3	2	2021-12-26 19:30:58.774
17083	2002-03-02	2	1	2021-12-26 01:19:31.247
23429	1950-02-25	2	2	2021-12-26 03:50:18.695
35179	1979-08-09	3	2	2021-12-26 05:45:30.150
7393	2006-02-06	1	2	2021-12-26 15:08:22.802
28238	2002-05-30	1	1	2021-12-26 20:30:19.036
34361	1964-04-09	2	1	2021-12-26 19:42:08.322
505	1960-11-26	1	2	2021-12-26 19:15:30.863
4332	2008-10-29	2	2	2021-12-26 19:10:00.345
25790	1973-07-30	1	2	2021-12-26 05:06:13.817
27950	1953-02-15	3	2	2021-12-26 16:00:28.869
12228	1995-04-26	3	1	2021-12-26 18:11:30.861
42236	1994-09-08	3	2	2021-12-26 21:05:53.306
41072	1980-10-31	3	1	2021-12-26 11:15:56.382
26195	1994-08-20	3	2	2021-12-26 19:42:57.870
37396	2009-03-08	2	2	2021-12-26 21:31:15.778
20755	1950-11-05	2	2	2021-12-26 05:57:00.684
12158	1992-09-07	2	1	2021-12-26 05:49:51.651
828	1962-03-24	2	1	2021-12-26 14:13:50.366
28411	1996-12-10	1	2	2021-12-26 03:40:14.581
10288	1996-12-17	3	2	2021-12-26 20:46:38.743
32432	1998-10-23	2	1	2021-12-26 20:16:06.386
41568	1994-12-14	2	2	2021-12-26 10:41:26.910
21952	1952-05-29	1	2	2021-12-26 14:04:08.835
13042	1953-01-31	3	2	2021-12-26 19:56:39.057
28951	1967-08-20	1	1	2021-12-26 08:49:57.959
9948	2003-05-31	3	2	2021-12-26 08:11:43.075
32181	2001-05-24	2	2	2021-12-26 18:26:27.592
10996	2000-11-20	1	2	2021-12-26 00:39:19.286
2478	1969-06-23	3	1	2021-12-26 19:36:13.224
117	1953-12-19	1	1	2021-12-26 14:44:20.979
40034	1969-06-25	1	1	2021-12-26 10:00:56.987
41876	1995-07-08	3	1	2021-12-26 17:07:23.195
10163	1978-09-18	3	2	2021-12-26 21:33:31.987
37911	1982-08-06	3	1	2021-12-26 01:58:47.187
11182	1990-12-13	3	2	2021-12-26 03:20:09.734
11721	1957-02-24	1	2	2021-12-26 16:36:41.687
38447	1981-09-09	2	1	2021-12-26 20:22:14.364
23190	1969-11-04	3	2	2021-12-26 00:12:50.371
40772	1960-11-13	3	1	2021-12-26 19:56:38.514
24050	2000-06-26	1	2	2021-12-26 11:34:08.208
43978	1968-12-12	2	2	2021-12-26 00:45:12.478
39047	2002-01-17	2	1	2021-12-26 03:06:19.558
29006	1988-04-09	1	1	2021-12-26 23:51:38.415
2336	1980-10-13	3	1	2021-12-26 21:55:55.590
15157	1968-09-04	3	1	2021-12-26 15:13:44.288
21823	1993-05-03	1	1	2021-12-26 06:49:11.361
25882	2000-10-07	1	2	2021-12-26 18:27:23.988
36614	1994-12-18	3	2	2021-12-26 00:17:24.417
10649	1997-04-29	2	1	2021-12-26 16:44:30.697
332	1986-03-21	3	2	2021-12-26 23:43:09.318
12893	2000-03-15	2	2	2021-12-26 16:56:55.932
6538	1981-01-22	2	1	2021-12-26 05:51:12.544
44419	1992-11-02	3	1	2021-12-26 05:13:24.318
2303	1989-01-18	2	1	2021-12-26 23:47:37.982
7451	1975-02-28	2	2	2021-12-26 07:54:11.834
347	1955-12-22	1	2	2021-12-26 11:05:38.712
18251	1978-07-21	3	2	2021-12-26 00:39:14.274
23142	1968-12-25	2	2	2021-12-26 02:43:16.213
