userid	birthdate	profileLevel	gender	updatedTime
23416	1984-06-28	1	1	2021-12-27 05:02:24.381
5847	2002-08-06	3	1	2021-12-27 09:53:28.623
22505	2002-04-04	2	2	2021-12-27 17:19:20.754
17431	2008-12-22	2	1	2021-12-27 11:12:38.567
4021	2001-07-26	2	1	2021-12-27 15:55:27.048
39358	1985-06-11	2	1	2021-12-27 19:37:16.092
38875	1975-12-27	2	2	2021-12-27 04:52:23.433
14665	1953-03-07	3	1	2021-12-27 20:43:57.935
14298	1957-08-15	2	2	2021-12-27 04:29:10.222
7376	1985-03-13	2	2	2021-12-27 01:11:58.535
26833	1972-11-13	3	2	2021-12-27 09:01:30.777
17476	1956-05-15	3	2	2021-12-27 15:11:48.499
24723	1979-01-14	2	1	2021-12-27 13:39:21.324
7790	1953-12-13	3	1	2021-12-27 17:58:44.070
30367	1952-12-31	1	1	2021-12-27 20:06:03.674
31136	1987-12-30	3	1	2021-12-27 01:38:01.651
32333	2007-12-04	1	2	2021-12-27 19:11:27.923
16810	1955-10-29	1	1	2021-12-27 13:32:55.518
32565	1973-03-01	1	2	2021-12-27 12:43:56.717
25202	1982-02-10	2	1	2021-12-27 21:57:23.968
4764	1975-07-23	2	1	2021-12-27 16:12:34.047
13890	2002-12-09	2	1	2021-12-27 12:47:26.625
11542	1973-03-07	2	2	2021-12-27 22:19:55.641
14913	1984-02-25	1	2	2021-12-27 20:15:05.976
36694	1985-04-16	1	1	2021-12-27 14:09:08.430
1352	1985-04-19	2	1	2021-12-27 14:25:05.268
27273	1955-08-29	1	2	2021-12-27 12:29:50.957
4320	1989-09-19	2	2	2021-12-27 09:26:40.786
40127	1956-09-19	1	2	2021-12-27 05:33:19.727
15632	1998-03-25	2	1	2021-12-27 20:48:54.998
22405	1997-07-01	1	2	2021-12-27 12:48:59.673
8365	1984-03-16	1	1	2021-12-27 06:57:51.581
26102	1967-01-03	3	1	2021-12-27 18:25:56.367
11715	2002-07-03	2	1	2021-12-27 17:22:41.714
576	2008-01-08	3	1	2021-12-27 22:16:45.501
7681	1971-02-11	1	1	2021-12-27 00:14:11.900
4765	1973-03-14	1	2	2021-12-27 01:06:08.381
37507	1989-02-05	3	1	2021-12-27 18:52:42.657
19592	2008-02-16	2	1	2021-12-27 04:24:21.583
29573	2008-10-18	1	2	2021-12-27 20:30:01.020
6581	1954-05-25	3	2	2021-12-27 21:19:09.320
2184	1987-12-17	3	1	2021-12-27 08:59:53.643
15632	1991-10-05	2	1	2021-12-27 15:03:07.917
4781	1980-09-26	3	1	2021-12-27 20:39:21.753
43694	1962-12-10	1	1	2021-12-27 19:31:20.714
39373	2005-06-16	3	2	2021-12-27 01:51:23.697
26973	1987-09-16	3	1	2021-12-27 17:43:40.701
18565	2001-03-24	1	1	2021-12-27 20:44:19.385
41062	1958-06-10	2	2	2021-12-27 21:32:52.395
6456	2009-01-18	2	2	2021-12-27 20:54:51.378
32047	1956-11-05	1	2	2021-12-27 07:41:01.302
1649	2001-01-25	1	1	2021-12-27 04:12:46.148
11780	1981-11-09	2	2	2021-12-27 09:48:40.567
21165	2007-12-16	1	1	2021-12-27 23:14:52.803
28689	1990-08-05	2	2	2021-12-27 03:03:17.375
22383	1994-05-04	2	1	2021-12-27 14:41:39.695
28957	1957-08-05	1	2	2021-12-27 12:24:33.744
7567	2000-10-24	3	2	2021-12-27 07:10:34.937
36073	1996-12-28	2	2	2021-12-27 07:56:19.775
43783	1975-07-02	2	1	2021-12-27 19:22:18.745
870	2009-03-13	3	1	2021-12-27 02:12:42.330
33930	1970-01-11	2	2	2021-12-27 21:22:35.494
30621	1958-01-06	2	1	2021-12-27 14:12:33.839
30558	1966-02-01	3	1	2021-12-27 17:28:45.077
32882	1965-06-12	2	1	2021-12-27 23:18:28.158
28675	1967-03-04	1	2	2021-12-27 15:57:35.160
11490	1959-12-28	3	1	2021-12-27 23:52:29.353
28345	1961-01-15	1	2	2021-12-27 03:42:18.674
17256	1995-12-17	1	2	2021-12-27 07:56:41.402
43213	1999-11-21	2	1	2021-12-27 10:07:45.535
29618	1962-12-03	3	2	2021-12-27 16:08:33.715
4354	1967-02-12	2	1	2021-12-27 10:03:29.863
23646	1965-11-25	3	2	2021-12-27 18:02:21.163
7422	1996-08-27	3	2	2021-12-27 09:25:32.211
