userid	birthdate	profileLevel	gender	updatedTime
16105	1951-09-21	2	1	2021-12-28 21:56:05.424
17855	1953-03-26	2	2	2021-12-28 06:10:19.059
6026	1990-06-26	3	1	2021-12-28 16:04:17.899
30563	1987-04-16	2	2	2021-12-28 15:53:27.956
8769	1977-04-02	3	1	2021-12-28 18:45:49.274
31130	1957-02-05	2	2	2021-12-28 22:18:45.922
25153	1968-09-23	2	1	2021-12-28 04:30:03.696
11649	1960-10-18	1	1	2021-12-28 08:48:48.765
40858	2007-05-29	1	1	2021-12-28 08:17:17.180
3512	1957-10-10	2	2	2021-12-28 09:39:52.226
3430	1995-07-23	1	1	2021-12-28 08:04:12.122
39684	1983-03-23	3	2	2021-12-28 17:02:12.421
27886	1986-10-09	1	1	2021-12-28 00:09:04.475
89	1960-07-17	1	2	2021-12-28 10:14:17.006
25612	1980-08-24	3	1	2021-12-28 16:08:33.218
42935	2003-01-25	1	1	2021-12-28 22:49:26.486
25244	1975-07-23	3	1	2021-12-28 10:07:51.745
19305	2003-12-02	3	2	2021-12-28 01:33:55.048
5692	1968-08-27	3	2	2021-12-28 11:23:14.155
19581	1981-02-10	1	2	2021-12-28 20:36:40.172
21718	1986-01-16	2	2	2021-12-28 18:40:31.716
296	1962-07-17	2	2	2021-12-28 19:47:02.046
23379	1990-07-10	2	2	2021-12-28 21:21:49.892
10698	1982-03-11	1	1	2021-12-28 16:10:46.265
32195	2001-11-01	1	1	2021-12-28 01:48:23.550
4916	1978-07-19	1	2	2021-12-28 12:12:30.277
11208	1960-04-20	3	1	2021-12-28 04:40:23.235
11775	1971-05-31	3	1	2021-12-28 17:06:31.206
16443	1984-08-05	1	1	2021-12-28 21:40:58.990
30661	2002-04-30	1	1	2021-12-28 22:49:37.640
34292	1974-08-06	1	1	2021-12-28 19:43:47.883
28123	1982-06-26	3	1	2021-12-28 01:11:44.988
15673	1996-10-04	3	1	2021-12-28 00:06:38.436
39545	1985-10-07	2	2	2021-12-28 19:40:12.555
503	1982-09-06	2	2	2021-12-28 12:50:59.966
15753	1989-08-15	2	1	2021-12-28 23:40:48.611
