userid	birthdate	profileLevel	gender	updatedTime
9700	2008-06-27	2	2	2021-12-30 02:17:19.805
21231	1976-02-02	3	2	2021-12-30 21:32:19.129
29159	1952-09-23	2	1	2021-12-30 18:58:27.145
5753	1960-06-04	2	1	2021-12-30 06:15:33.268
36827	1969-11-10	3	1	2021-12-30 06:52:13.621
30379	2007-10-12	1	1	2021-12-30 01:32:17.883
32700	1977-06-13	2	2	2021-12-30 14:14:12.151
25891	1993-07-30	1	1	2021-12-30 02:03:16.515
36876	1966-10-15	1	1	2021-12-30 22:14:30.832
23255	1954-03-16	2	1	2021-12-30 11:08:00.745
34256	2000-01-12	1	2	2021-12-30 06:01:01.888
15107	2004-05-10	1	2	2021-12-30 10:55:12.781
10890	2001-03-02	1	2	2021-12-30 12:27:30.922
24528	1955-07-13	3	2	2021-12-30 03:06:12.653
11461	2000-05-08	3	2	2021-12-30 15:35:55.008
5505	1952-05-31	3	1	2021-12-30 21:28:23.587
43248	1990-12-13	1	2	2021-12-30 16:32:24.878
14635	1962-10-14	3	1	2021-12-30 05:35:55.793
20182	1950-07-18	1	2	2021-12-30 14:30:27.163
2963	1978-06-29	3	1	2021-12-30 11:16:53.618
3313	1995-08-27	3	2	2021-12-30 12:46:55.109
22859	2007-08-19	2	2	2021-12-30 21:21:10.098
21762	1969-05-11	2	2	2021-12-30 21:14:40.144
2111	2005-04-30	3	1	2021-12-30 04:57:17.121
16106	1971-10-30	3	2	2021-12-30 01:38:28.631
9861	1970-02-03	3	1	2021-12-30 13:00:28.651
5142	1972-01-13	2	1	2021-12-30 08:39:24.204
22229	1955-11-02	3	1	2021-12-30 17:42:29.457
99	1959-03-29	2	1	2021-12-30 23:31:21.989
3181	1972-09-17	2	2	2021-12-30 03:13:38.861
39953	1979-07-16	3	2	2021-12-30 00:57:11.449
1194	1992-02-23	2	1	2021-12-30 12:01:54.003
41537	1978-06-05	2	2	2021-12-30 16:58:04.782
38321	1998-09-02	3	1	2021-12-30 12:13:44.901
17849	1999-04-13	2	2	2021-12-30 13:39:25.637
21814	1962-11-22	2	2	2021-12-30 08:59:28.954
34732	1971-09-15	3	1	2021-12-30 18:35:53.860
9125	1971-09-08	3	1	2021-12-30 12:09:42.716
27304	2007-10-09	2	1	2021-12-30 12:28:43.960
41358	1984-03-19	2	1	2021-12-30 19:03:47.318
1458	1979-11-30	3	2	2021-12-30 12:00:32.791
30525	1982-02-09	3	1	2021-12-30 15:40:26.313
8429	1993-05-02	2	1	2021-12-30 15:24:59.980
34515	1951-07-31	2	1	2021-12-30 13:18:54.290
37025	1999-07-21	1	1	2021-12-30 01:38:29.249
14633	2008-12-22	1	1	2021-12-30 11:15:10.239
35143	1988-06-16	1	1	2021-12-30 05:20:09.155
33122	1978-07-28	2	1	2021-12-30 07:52:26.463
34401	1973-04-11	2	1	2021-12-30 01:19:16.270
7603	1950-12-30	2	1	2021-12-30 06:03:08.998
28989	1979-10-26	1	2	2021-12-30 02:23:56.240
14472	1984-01-31	2	1	2021-12-30 05:44:16.379
17281	1958-05-24	1	1	2021-12-30 01:32:44.504
6538	1995-04-13	2	1	2021-12-30 00:34:18.062
44288	2001-06-11	3	2	2021-12-30 14:50:33.338
34581	1999-07-20	2	2	2021-12-30 02:47:49.657
7527	1984-07-17	1	1	2021-12-30 12:04:56.546
36140	1988-04-08	2	2	2021-12-30 07:52:52.256
17238	1996-09-26	3	2	2021-12-30 05:54:53.162
41730	2004-01-25	3	2	2021-12-30 09:21:01.108
29483	1973-06-15	2	2	2021-12-30 00:06:06.977
37772	1971-07-02	2	1	2021-12-30 13:59:18.177
8970	1957-02-03	1	2	2021-12-30 11:03:01.239
19630	1959-09-25	1	1	2021-12-30 10:30:43.894
7385	1969-05-10	3	1	2021-12-30 15:23:30.039
28913	2005-10-21	3	1	2021-12-30 00:31:27.030
10788	1978-01-30	3	1	2021-12-30 11:29:22.591
19384	1972-11-05	1	2	2021-12-30 00:32:03.376
5339	1986-05-04	3	2	2021-12-30 12:34:45.369
5878	1950-11-22	1	2	2021-12-30 02:22:29.489
23139	2000-01-26	3	2	2021-12-30 15:14:00.314
5131	1963-12-13	3	1	2021-12-30 01:35:10.760
24448	1969-05-09	1	1	2021-12-30 04:30:30.768
