userid	birthdate	profileLevel	gender	updatedTime
4966	1958-05-15	1	1	2021-12-31 21:46:09.451
3851	1960-12-06	1	1	2021-12-31 03:06:27.650
763	1970-07-03	1	1	2021-12-31 05:55:11.865
7901	2005-06-17	3	2	2021-12-31 10:36:42.887
9188	1970-11-23	3	1	2021-12-31 07:57:33.619
14001	1961-11-17	1	1	2021-12-31 09:48:16.445
3669	1993-04-05	2	2	2021-12-31 22:35:32.197
16296	1995-09-24	1	2	2021-12-31 06:55:21.291
888	1965-01-25	3	2	2021-12-31 05:24:57.079
33676	1952-11-01	1	1	2021-12-31 04:37:22.482
6505	2007-08-24	1	1	2021-12-31 07:26:07.489
26121	1960-09-06	3	1	2021-12-31 07:33:27.355
1942	2004-01-25	1	1	2021-12-31 11:57:12.225
25324	1952-10-30	2	1	2021-12-31 22:57:19.858
33959	1960-02-27	2	1	2021-12-31 08:32:06.509
6805	1979-03-12	3	1	2021-12-31 12:11:04.461
35412	2008-05-13	3	1	2021-12-31 15:59:22.671
29924	1972-02-01	3	2	2021-12-31 22:31:38.955
18085	1980-10-03	3	2	2021-12-31 03:33:16.329
32085	1956-10-07	1	1	2021-12-31 00:44:05.113
29364	1985-02-04	1	1	2021-12-31 03:01:11.113
29129	1984-10-08	3	2	2021-12-31 09:43:53.314
35831	1974-04-27	2	1	2021-12-31 08:20:50.780
41335	1999-01-19	2	2	2021-12-31 20:52:35.372
40162	1950-08-13	1	1	2021-12-31 10:58:23.983
11364	1959-02-11	2	2	2021-12-31 22:27:07.527
16786	1989-02-03	2	1	2021-12-31 08:38:22.409
5146	1977-07-29	2	2	2021-12-31 23:56:22.467
13952	1990-05-04	1	2	2021-12-31 02:43:06.446
40992	1983-01-05	2	1	2021-12-31 22:51:08.152
22873	2009-11-04	2	1	2021-12-31 02:03:35.556
26796	1988-01-23	2	2	2021-12-31 05:18:44.248
35433	2005-05-15	3	2	2021-12-31 05:30:39.743
27753	1990-03-12	1	1	2021-12-31 18:25:12.793
12354	2006-10-26	1	1	2021-12-31 16:51:43.589
3236	1991-07-29	3	2	2021-12-31 11:30:22.982
15507	1952-04-30	3	2	2021-12-31 04:02:04.051
1800	1982-09-16	3	2	2021-12-31 19:11:54.320
29836	1961-11-25	2	1	2021-12-31 22:25:32.156
41621	1970-10-22	3	1	2021-12-31 09:38:16.559
22267	1951-03-26	2	1	2021-12-31 19:57:48.799
19903	2002-03-16	3	1	2021-12-31 12:21:50.078
5564	2004-02-27	2	2	2021-12-31 10:07:35.986
35402	1968-09-30	3	2	2021-12-31 20:15:39.088
30994	1993-05-06	2	2	2021-12-31 15:49:32.585
26961	2005-05-12	3	1	2021-12-31 05:33:15.024
12674	1978-04-20	1	1	2021-12-31 01:14:32.446
26331	1950-08-24	3	2	2021-12-31 02:53:24.344
17008	1954-04-08	3	1	2021-12-31 21:45:59.089
43626	1957-10-27	1	2	2021-12-31 08:01:23.310
25486	1982-09-06	1	2	2021-12-31 13:20:01.345
31033	1981-02-16	3	2	2021-12-31 16:04:32.229
6202	1956-05-01	2	1	2021-12-31 15:16:12.498
23759	1957-06-26	1	2	2021-12-31 17:57:05.601
8833	1963-11-27	1	1	2021-12-31 22:03:55.492
21627	2004-09-30	2	1	2021-12-31 09:27:42.075
31702	2006-01-07	2	1	2021-12-31 02:04:23.515
18606	1996-01-16	1	1	2021-12-31 12:05:31.527
13428	2005-01-18	1	2	2021-12-31 23:07:17.821
9151	2002-10-03	1	1	2021-12-31 14:07:07.929
29563	2006-06-26	3	2	2021-12-31 03:09:39.916
18986	2001-10-17	1	1	2021-12-31 22:41:48.876
15076	1965-10-16	3	1	2021-12-31 12:54:15.840
37979	1978-02-01	1	2	2021-12-31 00:58:12.857
1886	1965-06-11	3	1	2021-12-31 21:34:15.491
17821	1989-11-25	3	2	2021-12-31 08:32:04.983
33436	1998-07-17	1	2	2021-12-31 03:53:17.316
27285	1976-12-15	2	2	2021-12-31 21:11:14.444
19448	1978-12-09	3	1	2021-12-31 03:14:22.888
19248	1966-08-01	3	1	2021-12-31 03:19:45.228
24067	1963-08-17	3	1	2021-12-31 10:39:40.674
19105	1982-06-10	2	2	2021-12-31 10:40:45.062
13328	2006-10-04	3	1	2021-12-31 20:24:27.108
1520	1958-02-18	2	1	2021-12-31 09:29:22.096
17466	1984-01-06	3	1	2021-12-31 05:39:18.401
36527	1975-09-28	3	2	2021-12-31 17:13:34.560
14800	1958-07-12	2	2	2021-12-31 06:12:05.743
23756	2007-10-30	1	2	2021-12-31 19:49:20.712
8515	1998-07-31	3	1	2021-12-31 23:41:49.377
1620	1971-06-13	3	1	2021-12-31 03:06:45.205
42507	2001-04-09	1	1	2021-12-31 07:49:17.662
30158	1965-01-14	3	1	2021-12-31 12:27:05.430
3090	2004-10-09	3	2	2021-12-31 06:52:45.929
14045	1952-04-02	1	1	2021-12-31 16:52:34.950
39375	1958-02-27	2	2	2021-12-31 22:35:52.652
17479	1997-11-10	1	1	2021-12-31 01:24:33.126
23540	1958-10-27	3	2	2021-12-31 07:28:02.397
43287	1977-04-05	3	1	2021-12-31 19:49:56.588
4532	1975-09-04	1	1	2021-12-31 20:58:21.332
43675	1968-01-03	1	1	2021-12-31 18:23:37.202
40680	1961-08-18	1	1	2021-12-31 11:38:45.689
29294	1951-07-25	2	2	2021-12-31 09:30:00.576
42833	2003-04-23	2	2	2021-12-31 16:49:36.345
473	1951-02-22	2	2	2021-12-31 23:32:31.187
18159	1967-07-31	2	2	2021-12-31 10:26:18.571
19128	1967-02-24	1	1	2021-12-31 12:09:11.930
16379	2002-04-20	1	2	2021-12-31 18:27:32.831
25246	1964-02-02	2	2	2021-12-31 10:50:32.119
36543	1950-04-04	1	1	2021-12-31 19:24:57.268
29600	1989-09-02	3	2	2021-12-31 19:24:39.431
19424	1970-03-22	1	2	2021-12-31 02:01:05.210
799	1966-01-31	2	2	2021-12-31 02:55:15.375
4919	1994-04-02	1	1	2021-12-31 07:49:27.744
30545	1956-02-14	3	1	2021-12-31 23:41:20.255
40852	1974-05-08	3	2	2021-12-31 14:20:49.264
12547	1995-10-22	3	1	2021-12-31 18:52:58.339
41242	1950-09-04	2	1	2021-12-31 06:58:44.595
14779	2003-08-31	1	1	2021-12-31 02:40:39.754
10661	1969-07-05	1	1	2021-12-31 22:25:00.121
33801	1995-03-12	3	1	2021-12-31 16:48:53.165
4919	1985-10-07	1	2	2021-12-31 18:31:31.566
5411	2006-09-08	3	2	2021-12-31 03:35:44.319
37500	1995-06-02	2	1	2021-12-31 10:09:04.864
27841	1952-04-16	2	1	2021-12-31 04:30:50.193
4452	1997-12-17	3	2	2021-12-31 12:26:26.533
30409	1996-05-13	1	2	2021-12-31 18:53:27.861
200	1982-12-24	2	1	2021-12-31 06:07:45.935
4777	2004-06-26	2	1	2021-12-31 22:33:30.842
39104	1979-08-21	2	1	2021-12-31 09:48:46.975
14687	1970-01-31	1	2	2021-12-31 07:21:35.805
14277	1996-01-28	3	2	2021-12-31 15:53:58.782
33334	2006-12-27	1	1	2021-12-31 20:26:05.243
9736	1991-09-01	3	2	2021-12-31 17:59:07.505
33809	1982-12-27	1	1	2021-12-31 03:14:19.388
22042	1950-10-08	1	1	2021-12-31 19:05:15.054
32445	1990-03-16	2	1	2021-12-31 09:30:24.329
32934	1990-09-07	2	1	2021-12-31 16:28:58.586
39314	1972-02-22	1	2	2021-12-31 06:59:28.602
8899	2008-08-09	2	2	2021-12-31 11:27:55.251
20265	2000-01-25	2	2	2021-12-31 07:13:21.489
37569	2005-07-18	2	1	2021-12-31 06:20:13.225
40985	1987-11-12	1	2	2021-12-31 10:38:58.129
9789	1982-02-21	1	1	2021-12-31 23:08:16.006
34663	1985-04-23	1	1	2021-12-31 12:33:06.583
40634	2001-08-18	1	1	2021-12-31 20:03:05.246
35015	2007-03-20	2	1	2021-12-31 06:33:10.584
14120	2007-05-31	3	1	2021-12-31 01:35:57.909
3069	1952-01-28	2	1	2021-12-31 19:47:03.713
44316	2009-02-05	2	2	2021-12-31 05:16:30.389
3341	1996-03-15	2	2	2021-12-31 03:29:56.683
17976	1965-09-30	2	2	2021-12-31 05:58:47.838
12066	1995-04-21	1	2	2021-12-31 08:10:51.261
36048	1982-09-13	2	1	2021-12-31 08:59:24.776
18989	1973-07-24	2	1	2021-12-31 07:56:02.100
21095	1972-05-25	1	2	2021-12-31 11:55:44.177
19981	1984-05-20	3	1	2021-12-31 05:53:13.927
11057	1980-08-23	2	1	2021-12-31 00:21:20.047
18102	1963-04-25	2	1	2021-12-31 10:19:25.182
11975	1964-10-06	1	2	2021-12-31 22:00:47.279
16553	1977-09-28	1	2	2021-12-31 11:15:24.955
25479	1985-11-02	2	1	2021-12-31 05:36:51.617
18890	1953-09-08	1	2	2021-12-31 17:36:04.833
30787	1964-02-13	3	2	2021-12-31 07:38:09.719
13742	1970-01-10	1	1	2021-12-31 22:39:34.705
13334	1950-02-05	2	2	2021-12-31 03:51:06.197
44196	1999-09-05	3	1	2021-12-31 01:56:56.617
13991	1952-02-04	1	2	2021-12-31 00:54:15.526
18434	1970-07-11	3	2	2021-12-31 19:36:05.860
7559	1950-09-11	3	1	2021-12-31 17:18:27.769
25274	1987-11-07	2	2	2021-12-31 00:52:06.997
43531	1961-03-16	1	2	2021-12-31 13:45:21.598
2547	2009-11-05	1	1	2021-12-31 08:07:34.525
35776	2007-05-06	2	2	2021-12-31 13:17:14.696
11718	1992-04-26	1	2	2021-12-31 02:12:32.547
24004	1959-07-14	1	2	2021-12-31 00:31:23.207
3866	1997-04-09	3	2	2021-12-31 20:35:15.437
19865	1962-10-07	1	2	2021-12-31 21:18:52.373
5848	1955-12-12	2	1	2021-12-31 16:20:12.699
18369	1990-12-09	3	2	2021-12-31 02:21:49.065
3534	1951-02-01	1	1	2021-12-31 20:15:30.781
33081	1969-05-07	3	2	2021-12-31 19:10:03.656
28396	1978-05-13	3	1	2021-12-31 02:39:16.391
13278	1985-08-20	2	2	2021-12-31 22:42:04.811
33046	1952-03-02	1	2	2021-12-31 09:02:33.849
3158	1997-03-10	3	2	2021-12-31 17:16:29.142
6640	1996-11-03	1	2	2021-12-31 11:51:54.782
44865	1980-08-17	2	2	2021-12-31 21:17:06.241
28923	1969-10-30	3	1	2021-12-31 08:28:33.566
2925	2009-10-15	2	1	2021-12-31 07:35:59.402
10872	1969-09-05	3	2	2021-12-31 16:09:00.221
29724	2003-01-24	2	1	2021-12-31 23:03:10.805
42053	1995-05-28	2	2	2021-12-31 07:02:25.716
39567	1954-01-15	2	2	2021-12-31 12:52:52.415
4890	1960-06-12	1	2	2021-12-31 09:23:53.922
5438	1963-02-05	2	2	2021-12-31 08:30:20.569
29878	1972-09-28	3	2	2021-12-31 09:06:17.600
31797	1997-12-31	2	2	2021-12-31 09:56:24.675
37782	1954-03-12	2	2	2021-12-31 03:24:47.800
4445	1956-05-10	1	1	2021-12-31 10:10:12.626
14173	1973-10-26	1	1	2021-12-31 21:44:26.106
8747	1969-07-27	1	2	2021-12-31 21:01:48.063
32457	1986-01-21	1	2	2021-12-31 21:03:50.753
15518	1975-06-27	1	2	2021-12-31 11:49:17.536
666	1993-01-31	2	2	2021-12-31 18:49:15.909
23181	1959-11-12	1	2	2021-12-31 12:06:11.141
33843	1962-11-17	1	2	2021-12-31 14:13:42.491
13364	2006-10-27	2	2	2021-12-31 18:53:36.787
32372	1953-06-04	1	2	2021-12-31 22:17:49.258
6488	2006-02-20	1	2	2021-12-31 22:49:43.221
20416	1959-07-18	2	1	2021-12-31 14:11:57.199
30362	1981-08-18	1	1	2021-12-31 04:13:51.251
21665	1980-11-07	2	2	2021-12-31 06:03:16.509
30867	1967-07-20	2	1	2021-12-31 10:26:56.761
1474	1974-11-13	2	1	2021-12-31 11:55:35.929
40872	1967-08-22	3	2	2021-12-31 23:42:04.469
16163	1996-09-22	2	1	2021-12-31 10:11:59.489
41808	1989-12-10	3	1	2021-12-31 08:39:48.691
18751	1957-02-26	2	1	2021-12-31 17:42:56.426
