userid	birthdate	profileLevel	gender	updatedTime
19838	2000-12-13	2	1	2022-01-01 23:14:44.163
3719	1991-02-20	2	1	2022-01-01 16:22:31.899
22157	1994-12-16	3	1	2022-01-01 09:57:09.001
26937	1986-06-24	3	1	2022-01-01 16:19:16.921
11089	1996-03-04	3	2	2022-01-01 11:38:10.903
2274	1980-07-12	3	2	2022-01-01 21:20:47.129
13427	2007-04-13	3	2	2022-01-01 14:57:22.835
25000	2000-10-21	1	2	2022-01-01 06:52:21.151
27879	1984-03-28	1	2	2022-01-01 11:59:00.604
31011	1987-07-06	2	2	2022-01-01 02:09:43.177
32720	2002-10-12	1	2	2022-01-01 08:53:22.475
41504	1959-03-19	3	1	2022-01-01 21:31:03.399
27687	1978-05-27	1	2	2022-01-01 01:00:22.278
11890	1977-04-20	3	1	2022-01-01 12:44:38.692
12380	1977-08-21	3	1	2022-01-01 05:04:19.775
27548	1989-10-14	1	2	2022-01-01 03:06:19.699
35688	1954-02-09	1	2	2022-01-01 01:40:05.173
468	1962-05-29	2	1	2022-01-01 15:50:38.371
16222	1954-11-02	1	2	2022-01-01 11:33:27.476
1290	2009-03-16	1	2	2022-01-01 12:41:19.538
21108	1983-12-17	2	1	2022-01-01 16:37:13.771
33169	1951-01-30	3	1	2022-01-01 08:39:08.888
18222	1994-01-17	1	2	2022-01-01 12:01:53.411
24089	1995-03-09	2	1	2022-01-01 01:26:03.114
20620	1991-04-28	1	2	2022-01-01 05:18:25.873
33046	1963-12-22	1	2	2022-01-01 02:54:40.747
16004	1987-09-12	1	2	2022-01-01 16:43:37.975
28334	1951-07-09	2	1	2022-01-01 18:21:38.601
15658	1950-01-08	1	2	2022-01-01 09:15:46.490
43313	1989-04-07	2	2	2022-01-01 10:22:23.548
35935	1982-01-11	2	1	2022-01-01 16:00:20.532
7059	1996-06-13	1	1	2022-01-01 04:19:56.421
25105	1973-10-27	3	2	2022-01-01 16:50:25.581
24411	1955-09-16	1	2	2022-01-01 10:07:46.113
28081	1974-07-29	2	2	2022-01-01 21:23:00.826
36268	1996-12-04	1	2	2022-01-01 01:52:45.627
26315	1961-02-01	2	1	2022-01-01 20:46:50.144
41526	1961-02-06	3	1	2022-01-01 00:55:31.764
8078	1956-07-25	3	2	2022-01-01 14:03:24.355
32765	1986-03-19	1	1	2022-01-01 08:31:35.326
42584	1954-12-10	3	2	2022-01-01 00:10:16.841
3228	1994-01-03	3	2	2022-01-01 08:41:04.411
35586	1995-01-05	1	2	2022-01-01 23:33:47.763
37776	1982-07-03	2	2	2022-01-01 15:34:09.606
30611	1952-12-05	2	2	2022-01-01 13:20:14.351
27423	1987-08-12	3	1	2022-01-01 08:17:48.958
27646	2008-04-20	3	1	2022-01-01 10:08:08.242
5226	1963-02-07	1	1	2022-01-01 20:28:30.105
4966	1980-02-09	3	2	2022-01-01 18:13:05.277
27027	1995-01-05	1	1	2022-01-01 15:54:49.847
5703	1990-05-31	3	2	2022-01-01 10:21:40.514
32512	1965-09-07	1	2	2022-01-01 01:51:32.050
11152	1982-10-13	1	1	2022-01-01 19:31:46.668
32185	1961-01-19	1	1	2022-01-01 21:11:49.426
3907	1998-01-20	2	2	2022-01-01 08:23:08.757
40033	2008-07-10	3	2	2022-01-01 10:16:44.535
5598	1996-02-07	1	2	2022-01-01 17:32:53.562
35181	1950-12-09	2	2	2022-01-01 04:57:16.082
38002	1952-04-22	1	1	2022-01-01 13:21:32.564
7911	1987-11-16	1	2	2022-01-01 12:51:32.776
15953	1986-05-04	3	2	2022-01-01 03:06:09.676
26728	1950-08-30	1	2	2022-01-01 23:59:52.927
666	1989-11-18	2	1	2022-01-01 19:15:20.431
37475	1956-08-30	1	2	2022-01-01 04:35:08.531
