userid	birthdate	profileLevel	gender	updatedTime
26299	1966-11-24	2	1	2022-01-02 19:15:15.174
30310	1987-01-01	1	2	2022-01-02 13:04:52.593
20923	1958-11-06	2	2	2022-01-02 17:24:44.570
14849	1986-12-30	2	2	2022-01-02 21:28:28.834
15916	1980-08-12	3	1	2022-01-02 22:32:11.931
36328	1953-07-19	2	1	2022-01-02 04:45:22.216
26744	1986-05-11	1	2	2022-01-02 12:38:39.381
39827	1994-12-25	1	2	2022-01-02 07:51:04.146
24534	1950-02-06	2	1	2022-01-02 23:44:31.376
38771	2007-07-08	3	1	2022-01-02 01:05:33.087
8963	2007-04-20	3	2	2022-01-02 00:14:53.262
29772	1992-08-17	3	2	2022-01-02 11:25:07.219
1982	1995-09-30	1	1	2022-01-02 16:25:41.713
35207	1986-02-07	1	1	2022-01-02 05:40:27.109
12648	2006-11-16	3	1	2022-01-02 02:50:03.976
34783	1959-04-11	3	2	2022-01-02 07:03:17.991
16078	1969-10-02	1	2	2022-01-02 02:23:19.196
42022	2009-12-19	3	1	2022-01-02 19:30:30.351
5294	1981-03-18	2	2	2022-01-02 00:42:03.330
28079	1950-10-03	1	2	2022-01-02 17:50:11.584
15821	2001-11-19	2	2	2022-01-02 18:04:15.233
16719	1958-02-25	1	2	2022-01-02 11:28:01.252
27423	1970-06-28	2	1	2022-01-02 20:22:37.543
6753	1987-07-06	3	2	2022-01-02 06:04:57.376
22057	1972-02-08	1	1	2022-01-02 00:03:52.514
21142	1977-05-19	2	2	2022-01-02 00:36:14.792
44697	1950-12-25	1	2	2022-01-02 02:04:06.538
5904	1962-04-01	1	2	2022-01-02 07:59:42.746
13959	1956-01-21	2	1	2022-01-02 22:38:57.091
16583	1983-02-12	2	1	2022-01-02 00:03:39.375
22513	1957-03-23	3	1	2022-01-02 06:47:06.224
33806	1982-08-22	1	2	2022-01-02 04:52:26.613
10733	1961-04-29	1	1	2022-01-02 14:05:17.776
42975	1954-05-27	1	1	2022-01-02 10:09:44.087
4320	1954-10-11	3	1	2022-01-02 10:01:22.935
16358	1996-09-05	1	1	2022-01-02 22:01:51.869
12578	1967-11-10	1	2	2022-01-02 09:53:13.627
39633	2004-10-19	1	2	2022-01-02 05:46:39.917
7871	2002-02-16	2	1	2022-01-02 09:59:37.079
18562	1988-01-30	3	1	2022-01-02 00:01:06.815
4723	1954-12-27	2	1	2022-01-02 12:17:14.965
41401	2005-12-20	1	2	2022-01-02 15:00:35.441
20560	1950-04-02	1	1	2022-01-02 12:59:53.618
4554	2006-10-09	3	2	2022-01-02 08:21:11.962
22197	1953-12-11	2	1	2022-01-02 04:59:37.353
35958	1959-04-27	2	2	2022-01-02 14:31:57.611
832	1985-01-27	1	2	2022-01-02 13:58:41.993
38383	2002-06-15	2	1	2022-01-02 04:19:59.214
41420	1996-12-17	2	2	2022-01-02 08:25:00.855
329	1993-09-30	1	1	2022-01-02 18:57:49.924
29883	1955-04-28	2	2	2022-01-02 19:55:59.519
13227	1968-03-01	3	2	2022-01-02 06:22:27.475
23794	1976-12-09	3	2	2022-01-02 16:28:56.107
41097	2009-01-11	1	2	2022-01-02 18:40:00.805
43751	1980-12-30	3	2	2022-01-02 10:22:44.333
34326	1992-04-15	3	2	2022-01-02 03:39:10.536
39739	1984-11-26	1	1	2022-01-02 11:45:04.999
7237	1979-12-04	1	2	2022-01-02 20:21:29.137
16593	1989-12-12	1	2	2022-01-02 10:11:12.805
11061	1980-06-07	1	2	2022-01-02 18:36:32.421
14517	1962-03-02	3	1	2022-01-02 20:20:31.272
39837	1960-03-26	1	2	2022-01-02 15:22:58.933
30136	1983-05-01	2	1	2022-01-02 04:22:21.508
11057	1953-11-08	3	1	2022-01-02 20:37:59.119
42128	1967-01-28	3	1	2022-01-02 08:55:43.681
23712	1964-01-19	3	1	2022-01-02 11:59:25.714
38983	1956-08-25	1	2	2022-01-02 23:21:10.863
11436	2002-09-16	3	2	2022-01-02 19:45:56.713
2309	2008-08-08	3	2	2022-01-02 12:48:54.620
13159	1987-05-12	3	2	2022-01-02 13:01:06.912
26204	2009-02-14	2	2	2022-01-02 02:09:57.850
37534	2003-11-05	3	2	2022-01-02 14:21:58.451
28639	1980-03-09	2	2	2022-01-02 00:55:29.244
34421	1975-08-11	3	1	2022-01-02 15:35:43.255
34092	2000-09-01	3	1	2022-01-02 05:33:08.557
14609	2007-08-27	2	2	2022-01-02 03:26:06.427
22648	2009-06-10	2	2	2022-01-02 04:49:28.494
30909	1958-02-16	3	1	2022-01-02 17:14:14.403
1402	1981-09-24	3	1	2022-01-02 08:36:54.718
14360	2003-09-27	2	2	2022-01-02 11:44:29.848
24006	1957-04-02	3	2	2022-01-02 21:01:33.478
27323	1983-10-17	2	1	2022-01-02 17:48:30.895
17265	1970-01-01	1	2	2022-01-02 14:14:56.925
39864	1995-05-01	1	2	2022-01-02 08:50:21.033
9152	1994-10-27	1	2	2022-01-02 18:03:10.946
15095	1982-11-18	3	2	2022-01-02 23:34:51.396
39490	2001-03-06	3	1	2022-01-02 11:25:30.413
6091	1991-01-12	1	2	2022-01-02 23:17:18.711
3876	1974-02-20	3	2	2022-01-02 00:52:37.703
22131	1974-04-13	3	2	2022-01-02 10:41:03.332
17767	1973-02-02	2	2	2022-01-02 08:55:01.770
17617	1951-12-07	1	1	2022-01-02 15:01:58.518
5724	2008-05-21	2	2	2022-01-02 16:10:36.062
27280	1952-08-04	2	2	2022-01-02 17:34:30.953
