userid	birthdate	profileLevel	gender	updatedTime
34515	2005-08-31	1	2	2022-01-03 10:58:02.666
44844	1974-12-22	2	2	2022-01-03 19:38:11.396
3624	1978-02-27	2	1	2022-01-03 08:22:06.093
2080	1967-04-05	3	2	2022-01-03 22:58:02.139
1155	1985-06-15	3	2	2022-01-03 01:25:23.352
4013	2006-09-17	1	2	2022-01-03 18:26:49.946
8011	1984-09-27	3	2	2022-01-03 18:35:21.523
1075	1982-06-26	1	1	2022-01-03 11:37:11.505
695	1971-02-02	2	2	2022-01-03 04:47:16.597
16028	1961-03-28	1	1	2022-01-03 03:48:29.101
31440	1956-03-09	3	1	2022-01-03 07:35:28.445
26258	1953-07-20	1	1	2022-01-03 18:37:22.551
4873	1956-08-06	1	2	2022-01-03 15:51:30.937
36631	1965-11-22	3	2	2022-01-03 00:15:40.704
18170	1973-05-07	3	2	2022-01-03 11:25:48.148
11172	1971-09-08	1	1	2022-01-03 11:50:17.934
33773	1965-04-19	3	1	2022-01-03 04:14:45.754
27235	1973-05-27	1	1	2022-01-03 21:28:50.431
41183	1995-07-04	1	2	2022-01-03 06:14:26.572
31826	1989-09-27	2	1	2022-01-03 08:09:56.500
32818	1992-08-23	3	2	2022-01-03 20:18:19.186
30600	1996-09-09	1	1	2022-01-03 14:40:53.518
21063	1951-08-06	2	1	2022-01-03 19:48:35.971
2035	1960-12-23	1	1	2022-01-03 13:37:42.846
3513	2000-03-16	1	2	2022-01-03 08:30:06.853
3740	1956-07-11	2	2	2022-01-03 23:40:16.066
25866	1990-01-27	2	2	2022-01-03 05:32:20.722
21902	1954-10-28	3	1	2022-01-03 10:42:04.090
17634	1972-01-09	3	1	2022-01-03 09:05:29.743
106	1954-10-07	2	1	2022-01-03 04:33:27.084
11082	1954-06-10	3	2	2022-01-03 07:45:02.810
38504	1964-08-21	1	2	2022-01-03 07:01:49.719
25422	1961-04-25	1	1	2022-01-03 07:50:26.163
17355	1987-07-30	1	1	2022-01-03 10:18:50.717
28803	2003-01-17	1	2	2022-01-03 19:19:31.301
36852	1971-02-11	2	1	2022-01-03 20:11:39.156
32046	1998-06-26	3	2	2022-01-03 03:12:09.064
7490	1950-06-14	3	1	2022-01-03 11:16:40.149
38447	1993-02-20	3	2	2022-01-03 13:19:01.937
13207	1969-09-12	1	2	2022-01-03 10:10:41.809
44650	1951-02-20	2	1	2022-01-03 22:44:58.002
7827	1963-10-20	1	1	2022-01-03 01:32:36.606
24385	1953-06-05	2	1	2022-01-03 14:49:26.011
12176	1987-07-02	2	2	2022-01-03 14:25:05.057
44811	1954-11-09	3	1	2022-01-03 09:30:22.024
19735	1964-05-17	1	1	2022-01-03 09:19:00.633
14167	2002-03-09	1	1	2022-01-03 22:04:16.290
40675	2009-07-29	1	1	2022-01-03 17:13:02.879
13454	1967-07-19	1	2	2022-01-03 08:17:14.232
23475	1950-11-20	1	2	2022-01-03 11:06:59.591
43121	1954-12-25	2	2	2022-01-03 20:49:18.657
13469	1986-10-05	2	1	2022-01-03 17:14:35.708
12573	1982-05-14	3	1	2022-01-03 05:14:23.354
24640	1991-01-29	2	2	2022-01-03 16:50:06.977
