userid	birthdate	profileLevel	gender	updatedTime
30847	2003-10-11	2	2	2022-01-04 19:09:06.988
31417	1995-12-02	1	2	2022-01-04 21:52:19.211
31232	1965-03-13	1	2	2022-01-04 00:22:27.505
1711	1999-12-12	1	1	2022-01-04 23:32:22.144
17825	1972-04-11	2	1	2022-01-04 20:37:54.511
27881	1957-02-22	3	1	2022-01-04 20:20:26.774
41482	2003-05-16	1	1	2022-01-04 06:03:40.508
2797	1989-09-22	3	1	2022-01-04 03:41:22.413
21153	1953-04-18	2	1	2022-01-04 15:04:40.145
6773	2006-02-20	2	1	2022-01-04 09:00:11.876
36749	2003-07-13	3	2	2022-01-04 13:36:59.370
23913	2006-03-12	1	2	2022-01-04 07:55:31.705
6067	1996-01-18	3	1	2022-01-04 02:43:21.159
7230	1975-11-30	3	2	2022-01-04 22:42:40.809
2369	2005-10-22	1	2	2022-01-04 08:07:50.582
42875	1974-11-30	1	1	2022-01-04 15:42:16.227
3828	1953-06-07	3	1	2022-01-04 02:39:11.335
5033	1990-03-23	2	1	2022-01-04 05:27:52.876
22256	2002-11-07	2	1	2022-01-04 15:22:51.635
38892	1963-08-30	1	2	2022-01-04 23:09:40.580
11806	1981-07-09	3	1	2022-01-04 21:07:40.759
27086	1987-07-22	2	2	2022-01-04 20:29:17.252
22372	1983-09-12	2	1	2022-01-04 15:36:43.353
11102	1963-01-24	2	1	2022-01-04 13:20:42.240
7120	1983-06-02	1	1	2022-01-04 04:23:38.313
5325	1974-01-03	2	1	2022-01-04 04:33:51.980
34256	1986-01-14	2	2	2022-01-04 09:43:26.358
35905	1995-03-14	3	1	2022-01-04 21:35:07.223
2158	1953-05-09	2	2	2022-01-04 16:12:45.915
2823	1974-09-25	3	1	2022-01-04 16:56:20.913
5942	1983-04-28	1	1	2022-01-04 22:17:16.360
6193	1968-05-28	2	1	2022-01-04 20:16:59.298
23776	1979-01-15	2	2	2022-01-04 02:54:40.962
16304	2002-01-01	3	2	2022-01-04 10:24:08.027
5380	1985-02-24	1	2	2022-01-04 09:19:31.319
10286	1995-05-22	3	1	2022-01-04 08:04:24.063
37797	2003-12-23	3	2	2022-01-04 02:31:01.721
4243	1999-12-24	2	2	2022-01-04 17:10:30.101
4911	1967-03-15	3	1	2022-01-04 09:32:38.891
34853	1963-07-04	2	1	2022-01-04 15:47:56.651
29962	1952-10-23	3	2	2022-01-04 06:24:35.740
12438	2007-08-21	3	1	2022-01-04 09:12:12.966
22431	1982-05-25	3	2	2022-01-04 00:24:43.509
26444	1955-01-31	2	1	2022-01-04 17:57:20.013
29040	1955-12-31	1	1	2022-01-04 03:43:45.966
10493	1993-03-27	1	1	2022-01-04 10:34:37.035
