userid	birthdate	profileLevel	gender	updatedTime
597	1996-11-09	1	1	2022-01-05 16:49:07.237
7321	1993-02-05	3	1	2022-01-05 21:41:56.645
24882	1951-09-25	3	2	2022-01-05 10:11:23.309
11189	1989-06-11	1	2	2022-01-05 20:33:08.115
37739	1961-09-27	3	2	2022-01-05 17:03:33.630
18857	1967-07-07	3	2	2022-01-05 03:30:03.062
44146	1958-04-03	1	1	2022-01-05 13:03:47.939
11673	1952-01-21	3	1	2022-01-05 20:16:21.063
41934	2005-04-30	1	2	2022-01-05 14:54:26.457
29948	1992-05-03	1	2	2022-01-05 14:53:09.503
32629	1996-12-13	2	2	2022-01-05 07:01:28.110
9588	2003-11-29	1	1	2022-01-05 17:35:55.072
32145	1955-12-04	3	2	2022-01-05 15:06:44.306
22320	1980-07-09	3	1	2022-01-05 00:36:14.411
43011	1996-12-03	3	1	2022-01-05 21:37:58.235
23449	1974-10-05	2	1	2022-01-05 09:44:34.081
2747	1978-04-09	2	2	2022-01-05 13:09:53.991
8085	1963-10-28	3	1	2022-01-05 08:00:21.812
30106	1955-09-15	1	1	2022-01-05 13:31:57.055
6234	1979-10-06	1	1	2022-01-05 00:00:38.678
35728	1980-05-21	1	1	2022-01-05 14:41:47.751
39237	1992-02-03	3	2	2022-01-05 17:53:21.583
3758	2003-08-18	2	1	2022-01-05 08:43:09.535
31887	2001-04-29	1	2	2022-01-05 00:25:34.844
17974	1994-06-03	2	2	2022-01-05 21:08:19.464
34723	1980-04-13	2	1	2022-01-05 12:02:35.440
4830	1986-04-21	1	2	2022-01-05 04:50:21.489
33979	1999-09-13	2	2	2022-01-05 22:33:15.706
42244	1970-05-19	3	2	2022-01-05 06:51:18.044
4216	1976-06-01	1	1	2022-01-05 19:10:25.886
21883	1978-09-04	3	1	2022-01-05 18:35:50.584
36368	1953-03-16	1	2	2022-01-05 20:07:03.334
42726	1989-08-11	3	2	2022-01-05 12:09:10.679
6126	1964-10-04	2	1	2022-01-05 06:49:56.046
3745	1956-08-20	2	1	2022-01-05 18:09:07.600
16801	1966-11-10	3	1	2022-01-05 16:35:45.514
42741	1957-01-04	2	2	2022-01-05 22:08:35.386
39426	1999-01-13	3	2	2022-01-05 18:21:06.974
12115	1978-06-20	2	1	2022-01-05 23:39:31.056
40849	2003-07-25	3	2	2022-01-05 16:21:01.065
