userid	birthdate	profileLevel	gender	updatedTime
30545	1975-11-25	3	2	2022-01-06 03:35:35.695
29576	2004-05-02	2	1	2022-01-06 04:27:54.333
39691	1992-09-27	2	1	2022-01-06 02:29:13.647
9817	1951-10-29	2	2	2022-01-06 15:32:58.569
14710	2006-02-01	2	1	2022-01-06 11:22:03.170
5889	2001-10-22	2	1	2022-01-06 16:47:35.506
31889	2006-09-07	3	2	2022-01-06 17:25:28.399
23466	1983-05-31	3	1	2022-01-06 14:59:33.978
16770	1954-04-29	3	2	2022-01-06 04:13:50.837
29291	1955-11-06	3	2	2022-01-06 06:34:59.771
37538	1958-07-25	2	2	2022-01-06 11:02:48.796
27511	2002-11-01	1	2	2022-01-06 15:02:47.375
34229	1994-06-24	2	2	2022-01-06 14:17:22.014
9612	1969-04-26	2	2	2022-01-06 23:07:56.222
706	2004-07-02	1	2	2022-01-06 19:45:26.533
14778	1997-03-30	2	2	2022-01-06 12:39:23.861
19717	1974-02-07	2	1	2022-01-06 12:56:06.831
9448	1976-03-17	1	2	2022-01-06 06:15:04.651
42162	1953-04-19	1	1	2022-01-06 13:24:59.851
26306	2000-08-07	2	1	2022-01-06 15:48:53.102
2403	1989-06-03	3	1	2022-01-06 16:37:56.604
3583	1981-10-07	1	1	2022-01-06 03:25:44.823
24973	1992-01-30	3	2	2022-01-06 14:15:24.161
30250	1983-10-29	2	1	2022-01-06 04:17:32.751
35379	1954-11-24	2	2	2022-01-06 16:24:44.297
18065	1980-04-05	2	2	2022-01-06 20:06:07.454
17203	1959-05-15	3	1	2022-01-06 16:22:39.180
29951	1988-10-22	2	1	2022-01-06 15:43:46.470
33463	2000-11-26	2	2	2022-01-06 06:09:34.660
23556	1981-12-31	2	2	2022-01-06 06:17:39.870
6822	1990-06-08	2	2	2022-01-06 01:46:49.951
30781	1951-11-08	1	2	2022-01-06 23:57:37.106
10185	1962-06-02	2	2	2022-01-06 01:42:02.378
1675	1995-10-20	1	2	2022-01-06 20:25:46.472
44690	1962-06-21	3	1	2022-01-06 23:25:58.351
6179	1996-02-29	1	2	2022-01-06 19:17:08.502
34167	1996-03-24	3	2	2022-01-06 01:40:05.775
24371	1955-10-18	3	1	2022-01-06 10:19:01.038
