userid	birthdate	profileLevel	gender	updatedTime
21777	1967-07-01	1	2	2022-01-09 18:15:22.305
7811	1951-04-01	1	2	2022-01-09 02:35:06.671
38429	1975-01-30	3	2	2022-01-09 15:04:29.226
5587	2009-07-13	1	2	2022-01-09 12:49:28.529
10457	1972-10-12	1	1	2022-01-09 18:16:27.182
32138	1979-06-21	3	2	2022-01-09 22:22:30.973
13145	1978-05-24	3	2	2022-01-09 16:36:09.869
26553	1973-12-25	3	2	2022-01-09 00:33:00.115
24264	1995-08-16	3	1	2022-01-09 10:00:15.351
16517	1963-08-31	2	1	2022-01-09 15:03:38.440
17897	1978-09-03	1	2	2022-01-09 07:11:55.988
42337	1969-05-06	3	2	2022-01-09 01:18:17.445
33710	1999-10-26	3	1	2022-01-09 21:49:35.869
35546	1956-01-08	1	1	2022-01-09 03:46:12.624
13698	1951-05-05	2	2	2022-01-09 20:06:19.768
44422	1965-01-27	2	2	2022-01-09 17:09:45.451
12148	1989-01-19	3	2	2022-01-09 13:23:12.124
44344	1963-11-02	2	1	2022-01-09 14:58:23.816
32676	1964-12-12	1	2	2022-01-09 08:36:53.058
18890	1991-01-16	3	2	2022-01-09 16:20:57.242
28593	1988-11-14	3	1	2022-01-09 05:35:03.603
14024	1998-01-13	2	2	2022-01-09 20:01:38.100
37295	1954-02-09	1	2	2022-01-09 13:48:19.132
9701	1991-01-28	2	2	2022-01-09 16:17:09.244
23262	1955-04-29	2	1	2022-01-09 20:42:31.677
32898	1962-03-02	3	1	2022-01-09 13:47:52.662
44057	1989-05-07	3	1	2022-01-09 11:27:00.006
11940	1997-07-05	2	2	2022-01-09 11:29:57.371
8239	1986-06-30	2	2	2022-01-09 08:02:42.872
21758	1971-06-10	2	2	2022-01-09 13:33:20.089
25191	1969-11-30	3	2	2022-01-09 23:09:01.042
10791	1968-04-23	2	1	2022-01-09 14:23:40.469
1913	2000-03-19	1	1	2022-01-09 13:16:06.608
22465	1951-05-16	1	2	2022-01-09 19:33:34.736
3107	1980-05-13	3	2	2022-01-09 18:43:21.982
20587	1969-08-21	1	1	2022-01-09 09:29:27.130
3161	1957-12-10	3	1	2022-01-09 16:01:44.983
311	1980-09-03	3	1	2022-01-09 07:42:12.838
40856	1997-12-06	2	1	2022-01-09 07:11:28.118
12920	1966-04-08	3	2	2022-01-09 09:55:39.664
37505	1995-07-10	1	1	2022-01-09 02:33:40.739
42104	1984-02-14	3	2	2022-01-09 04:42:25.865
23967	1962-12-30	3	2	2022-01-09 21:05:27.131
2654	1969-06-08	3	2	2022-01-09 17:20:26.460
2228	1968-09-25	2	1	2022-01-09 21:45:28.581
27394	1986-04-20	1	1	2022-01-09 01:14:08.320
2910	1976-03-04	1	2	2022-01-09 19:51:00.907
26798	2001-06-02	3	1	2022-01-09 00:06:25.356
31826	1972-01-24	1	1	2022-01-09 04:20:57.093
2014	2009-11-13	3	1	2022-01-09 06:15:23.644
17042	1992-08-15	1	2	2022-01-09 18:11:24.267
8308	1971-01-15	2	1	2022-01-09 09:04:56.003
10722	1965-03-16	2	2	2022-01-09 00:13:52.400
28813	1974-10-21	1	2	2022-01-09 21:03:52.402
27716	1969-05-28	1	1	2022-01-09 08:50:43.572
26078	1984-10-04	3	2	2022-01-09 19:52:05.459
42007	1985-03-17	3	2	2022-01-09 19:00:18.056
18174	1979-03-09	2	1	2022-01-09 15:28:16.367
33639	1980-11-16	2	2	2022-01-09 19:22:26.670
43053	1968-10-23	1	2	2022-01-09 22:19:00.129
42560	2005-10-22	3	2	2022-01-09 12:51:01.356
29017	1992-12-17	2	2	2022-01-09 03:53:17.048
7327	2005-04-17	2	1	2022-01-09 05:57:34.351
30113	1981-09-26	2	1	2022-01-09 18:39:40.889
41799	1964-11-21	1	1	2022-01-09 07:00:13.781
12860	1994-01-15	2	1	2022-01-09 03:40:12.943
19843	2000-06-20	3	2	2022-01-09 08:43:37.392
44257	1997-02-24	2	2	2022-01-09 16:12:18.118
211	1970-03-20	2	2	2022-01-09 22:52:53.560
15844	1978-04-27	2	2	2022-01-09 08:11:46.344
16888	1979-12-25	3	1	2022-01-09 20:22:25.305
44233	1954-09-06	2	1	2022-01-09 02:17:01.030
10825	1996-08-04	1	2	2022-01-09 02:52:51.242
38841	1988-11-17	2	1	2022-01-09 21:16:04.167
21085	1967-02-14	1	2	2022-01-09 17:27:15.879
25180	1958-07-19	2	1	2022-01-09 22:27:10.332
31487	1984-02-04	2	2	2022-01-09 04:19:30.293
41178	2005-06-09	3	2	2022-01-09 15:10:03.015
42658	2009-07-19	1	1	2022-01-09 00:48:50.789
19468	1962-07-12	1	1	2022-01-09 07:48:02.932
14426	1964-10-24	1	2	2022-01-09 20:42:20.971
15193	1992-03-24	3	1	2022-01-09 03:25:01.124
2555	1957-09-21	1	2	2022-01-09 18:54:29.273
16179	1969-08-05	1	1	2022-01-09 13:12:40.362
13859	2001-01-09	1	2	2022-01-09 04:43:22.729
2269	1991-08-09	3	2	2022-01-09 01:45:08.346
33152	1966-11-05	2	2	2022-01-09 09:03:12.329
3269	1975-11-24	2	1	2022-01-09 18:28:39.719
42390	1952-07-28	1	2	2022-01-09 17:28:21.010
25641	1958-08-18	2	1	2022-01-09 01:04:10.095
42608	1954-10-30	2	1	2022-01-09 19:21:57.483
33173	1974-07-02	1	1	2022-01-09 16:49:15.237
37490	1974-12-07	2	2	2022-01-09 04:46:23.509
25937	1985-07-16	2	1	2022-01-09 16:41:35.639
10813	2000-03-22	1	2	2022-01-09 20:03:51.225
32131	1988-10-14	1	2	2022-01-09 17:36:38.774
44570	1962-11-18	2	1	2022-01-09 02:23:08.163
19602	1963-07-26	2	1	2022-01-09 09:34:04.844
22861	1960-02-06	3	1	2022-01-09 06:59:14.624
11338	1963-02-26	3	1	2022-01-09 08:09:28.690
7552	1954-08-26	3	1	2022-01-09 11:21:21.380
2708	1951-04-29	1	2	2022-01-09 07:50:31.229
29905	1958-08-28	1	2	2022-01-09 19:46:13.356
15371	1996-07-06	3	1	2022-01-09 00:37:18.798
1827	1999-08-19	2	1	2022-01-09 10:09:11.855
26064	1997-11-27	3	2	2022-01-09 14:12:04.652
26071	1954-12-17	1	2	2022-01-09 02:48:13.360
129	1995-11-15	1	2	2022-01-09 18:03:57.928
38179	1955-02-20	1	2	2022-01-09 01:27:20.319
25795	2002-12-02	3	2	2022-01-09 14:20:44.511
13370	1962-05-31	1	1	2022-01-09 21:18:53.628
9406	1977-06-22	3	2	2022-01-09 04:21:02.915
9769	2001-01-09	1	2	2022-01-09 14:44:47.719
15144	1998-09-15	1	1	2022-01-09 08:23:05.775
4321	2006-05-23	1	1	2022-01-09 02:10:14.279
16023	1955-12-20	3	2	2022-01-09 23:40:39.816
297	1968-01-21	1	2	2022-01-09 15:54:54.984
17713	1979-09-09	2	2	2022-01-09 13:12:56.822
30820	1955-09-21	1	1	2022-01-09 11:49:35.537
23196	1992-11-05	2	1	2022-01-09 23:55:45.946
32958	1976-11-22	1	1	2022-01-09 19:39:32.521
38499	2002-02-08	3	2	2022-01-09 08:18:34.157
1691	1956-11-19	3	2	2022-01-09 20:14:25.873
16528	1996-03-14	1	2	2022-01-09 21:55:14.383
28878	1986-02-05	2	1	2022-01-09 07:28:00.141
39088	1960-01-23	1	2	2022-01-09 05:35:11.269
10665	2000-06-13	1	2	2022-01-09 09:09:45.162
35709	1969-09-28	1	2	2022-01-09 19:44:10.779
16927	1959-08-15	3	1	2022-01-09 19:01:42.605
20701	2003-07-12	2	2	2022-01-09 12:39:00.169
3339	1953-11-02	1	1	2022-01-09 01:15:16.572
17422	1973-11-28	2	1	2022-01-09 00:28:37.972
8787	1978-10-26	3	1	2022-01-09 10:47:43.402
30400	1989-08-29	2	2	2022-01-09 00:54:32.571
21872	1980-10-17	1	2	2022-01-09 21:14:30.528
11216	1955-11-30	1	1	2022-01-09 19:22:36.079
357	1987-07-02	3	2	2022-01-09 00:14:56.258
2726	2001-10-11	3	1	2022-01-09 17:55:29.184
2331	1969-10-10	1	2	2022-01-09 04:31:34.059
24020	1987-04-18	2	2	2022-01-09 18:01:57.350
15939	1963-01-09	1	1	2022-01-09 02:19:37.604
32323	1990-12-02	2	2	2022-01-09 21:24:28.566
18988	1990-02-24	3	1	2022-01-09 12:10:03.425
36356	1984-05-29	1	2	2022-01-09 14:05:19.719
15773	2006-11-22	3	1	2022-01-09 21:15:35.317
32525	1987-03-01	1	1	2022-01-09 22:33:38.153
29212	1971-07-05	2	1	2022-01-09 02:37:30.997
3146	1950-06-07	2	2	2022-01-09 14:30:57.071
8629	1975-05-15	1	1	2022-01-09 01:56:09.749
18102	2001-12-31	2	2	2022-01-09 14:09:33.775
18264	1962-06-07	3	1	2022-01-09 21:17:38.237
33962	1996-08-17	1	2	2022-01-09 08:06:00.083
21402	1994-10-08	2	2	2022-01-09 12:11:04.338
4820	1986-08-12	1	2	2022-01-09 22:05:03.038
40535	1976-07-04	3	1	2022-01-09 06:34:44.121
4407	2007-03-19	3	2	2022-01-09 01:43:58.222
16593	1965-08-13	3	1	2022-01-09 18:14:11.431
30541	1998-01-14	2	1	2022-01-09 06:46:29.894
44285	2002-06-23	3	2	2022-01-09 04:03:51.257
18536	1995-07-29	1	2	2022-01-09 09:14:17.920
34484	1955-04-25	2	2	2022-01-09 07:16:35.696
