userid	birthdate	profileLevel	gender	updatedTime
5855	1950-02-25	2	1	2022-01-10 18:26:16.718
23667	1980-07-02	2	1	2022-01-10 17:48:04.709
25884	2005-06-25	3	2	2022-01-10 19:33:21.076
43902	1973-05-08	1	1	2022-01-10 13:36:41.920
41233	1965-01-15	1	1	2022-01-10 04:57:13.662
7111	1977-11-26	2	2	2022-01-10 15:53:23.905
25186	1999-08-24	2	1	2022-01-10 08:26:59.297
5158	1965-04-22	3	2	2022-01-10 18:14:29.084
44848	1997-03-06	1	1	2022-01-10 14:28:44.822
29280	2003-02-28	3	2	2022-01-10 04:58:05.519
40062	1998-02-23	3	2	2022-01-10 07:44:23.506
39587	1985-12-17	2	2	2022-01-10 12:04:22.242
43329	1960-07-29	2	1	2022-01-10 14:33:18.814
30953	1967-01-10	1	1	2022-01-10 23:32:58.111
33065	1960-08-10	2	1	2022-01-10 11:40:09.923
456	1998-08-22	2	1	2022-01-10 10:18:03.219
40231	1957-07-30	2	2	2022-01-10 12:34:07.760
30360	1971-01-10	2	1	2022-01-10 23:24:00.019
652	1991-04-07	1	2	2022-01-10 05:00:48.240
8398	2003-03-14	3	2	2022-01-10 00:02:52.563
25672	1974-04-19	3	2	2022-01-10 20:54:10.036
41502	1961-04-21	2	2	2022-01-10 14:41:55.816
24389	2004-12-28	2	1	2022-01-10 11:00:41.595
43720	1986-12-13	3	1	2022-01-10 11:31:31.651
2379	1984-04-14	2	2	2022-01-10 03:07:07.632
36733	1985-06-03	3	1	2022-01-10 22:15:18.160
14290	1989-10-23	3	1	2022-01-10 05:28:55.278
7889	1998-03-20	2	2	2022-01-10 13:22:37.073
20705	1954-12-18	1	1	2022-01-10 20:39:31.110
1633	1973-08-24	3	2	2022-01-10 03:05:52.573
15946	1952-05-10	1	2	2022-01-10 04:20:41.313
17702	2002-02-14	2	1	2022-01-10 09:16:36.450
10036	1992-03-14	2	2	2022-01-10 11:50:31.062
22221	1960-05-05	2	1	2022-01-10 08:22:19.663
43527	1968-05-04	2	1	2022-01-10 15:19:02.010
33712	1980-10-15	3	2	2022-01-10 02:00:20.380
32775	1992-06-24	3	2	2022-01-10 07:56:36.083
10615	1976-02-19	3	1	2022-01-10 08:48:31.274
38852	1965-06-13	2	1	2022-01-10 16:43:35.694
41179	1978-11-06	2	2	2022-01-10 12:18:26.200
8823	1996-04-10	3	1	2022-01-10 22:45:19.091
7213	1953-03-09	2	1	2022-01-10 04:11:35.100
32845	1960-06-19	1	1	2022-01-10 22:04:02.417
10385	1953-01-25	1	1	2022-01-10 03:03:06.481
27054	1965-05-11	3	2	2022-01-10 16:45:44.360
3211	1993-10-27	3	2	2022-01-10 17:15:41.506
16532	1967-11-19	1	2	2022-01-10 10:47:57.359
44934	1956-08-25	1	2	2022-01-10 15:54:13.953
13263	1953-02-09	3	1	2022-01-10 17:46:53.069
41762	1982-04-18	2	1	2022-01-10 13:13:33.891
22745	1973-08-27	1	2	2022-01-10 22:50:41.832
