userid	birthdate	profileLevel	gender	updatedTime
8121	2002-02-12	2	1	2022-01-11 01:30:53.860
38733	2001-10-11	3	1	2022-01-11 10:46:43.610
22293	1982-09-05	3	1	2022-01-11 00:48:38.762
43507	1998-04-21	2	2	2022-01-11 21:54:35.855
22081	1990-03-31	2	1	2022-01-11 04:20:00.044
9350	1959-06-05	1	2	2022-01-11 22:26:43.195
28780	1973-12-16	1	1	2022-01-11 23:04:30.399
12492	2000-11-10	2	2	2022-01-11 11:10:12.544
4064	2004-09-20	1	1	2022-01-11 05:08:26.922
7767	1996-01-04	1	2	2022-01-11 10:50:54.810
11059	1983-01-23	3	1	2022-01-11 07:31:28.499
21440	1955-10-25	3	2	2022-01-11 04:58:45.504
38954	2006-12-25	3	1	2022-01-11 06:30:30.511
35467	2009-11-04	3	2	2022-01-11 13:23:37.059
2474	2008-10-07	1	1	2022-01-11 23:28:59.668
37625	1954-08-31	3	1	2022-01-11 23:35:17.789
37072	1993-06-23	1	2	2022-01-11 05:52:37.375
29810	1954-12-25	1	1	2022-01-11 06:32:09.411
32525	1966-05-02	3	2	2022-01-11 14:12:45.263
25625	2009-01-07	1	1	2022-01-11 17:28:12.803
16287	2002-03-09	3	1	2022-01-11 16:09:53.217
11141	1992-08-20	3	1	2022-01-11 18:42:25.749
6007	1975-05-19	1	2	2022-01-11 13:34:20.771
25266	1979-03-09	3	1	2022-01-11 02:28:25.134
19104	1975-12-11	1	2	2022-01-11 05:52:53.969
37599	1954-03-10	2	1	2022-01-11 03:51:26.072
11442	1961-12-15	3	1	2022-01-11 15:01:53.061
20361	1994-06-20	2	1	2022-01-11 10:13:07.249
33406	1982-06-02	3	2	2022-01-11 02:49:42.319
15051	1970-03-18	3	1	2022-01-11 22:09:03.351
33140	1981-04-13	3	1	2022-01-11 20:06:45.118
43550	1950-02-24	1	1	2022-01-11 08:33:50.920
25415	1957-12-31	1	2	2022-01-11 01:33:14.498
40213	1967-01-15	2	2	2022-01-11 03:25:13.375
25223	2003-03-28	2	2	2022-01-11 20:28:52.788
10932	1953-05-16	3	2	2022-01-11 22:25:47.426
9072	1964-07-11	3	2	2022-01-11 06:43:10.713
24573	2004-05-05	2	2	2022-01-11 19:04:35.924
41945	2008-03-26	1	2	2022-01-11 21:34:02.342
16780	1996-11-23	3	2	2022-01-11 04:31:29.597
34316	1962-12-28	2	1	2022-01-11 02:54:33.209
38031	1951-07-28	3	1	2022-01-11 08:17:24.695
16942	1972-12-18	1	2	2022-01-11 06:48:30.789
11283	1960-06-02	1	1	2022-01-11 12:56:04.068
1849	2000-02-22	3	1	2022-01-11 03:13:49.825
3845	1983-01-19	2	2	2022-01-11 03:30:41.502
42068	1954-08-07	1	2	2022-01-11 02:58:37.251
37237	1981-06-07	3	1	2022-01-11 19:44:21.092
14686	1979-07-27	1	2	2022-01-11 22:00:48.757
39260	1997-06-23	2	1	2022-01-11 19:17:56.081
8449	1973-07-16	1	1	2022-01-11 07:54:42.795
42081	1984-07-14	3	1	2022-01-11 16:38:25.056
37942	2001-09-13	2	2	2022-01-11 15:01:02.131
39811	1983-03-22	1	2	2022-01-11 21:58:51.350
1505	1970-10-14	2	1	2022-01-11 23:35:30.022
40557	1973-10-02	1	1	2022-01-11 21:41:23.962
18633	1996-07-17	2	1	2022-01-11 18:46:02.835
22167	1997-05-10	2	2	2022-01-11 13:48:43.977
16702	2002-12-02	3	2	2022-01-11 12:48:31.761
1468	1957-04-03	2	2	2022-01-11 17:44:06.856
3282	1991-04-14	1	2	2022-01-11 13:05:07.880
4240	1954-08-11	1	2	2022-01-11 01:41:04.292
14651	1965-01-29	1	1	2022-01-11 18:57:07.702
7127	1965-09-24	1	1	2022-01-11 12:09:24.689
7489	2003-07-31	2	2	2022-01-11 10:44:59.494
10470	1987-05-06	1	1	2022-01-11 14:11:06.739
38906	1990-12-29	1	1	2022-01-11 03:35:38.026
13973	1977-09-25	3	2	2022-01-11 23:45:26.180
25341	2001-04-01	2	2	2022-01-11 08:43:40.304
7013	1969-09-16	3	1	2022-01-11 06:04:49.001
25508	2008-08-19	1	1	2022-01-11 03:20:47.006
1530	1988-08-19	1	1	2022-01-11 03:43:58.065
39474	1960-02-26	2	1	2022-01-11 01:49:20.589
33952	1976-05-08	1	1	2022-01-11 03:51:00.787
9277	2001-02-06	3	2	2022-01-11 07:26:55.003
12637	1958-12-23	2	2	2022-01-11 01:59:07.654
19605	1980-10-03	3	1	2022-01-11 14:04:55.522
21050	1983-08-01	2	1	2022-01-11 02:22:27.362
44672	1955-01-20	2	2	2022-01-11 10:23:27.929
8967	1971-06-14	2	1	2022-01-11 14:06:33.226
24022	1965-12-27	1	1	2022-01-11 13:24:15.182
29374	2000-12-17	1	2	2022-01-11 21:15:07.447
21609	1987-03-21	1	1	2022-01-11 16:10:08.403
35038	1968-12-09	1	2	2022-01-11 02:09:45.741
43084	1979-04-24	2	2	2022-01-11 16:22:36.708
28344	1983-06-27	3	2	2022-01-11 08:16:46.893
40383	1967-11-24	2	2	2022-01-11 07:31:13.590
8764	1959-06-03	1	2	2022-01-11 20:56:14.301
20028	1952-12-30	3	2	2022-01-11 17:03:29.929
388	1977-05-23	2	1	2022-01-11 22:54:40.013
38312	1962-02-10	3	2	2022-01-11 01:29:14.471
7284	1957-07-29	1	1	2022-01-11 21:18:22.251
16911	1978-08-01	3	1	2022-01-11 18:33:05.063
9555	1952-09-11	2	1	2022-01-11 18:26:39.978
6185	1987-07-09	2	2	2022-01-11 21:16:07.042
15798	1990-12-28	1	2	2022-01-11 13:59:47.242
17810	2009-07-15	3	1	2022-01-11 03:14:36.713
31086	2007-10-27	3	1	2022-01-11 21:09:19.073
23264	1959-01-12	1	2	2022-01-11 17:28:36.576
7515	1962-10-09	1	2	2022-01-11 19:07:53.919
28636	1995-04-25	3	2	2022-01-11 07:59:12.470
35978	1980-08-14	1	2	2022-01-11 00:53:14.525
38160	2006-01-12	3	2	2022-01-11 03:06:37.132
13633	1965-12-22	2	2	2022-01-11 19:32:24.373
5069	1973-11-27	3	2	2022-01-11 04:12:26.472
35083	1960-05-04	1	1	2022-01-11 08:16:01.420
40547	1968-06-08	2	1	2022-01-11 15:01:22.178
28989	1953-11-23	1	1	2022-01-11 07:38:48.619
32533	1980-12-31	3	2	2022-01-11 13:14:27.048
9455	1961-01-03	1	1	2022-01-11 14:51:17.755
42601	1991-11-13	1	1	2022-01-11 09:28:31.923
14307	1957-03-29	2	1	2022-01-11 04:23:33.790
3584	1982-01-17	2	1	2022-01-11 00:08:29.308
16643	1969-01-16	2	2	2022-01-11 15:31:53.339
44115	2002-01-17	1	2	2022-01-11 07:37:37.272
1786	1992-04-08	3	1	2022-01-11 01:50:15.241
6364	1993-05-25	2	2	2022-01-11 03:54:32.136
8994	2007-06-04	1	1	2022-01-11 12:06:49.797
1836	1970-01-15	3	1	2022-01-11 12:31:46.394
4467	1976-07-12	2	1	2022-01-11 22:09:21.869
8270	1962-07-13	3	1	2022-01-11 01:02:35.760
4798	1959-05-09	1	2	2022-01-11 12:12:31.391
27948	1972-06-23	1	2	2022-01-11 13:10:06.189
12396	1998-09-25	1	2	2022-01-11 02:35:55.017
21562	1989-09-19	2	2	2022-01-11 21:15:31.694
39571	1960-08-04	3	1	2022-01-11 04:53:05.011
27695	2009-12-13	3	1	2022-01-11 08:50:21.469
5347	1997-08-18	3	2	2022-01-11 11:27:26.406
43784	1952-08-02	2	1	2022-01-11 21:29:40.070
37399	1979-11-28	3	2	2022-01-11 09:25:03.458
6071	1982-04-12	3	2	2022-01-11 05:36:47.967
44083	1988-01-06	2	2	2022-01-11 06:35:39.540
32902	1962-03-14	1	2	2022-01-11 02:41:41.219
33350	1972-07-21	3	1	2022-01-11 16:54:59.090
42081	1983-08-26	3	1	2022-01-11 00:48:25.699
24727	1999-08-07	3	1	2022-01-11 06:38:25.199
18179	1952-04-24	1	2	2022-01-11 14:25:45.429
17107	1995-03-05	2	2	2022-01-11 00:01:23.280
24273	1986-09-18	3	2	2022-01-11 06:25:00.292
33999	1994-07-09	3	1	2022-01-11 04:24:28.986
36697	1963-01-12	3	1	2022-01-11 04:43:03.151
5196	2004-11-30	3	1	2022-01-11 17:11:26.200
4246	2006-10-30	1	2	2022-01-11 13:55:57.447
21540	2005-07-17	2	2	2022-01-11 13:00:49.461
44368	1983-02-03	3	2	2022-01-11 08:33:43.214
36915	1963-02-04	3	1	2022-01-11 06:14:32.020
28677	1998-09-17	3	2	2022-01-11 04:10:52.414
18628	2007-01-21	3	1	2022-01-11 22:08:33.379
44807	1992-07-12	1	1	2022-01-11 21:58:54.897
39889	1993-02-26	1	1	2022-01-11 17:00:09.202
24135	1981-07-30	1	1	2022-01-11 06:32:01.834
2920	1981-06-22	3	1	2022-01-11 00:18:13.484
13970	1980-02-11	3	2	2022-01-11 05:33:36.608
18792	1994-04-19	1	1	2022-01-11 11:21:01.113
10160	1952-04-03	2	2	2022-01-11 18:48:04.901
13151	1951-03-04	3	2	2022-01-11 17:18:03.140
32808	1980-02-12	1	1	2022-01-11 01:08:29.595
7708	2008-10-26	3	2	2022-01-11 11:06:03.742
40421	1960-09-03	3	1	2022-01-11 15:02:56.694
35773	1952-09-14	3	2	2022-01-11 16:06:51.399
25420	2004-01-23	3	1	2022-01-11 00:02:07.804
30749	2001-05-15	3	2	2022-01-11 02:20:22.457
29317	1968-04-25	2	1	2022-01-11 13:25:12.437
14007	1999-04-13	1	2	2022-01-11 01:52:23.028
25823	1997-11-04	1	1	2022-01-11 01:17:28.019
17532	2005-07-07	1	1	2022-01-11 19:01:17.037
6278	1953-09-18	3	2	2022-01-11 01:26:25.043
21812	1980-06-01	1	1	2022-01-11 18:11:00.881
43108	1976-09-29	3	2	2022-01-11 03:10:04.579
11512	1967-05-31	2	1	2022-01-11 02:06:30.304
836	1990-05-04	3	2	2022-01-11 20:09:35.187
44546	1970-11-20	3	2	2022-01-11 13:56:02.456
34591	1954-07-29	1	2	2022-01-11 02:50:37.812
12847	1951-03-28	3	1	2022-01-11 09:16:53.942
17620	2006-10-18	2	1	2022-01-11 04:24:20.242
6617	1992-12-14	1	2	2022-01-11 03:54:21.044
14979	1960-08-06	2	1	2022-01-11 20:15:43.681
36337	1985-08-22	3	2	2022-01-11 20:36:27.716
24955	2006-07-19	3	2	2022-01-11 18:41:53.608
18381	1998-03-16	2	1	2022-01-11 23:55:26.326
19203	1981-04-01	3	2	2022-01-11 20:24:52.786
27161	2007-05-01	1	2	2022-01-11 13:36:29.405
41520	2004-12-28	1	1	2022-01-11 10:41:19.679
8476	1992-02-01	3	2	2022-01-11 13:09:29.610
44724	1955-08-20	3	1	2022-01-11 12:25:15.652
15953	1987-07-04	1	2	2022-01-11 09:50:48.444
7304	1976-05-04	1	1	2022-01-11 09:44:45.737
9811	1977-02-02	1	2	2022-01-11 02:43:57.258
35078	1967-08-25	3	1	2022-01-11 17:52:38.672
5024	1978-06-02	2	2	2022-01-11 05:55:42.849
37463	1999-02-19	3	1	2022-01-11 01:28:06.820
30521	2002-11-22	1	2	2022-01-11 13:45:05.079
35426	1969-06-27	1	1	2022-01-11 12:31:22.799
30238	2003-12-28	2	1	2022-01-11 09:08:02.625
21890	1976-06-15	3	1	2022-01-11 18:20:15.672
29434	2006-11-04	2	1	2022-01-11 11:23:49.216
26498	1956-07-07	3	2	2022-01-11 00:15:01.339
22859	1973-08-17	1	1	2022-01-11 05:49:04.348
31013	1973-12-15	1	1	2022-01-11 05:24:15.076
28292	1976-12-01	2	1	2022-01-11 09:27:22.857
35894	1969-10-13	3	1	2022-01-11 13:09:17.412
19552	2009-03-16	2	2	2022-01-11 14:57:04.427
3835	1978-05-24	1	2	2022-01-11 14:02:15.856
21313	1995-07-24	3	2	2022-01-11 12:25:29.362
26433	1984-10-08	2	1	2022-01-11 03:51:11.136
24321	1954-11-22	3	1	2022-01-11 05:09:09.881
43965	1981-09-02	1	2	2022-01-11 04:03:08.849
29475	2008-07-22	3	1	2022-01-11 00:00:45.275
2424	1967-02-16	2	1	2022-01-11 22:58:10.663
34274	1960-11-14	1	1	2022-01-11 21:11:44.040
1857	1969-06-12	3	1	2022-01-11 19:37:10.233
33484	2000-10-16	3	1	2022-01-11 05:08:53.717
27839	1973-02-23	1	2	2022-01-11 13:58:37.877
37733	2009-07-13	1	2	2022-01-11 16:57:01.608
2382	1987-07-19	1	1	2022-01-11 06:45:32.764
17517	1998-04-21	1	2	2022-01-11 09:59:10.484
44982	2000-10-16	2	2	2022-01-11 07:34:14.932
22751	1989-11-28	3	1	2022-01-11 22:15:54.568
13060	1965-05-20	2	2	2022-01-11 02:33:12.598
8502	1972-03-04	2	1	2022-01-11 18:45:11.792
26239	1983-05-19	3	2	2022-01-11 15:24:57.338
39146	1970-05-21	3	2	2022-01-11 07:33:46.388
31964	1995-11-04	1	1	2022-01-11 20:15:19.763
15585	2005-05-14	2	1	2022-01-11 13:30:56.265
11537	1980-06-12	2	2	2022-01-11 19:22:37.939
32126	1979-05-28	2	2	2022-01-11 17:45:54.753
28237	1970-01-10	3	2	2022-01-11 07:30:15.514
37785	1967-08-02	1	1	2022-01-11 22:49:30.418
7576	1954-07-14	1	2	2022-01-11 03:35:54.530
44539	1953-07-31	3	2	2022-01-11 17:27:57.810
23698	1968-02-24	2	1	2022-01-11 11:45:24.782
2218	1982-03-08	1	1	2022-01-11 00:27:02.033
12530	1997-08-01	1	2	2022-01-11 19:05:20.039
35893	1997-05-26	3	2	2022-01-11 04:30:09.403
16879	2002-05-25	1	1	2022-01-11 03:24:57.552
21609	1990-08-06	2	2	2022-01-11 18:26:04.253
1541	1999-12-05	3	1	2022-01-11 18:29:46.576
14163	1954-07-28	1	1	2022-01-11 14:26:27.934
23808	1991-02-14	2	1	2022-01-11 07:46:11.261
6441	1972-07-22	1	2	2022-01-11 05:22:54.306
12467	1963-11-05	1	2	2022-01-11 13:03:30.015
25491	1971-05-10	2	1	2022-01-11 11:07:32.318
1849	1955-12-29	3	1	2022-01-11 23:37:29.726
30167	1970-10-30	2	2	2022-01-11 02:23:33.179
36074	1951-03-24	1	2	2022-01-11 01:04:51.744
20993	1994-04-29	1	1	2022-01-11 19:42:55.272
24046	2004-10-19	3	1	2022-01-11 03:31:57.498
40466	1951-11-17	1	1	2022-01-11 02:43:57.466
30925	1990-08-29	3	1	2022-01-11 00:57:41.212
18008	1956-04-12	1	2	2022-01-11 15:19:29.165
31849	1951-10-13	2	2	2022-01-11 08:56:35.459
34967	1988-04-30	3	2	2022-01-11 21:13:10.395
43105	1973-01-16	1	2	2022-01-11 01:14:11.509
23969	1982-07-16	3	1	2022-01-11 04:45:21.328
38445	1977-12-17	2	2	2022-01-11 19:27:38.921
26444	2005-07-19	3	1	2022-01-11 05:01:21.004
43877	1966-02-15	1	2	2022-01-11 04:40:33.966
14864	1975-05-12	2	2	2022-01-11 09:35:10.138
20385	1986-07-06	1	1	2022-01-11 07:28:14.445
40095	1979-08-08	1	1	2022-01-11 18:07:38.167
25572	1972-03-09	1	1	2022-01-11 07:44:04.556
23476	1976-04-28	3	1	2022-01-11 13:02:44.190
24003	1977-09-25	2	2	2022-01-11 20:19:16.027
32192	1955-11-01	2	2	2022-01-11 21:14:51.534
37600	1972-04-19	1	1	2022-01-11 21:52:51.213
43992	2009-03-26	2	1	2022-01-11 09:15:50.669
5642	2001-11-20	3	1	2022-01-11 14:34:01.311
11064	1980-08-08	2	2	2022-01-11 22:01:49.706
872	1974-08-10	2	2	2022-01-11 10:16:58.056
23955	1998-09-14	1	2	2022-01-11 09:18:51.436
28226	2005-06-30	2	1	2022-01-11 03:26:22.356
24669	1955-05-23	3	1	2022-01-11 09:31:23.755
1485	1983-07-20	1	1	2022-01-11 02:15:34.681
18604	1950-11-06	3	1	2022-01-11 04:09:08.717
30748	1969-12-10	1	2	2022-01-11 20:01:55.464
34662	1995-07-02	1	2	2022-01-11 23:35:36.870
43556	1954-09-06	3	2	2022-01-11 00:11:15.967
16780	1974-08-10	1	1	2022-01-11 04:01:01.124
43046	2009-09-05	1	1	2022-01-11 10:47:39.478
33093	1975-01-16	1	1	2022-01-11 04:06:49.804
33207	1973-01-16	2	2	2022-01-11 08:43:01.638
42117	1986-11-14	2	1	2022-01-11 12:31:11.971
43973	1960-10-22	2	1	2022-01-11 17:04:25.720
24508	2005-10-18	1	2	2022-01-11 18:05:55.570
9113	1967-05-17	2	2	2022-01-11 20:57:59.937
19382	1965-11-18	3	2	2022-01-11 02:53:30.107
25637	1996-08-20	2	2	2022-01-11 00:26:10.849
161	1974-07-17	2	2	2022-01-11 21:18:02.687
33854	1960-03-17	1	1	2022-01-11 03:13:59.433
2163	1991-08-11	2	2	2022-01-11 15:49:52.730
15032	2001-10-07	2	2	2022-01-11 15:17:35.136
11954	1967-11-14	1	1	2022-01-11 18:14:06.219
39417	1986-12-02	2	1	2022-01-11 02:31:05.695
38773	1989-06-15	2	2	2022-01-11 01:59:21.564
7497	1962-08-16	3	1	2022-01-11 15:28:27.293
4363	1989-02-03	1	2	2022-01-11 13:53:20.556
26200	1981-03-26	1	1	2022-01-11 18:16:16.947
40037	2005-04-21	3	2	2022-01-11 19:36:26.761
16938	2003-10-11	1	1	2022-01-11 18:54:55.648
23786	2002-11-24	3	1	2022-01-11 23:51:23.674
21471	1950-04-02	1	2	2022-01-11 11:38:18.196
35498	1996-06-08	2	2	2022-01-11 12:34:30.193
24553	1985-02-17	1	1	2022-01-11 18:36:38.870
39665	1977-12-13	1	2	2022-01-11 11:11:12.999
31390	2004-10-02	3	1	2022-01-11 14:06:29.596
12045	1952-07-22	1	2	2022-01-11 22:23:35.154
13319	1956-10-10	2	1	2022-01-11 20:02:33.457
25161	2006-05-14	3	1	2022-01-11 19:29:29.267
44315	1966-10-17	2	1	2022-01-11 01:21:55.137
30985	1993-10-20	2	1	2022-01-11 20:37:50.553
20371	1959-01-18	3	2	2022-01-11 05:10:13.601
22507	1984-12-09	1	1	2022-01-11 01:33:38.719
11547	1971-01-26	3	1	2022-01-11 20:54:41.961
565	1954-09-02	3	2	2022-01-11 01:50:59.317
33722	1995-06-18	3	1	2022-01-11 02:06:16.733
40579	1968-06-26	1	1	2022-01-11 20:54:49.501
3093	1958-02-04	2	2	2022-01-11 10:02:21.952
37966	1995-05-22	1	2	2022-01-11 17:34:16.853
12460	1965-10-13	3	1	2022-01-11 18:28:43.379
20097	1982-12-13	2	1	2022-01-11 02:22:47.298
31253	1955-01-23	3	1	2022-01-11 12:55:00.067
8129	1968-09-21	2	2	2022-01-11 20:50:31.723
19440	1979-09-02	2	2	2022-01-11 03:14:48.624
30468	1973-09-25	1	2	2022-01-11 00:41:43.506
16711	1969-03-17	3	1	2022-01-11 23:40:47.618
33492	1980-07-12	2	1	2022-01-11 05:56:47.072
13891	1973-06-06	2	2	2022-01-11 06:46:44.569
13534	1957-08-12	2	2	2022-01-11 19:23:39.920
2170	1951-08-26	3	1	2022-01-11 06:03:06.875
28586	2003-05-02	3	2	2022-01-11 02:35:26.362
10885	1967-11-17	3	2	2022-01-11 15:27:52.528
1210	2007-04-26	2	2	2022-01-11 23:25:35.505
18447	1997-08-12	1	1	2022-01-11 17:58:11.506
24137	1976-04-09	3	1	2022-01-11 10:06:03.173
31675	1954-12-14	3	2	2022-01-11 05:54:30.871
17753	1989-05-07	1	2	2022-01-11 15:27:52.528
19411	1980-08-21	2	1	2022-01-11 20:27:11.854
19837	2008-10-05	2	2	2022-01-11 05:10:51.031
17591	1979-07-07	1	1	2022-01-11 18:00:07.560
41037	1963-07-27	3	2	2022-01-11 15:25:08.207
29946	1986-05-03	2	2	2022-01-11 13:20:03.283
1963	2007-12-16	1	2	2022-01-11 13:10:07.132
13760	2006-01-01	1	2	2022-01-11 10:38:09.910
43862	1980-11-13	1	1	2022-01-11 01:10:19.425
29830	1979-02-09	3	1	2022-01-11 18:50:33.792
17104	1986-10-26	3	1	2022-01-11 20:03:33.996
8492	1981-03-24	3	1	2022-01-11 10:00:39.723
33774	1956-04-21	3	1	2022-01-11 05:55:59.084
12063	1973-08-20	3	2	2022-01-11 13:50:46.971
14973	1980-10-31	3	1	2022-01-11 17:07:21.621
15634	1956-03-25	2	2	2022-01-11 22:23:34.107
6161	2003-03-09	3	2	2022-01-11 08:50:37.759
15059	1962-03-07	2	1	2022-01-11 03:10:40.243
11669	1957-08-26	3	1	2022-01-11 19:27:01.079
19650	1985-03-03	3	2	2022-01-11 16:41:46.186
6683	1966-02-14	1	1	2022-01-11 03:34:31.951
42860	1977-11-26	2	1	2022-01-11 21:34:54.137
38454	2004-11-16	3	1	2022-01-11 02:52:24.641
31243	1975-08-02	3	1	2022-01-11 02:51:08.845
25542	1955-09-22	3	2	2022-01-11 18:37:49.994
40211	1996-12-14	2	1	2022-01-11 12:05:26.893
8299	1980-04-04	2	2	2022-01-11 06:49:43.790
29752	1999-03-29	3	1	2022-01-11 10:01:29.953
27806	1995-12-26	2	1	2022-01-11 06:09:57.867
431	2009-05-20	2	1	2022-01-11 12:09:30.103
10068	1997-10-22	2	1	2022-01-11 16:29:34.368
12809	1960-11-03	2	1	2022-01-11 13:56:07.454
28392	2006-09-10	1	2	2022-01-11 16:24:35.410
16681	1975-09-19	3	2	2022-01-11 15:25:19.754
