userid	birthdate	profileLevel	gender	updatedTime
7732	1973-12-20	1	2	2022-01-12 00:17:36.681
8804	1951-11-07	2	2	2022-01-12 10:23:41.249
24862	1985-02-05	2	1	2022-01-12 07:25:54.929
14815	1996-08-16	1	1	2022-01-12 17:20:54.555
26146	2006-08-19	2	2	2022-01-12 20:48:36.711
34127	1993-09-11	1	2	2022-01-12 16:27:02.621
12692	1955-09-02	1	2	2022-01-12 17:54:19.892
2501	1961-10-10	2	1	2022-01-12 23:07:39.850
37280	1978-01-25	3	2	2022-01-12 16:12:18.482
5888	1979-05-10	2	1	2022-01-12 14:22:11.662
21673	1999-07-20	2	2	2022-01-12 15:29:54.822
38192	1953-04-26	2	1	2022-01-12 20:34:23.290
28614	1955-05-18	3	1	2022-01-12 13:52:59.343
43431	2005-05-05	1	2	2022-01-12 04:37:44.492
7002	1952-09-13	1	1	2022-01-12 03:26:40.201
6130	2009-03-21	3	2	2022-01-12 00:25:11.084
10634	1962-09-04	1	1	2022-01-12 23:14:53.882
2811	1974-05-14	3	1	2022-01-12 10:23:42.342
27880	1980-12-04	3	2	2022-01-12 21:10:44.335
32576	1990-12-24	2	2	2022-01-12 21:22:58.135
39231	1969-04-14	2	1	2022-01-12 18:47:22.182
11396	1973-07-08	1	2	2022-01-12 11:00:56.442
43068	1995-07-27	3	1	2022-01-12 11:40:45.321
7563	1955-05-13	1	2	2022-01-12 20:09:05.137
25858	2004-11-12	3	2	2022-01-12 04:50:43.068
12529	1982-07-29	1	1	2022-01-12 21:33:29.832
16317	1958-12-16	1	1	2022-01-12 17:29:43.299
16352	1953-07-02	2	1	2022-01-12 11:58:07.646
20749	1957-09-29	2	2	2022-01-12 02:27:02.119
28552	1995-12-19	2	1	2022-01-12 10:10:25.709
39471	1997-05-27	1	2	2022-01-12 13:40:58.074
10914	1958-03-25	1	1	2022-01-12 07:46:49.169
44236	2006-07-08	3	1	2022-01-12 01:26:33.163
5547	1999-08-31	1	1	2022-01-12 08:11:39.087
18508	1960-11-01	3	1	2022-01-12 22:16:54.257
4780	1965-05-08	3	2	2022-01-12 11:27:15.091
10827	1969-05-11	1	2	2022-01-12 20:15:59.020
18023	1959-03-15	3	2	2022-01-12 23:25:23.839
4852	2008-12-09	1	1	2022-01-12 20:12:58.956
1370	1987-08-28	1	2	2022-01-12 14:14:20.186
28788	1972-06-16	2	1	2022-01-12 06:32:55.525
41521	2006-06-13	3	2	2022-01-12 20:04:40.671
32513	1974-04-05	1	1	2022-01-12 07:52:26.854
38234	1959-08-19	2	1	2022-01-12 02:37:28.261
42018	1971-05-11	3	1	2022-01-12 14:00:41.464
44497	1955-04-12	2	2	2022-01-12 18:42:55.602
1101	1965-04-23	1	1	2022-01-12 21:21:51.876
24729	1968-07-08	3	2	2022-01-12 22:17:00.845
36566	1983-03-22	1	2	2022-01-12 09:02:19.165
33743	1997-03-13	2	1	2022-01-12 08:41:04.756
3699	1966-12-11	2	1	2022-01-12 10:17:01.192
1888	1989-05-15	3	2	2022-01-12 09:35:06.048
31335	1966-03-02	1	1	2022-01-12 01:48:51.819
39195	1961-06-06	2	1	2022-01-12 15:19:18.550
15212	1964-02-14	2	1	2022-01-12 09:30:56.260
29405	1988-04-08	1	1	2022-01-12 13:38:34.537
44414	1977-10-23	3	1	2022-01-12 14:00:18.814
40781	2007-02-19	2	2	2022-01-12 20:59:47.271
10568	1960-06-20	1	2	2022-01-12 11:16:48.225
18047	1956-09-29	3	1	2022-01-12 11:53:34.983
114	1951-12-28	1	2	2022-01-12 16:35:15.510
10162	2003-06-25	1	1	2022-01-12 16:32:12.273
8882	1977-03-09	3	2	2022-01-12 11:13:26.984
3052	1965-02-10	1	2	2022-01-12 10:16:34.523
20611	2005-07-26	2	1	2022-01-12 08:00:31.015
42973	1954-06-15	1	1	2022-01-12 06:23:36.393
35357	1950-04-08	2	1	2022-01-12 12:46:01.665
31046	1968-03-22	2	2	2022-01-12 17:09:37.202
26721	2001-04-02	3	1	2022-01-12 18:47:31.907
5293	1989-09-03	3	2	2022-01-12 22:47:18.626
32109	1990-12-31	3	2	2022-01-12 05:06:12.751
26339	1957-04-30	1	1	2022-01-12 23:12:36.262
21736	1960-05-29	2	2	2022-01-12 22:08:20.438
27773	1973-06-16	2	2	2022-01-12 01:11:02.880
41040	2003-05-24	2	2	2022-01-12 15:16:44.767
9485	1953-10-13	2	1	2022-01-12 20:41:01.313
31947	1965-10-13	3	1	2022-01-12 08:27:45.445
41931	1964-06-22	2	1	2022-01-12 16:59:10.739
27930	1971-09-08	3	1	2022-01-12 22:41:36.899
44280	1952-03-14	2	2	2022-01-12 04:13:10.424
31348	1957-12-02	2	1	2022-01-12 13:40:50.217
20987	1984-02-02	2	1	2022-01-12 05:38:37.468
22102	1968-04-10	3	2	2022-01-12 00:49:42.407
44573	1990-11-30	1	1	2022-01-12 03:50:33.516
32912	1984-03-26	3	1	2022-01-12 12:46:08.705
27147	1953-02-01	1	1	2022-01-12 20:37:36.448
17484	1987-03-20	1	2	2022-01-12 03:28:26.526
9441	1993-01-08	1	2	2022-01-12 18:38:52.558
