userid	birthdate	profileLevel	gender	updatedTime
38397	2002-01-31	1	2	2022-01-13 00:15:23.783
43244	1953-03-11	1	1	2022-01-13 02:36:49.498
444	1978-09-17	2	2	2022-01-13 15:44:28.684
34576	1966-07-20	3	2	2022-01-13 06:49:05.082
36230	1968-03-06	3	1	2022-01-13 03:54:14.975
33894	1956-02-29	3	2	2022-01-13 21:01:51.470
43835	1982-10-08	3	1	2022-01-13 13:21:06.263
8440	1954-06-05	2	1	2022-01-13 05:49:18.230
12878	1955-03-28	3	2	2022-01-13 08:45:33.178
31424	1959-03-18	1	2	2022-01-13 02:20:48.957
21786	1972-09-17	2	1	2022-01-13 05:52:59.185
7643	2004-09-25	1	2	2022-01-13 22:35:03.316
41523	1997-01-09	1	1	2022-01-13 13:30:21.131
13095	2008-07-05	2	2	2022-01-13 19:55:41.882
33939	1961-09-16	2	1	2022-01-13 07:52:32.688
10026	2001-05-15	3	1	2022-01-13 15:10:47.242
25661	1981-02-19	2	2	2022-01-13 21:40:41.738
7761	1981-07-01	3	2	2022-01-13 10:48:54.852
10617	1958-05-31	2	1	2022-01-13 15:50:31.336
33476	2009-03-20	2	2	2022-01-13 07:56:08.131
20354	1989-02-10	3	2	2022-01-13 13:46:43.680
16793	1979-05-12	1	2	2022-01-13 22:38:36.443
8104	1991-04-29	3	2	2022-01-13 17:22:59.911
34795	1985-03-28	1	2	2022-01-13 20:08:10.865
44557	1986-02-21	2	2	2022-01-13 02:16:57.380
18328	1985-11-09	1	1	2022-01-13 19:29:55.794
9022	1980-09-02	1	1	2022-01-13 08:13:41.330
14440	1996-01-25	1	1	2022-01-13 14:50:39.388
37384	1975-02-26	1	1	2022-01-13 03:52:11.281
5076	1974-03-20	1	1	2022-01-13 06:32:33.109
12751	1987-01-17	2	2	2022-01-13 05:53:28.489
18206	1974-06-20	1	1	2022-01-13 23:42:12.103
23230	1996-01-18	2	1	2022-01-13 19:12:50.905
35246	1978-02-24	2	2	2022-01-13 18:32:03.140
35408	1971-08-25	3	2	2022-01-13 07:08:07.090
1080	1997-10-14	3	1	2022-01-13 08:09:58.926
8958	1964-01-22	1	2	2022-01-13 05:04:52.051
10911	1991-10-23	2	2	2022-01-13 02:27:19.982
6299	1962-10-10	2	1	2022-01-13 20:57:33.906
16813	1950-03-26	1	2	2022-01-13 07:13:02.233
17685	1962-09-26	3	1	2022-01-13 10:52:36.902
44361	1975-12-03	3	2	2022-01-13 15:52:54.061
31634	1963-04-22	1	2	2022-01-13 06:24:19.245
24660	1958-02-03	1	2	2022-01-13 01:54:59.546
6608	1966-05-25	3	1	2022-01-13 15:43:52.251
13813	1974-03-19	2	1	2022-01-13 08:16:00.158
33731	1984-09-05	1	2	2022-01-13 19:18:01.376
923	1981-11-20	1	1	2022-01-13 11:57:23.656
3502	1984-02-18	3	2	2022-01-13 02:01:54.007
9091	1954-03-05	1	1	2022-01-13 11:39:55.259
