userid	birthdate	profileLevel	gender	updatedTime
17261	2008-10-17	3	1	2022-01-14 23:32:13.744
35304	2008-04-07	1	1	2022-01-14 23:40:22.748
4067	1972-06-13	3	2	2022-01-14 01:36:13.009
10030	1970-09-01	3	2	2022-01-14 12:49:08.336
10551	1958-03-29	3	2	2022-01-14 23:52:56.700
13974	2004-05-13	2	2	2022-01-14 07:14:17.528
5866	1981-01-26	3	1	2022-01-14 18:41:29.127
27017	1951-12-21	2	1	2022-01-14 05:42:49.329
40841	1952-03-05	3	1	2022-01-14 21:16:32.190
1995	2007-12-19	1	1	2022-01-14 20:58:28.565
9564	1994-09-26	3	2	2022-01-14 22:55:31.763
43145	1970-03-26	2	2	2022-01-14 22:22:44.839
31790	1993-10-31	1	1	2022-01-14 06:18:31.867
25793	1990-07-14	2	2	2022-01-14 18:46:31.576
35008	2006-07-27	3	1	2022-01-14 08:20:41.949
27692	1992-12-01	3	2	2022-01-14 03:08:15.299
4086	1988-04-03	1	2	2022-01-14 12:49:57.960
16665	1951-01-04	3	2	2022-01-14 07:28:26.069
32380	1984-01-17	1	1	2022-01-14 17:43:50.906
13492	1959-08-11	3	2	2022-01-14 17:28:38.674
3129	1985-12-24	2	1	2022-01-14 09:05:03.951
37698	1991-08-25	1	1	2022-01-14 23:47:07.285
32866	1952-10-25	2	1	2022-01-14 12:35:35.597
43420	1972-06-08	1	2	2022-01-14 00:00:30.531
37709	1971-11-24	2	2	2022-01-14 10:00:35.566
19394	1993-06-21	2	2	2022-01-14 10:01:05.972
25319	1996-07-31	3	1	2022-01-14 21:32:56.766
20466	1985-08-04	1	1	2022-01-14 16:36:21.890
28201	1958-02-26	2	1	2022-01-14 20:19:02.833
20396	1981-09-26	1	2	2022-01-14 15:01:09.852
40931	2006-09-08	3	2	2022-01-14 01:43:02.155
44967	1961-08-03	2	1	2022-01-14 07:42:25.450
35875	1966-12-01	3	2	2022-01-14 08:43:33.396
32238	1990-11-20	2	2	2022-01-14 19:44:44.651
9148	1984-10-15	3	1	2022-01-14 20:22:45.361
43835	1998-05-13	2	1	2022-01-14 14:13:37.840
3821	2007-07-31	3	2	2022-01-14 06:35:05.761
9167	1990-08-09	2	1	2022-01-14 20:19:45.357
38296	1955-08-05	2	1	2022-01-14 21:42:40.974
2934	1955-01-21	3	1	2022-01-14 17:11:10.404
5370	1957-07-30	3	2	2022-01-14 10:48:21.974
27873	2004-11-25	1	2	2022-01-14 12:24:05.766
6130	1965-01-13	3	2	2022-01-14 13:24:34.794
29058	1964-07-07	2	1	2022-01-14 10:21:39.699
43462	1970-06-01	3	1	2022-01-14 21:08:09.215
14668	1953-12-14	1	1	2022-01-14 23:29:22.523
13690	1984-08-09	3	1	2022-01-14 01:40:03.537
25167	1960-05-23	1	2	2022-01-14 05:09:28.264
32217	2007-09-11	1	2	2022-01-14 19:37:19.541
20322	2005-10-04	3	1	2022-01-14 14:37:38.362
19968	1961-01-12	1	2	2022-01-14 10:38:31.288
2249	2001-08-18	1	1	2022-01-14 08:25:06.752
9756	2000-03-26	2	2	2022-01-14 02:51:49.965
30258	1987-01-17	3	2	2022-01-14 01:43:18.102
38628	1953-12-11	1	1	2022-01-14 18:42:22.211
37257	1997-04-15	1	1	2022-01-14 18:47:54.807
27849	1950-08-30	1	1	2022-01-14 18:06:25.879
31247	2006-01-23	2	1	2022-01-14 22:50:19.348
923	1991-12-28	2	2	2022-01-14 13:43:47.319
35165	1966-09-23	2	1	2022-01-14 23:18:13.486
35822	1965-06-16	3	2	2022-01-14 06:02:56.315
28403	1954-01-04	3	2	2022-01-14 01:42:34.756
2427	1998-01-05	3	1	2022-01-14 16:15:52.651
22902	2009-05-10	3	1	2022-01-14 03:37:14.389
31185	2000-10-24	1	1	2022-01-14 05:45:55.843
8138	1968-03-25	2	1	2022-01-14 18:38:40.958
38748	2001-01-09	2	2	2022-01-14 17:05:22.468
38527	2001-08-05	1	2	2022-01-14 15:39:23.286
7400	1965-08-09	3	1	2022-01-14 22:30:57.774
22377	1952-05-06	3	1	2022-01-14 18:07:12.311
17521	1990-07-19	3	1	2022-01-14 17:56:27.231
41705	1953-04-09	2	2	2022-01-14 04:30:06.020
21453	1959-08-19	1	2	2022-01-14 21:14:41.951
15545	1964-02-26	1	1	2022-01-14 17:59:08.949
41652	1977-08-03	2	2	2022-01-14 19:43:34.564
18928	1957-09-20	2	2	2022-01-14 15:00:02.790
40693	1988-08-06	2	2	2022-01-14 03:18:44.575
32103	1982-08-04	1	1	2022-01-14 12:14:39.682
19541	1991-12-18	3	1	2022-01-14 13:02:15.339
40747	1950-12-31	2	1	2022-01-14 17:36:54.053
35478	2006-08-13	2	1	2022-01-14 18:55:26.190
2855	1968-07-22	1	2	2022-01-14 10:04:38.998
11350	1960-01-21	2	2	2022-01-14 17:57:01.176
12157	1993-10-17	3	2	2022-01-14 11:01:44.425
32839	1979-06-18	3	1	2022-01-14 07:23:06.723
8679	2000-11-07	1	2	2022-01-14 17:48:42.200
9108	1953-01-29	2	2	2022-01-14 14:27:33.206
18263	1978-04-18	2	1	2022-01-14 03:57:55.425
15917	1969-01-21	3	1	2022-01-14 02:34:46.524
43171	1983-11-03	1	1	2022-01-14 11:22:27.681
32157	1984-07-29	2	2	2022-01-14 08:54:33.130
1409	1969-06-03	2	2	2022-01-14 21:55:07.137
18448	1974-05-13	3	1	2022-01-14 12:23:07.199
26952	1971-06-19	1	2	2022-01-14 21:21:41.271
41385	1960-11-20	2	1	2022-01-14 21:57:00.014
2044	1989-11-10	3	2	2022-01-14 15:35:34.903
15658	1977-02-12	3	2	2022-01-14 21:27:49.823
14524	1963-10-17	1	1	2022-01-14 02:36:20.721
32343	1957-09-14	1	2	2022-01-14 21:46:02.543
6918	1968-04-15	2	1	2022-01-14 13:13:56.464
16398	1988-11-13	1	2	2022-01-14 05:34:24.733
37621	1975-10-30	3	1	2022-01-14 01:58:01.231
34228	1957-10-29	3	2	2022-01-14 13:44:11.579
37554	1968-09-14	3	1	2022-01-14 13:16:44.212
41181	1983-12-04	3	1	2022-01-14 17:01:11.788
29651	1968-03-04	3	1	2022-01-14 11:07:08.844
15037	1997-04-23	2	2	2022-01-14 22:34:52.440
27251	2003-05-15	1	1	2022-01-14 02:06:40.545
36634	1959-10-30	1	1	2022-01-14 01:26:18.423
18139	1954-06-30	2	1	2022-01-14 13:25:03.280
3679	1955-04-02	2	1	2022-01-14 17:48:19.220
15177	1971-01-19	3	1	2022-01-14 07:57:58.409
41160	1950-12-06	3	1	2022-01-14 21:43:09.990
17594	1969-12-14	3	2	2022-01-14 04:28:48.097
36138	1960-05-20	2	2	2022-01-14 04:05:52.273
24807	1972-09-08	3	2	2022-01-14 23:12:07.832
29409	2000-04-10	2	2	2022-01-14 19:03:02.777
40248	1985-01-12	1	1	2022-01-14 10:35:28.050
16983	2008-07-26	2	1	2022-01-14 20:34:17.639
35948	1970-09-13	1	1	2022-01-14 08:59:33.003
19439	1997-12-03	2	1	2022-01-14 23:27:54.322
