userid	birthdate	profileLevel	gender	updatedTime
16316	1980-05-10	2	1	2022-01-15 07:36:24.766
39232	1995-12-08	3	1	2022-01-15 17:01:03.708
26883	1956-01-10	3	2	2022-01-15 02:39:31.793
26622	1977-01-22	2	1	2022-01-15 16:37:28.568
8205	1975-07-12	3	1	2022-01-15 19:52:07.331
8648	1992-03-20	3	1	2022-01-15 08:52:15.227
34090	1985-07-27	2	1	2022-01-15 05:12:11.343
14844	1952-09-26	1	1	2022-01-15 01:28:42.134
20872	1985-01-23	2	2	2022-01-15 12:25:32.573
10509	1974-02-03	3	2	2022-01-15 00:27:08.505
29370	1980-11-21	2	1	2022-01-15 05:44:15.440
833	1968-07-08	3	2	2022-01-15 02:50:14.060
21131	1995-12-03	2	1	2022-01-15 06:39:58.538
38805	1998-11-02	1	2	2022-01-15 10:58:29.769
28482	1950-08-04	1	1	2022-01-15 23:03:10.576
18745	1953-12-20	3	2	2022-01-15 09:06:32.805
37611	1960-12-20	3	2	2022-01-15 07:59:42.721
37866	1978-09-12	1	1	2022-01-15 06:33:10.491
1714	1999-03-07	2	1	2022-01-15 23:37:34.770
33905	1981-03-09	2	2	2022-01-15 06:03:13.515
29023	1960-07-10	2	2	2022-01-15 15:15:58.779
2544	1991-06-19	3	1	2022-01-15 15:28:29.477
17322	1959-12-16	3	2	2022-01-15 15:07:15.478
23471	2004-01-20	3	2	2022-01-15 09:41:08.030
4398	2001-02-15	3	1	2022-01-15 05:03:00.177
4195	1985-01-09	1	2	2022-01-15 04:41:29.057
42101	1992-10-07	1	1	2022-01-15 13:24:24.088
29913	1983-05-02	1	1	2022-01-15 20:57:39.461
40453	1975-11-11	1	1	2022-01-15 16:27:49.334
15493	2002-12-07	1	2	2022-01-15 17:18:54.764
6004	2000-11-23	3	1	2022-01-15 08:48:26.821
20567	1980-10-05	3	1	2022-01-15 18:05:11.491
7250	2009-08-28	1	2	2022-01-15 07:31:56.978
44314	2005-08-17	1	1	2022-01-15 18:57:33.195
18894	1961-08-05	3	1	2022-01-15 13:05:56.488
23415	1997-03-26	3	2	2022-01-15 00:41:36.783
28611	1979-01-08	1	2	2022-01-15 12:50:27.173
13155	1982-10-13	2	1	2022-01-15 09:10:10.128
26735	1979-09-22	2	1	2022-01-15 07:50:39.683
40412	1951-05-16	1	1	2022-01-15 12:33:58.378
1702	1974-05-30	2	1	2022-01-15 15:32:25.758
13067	1998-06-14	2	2	2022-01-15 17:37:14.507
37764	1961-12-25	1	1	2022-01-15 22:52:51.071
